12-Mg_n-tot
>  12-Mg-24:0.789900
>  12-Mg-25:0.100000
>  12-Mg-26:0.110100
9.980580e+04 7.86557721e+00
9.980880e+04 7.64658980e+00
9.981180e+04 7.52476538e+00
9.981490e+04 7.45444342e+00
9.981790e+04 7.41114300e+00
9.982400e+04 7.36249862e+00
9.983000e+04 7.33674578e+00
9.984220e+04 7.30972602e+00
9.985430e+04 7.29470281e+00
9.987860e+04 7.27537683e+00
9.990290e+04 7.26074185e+00
9.995140e+04 7.23543245e+00
1.000000e+05 7.21172850e+00
1.001630e+05 7.16786779e+00
1.003250e+05 7.12523734e+00
1.006500e+05 7.04036119e+00
1.013000e+05 6.87160188e+00
1.026000e+05 6.53931527e+00
1.032500e+05 6.38031096e+00
1.039000e+05 6.23741466e+00
1.042250e+05 6.18138250e+00
1.045500e+05 6.14977235e+00
1.047940e+05 6.16559695e+00
1.048750e+05 6.18014779e+00
1.052000e+05 6.35476378e+00
1.055000e+05 6.68737640e+00
1.058000e+05 6.98636701e+00
1.061000e+05 6.81340762e+00
1.064000e+05 6.45086823e+00
1.066020e+05 6.25597838e+00
1.068050e+05 6.10855706e+00
1.072090e+05 5.90690235e+00
1.076140e+05 5.77129118e+00
1.080190e+05 5.66727700e+00
1.088280e+05 5.50183112e+00
1.095870e+05 5.36979807e+00
1.096370e+05 5.36380908e+00
1.112560e+05 5.19664099e+00
1.128750e+05 5.04309591e+00
1.143810e+05 4.90667571e+00
1.161120e+05 4.80029989e+00
1.191750e+05 4.61890579e+00
1.193500e+05 4.61253783e+00
1.258240e+05 4.38530356e+00
1.287620e+05 4.28457141e+00
1.299450e+05 4.26291947e+00
1.322990e+05 4.22033340e+00
1.383490e+05 4.11434926e+00
1.452490e+05 4.07754476e+00
1.575240e+05 4.01693934e+00
1.581980e+05 4.01979252e+00
1.598890e+05 4.02737617e+00
1.671110e+05 4.06218528e+00
1.719050e+05 4.10830692e+00
1.743020e+05 4.13781727e+00
1.755000e+05 4.15432217e+00
1.760990e+05 4.16311176e+00
1.763990e+05 4.16794879e+00
1.765490e+05 4.17162325e+00
1.766230e+05 4.17810135e+00
1.766610e+05 4.19869429e+00
1.766800e+05 4.27038970e+00
1.766890e+05 4.50429307e+00
1.766940e+05 5.14061181e+00
1.766960e+05 6.37073058e+00
1.766970e+05 8.08506614e+00
1.766980e+05 1.19798101e+01
1.766990e+05 1.67436968e+01
1.767000e+05 1.98206730e+01
1.767010e+05 1.67305840e+01
1.767020e+05 1.19635373e+01
1.767030e+05 8.52115293e+00
1.767040e+05 6.78740912e+00
1.767060e+05 5.40970463e+00
1.767090e+05 4.61804255e+00
1.767170e+05 4.30747596e+00
1.767330e+05 4.20975421e+00
1.767640e+05 4.18255962e+00
1.768260e+05 4.17626744e+00
1.769500e+05 4.17636888e+00
1.771990e+05 4.17980226e+00
1.776950e+05 4.18761728e+00
1.786890e+05 4.20409213e+00
1.790990e+05 4.21146641e+00
1.799450e+05 4.22679364e+00
1.806760e+05 4.24029701e+00
1.846510e+05 4.32562643e+00
1.895500e+05 4.46533608e+00
1.899720e+05 4.47739677e+00
1.926010e+05 4.55320637e+00
1.949860e+05 4.66964309e+00
2.000000e+05 4.91549998e+00
2.049450e+05 5.15947687e+00
2.049980e+05 5.16210370e+00
2.074170e+05 5.28206941e+00
2.074980e+05 5.28610132e+00
2.085000e+05 5.33598632e+00
2.087470e+05 5.35455663e+00
2.093720e+05 5.40153201e+00
2.096840e+05 5.42495138e+00
2.098410e+05 5.43671720e+00
2.098890e+05 5.44039295e+00
2.099190e+05 5.44269795e+00
2.099580e+05 5.44651295e+00
2.099770e+05 5.45159600e+00
2.099870e+05 5.46346898e+00
2.099920e+05 5.48746246e+00
2.099970e+05 5.59481895e+00
2.100000e+05 5.75462464e+00
2.100030e+05 5.60866434e+00
2.100080e+05 5.49839782e+00
2.100130e+05 5.47210531e+00
2.100230e+05 5.45905228e+00
2.100420e+05 5.45503733e+00
2.100810e+05 5.45606833e+00
2.101600e+05 5.46136623e+00
2.103160e+05 5.47289523e+00
2.106280e+05 5.49634622e+00
2.112530e+05 5.54348311e+00
2.123610e+05 5.62712360e+00
2.125030e+05 5.63788942e+00
2.135970e+05 5.72088232e+00
2.148340e+05 5.81528896e+00
2.150020e+05 5.82822471e+00
2.154520e+05 5.87215729e+00
2.160700e+05 5.93303196e+00
2.166880e+05 5.99492065e+00
2.173060e+05 6.05892877e+00
2.179240e+05 6.12814461e+00
2.182330e+05 6.16736903e+00
2.185420e+05 6.21363874e+00
2.188510e+05 6.27549201e+00
2.190060e+05 6.31879073e+00
2.191600e+05 6.37852488e+00
2.193150e+05 6.46959599e+00
2.194690e+05 6.62565774e+00
2.195460e+05 6.75125621e+00
2.196240e+05 6.93332197e+00
2.197010e+05 7.20556043e+00
2.197780e+05 7.61426895e+00
2.198890e+05 8.47663257e+00
2.200000e+05 9.09928647e+00
2.200010e+05 8.98745342e+00
2.200020e+05 8.98322056e+00
2.200040e+05 8.97462055e+00
2.200080e+05 8.95738892e+00
2.200110e+05 8.93916498e+00
2.200220e+05 8.88608283e+00
2.200320e+05 8.84984431e+00
2.200330e+05 8.84416988e+00
2.200360e+05 8.83049576e+00
2.200390e+05 8.81682163e+00
2.200440e+05 8.79404986e+00
2.200480e+05 8.77988305e+00
2.200550e+05 8.74534377e+00
2.200640e+05 8.70485063e+00
2.200670e+05 8.68680836e+00
2.200780e+05 8.63371832e+00
2.200890e+05 8.58727134e+00
2.200960e+05 8.56207657e+00
2.201110e+05 8.49245002e+00
2.201330e+05 8.33682279e+00
2.201550e+05 8.18117187e+00
2.201770e+05 8.01914645e+00
2.201860e+05 7.94557003e+00
2.202000e+05 7.84659197e+00
2.202110e+05 7.76767645e+00
2.202220e+05 7.68551443e+00
2.202300e+05 7.63968822e+00
2.202330e+05 7.62589897e+00
2.202440e+05 7.57238944e+00
2.202550e+05 7.51563342e+00
2.202660e+05 7.45569410e+00
2.202740e+05 7.40991528e+00
2.202770e+05 7.39598385e+00
2.202880e+05 7.34168442e+00
2.202900e+05 7.33129764e+00
2.202990e+05 7.29860461e+00
2.203100e+05 7.25594500e+00
2.203180e+05 7.22074916e+00
2.203220e+05 7.20660310e+00
2.203330e+05 7.16864339e+00
2.203440e+05 7.12839298e+00
2.203550e+05 7.08598614e+00
2.203580e+05 7.07339987e+00
2.203610e+05 7.06531481e+00
2.203740e+05 7.04089714e+00
2.203920e+05 7.00497780e+00
2.204070e+05 6.96962763e+00
2.204200e+05 6.93673433e+00
2.204220e+05 6.93323478e+00
2.204300e+05 6.91734085e+00
2.204370e+05 6.90375357e+00
2.204520e+05 6.87198164e+00
2.204670e+05 6.83812437e+00
2.204810e+05 6.80638418e+00
2.204930e+05 6.77644525e+00
2.204940e+05 6.77457041e+00
2.204960e+05 6.77297614e+00
2.205040e+05 6.76534045e+00
2.205110e+05 6.75893372e+00
2.205260e+05 6.74339840e+00
2.205410e+05 6.72648075e+00
2.205560e+05 6.70829136e+00
2.205710e+05 6.68894872e+00
2.205800e+05 6.67730364e+00
2.205850e+05 6.67300725e+00
2.206000e+05 6.65818284e+00
2.206150e+05 6.64242634e+00
2.206300e+05 6.62582465e+00
2.206450e+05 6.61617386e+00
2.206600e+05 6.60578056e+00
2.206750e+05 6.59471585e+00
2.206820e+05 6.58953600e+00
2.206890e+05 6.58665475e+00
2.207040e+05 6.57934206e+00
2.207190e+05 6.57147645e+00
2.207490e+05 6.55424440e+00
2.207660e+05 6.54346350e+00
2.207790e+05 6.53864693e+00
2.208080e+05 6.52678825e+00
2.208280e+05 6.51739286e+00
2.208380e+05 6.51525444e+00
2.208680e+05 6.50769382e+00
2.208970e+05 6.49962666e+00
2.209010e+05 6.49834685e+00
2.209270e+05 6.49402775e+00
2.209570e+05 6.48820687e+00
2.209860e+05 6.48203368e+00
2.210160e+05 6.47475939e+00
2.210370e+05 6.46924716e+00
2.210460e+05 6.46795382e+00
2.210620e+05 6.46540441e+00
2.210760e+05 6.46553054e+00
2.211050e+05 6.46533762e+00
2.211350e+05 6.46458893e+00
2.211650e+05 6.46342159e+00
2.211940e+05 6.46200433e+00
2.212240e+05 6.46013398e+00
2.212540e+05 6.45795557e+00
2.212840e+05 6.45549280e+00
2.213090e+05 6.45324959e+00
2.213130e+05 6.45321018e+00
2.213430e+05 6.45266972e+00
2.213730e+05 6.45189229e+00
2.214020e+05 6.45095884e+00
2.214120e+05 6.45059174e+00
2.214320e+05 6.45180860e+00
2.214620e+05 6.45341667e+00
2.214920e+05 6.45487466e+00
2.215210e+05 6.45612923e+00
2.215510e+05 6.45731075e+00
2.215810e+05 6.45836589e+00
2.216400e+05 6.46234623e+00
2.217000e+05 6.46601556e+00
2.217590e+05 6.46923759e+00
2.218120e+05 6.47190075e+00
2.218180e+05 6.47205678e+00
2.218330e+05 6.47255744e+00
2.218480e+05 6.47305020e+00
2.218520e+05 6.47318265e+00
2.218780e+05 6.47475863e+00
2.219370e+05 6.47802338e+00
2.219970e+05 6.48120210e+00
2.220560e+05 6.48407191e+00
2.221120e+05 6.48663902e+00
2.221150e+05 6.48692592e+00
2.221230e+05 6.48761200e+00
2.221300e+05 6.48832882e+00
2.221450e+05 6.48973172e+00
2.221750e+05 6.49252963e+00
2.222340e+05 6.49783233e+00
2.222940e+05 6.50319117e+00
2.223530e+05 6.50828060e+00
2.223960e+05 6.51197391e+00
2.224130e+05 6.51371754e+00
2.224720e+05 6.51960124e+00
2.225310e+05 6.52540594e+00
2.225910e+05 6.53134665e+00
2.226500e+05 6.53701708e+00
2.227100e+05 6.54283930e+00
2.227690e+05 6.54840704e+00
2.228290e+05 6.55413447e+00
2.228880e+05 6.55962322e+00
2.229390e+05 6.56432676e+00
2.229470e+05 6.56512506e+00
2.230070e+05 6.57119556e+00
2.230660e+05 6.57702771e+00
2.231260e+05 6.58304292e+00
2.232440e+05 6.59458873e+00
2.233630e+05 6.60627021e+00
2.234820e+05 6.61788060e+00
2.234830e+05 6.61797777e+00
2.236010e+05 6.62990850e+00
2.236290e+05 6.63273534e+00
2.237200e+05 6.64393088e+00
2.238390e+05 6.65853779e+00
2.239580e+05 6.67312890e+00
2.240260e+05 6.68139771e+00
2.240760e+05 6.68759288e+00
2.241950e+05 6.70243440e+00
2.243140e+05 6.71729171e+00
2.244330e+05 6.73215693e+00
2.245520e+05 6.74702214e+00
2.245690e+05 6.74914800e+00
2.246710e+05 6.76210133e+00
2.247890e+05 6.77699861e+00
2.249080e+05 6.79215823e+00
2.250270e+05 6.80733364e+00
2.251460e+05 6.82254066e+00
2.252650e+05 6.83777136e+00
2.253690e+05 6.85101805e+00
2.253840e+05 6.85284409e+00
2.254430e+05 6.85959367e+00
2.255020e+05 6.86635115e+00
2.256210e+05 6.88013634e+00
2.256560e+05 6.88419778e+00
2.257400e+05 6.89406715e+00
2.258590e+05 6.90808826e+00
2.260970e+05 6.93623316e+00
2.263340e+05 6.96428015e+00
2.265720e+05 6.99274101e+00
2.266630e+05 7.00366515e+00
2.267430e+05 7.01440830e+00
2.268100e+05 7.02348000e+00
2.270470e+05 7.05555767e+00
2.272850e+05 7.08808191e+00
2.275230e+05 7.12076414e+00
2.277600e+05 7.15336314e+00
2.279980e+05 7.18638502e+00
2.282790e+05 7.22552103e+00
2.285610e+05 7.26517471e+00
2.288420e+05 7.30480836e+00
2.289170e+05 7.31539214e+00
2.289270e+05 7.31681206e+00
2.291230e+05 7.34246572e+00
2.294040e+05 7.37937506e+00
2.294630e+05 7.38718039e+00
2.296860e+05 7.41962288e+00
2.299670e+05 7.46056071e+00
2.302480e+05 7.50175131e+00
2.305290e+05 7.54317098e+00
2.308110e+05 7.58512499e+00
2.310900e+05 7.62672042e+00
2.310920e+05 7.62701985e+00
2.313730e+05 7.66931819e+00
2.319360e+05 7.75490008e+00
2.324850e+05 7.83905890e+00
2.324980e+05 7.84091859e+00
2.325330e+05 7.84598498e+00
2.325680e+05 7.85105927e+00
2.326390e+05 7.86121358e+00
2.327800e+05 7.88154807e+00
2.330610e+05 7.92240090e+00
2.331970e+05 7.94216170e+00
2.332640e+05 7.95276265e+00
2.336230e+05 8.00986438e+00
2.341860e+05 8.10023691e+00
2.347480e+05 8.19102152e+00
2.353110e+05 8.28279217e+00
2.358730e+05 8.37486431e+00
2.360430e+05 8.40289247e+00
2.364360e+05 8.46511835e+00
2.369310e+05 8.54370931e+00
2.369980e+05 8.55502617e+00
2.371390e+05 8.57887491e+00
2.372800e+05 8.60273945e+00
2.375610e+05 8.65055675e+00
2.376110e+05 8.65905954e+00
2.381230e+05 8.74705142e+00
2.392480e+05 8.94130373e+00
2.396010e+05 9.00247380e+00
2.403730e+05 9.13452916e+00
2.414990e+05 9.32713105e+00
2.415150e+05 9.32971365e+00
2.415500e+05 9.33569387e+00
2.415840e+05 9.34158672e+00
2.416540e+05 9.35346815e+00
2.417920e+05 9.37721429e+00
2.420700e+05 9.42464430e+00
2.426240e+05 9.51932962e+00
2.432200e+05 9.62036969e+00
2.437490e+05 9.71097525e+00
2.447390e+05 9.87850492e+00
2.448740e+05 9.90175200e+00
2.451550e+05 9.94976005e+00
