40-Zr_n-tot
>  40-Zr-90:0.514500
>  40-Zr-91:0.112200
>  40-Zr-92:0.171500
>  40-Zr-94:0.173800
>  40-Zr-96:0.028000
8.793680e+02 6.16548321e+00
8.810140e+02 6.16459876e+00
8.826590e+02 6.16410742e+00
8.843050e+02 6.16434385e+00
8.858660e+02 6.16600595e+00
8.859500e+02 6.16609595e+00
8.867730e+02 6.16812256e+00
8.875950e+02 6.17162838e+00
8.884180e+02 6.17786137e+00
8.892410e+02 6.18973128e+00
8.896520e+02 6.19987563e+00
8.900640e+02 6.21538048e+00
8.904750e+02 6.24059777e+00
8.908860e+02 6.28537489e+00
8.910920e+02 6.32197955e+00
8.912980e+02 6.37613116e+00
8.915030e+02 6.46098110e+00
8.917090e+02 6.60455724e+00
8.919150e+02 6.87599649e+00
8.920180e+02 7.11214634e+00
8.921200e+02 7.48202778e+00
8.922230e+02 8.10629987e+00
8.923260e+02 9.26344342e+00
8.923780e+02 1.02363755e+01
8.924290e+02 1.16872689e+01
8.924800e+02 1.39124095e+01
8.925320e+02 1.73342076e+01
8.926010e+02 2.40521542e+01
8.926700e+02 2.85235202e+01
8.927390e+02 2.40442435e+01
8.928080e+02 1.73374601e+01
8.928610e+02 1.38622340e+01
8.929130e+02 1.16248100e+01
8.929650e+02 1.01731786e+01
8.930180e+02 9.20693532e+00
8.931220e+02 8.06278914e+00
8.932270e+02 7.44922512e+00
8.933320e+02 7.08646177e+00
8.934370e+02 6.85553341e+00
8.936460e+02 6.59041981e+00
8.938550e+02 6.45013993e+00
8.940650e+02 6.36725219e+00
8.942740e+02 6.31422352e+00
8.944830e+02 6.27828290e+00
8.949020e+02 6.23400359e+00
8.953210e+02 6.20874779e+00
8.957390e+02 6.19292057e+00
8.961580e+02 6.18229565e+00
8.969960e+02 6.16921397e+00
8.978330e+02 6.16160581e+00
8.986700e+02 6.15664782e+00
8.995080e+02 6.15312558e+00
9.011830e+02 6.14830755e+00
9.021710e+02 6.14633460e+00
9.028580e+02 6.14496332e+00
9.045330e+02 6.14232680e+00
9.062070e+02 6.14007330e+00
9.095570e+02 6.13615902e+00
9.129070e+02 6.13264193e+00
9.196060e+02 6.12611417e+00
9.263060e+02 6.11988782e+00
9.330050e+02 6.11380886e+00
9.347800e+02 6.11223062e+00
9.464040e+02 6.10189728e+00
9.732020e+02 6.07860099e+00
1.000000e+03 6.05565701e+00
1.065760e+03 5.99818586e+00
1.125000e+03 5.94472514e+00
1.131530e+03 5.93883317e+00
1.197290e+03 5.87492150e+00
1.250000e+03 5.81690032e+00
1.263050e+03 5.80204525e+00
1.328810e+03 5.71192114e+00
1.361690e+03 5.65761549e+00
1.394580e+03 5.59483968e+00
1.411020e+03 5.56031475e+00
1.427460e+03 5.52504145e+00
1.443900e+03 5.49321381e+00
1.460340e+03 5.47813090e+00
1.468560e+03 5.48831143e+00
1.476780e+03 5.52589233e+00
1.485000e+03 5.61933088e+00
