37-Rb_n-g
>  37-Rb-85:0.721700
>  37-Rb-87:0.278300
4.268280e+02 5.46699576e+00
4.268740e+02 7.31946309e+00
4.269210e+02 1.01098946e+01
4.269680e+02 1.43142807e+01
4.270340e+02 2.28801077e+01
4.271000e+02 2.85913226e+01
4.271660e+02 2.28834392e+01
4.272320e+02 1.43184898e+01
4.272980e+02 8.84544759e+00
4.273630e+02 5.77216659e+00
4.274290e+02 3.99710073e+00
4.274950e+02 2.91068101e+00
4.275610e+02 2.20736852e+00
4.276260e+02 1.72960939e+00
4.277580e+02 1.14477698e+00
4.278890e+02 8.16076367e-01
4.280200e+02 6.13961930e-01
4.282830e+02 3.89349292e-01
4.285460e+02 2.74225761e-01
4.288090e+02 2.07572325e-01
4.293340e+02 1.37479613e-01
4.298600e+02 1.03342979e-01
4.303860e+02 8.42292533e-02
4.310250e+02 7.23986997e-02
4.314370e+02 6.48372762e-02
4.335390e+02 5.11411688e-02
4.356410e+02 4.68784743e-02
4.386890e+02 4.72071758e-02
4.440500e+02 4.84447181e-02
4.524590e+02 6.39236587e-02
4.540170e+02 7.09198758e-02
4.545620e+02 7.34109028e-02
4.566640e+02 9.30006644e-02
4.577150e+02 1.14987007e-01
4.582410e+02 1.34888796e-01
4.587660e+02 1.68868881e-01
4.592920e+02 2.36381218e-01
4.595550e+02 2.99519599e-01
4.598170e+02 4.07631530e-01
4.600800e+02 6.17457601e-01
4.602120e+02 8.05815347e-01
4.603430e+02 1.11186153e+00
4.604740e+02 1.65627800e+00
4.605400e+02 2.10116374e+00
4.606060e+02 2.75643947e+00
4.606720e+02 3.76954849e+00
4.607370e+02 5.42705631e+00
4.608030e+02 8.30242558e+00
4.608690e+02 1.34256955e+01
4.609340e+02 2.14418999e+01
4.610000e+02 2.67787930e+01
4.610660e+02 2.14326497e+01
4.611320e+02 1.34312278e+01
4.611810e+02 9.29465526e+00
4.612310e+02 6.62936192e+00
4.612810e+02 4.89859792e+00
4.613300e+02 3.74600231e+00
4.614290e+02 2.38051492e+00
4.615290e+02 1.64815320e+00
4.616280e+02 1.21532594e+00
4.617270e+02 9.40053005e-01
4.619260e+02 6.24662163e-01
4.621250e+02 4.58793127e-01
4.623230e+02 3.61614869e-01
4.627200e+02 2.59482858e-01
4.631170e+02 2.11199772e-01
4.635150e+02 1.86114916e-01
4.643090e+02 1.66365769e-01
4.658980e+02 1.74967965e-01
4.674860e+02 2.22175431e-01
4.690750e+02 3.33020143e-01
4.693450e+02 3.70536941e-01
4.698690e+02 4.43367115e-01
4.706640e+02 6.41427380e-01
4.710610e+02 8.05441574e-01
4.714580e+02 1.05161987e+00
4.718550e+02 1.44559511e+00
4.722520e+02 2.13416829e+00
4.726500e+02 3.50469017e+00
4.728480e+02 4.76496925e+00
4.730470e+02 6.86223264e+00
4.732450e+02 1.07310747e+01
4.733450e+02 1.40106182e+01
4.734440e+02 1.90210149e+01
4.735430e+02 2.71657546e+01
4.735930e+02 3.32554564e+01
4.736430e+02 4.14763383e+01
4.736920e+02 5.28853299e+01
4.737420e+02 6.90167655e+01
4.737910e+02 9.22362334e+01
4.738410e+02 1.25504435e+02
4.739210e+02 2.00895378e+02
4.740000e+02 2.51199307e+02
4.740800e+02 2.00852067e+02
4.741590e+02 1.25455342e+02
4.742100e+02 9.16891611e+01
4.742600e+02 6.82839942e+01
4.743610e+02 4.07946520e+01
4.744620e+02 2.66089111e+01
4.745630e+02 1.85855500e+01
4.746640e+02 1.36625399e+01
4.747650e+02 1.04518352e+01
4.749670e+02 6.67201389e+00
4.751690e+02 4.62775835e+00
4.753700e+02 3.40251690e+00
4.757740e+02 2.07323813e+00
4.761780e+02 1.40693464e+00
4.765820e+02 1.02695118e+00
4.769860e+02 7.90311781e-01
4.773890e+02 6.33307702e-01
4.781970e+02 4.44940905e-01
4.790040e+02 3.41260609e-01
4.806190e+02 2.38836582e-01
4.822340e+02 1.94047518e-01
4.838490e+02 1.72946812e-01
4.846720e+02 1.69990053e-01
4.870800e+02 1.61387284e-01
4.935400e+02 1.90203131e-01
5.000000e+02 2.72057432e-01
5.032350e+02 3.44642718e-01
5.064700e+02 4.56089384e-01
5.097050e+02 6.37819526e-01
5.129400e+02 9.62230480e-01
5.145580e+02 1.22924411e+00
5.161750e+02 1.62747003e+00
5.177930e+02 2.25903598e+00
5.194100e+02 3.34848451e+00
5.202190e+02 4.21639686e+00
5.210280e+02 5.47063521e+00
5.218360e+02 7.37765123e+00
5.226450e+02 1.04744474e+01
5.230590e+02 1.32892473e+01
5.234540e+02 1.59748690e+01
5.238580e+02 2.04605175e+01
5.242630e+02 2.70510762e+01
5.246670e+02 3.72115240e+01
5.250710e+02 5.37634913e+01
5.254760e+02 8.23046277e+01
5.258800e+02 1.32850325e+02
5.262900e+02 2.12474759e+02
5.267000e+02 2.65373919e+02
5.271100e+02 2.12084307e+02
5.275200e+02 1.32468523e+02
5.279900e+02 7.61954020e+01
5.284600e+02 4.72067993e+01
5.289310e+02 3.15145088e+01
5.294010e+02 2.23393858e+01
5.298710e+02 1.65876467e+01
5.303410e+02 1.27733113e+01
5.312810e+02 8.21518522e+00
5.322210e+02 5.71352890e+00
5.331620e+02 4.20081087e+00
5.350420e+02 2.55042261e+00
5.369230e+02 1.73092034e+00
5.388030e+02 1.30327953e+00
5.397440e+02 1.20886076e+00
5.406840e+02 1.27001888e+00
5.411540e+02 1.46721682e+00
5.413890e+02 1.68073569e+00
5.416240e+02 2.06625732e+00
5.418590e+02 2.83274994e+00
5.419770e+02 3.52148825e+00
5.420940e+02 4.63047248e+00
5.422120e+02 6.56670533e+00
5.423290e+02 1.03353128e+01
5.423880e+02 1.36668957e+01
5.424470e+02 1.88713623e+01
5.425060e+02 2.73791941e+01
5.425640e+02 4.14281663e+01
5.426320e+02 6.58820316e+01
5.427000e+02 8.21939663e+01
5.427680e+02 6.58769057e+01
5.428360e+02 4.14138007e+01
5.428850e+02 2.92046567e+01
5.429340e+02 2.11744445e+01
5.429830e+02 1.58851045e+01
5.430320e+02 1.23148539e+01
5.431300e+02 8.02355217e+00
5.432280e+02 5.68675836e+00
5.433260e+02 4.28961796e+00
5.434240e+02 3.39210325e+00
5.436210e+02 2.34946772e+00
5.438170e+02 1.78876181e+00
5.440130e+02 1.45140761e+00
5.444050e+02 1.07772029e+00
5.451900e+02 7.59995301e-01
5.459750e+02 6.17438446e-01
5.461180e+02 6.04286790e-01
5.475450e+02 4.73055083e-01
5.491150e+02 3.90923571e-01
5.522540e+02 2.90256759e-01
5.553940e+02 2.27604765e-01
5.616720e+02 1.53255700e-01
5.679510e+02 1.11961931e-01
5.742300e+02 8.72116904e-02
5.805090e+02 7.30993079e-02
5.836490e+02 7.05637695e-02
5.867880e+02 7.57180966e-02
5.883580e+02 8.75728542e-02
5.891430e+02 1.00425305e-01
5.899280e+02 1.24451838e-01
5.907120e+02 1.75715335e-01
5.911050e+02 2.25801881e-01
5.914970e+02 3.14468352e-01
5.918900e+02 4.93734145e-01
5.920860e+02 6.61017636e-01
5.922350e+02 8.76063331e-01
5.922820e+02 9.43896717e-01
5.924780e+02 1.47768692e+00
5.925760e+02 1.94111175e+00
5.926750e+02 2.66665803e+00
5.927730e+02 3.88757197e+00
5.928710e+02 6.14618947e+00
5.929200e+02 8.04241994e+00
5.929690e+02 1.08569776e+01
5.930180e+02 1.51681967e+01
5.930670e+02 2.17590496e+01
5.931340e+02 3.47959103e+01
5.932000e+02 4.34706718e+01
5.932670e+02 3.47783724e+01
5.933330e+02 2.17633065e+01
5.933930e+02 1.40474673e+01
5.934530e+02 9.47607490e+00
5.935130e+02 6.71162446e+00
5.935730e+02 4.96713099e+00
5.936920e+02 3.00928833e+00
5.938120e+02 2.01226652e+00
5.939320e+02 1.44119928e+00
5.940510e+02 1.08601415e+00
5.942900e+02 6.86496695e-01
5.945300e+02 4.79429919e-01
5.947690e+02 3.58630835e-01
5.952480e+02 2.30574837e-01
5.957260e+02 1.67611853e-01
5.962050e+02 1.32019338e-01
5.971620e+02 9.51684662e-02
5.981190e+02 7.72896444e-02
5.990770e+02 6.71586289e-02
6.009910e+02 5.64730597e-02
6.048200e+02 4.79512084e-02
6.086490e+02 4.47621427e-02
6.163070e+02 4.44102786e-02
6.239650e+02 5.09398961e-02
6.316230e+02 7.04157291e-02
6.354510e+02 9.14832931e-02
6.383520e+02 1.21368094e-01
6.392800e+02 1.30929506e-01
6.411950e+02 1.64505214e-01
6.431090e+02 2.15961041e-01
6.450240e+02 3.00381236e-01
6.469380e+02 4.52931356e-01
6.478960e+02 5.80129566e-01
6.488530e+02 7.72223764e-01
6.498100e+02 1.08210518e+00
6.507670e+02 1.62990221e+00
6.512460e+02 2.07713863e+00
6.517240e+02 2.73885708e+00
6.522030e+02 3.77726684e+00
6.526820e+02 5.54120882e+00
6.531600e+02 8.89496931e+00
6.534000e+02 1.18309165e+01
6.536390e+02 1.64680550e+01
6.538780e+02 2.43720407e+01
6.539980e+02 3.05583085e+01
6.541170e+02 3.92853933e+01
6.542370e+02 5.20546477e+01
6.543570e+02 7.14128787e+01
6.544760e+02 1.01788943e+02
6.545960e+02 1.49662190e+02
6.547480e+02 2.39322589e+02
6.549000e+02 2.99004292e+02
6.550520e+02 2.39215777e+02
6.552040e+02 1.49552490e+02
6.553270e+02 1.00627004e+02
6.554500e+02 7.00338519e+01
6.555730e+02 5.07302530e+01
6.556960e+02 3.81134212e+01
6.559420e+02 2.34902631e+01
6.561870e+02 1.58071165e+01
6.564330e+02 1.13217504e+01
6.566790e+02 8.49376843e+00
6.571710e+02 5.27473995e+00
6.576620e+02 3.58720940e+00
6.581540e+02 2.59630699e+00
6.586460e+02 1.96580712e+00
6.591370e+02 1.54037831e+00
6.601210e+02 1.01977060e+00
6.611040e+02 7.25697307e-01
6.620870e+02 5.43556077e-01
6.630710e+02 4.22998228e-01
6.650370e+02 2.78355059e-01
6.670040e+02 1.98182792e-01
6.689710e+02 1.49136003e-01
6.709370e+02 1.16943076e-01
6.748710e+02 7.85918238e-02
6.788040e+02 5.74276427e-02
6.827370e+02 4.44777789e-02
6.844700e+02 4.07195692e-02
6.866700e+02 3.59505667e-02
6.945370e+02 2.57070098e-02
7.024040e+02 1.99623863e-02
7.181370e+02 1.39973213e-02
7.305870e+02 1.17274736e-02
7.338700e+02 1.11308918e-02
7.496030e+02 9.72657318e-03
7.653360e+02 9.74357057e-03
7.732030e+02 1.18044393e-02
7.751700e+02 1.36358748e-02
7.767050e+02 1.72703857e-02
7.771360e+02 1.82911369e-02
7.781190e+02 2.42850468e-02
7.791030e+02 4.01300171e-02
7.795940e+02 6.06516163e-02
7.798400e+02 8.00172387e-02
7.800860e+02 1.13277462e-01
7.803320e+02 1.77746881e-01
7.804550e+02 2.35352232e-01
7.805780e+02 3.28392332e-01
7.807010e+02 4.92287494e-01
7.808240e+02 8.18048418e-01
7.808850e+02 1.11289894e+00
7.809460e+02 1.58525880e+00
7.810080e+02 2.38428894e+00
7.810690e+02 3.76088838e+00
7.811350e+02 6.01280888e+00
7.812000e+02 7.51144779e+00
7.812650e+02 6.00969111e+00
7.813310e+02 3.76163890e+00
7.814000e+02 2.26260304e+00
7.814690e+02 1.44874194e+00
7.815370e+02 9.90743888e-01
7.816060e+02 7.15877936e-01
7.816750e+02 5.39978705e-01
7.817440e+02 4.21671855e-01
7.818820e+02 2.78389122e-01
7.820200e+02 1.98600833e-01
7.821570e+02 1.49920701e-01
7.824330e+02 9.61994707e-02
7.827080e+02 6.89089151e-02
7.829840e+02 5.32497818e-02
7.835350e+02 3.70455732e-02
7.846370e+02 2.54384986e-02
7.857380e+02 2.20844967e-02
7.879420e+02 2.24769380e-02
7.901460e+02 2.82534778e-02
7.923500e+02 4.26917888e-02
7.934520e+02 5.74370845e-02
7.945540e+02 8.43708828e-02
7.951050e+02 1.06983092e-01
7.956560e+02 1.41314266e-01
7.962070e+02 1.97080652e-01
7.967580e+02 2.96551746e-01
7.970330e+02 3.78488465e-01
7.973090e+02 5.00792029e-01
7.975840e+02 6.94973306e-01
7.978590e+02 1.03021085e+00
7.981350e+02 1.68444628e+00
7.982730e+02 2.27339676e+00
7.984100e+02 3.23039259e+00
7.985480e+02 4.93410976e+00
7.986170e+02 6.32585767e+00
7.986860e+02 8.37091730e+00
7.987550e+02 1.15329015e+01
7.988240e+02 1.66877881e+01
