37-Rb_n-tot
>  37-Rb-85:0.721700
>  37-Rb-87:0.278300
3.907900e+02 7.99026053e+00
3.927060e+02 7.45929361e+00
3.965380e+02 6.76435396e+00
4.003700e+02 6.33032057e+00
4.029890e+02 6.12652897e+00
4.042020e+02 6.03047007e+00
4.080340e+02 5.80595483e+00
4.149790e+02 5.51885601e+00
4.156970e+02 5.48901207e+00
4.179760e+02 5.42280338e+00
4.209730e+02 5.33924307e+00
4.224720e+02 5.30335587e+00
4.232210e+02 5.29020047e+00
4.233610e+02 5.28921332e+00
4.239710e+02 5.28898057e+00
4.247200e+02 5.30806484e+00
4.250950e+02 5.33502881e+00
4.254690e+02 5.38945347e+00
4.258440e+02 5.50819603e+00
4.260310e+02 5.62252837e+00
4.262190e+02 5.81828291e+00
4.264060e+02 6.19006729e+00
4.265000e+02 6.51289124e+00
4.265930e+02 7.01630617e+00
4.266870e+02 7.85933869e+00
4.267810e+02 9.40086855e+00
4.268280e+02 1.06818573e+01
4.268740e+02 1.25621602e+01
4.269210e+02 1.53952371e+01
4.269680e+02 1.96644247e+01
4.270340e+02 2.83630606e+01
4.271000e+02 3.41623389e+01
4.271660e+02 2.83633208e+01
4.272320e+02 1.96623471e+01
4.272980e+02 1.41017787e+01
4.273630e+02 1.09786222e+01
4.274290e+02 9.17399712e+00
4.274950e+02 8.06889421e+00
4.275610e+02 7.35288143e+00
4.276260e+02 6.86597953e+00
4.277580e+02 6.26865775e+00
4.278890e+02 5.93149438e+00
4.280200e+02 5.72290187e+00
4.282830e+02 5.48813375e+00
4.285460e+02 5.36455794e+00
4.288090e+02 5.29020207e+00
4.293340e+02 5.20567112e+00
4.298600e+02 5.15757880e+00
4.303860e+02 5.12469269e+00
4.310250e+02 5.09617800e+00
4.314370e+02 5.07942262e+00
4.335390e+02 5.01841050e+00
4.356410e+02 4.96582062e+00
4.386890e+02 4.89104084e+00
4.440500e+02 4.77767182e+00
4.524590e+02 4.58056296e+00
4.540170e+02 4.54223029e+00
4.545620e+02 4.53019083e+00
4.566640e+02 4.48901418e+00
4.577150e+02 4.47852605e+00
4.582410e+02 4.48164059e+00
4.587660e+02 4.49852252e+00
4.592920e+02 4.54880015e+00
4.595550e+02 4.60344929e+00
4.598170e+02 4.70345462e+00
4.600800e+02 4.90618937e+00
4.602120e+02 5.09189232e+00
4.603430e+02 5.39660096e+00
4.604740e+02 5.94235019e+00
4.605400e+02 6.38984143e+00
4.606060e+02 7.05010427e+00
4.606720e+02 8.07222028e+00
4.607370e+02 9.74602874e+00
4.608030e+02 1.26512910e+01
4.608690e+02 1.78296196e+01
4.609340e+02 2.59327141e+01
4.610000e+02 3.13255319e+01
4.610660e+02 2.59155111e+01
4.611320e+02 1.78214158e+01
4.611810e+02 1.36366307e+01
4.612310e+02 1.09396256e+01
4.612810e+02 9.18761441e+00
4.613300e+02 8.02027865e+00
4.614290e+02 6.63571338e+00
4.615290e+02 5.89127699e+00
4.616280e+02 5.44967051e+00
4.617270e+02 5.16732156e+00
4.619260e+02 4.84025325e+00
4.621250e+02 4.66420066e+00
4.623230e+02 4.55745028e+00
4.627200e+02 4.43671949e+00
4.631170e+02 4.36976256e+00
4.635150e+02 4.32552739e+00
4.643090e+02 4.26536406e+00
4.658980e+02 4.18095182e+00
4.674860e+02 4.10975128e+00
4.690750e+02 4.05578757e+00
4.693450e+02 4.05463575e+00
4.698690e+02 4.05311980e+00
4.706640e+02 4.10198084e+00
4.710610e+02 4.17080834e+00
4.714580e+02 4.30230826e+00
4.718550e+02 4.55610747e+00
4.722520e+02 5.07281477e+00
4.726500e+02 6.24300378e+00
4.728480e+02 7.40824725e+00
4.730470e+02 9.45208510e+00
4.732450e+02 1.34160379e+01
4.733450e+02 1.68924352e+01
4.734440e+02 2.23305608e+01
4.735430e+02 3.13813721e+01
4.735930e+02 3.82641371e+01
4.736430e+02 4.76680888e+01
4.736920e+02 6.08810321e+01
4.737420e+02 7.98054337e+01
4.737910e+02 1.07426179e+02
4.738410e+02 1.47628318e+02
4.739210e+02 2.41392047e+02
4.740000e+02 3.10269399e+02
4.740800e+02 2.56481563e+02
4.741590e+02 1.66478103e+02
4.742100e+02 1.24973695e+02
4.742600e+02 9.57562318e+01
4.743610e+02 6.08099675e+01
4.744620e+02 4.23612600e+01
4.745630e+02 3.17079951e+01
4.746640e+02 2.50418340e+01
4.747650e+02 2.06114273e+01
4.749670e+02 1.52593750e+01
4.751690e+02 1.22602090e+01
4.753700e+02 1.04000331e+01
4.757740e+02 8.28501733e+00
4.761780e+02 7.15336828e+00
4.765820e+02 6.46549978e+00
4.769860e+02 6.00922481e+00
4.773890e+02 5.68676344e+00
4.781970e+02 5.26288379e+00
4.790040e+02 4.99630907e+00
4.806190e+02 4.67364024e+00
4.822340e+02 4.47641730e+00
4.838490e+02 4.33509725e+00
4.846720e+02 4.28219693e+00
4.870800e+02 4.12941587e+00
4.935400e+02 3.83076093e+00
5.000000e+02 3.61160125e+00
5.032350e+02 3.56066230e+00
5.064700e+02 3.60467743e+00
5.097050e+02 3.86259000e+00
5.129400e+02 4.64401653e+00
5.145580e+02 5.47074038e+00
5.161750e+02 6.89499026e+00
5.177930e+02 9.45655821e+00
5.194100e+02 1.43981935e+01
5.202190e+02 1.86308604e+01
5.210280e+02 2.50486183e+01
5.218360e+02 3.52665616e+01
5.226450e+02 5.26129505e+01
5.230590e+02 6.90752939e+01
5.234540e+02 8.47823069e+01
5.238580e+02 1.11814515e+02
5.242630e+02 1.52373546e+02
5.246670e+02 2.16240601e+02
5.250710e+02 3.22566710e+02
5.254760e+02 5.10178610e+02
5.258800e+02 8.51281668e+02
5.262900e+02 1.40880884e+03
5.267000e+02 1.82143308e+03
5.271100e+02 1.50735594e+03
5.275200e+02 9.75173843e+02
5.279900e+02 5.84111447e+02
5.284600e+02 3.76899238e+02
5.289310e+02 2.62066793e+02
5.294010e+02 1.93480164e+02
5.298710e+02 1.49614646e+02
5.303410e+02 1.19960845e+02
5.312810e+02 8.35845389e+01
5.322210e+02 6.28927222e+01
5.331620e+02 4.99394046e+01
5.350420e+02 3.51038665e+01
5.369230e+02 2.71440352e+01
5.388030e+02 2.23490039e+01
5.397440e+02 2.06696507e+01
5.406840e+02 1.94215867e+01
5.411540e+02 1.90524231e+01
5.413890e+02 1.90052890e+01
5.416240e+02 1.91484672e+01
5.418590e+02 1.96991173e+01
5.419770e+02 2.02967529e+01
5.420940e+02 2.13349876e+01
5.422120e+02 2.32382507e+01
5.423290e+02 2.70547417e+01
5.423880e+02 3.04732160e+01
5.424470e+02 3.58454044e+01
5.425060e+02 4.46629886e+01
5.425640e+02 5.92597311e+01
5.426320e+02 8.46989932e+01
5.427000e+02 1.01645867e+02
5.427680e+02 8.45667510e+01
5.428360e+02 5.89941641e+01
5.428850e+02 4.62186412e+01
5.429340e+02 3.78014646e+01
5.429830e+02 3.22429417e+01
5.430320e+02 2.84776990e+01
5.431300e+02 2.39191741e+01
5.432280e+02 2.14000291e+01
5.433260e+02 1.98620352e+01
5.434240e+02 1.88462635e+01
5.436210e+02 1.76027430e+01
5.438170e+02 1.68660737e+01
5.440130e+02 1.63667715e+01
5.444050e+02 1.56943033e+01
5.451900e+02 1.48418538e+01
5.459750e+02 1.42244619e+01
5.461180e+02 1.41371312e+01
5.475450e+02 1.32662216e+01
5.491150e+02 1.25098974e+01
5.522540e+02 1.13576669e+01
5.553940e+02 1.05138902e+01
5.616720e+02 9.35866426e+00
5.679510e+02 8.60413977e+00
5.742300e+02 8.07086684e+00
5.805090e+02 7.67253739e+00
5.836490e+02 7.50988664e+00
5.867880e+02 7.37116111e+00
5.883580e+02 7.31636542e+00
5.891430e+02 7.29717692e+00
5.899280e+02 7.29011298e+00
5.907120e+02 7.31155705e+00
5.911050e+02 7.34752689e+00
5.914970e+02 7.42311171e+00
5.918900e+02 7.59152794e+00
5.920860e+02 7.75524257e+00
5.922350e+02 7.96965948e+00
5.922820e+02 8.03730787e+00
5.924780e+02 8.57626183e+00
5.925760e+02 9.04689825e+00
5.926750e+02 9.78593432e+00
5.927730e+02 1.10321096e+01
5.928710e+02 1.33407715e+01
5.929200e+02 1.52803843e+01
5.929690e+02 1.81603722e+01
5.930180e+02 2.25730343e+01
5.930670e+02 2.93204681e+01
5.931340e+02 4.26697867e+01
5.932000e+02 5.15555357e+01
5.932670e+02 4.26562867e+01
5.933330e+02 2.93268106e+01
5.933930e+02 2.14227177e+01
5.934530e+02 1.67384894e+01
5.935130e+02 1.39047720e+01
5.935730e+02 1.21155711e+01
5.936920e+02 1.01055682e+01
5.938120e+02 9.07981916e+00
5.939320e+02 8.49032338e+00
5.940510e+02 8.12207252e+00
5.942900e+02 7.70408530e+00
