46-Pd_n-g
> 46-Pd-102:0.011554
> 46-Pd-104:0.126189
> 46-Pd-105:0.252945
> 46-Pd-106:0.309583
> 46-Pd-108:0.299728
8.175670e+01 8.18131315e-01
8.222900e+01 8.63369375e-01
8.239180e+01 8.90796551e-01
8.302690e+01 1.01950217e+00
8.333440e+01 1.09199025e+00
8.334450e+01 1.09515986e+00
8.350330e+01 1.14816608e+00
8.366210e+01 1.20353415e+00
8.382080e+01 1.26147766e+00
8.388710e+01 1.28685167e+00
8.397960e+01 1.33262931e+00
8.413840e+01 1.41431458e+00
8.429720e+01 1.49939877e+00
8.443980e+01 1.57916747e+00
8.445600e+01 1.59088403e+00
8.461480e+01 1.70986252e+00
8.471620e+01 1.78877658e+00
8.477350e+01 1.84530829e+00
8.493230e+01 2.00701146e+00
8.499250e+01 2.07164182e+00
8.524990e+01 2.44546425e+00
8.526890e+01 2.47475225e+00
8.554520e+01 3.11393856e+00
8.556740e+01 3.19047069e+00
8.568340e+01 3.60341647e+00
8.582160e+01 4.29182875e+00
8.588500e+01 4.76840148e+00
8.595970e+01 5.34072181e+00
8.609790e+01 7.08562518e+00
8.620260e+01 9.58285004e+00
8.623610e+01 1.03881968e+01
8.630520e+01 1.33217397e+01
8.637430e+01 1.80476015e+01
8.644330e+01 2.64018605e+01
8.647790e+01 3.32054716e+01
8.651240e+01 4.32013772e+01
8.652020e+01 4.66790246e+01
8.654700e+01 5.86346175e+01
8.658150e+01 8.38184569e+01
8.661610e+01 1.27386731e+02
8.663330e+01 1.60707445e+02
8.665060e+01 2.04936798e+02
8.668530e+01 3.26274963e+02
8.672000e+01 4.07117112e+02
8.675470e+01 3.26213468e+02
8.678940e+01 2.04933704e+02
8.681520e+01 1.43091887e+02
8.683770e+01 1.08052867e+02
8.684100e+01 1.02914941e+02
8.686680e+01 7.67398877e+01
8.689260e+01 5.92026595e+01
8.694420e+01 3.83776165e+01
8.699580e+01 2.71919094e+01
8.704740e+01 2.05892148e+01
8.709900e+01 1.64079642e+01
8.715530e+01 1.38217072e+01
8.720220e+01 1.16897391e+01
8.730550e+01 9.30736437e+00
8.740870e+01 7.98684730e+00
8.747280e+01 7.51091827e+00
8.750000e+01 7.32771303e+00
8.751190e+01 7.24756167e+00
8.761510e+01 6.86937493e+00
8.779040e+01 6.66274613e+00
8.782150e+01 6.65817639e+00
8.802790e+01 6.98121552e+00
8.810800e+01 7.17462290e+00
8.823430e+01 7.68379793e+00
8.842550e+01 8.54425368e+00
8.844070e+01 8.65331078e+00
8.874310e+01 1.09343234e+01
8.885360e+01 1.22954848e+01
8.906070e+01 1.48976232e+01
8.926640e+01 1.94196616e+01
8.937820e+01 2.18907815e+01
8.953700e+01 2.75199214e+01
8.967920e+01 3.48432017e+01
8.969580e+01 3.56991754e+01
8.985460e+01 4.82179094e+01
9.001340e+01 6.86998205e+01
9.009210e+01 8.69196352e+01
9.017220e+01 1.05467582e+02
9.025160e+01 1.35769279e+02
9.033090e+01 1.80763957e+02
9.041030e+01 2.51087453e+02
9.048970e+01 3.67884396e+02
9.056910e+01 5.74816784e+02
9.064850e+01 9.54464513e+02
9.072430e+01 1.52622326e+03
9.080000e+01 1.90607208e+03
9.087580e+01 1.52355639e+03
9.091770e+01 1.20707300e+03
9.095150e+01 9.51772496e+02
9.102220e+01 6.03926088e+02
9.109290e+01 4.01612678e+02
9.116360e+01 2.81429874e+02
9.123430e+01 2.06361848e+02
9.137570e+01 1.23163183e+02
9.151700e+01 8.12337902e+01
9.165840e+01 5.74079724e+01
9.174340e+01 4.85376488e+01
9.179980e+01 4.26530771e+01
9.208260e+01 2.61487163e+01
9.236530e+01 1.76373577e+01
9.264810e+01 1.26901542e+01
9.293090e+01 9.56487819e+00
9.321360e+01 7.46611319e+00
9.339470e+01 6.64753779e+00
9.377920e+01 4.91389674e+00
9.434470e+01 3.48028670e+00
9.491020e+01 2.59471757e+00
9.504600e+01 2.45411507e+00
9.547580e+01 2.01119010e+00
