27-Co_n-tot
>  27-Co-59:1.000000
1.186630e+04 8.91521000e+00
1.186710e+04 9.97693000e+00
1.186780e+04 1.16107000e+01
1.186860e+04 1.43380000e+01
1.186940e+04 1.91513000e+01
1.187010e+04 2.86147000e+01
1.187050e+04 3.68980000e+01
1.187090e+04 4.86440000e+01
1.187140e+04 7.48141000e+01
1.187200e+04 9.19158000e+01
1.187260e+04 7.45035000e+01
1.187320e+04 4.88594000e+01
1.187350e+04 3.68436000e+01
1.187390e+04 2.88053000e+01
1.187470e+04 1.93053000e+01
1.187540e+04 1.44617000e+01
1.187620e+04 1.17379000e+01
1.187690e+04 1.00753000e+01
1.187770e+04 8.99259000e+00
1.187920e+04 7.72058000e+00
1.188070e+04 7.03240000e+00
1.188220e+04 6.61888000e+00
1.188510e+04 6.16809000e+00
1.188810e+04 5.93765000e+00
1.189110e+04 5.80356000e+00
1.189410e+04 5.71709000e+00
1.189710e+04 5.65756000e+00
1.190310e+04 5.58055000e+00
1.190910e+04 5.53210000e+00
1.192110e+04 5.47073000e+00
1.193310e+04 5.42890000e+00
1.194500e+04 5.39500000e+00
1.196900e+04 5.33669000e+00
1.201690e+04 5.22605000e+00
1.202890e+04 5.19366000e+00
1.204090e+04 5.15207000e+00
1.204690e+04 5.12211000e+00
1.205290e+04 5.07454000e+00
1.205590e+04 5.03406000e+00
1.205890e+04 4.96370000e+00
1.206040e+04 4.90214000e+00
1.206190e+04 4.79948000e+00
1.206260e+04 4.72018000e+00
1.206340e+04 4.62156000e+00
1.206370e+04 4.59062000e+00
1.206410e+04 4.68498000e+00
1.206430e+04 4.93216000e+00
1.206450e+04 5.62085000e+00
1.206460e+04 6.52174000e+00
1.206470e+04 8.11486000e+00
1.206480e+04 1.48785500e+01
1.206490e+04 2.99665000e+01
1.206500e+04 4.09598000e+01
1.206510e+04 3.77540000e+01
1.206520e+04 2.42645500e+01
1.206530e+04 1.65683000e+01
1.206550e+04 1.21520000e+01
1.206560e+04 9.98088000e+00
1.206570e+04 8.75636000e+00
1.206600e+04 7.44719000e+00
1.206630e+04 6.82329000e+00
1.206690e+04 6.21030000e+00
1.206740e+04 5.92006000e+00
1.206860e+04 5.64451000e+00
1.206970e+04 5.51285000e+00
1.207200e+04 5.38464000e+00
1.207430e+04 5.32074000e+00
1.207880e+04 5.25438000e+00
1.208340e+04 5.21786000e+00
1.209250e+04 5.17366000e+00
1.210160e+04 5.14380000e+00
1.213810e+04 5.06008000e+00
1.221100e+04 4.92698000e+00
1.235680e+04 4.68425000e+00
1.264850e+04 4.20359000e+00
1.279430e+04 3.93399000e+00
1.294020e+04 3.60104000e+00
1.301310e+04 3.38346000e+00
1.304950e+04 3.25184000e+00
1.308600e+04 3.09832000e+00
1.312250e+04 2.91653000e+00
1.315890e+04 2.70448000e+00
1.317710e+04 2.59424000e+00
1.319540e+04 2.50073000e+00
1.321360e+04 2.47869000e+00
1.322270e+04 2.54474000e+00
1.322730e+04 2.63622000e+00
1.322960e+04 2.78059000e+00
1.323070e+04 3.14518000e+00
1.323100e+04 3.45444000e+00
1.323130e+04 4.12886000e+00
1.323150e+04 6.14975000e+00
1.323170e+04 8.99051000e+00
1.323180e+04 1.38750500e+01
1.323190e+04 2.40688000e+01
1.323200e+04 2.96067000e+01
1.323210e+04 2.41654000e+01
1.323220e+04 1.62015000e+01
1.323230e+04 1.09038000e+01
1.323240e+04 7.81050000e+00
1.323260e+04 5.22283000e+00
1.323280e+04 4.15409000e+00
1.323300e+04 3.66972000e+00
1.323330e+04 3.23101000e+00
1.323370e+04 3.05589000e+00
1.323530e+04 2.90191000e+00
1.323840e+04 2.97394000e+00
1.324460e+04 3.35850000e+00
1.325080e+04 4.04495000e+00
1.325700e+04 5.25506000e+00
1.326330e+04 7.48306000e+00
1.326950e+04 1.18391000e+01
1.327260e+04 1.55691000e+01
1.327570e+04 2.11224000e+01
1.327880e+04 2.95466000e+01
1.328190e+04 4.23312000e+01
1.329200e+04 1.10410000e+02
1.329450e+04 1.12586000e+02
1.329710e+04 1.03013000e+02
1.330210e+04 7.29592000e+01
1.330760e+04 4.85737000e+01
1.331320e+04 3.44670000e+01
1.331870e+04 2.61694000e+01
1.332420e+04 2.09840000e+01
1.332970e+04 1.75288000e+01
1.333530e+04 1.51148000e+01
1.334630e+04 1.20187000e+01
1.335740e+04 1.01595000e+01
1.336840e+04 8.93806000e+00
1.339050e+04 7.45110000e+00
1.341260e+04 6.58779000e+00
1.343470e+04 6.02592000e+00
1.347890e+04 5.33476000e+00
1.352310e+04 4.91886000e+00
1.356730e+04 4.63428000e+00
1.361150e+04 4.42288000e+00
1.363360e+04 4.34003000e+00
1.364470e+04 4.32416000e+00
1.364750e+04 4.34044000e+00
1.365020e+04 4.40383000e+00
1.365160e+04 4.49761000e+00
1.365300e+04 4.75608000e+00
1.365370e+04 5.08979000e+00
1.365440e+04 5.91753000e+00
1.365470e+04 6.89912000e+00
1.365500e+04 8.95896000e+00
1.365520e+04 1.11367000e+01
1.365540e+04 1.48167000e+01
1.365560e+04 2.19447000e+01
1.365570e+04 3.26417000e+01
1.365590e+04 5.72457000e+01
1.365600e+04 6.97616000e+01
1.365610e+04 5.73986000e+01
1.365630e+04 3.70435000e+01
1.365640e+04 2.61576000e+01
1.365650e+04 1.89939000e+01
1.365660e+04 1.46660000e+01
1.365670e+04 1.19322000e+01
1.365700e+04 8.87148000e+00
1.365720e+04 7.31424000e+00
1.365770e+04 5.86975000e+00
1.365820e+04 5.24633000e+00
1.365910e+04 4.73268000e+00
1.366010e+04 4.53131000e+00
1.366200e+04 4.37023000e+00
1.366390e+04 4.30649000e+00
1.367160e+04 4.22232000e+00
1.368690e+04 4.15787000e+00
1.371750e+04 4.06402000e+00
1.377880e+04 3.90647000e+00
1.390130e+04 3.64920000e+00
1.414630e+04 3.23409000e+00
