K-39(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
45897.9 0.0151845
45925.4 0.0229573
45939.2 0.0294011
45952.9 0.0390136
45966.7 0.0541570
45980.5 0.0795426
45994.2 0.125205
46008.0 0.210546
46020.8 0.336737
46033.5 0.421155
46046.2 0.337553
46058.9 0.211632
46066.6 0.157197
46074.3 0.118741
46089.7 0.0725120
46105.1 0.0480959
46120.5 0.0340658
46135.9 0.0253682
46151.3 0.0196501
46182.1 0.0128679
46212.9 0.00917145
46243.6 0.00694362
46305.2 0.00451149
46366.8 0.00328347
46428.4 0.00257775
46551.5 0.00183740
46674.7 0.00147486
46797.9 0.00126894
47044.2 0.00105248
47290.5 0.000944212
47536.8 0.000880740
48029.5 0.000810960
49014.7 0.000753948
50000.0 0.000738219
51087.2 0.000763915
51630.8 0.000873835
51766.8 0.000980948
51902.7 0.00127595
51970.6 0.00167553
52004.6 0.00206725
52038.6 0.00276832
52072.5 0.00421834
52089.5 0.00560881
52106.5 0.00803251
52123.5 0.0128385
52132.0 0.0172408
52140.5 0.0245248
52149.0 0.0378654
52153.2 0.0490822
52157.5 0.0660260
52161.7 0.0932914
52166.0 0.140210
52170.2 0.228233
52174.5 0.401509
52178.1 0.641868
52181.7 0.799351
52185.3 0.637391
52188.9 0.398584
52193.1 0.226191
52197.4 0.139027
52201.7 0.0924775
52205.9 0.0654939
52210.2 0.0486828
52214.4 0.0375787
52223.0 0.0243619
52231.5 0.0171330
52240.0 0.0127677
52257.0 0.00799690
52274.1 0.00558938
52291.1 0.00420922
52325.2 0.00277073
52359.3 0.00207574
52393.3 0.00168851
52461.5 0.00129583
52597.8 0.00101237
52734.1 0.000916613
53006.7 0.000861674
53279.3 0.000863548
53824.6 0.000966162
53960.9 0.00103490
54097.2 0.00116159
54233.5 0.00149502
54301.6 0.00219197
54335.7 0.00426794
54352.8 0.0115486
54361.3 0.0365920
54365.5 0.112546
54367.7 0.294031
54368.7 0.594804
54369.3 0.926392
54369.8 1.54727
54370.3 2.47312
54370.8 3.13127
54371.3 2.52135
54371.8 1.58490
54372.3 0.973192
54372.8 0.635403
54373.8 0.317990
54375.9 0.123201
54379.9 0.0403348
54388.0 0.0128602
54404.1 0.00505819
54436.4 0.00333751
54468.7 0.00359384
54501.1 0.00460537
54533.4 0.00683135
54549.5 0.00892186
54565.7 0.0124333
54581.8 0.0189873
54589.9 0.0246107
54598.0 0.0332994
54606.1 0.0477015
54614.1 0.0736837
54618.2 0.0949869
54622.2 0.125986
54626.3 0.172112
54630.3 0.240507
54636.2 0.384608
54642.1 0.482692
54647.9 0.388291
54653.8 0.243737
54657.6 0.178615
54661.3 0.133558
54668.8 0.0805454
54676.2 0.0533042
54683.7 0.0379928
54691.2 0.0286983
54698.6 0.0227610
54713.6 0.0162135
54728.5 0.0135845
54743.4 0.0138569
54750.9 0.0154238
54758.4 0.0186350
54765.8 0.0247521
54773.3 0.0360229
54781.0 0.0544113
54788.6 0.0669310
54796.3 0.0543732
54803.9 0.0352135
54809.1 0.0260870
54814.3 0.0198788
54824.6 0.0126970
54835.0 0.00902296
54845.3 0.00692583
54866.0 0.00473270
54886.7 0.00364990
54928.1 0.00262417
54969.5 0.00216497
55010.9 0.00194994
55052.3 0.00194386
55093.7 0.00269347
55114.4 0.00593829
55124.7 0.0179155
55129.9 0.0577992
55132.5 0.169953
55133.8 0.404437
55134.4 0.739924
55135.1 1.55104
55135.5 2.49864
55135.9 3.13637
55136.3 2.52116
55136.7 1.58799
55137.3 0.787609
55137.9 0.447048
55139.0 0.193635
55141.4 0.0670906
55146.2 0.0207997
55155.6 0.00670272
55174.6 0.00278827
55212.5 0.00173154
55288.2 0.00143226
55439.8 0.00137412
55591.3 0.00151945
55667.1 0.00187747
55705.0 0.00269511
55714.5 0.00332969
55724.0 0.00483281
55728.7 0.00662683
55733.4 0.0108698
55735.8 0.0156826
55738.2 0.0258942
55739.4 0.0359146
55740.5 0.0532736
55741.7 0.0863330
55742.3 0.113965
55742.9 0.153241
55743.9 0.243965
55744.8 0.302533
55745.8 0.240984
55746.8 0.151801
55747.8 0.0922560
55748.8 0.0600334
55749.8 0.0419442
55750.8 0.0311048
55752.9 0.0195878
55754.9 0.0140521
55759.0 0.00928948
55763.1 0.00756368
55771.2 0.00702769
55779.4 0.00844041
55787.6 0.0122765
55791.6 0.0160331
