64-Gd_n-g
> 64-Gd-152:0.002000
> 64-Gd-154:0.021800
> 64-Gd-155:0.148000
> 64-Gd-156:0.204700
> 64-Gd-157:0.156500
> 64-Gd-158:0.248400
> 64-Gd-160:0.218600
1.187900e+01 3.62745927e+01
1.188520e+01 3.92049803e+01
1.189140e+01 4.21369997e+01
1.191270e+01 5.78399731e+01
1.193400e+01 8.22657704e+01
1.194450e+01 9.86728716e+01
1.194800e+01 1.04144442e+02
1.195770e+01 1.21393924e+02
1.196200e+01 1.29042852e+02
1.199000e+01 1.59849587e+02
1.201000e+01 1.37458732e+02
1.201800e+01 1.28506202e+02
1.203020e+01 1.07978127e+02
1.204600e+01 8.14116646e+01
1.208000e+01 4.65367689e+01
1.210270e+01 3.48849497e+01
1.211390e+01 2.91588192e+01
1.213890e+01 2.24545460e+01
1.214090e+01 2.19220187e+01
1.214790e+01 2.00600892e+01
1.215710e+01 1.86684704e+01
1.216610e+01 1.73205256e+01
1.217520e+01 1.59676810e+01
1.218180e+01 1.49961360e+01
1.218430e+01 1.47776924e+01
1.219330e+01 1.40083810e+01
1.220240e+01 1.32494144e+01
1.221150e+01 1.25152958e+01
1.221580e+01 1.21844474e+01
1.222050e+01 1.19779192e+01
1.222960e+01 1.16163924e+01
1.223860e+01 1.13142648e+01
1.224770e+01 1.10757560e+01
1.224970e+01 1.10442244e+01
1.225680e+01 1.11181500e+01
1.226580e+01 1.13463631e+01
1.227190e+01 1.16191133e+01
1.227490e+01 1.17535971e+01
1.228400e+01 1.24234511e+01
1.229300e+01 1.34823371e+01
1.230210e+01 1.51049512e+01
1.231110e+01 1.75712372e+01
1.231760e+01 2.01690473e+01
1.232020e+01 2.12533085e+01
1.233510e+01 3.01455614e+01
1.235000e+01 3.59354943e+01
1.235750e+01 3.39550028e+01
1.236490e+01 2.94580271e+01
1.237980e+01 1.99336600e+01
1.238550e+01 1.74826334e+01
1.239290e+01 1.43622591e+01
1.240290e+01 1.17805294e+01
1.240600e+01 1.09804161e+01
1.241910e+01 8.85385195e+00
1.243220e+01 7.43906782e+00
1.245340e+01 6.02884038e+00
1.245840e+01 5.72531480e+00
1.248450e+01 4.82183875e+00
1.250000e+01 4.46883040e+00
1.251070e+01 4.22520349e+00
1.253690e+01 3.78471312e+00
1.258930e+01 3.12989836e+00
1.264020e+01 2.80591671e+00
1.266490e+01 2.67813684e+00
1.269110e+01 2.54363565e+00
1.270600e+01 2.47905149e+00
1.279300e+01 2.23272516e+00
1.282270e+01 2.16241536e+00
1.289490e+01 2.07529854e+00
1.292690e+01 2.04299811e+00
1.299670e+01 1.97366962e+00
1.305620e+01 1.92041241e+00
1.309860e+01 1.92155218e+00
1.318880e+01 1.92884002e+00
1.320040e+01 1.92989333e+00
1.328970e+01 1.94179557e+00
1.340420e+01 2.05547855e+00
1.352310e+01 2.19927093e+00
1.360790e+01 2.42980812e+00
1.371280e+01 2.71642835e+00
1.375000e+01 2.81832770e+00
1.375660e+01 2.83645628e+00
1.381160e+01 3.12308646e+00
1.387330e+01 3.44522754e+00
1.399010e+01 4.48919699e+00
1.410680e+01 6.51864667e+00
1.416520e+01 8.34972840e+00
1.421910e+01 1.11209261e+01
1.422350e+01 1.13486603e+01
1.428190e+01 1.67731475e+01
1.431110e+01 2.12638850e+01
1.434030e+01 2.79740304e+01
1.436950e+01 3.85659199e+01
1.439860e+01 5.64052980e+01
1.441320e+01 7.00469627e+01
1.442780e+01 8.86856994e+01
1.444240e+01 1.14398688e+02
1.445700e+01 1.49593445e+02
1.448350e+01 2.37915079e+02
1.451000e+01 2.96507953e+02
1.453650e+01 2.37511868e+02
1.456300e+01 1.49119578e+02
1.458310e+01 1.03285892e+02
1.460320e+01 7.37490788e+01
1.462330e+01 5.46283572e+01
1.462660e+01 5.25377363e+01
1.464340e+01 4.19036520e+01
1.468360e+01 2.68838155e+01
1.472380e+01 1.88631950e+01
1.476060e+01 1.45336562e+01
1.476390e+01 1.41454212e+01
1.480410e+01 1.11648905e+01
1.488450e+01 7.79055813e+00
1.496490e+01 6.05933660e+00
1.500000e+01 5.63193378e+00
1.503400e+01 5.21848309e+00
1.504520e+01 5.09133671e+00
1.520600e+01 4.27791007e+00
1.523770e+01 4.23333162e+00
1.536670e+01 4.18516947e+00
1.544150e+01 4.27421163e+00
1.552750e+01 4.54259166e+00
1.564520e+01 5.02819443e+00
1.580850e+01 6.39550687e+00
1.584890e+01 6.73389258e+00
1.593530e+01 8.10092737e+00
1.602160e+01 1.03151020e+01
1.610800e+01 1.49784963e+01
1.615110e+01 2.05247323e+01
1.617270e+01 2.57109837e+01
1.619430e+01 3.42083056e+01
1.621720e+01 4.76617093e+01
1.624000e+01 5.70753994e+01
1.625000e+01 5.31282645e+01
1.628570e+01 3.90380709e+01
1.631310e+01 3.20103576e+01
1.631420e+01 3.19258818e+01
1.634040e+01 2.99248422e+01
1.639510e+01 3.27233928e+01
1.644980e+01 4.14467205e+01
1.650460e+01 5.75554637e+01
1.655930e+01 8.78188254e+01
1.658660e+01 1.13391861e+02
1.661400e+01 1.52130953e+02
1.664130e+01 2.14309182e+02
1.666870e+01 3.21355516e+02
1.669610e+01 5.21250170e+02
1.670970e+01 6.85126158e+02
1.672340e+01 9.14328400e+02
1.674670e+01 1.45989770e+03
1.677000e+01 1.82256858e+03
1.677950e+01 1.67412460e+03
1.679340e+01 1.45693386e+03
1.681670e+01 9.10051284e+02
1.684120e+01 5.47546884e+02
1.685640e+01 4.25231703e+02
1.686570e+01 3.50394168e+02
1.689020e+01 2.39293049e+02
1.691470e+01 1.72479865e+02
1.693920e+01 1.29774880e+02
1.696370e+01 1.01042684e+02
1.701210e+01 6.66478777e+01
1.701270e+01 6.62220222e+01
1.706170e+01 4.68966370e+01
1.711070e+01 3.51226899e+01
1.720870e+01 2.21964505e+01
1.724470e+01 1.98079691e+01
1.730670e+01 1.58154761e+01
1.736110e+01 1.38816851e+01
1.740470e+01 1.25209559e+01
1.747740e+01 1.13154979e+01
1.750000e+01 1.11424211e+01
1.750270e+01 1.11218711e+01
1.753550e+01 1.11412377e+01
1.759370e+01 1.21273910e+01
1.760070e+01 1.24343870e+01
1.762280e+01 1.35481728e+01
1.765190e+01 1.60868682e+01
1.768090e+01 2.06141762e+01
1.771000e+01 2.87318204e+01
1.774000e+01 4.17908533e+01
1.777000e+01 5.03529062e+01
1.779670e+01 4.21957117e+01
1.780000e+01 4.12022701e+01
1.783000e+01 2.77186987e+01
1.786180e+01 1.86234587e+01
1.789360e+01 1.36300682e+01
1.790080e+01 1.29811003e+01
1.790430e+01 1.26656317e+01
1.792540e+01 1.07640347e+01
1.795720e+01 8.98904341e+00
1.799270e+01 7.86194811e+00
1.802090e+01 7.04806511e+00
1.808450e+01 6.10928903e+00
1.812500e+01 5.81451508e+00
1.821170e+01 5.18897171e+00
1.833890e+01 4.73733069e+00
1.838470e+01 4.66233667e+00
1.859340e+01 4.70818719e+00
1.875000e+01 4.99138927e+00
1.877670e+01 5.04294127e+00
1.884790e+01 5.28099103e+00
1.895210e+01 5.87544654e+00
1.910230e+01 6.73516460e+00
1.916860e+01 7.35914219e+00
1.922960e+01 8.02905509e+00
1.935680e+01 1.01187175e+01
