In-113(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
200.600 35.5106
200.619 28.5050
200.638 18.0708
200.659 10.7750
200.680 6.98618
200.701 4.91598
200.722 3.69957
200.765 2.43009
200.807 1.83453
200.891 1.33391
200.976 1.15894
201.145 1.10029
201.314 1.18488
201.652 1.58470
201.990 2.37955
202.159 3.05132
202.328 4.06789
202.497 5.70679
202.666 8.59383
202.750 10.9436
202.835 14.4089
202.919 19.8212
203.004 28.9518
203.046 36.0745
203.088 46.1263
203.130 61.0121
203.173 84.1892
203.215 123.115
203.257 194.475
203.278 253.871
203.299 341.588
203.320 474.479
203.341 676.001
203.371 1081.38
203.400 1351.46
203.429 1081.13
203.459 675.735
203.483 449.580
203.507 310.048
203.532 223.070
203.556 166.747
203.605 102.090
203.654 68.4006
203.703 48.8514
203.751 36.5678
203.849 22.6377
203.947 15.3616
204.044 11.0975
204.142 8.38900
204.239 6.56308
204.435 4.33167
204.630 3.07252
204.825 2.29333
205.020 1.77822
205.411 1.16052
205.801 0.818739
206.191 0.610127
206.582 0.473627
207.362 0.311906
208.143 0.223715
208.924 0.170671
209.705 0.136582
211.266 0.0977420
212.828 0.0786589
215.951 0.0673737
219.074 0.0800424
220.635 0.0990051
222.197 0.135850
223.758 0.215316
224.539 0.293820
225.320 0.435510
225.710 0.553980
226.100 0.733904
226.491 1.02713
226.881 1.55460
227.076 1.99375
227.272 2.65689
227.467 3.72754
227.662 5.62282
227.759 7.17432
227.857 9.47646
227.955 13.1030
228.052 19.2984
228.101 24.1857
228.150 31.1830
228.199 41.6865
228.247 58.4440
228.296 87.4275
228.321 110.435
228.345 143.375
228.369 192.406
228.394 268.587
228.418 391.769
228.443 592.249
228.471 948.143
228.500 1184.22
228.529 946.641
228.558 592.051
228.581 399.385
228.604 278.875
228.627 202.253
228.650 152.269
228.696 94.0543
228.742 63.3782
228.788 45.4484
228.834 34.1265
228.926 21.2370
229.018 14.4661
229.111 10.4916
229.203 7.95985
229.295 6.25328
229.479 4.16472
229.664 2.98820
229.848 2.26241
230.032 1.78516
230.401 1.22180
230.769 0.923420
231.138 0.758013
231.507 0.671911
232.244 0.670737
232.613 0.769296
232.981 0.991970
233.350 1.49789
233.534 2.00159
233.719 2.90313
233.811 3.64649
233.903 4.75490
233.995 6.51723
234.087 9.56128
234.179 15.5244
234.225 20.9127
234.271 29.6936
234.318 45.4577
234.341 58.4682
234.364 77.6835
234.387 107.809
234.410 157.522
234.421 194.904
234.433 245.230
234.444 313.484
234.456 405.262
234.478 648.575
234.500 809.712
234.522 647.343
234.544 405.200
234.568 241.674
234.592 153.653
234.615 104.447
234.639 75.1194
234.663 56.3535
234.686 43.7668
234.734 28.5846
234.781 20.1458
234.828 15.0213
234.923 9.39590
235.018 6.58236
235.113 5.02079
235.302 3.61481
235.491 3.47472
235.586 3.88576
235.681 4.86164
235.775 7.03989
235.823 9.11257
235.870 12.5837
235.917 18.9865
235.941 24.3773
235.965 32.4953
235.988 45.5472
236.012 67.8554
