Sr-87(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
2013.38 3.03325
2013.45 2.10807
2013.53 1.54815
2013.68 0.934978
2013.84 0.624933
2013.99 0.446953
2014.30 0.261146
2014.61 0.171237
2014.92 0.121032
2015.53 0.0698905
2016.15 0.0456679
2016.76 0.0323610
2018.00 0.0189805
2019.23 0.0127294
2020.46 0.00932722
2022.93 0.00595570
2025.39 0.00442360
2027.86 0.00362450
2032.78 0.00292065
2042.64 0.00274199
2052.50 0.00321670
2062.36 0.00429474
2072.22 0.00654324
2077.15 0.00869419
2082.08 0.0127364
2084.54 0.0167002
2087.01 0.0252428
2088.24 0.0353046
2089.47 0.0611227
2090.09 0.0949929
2090.70 0.186319
2091.01 0.306791
2091.17 0.422107
2091.32 0.623105
2091.47 1.02136
2091.55 1.38591
2091.63 1.99001
2091.70 3.09584
2091.74 4.04090
2091.78 5.43687
2091.82 7.74405
2091.86 11.6341
2091.90 19.1635
2091.92 25.2448
2091.94 34.2166
2091.95 43.8799
2091.97 54.7764
2092.00 68.3586
2092.03 54.7755
2092.06 34.2157
2092.08 25.2440
2092.10 19.1630
2092.14 11.7708
2092.18 7.74412
2092.22 5.48303
2092.26 4.04148
2092.30 3.11658
2092.37 2.01188
2092.45 1.39947
2092.52 1.03463
2092.68 0.632844
2092.83 0.429309
2092.98 0.313725
2093.29 0.193499
2093.90 0.103877
2094.52 0.0724401
2095.74 0.0523496
2096.97 0.0490284
2099.42 0.0586011
2101.87 0.0850929
2103.10 0.108507
2104.32 0.144465
2105.55 0.203129
2106.78 0.307894
2107.39 0.394123
2108.00 0.522691
2108.61 0.726460
2109.23 1.07749
2109.84 1.75950
2110.15 2.37167
2110.45 3.35911
2110.76 5.10921
2110.91 6.52397
2111.07 8.59011
2111.22 11.7477
2111.37 16.8314
2111.53 25.4554
2111.68 40.4218
2111.84 64.6699
2112.00 80.8290
2112.16 64.6584
2112.32 40.4105
2112.44 28.1879
2112.56 20.2443
2112.68 14.9824
2112.79 11.4643
2113.03 7.23389
2113.26 4.94006
2113.50 3.57410
2113.73 2.70031
2114.20 1.69233
2114.67 1.15726
2115.14 0.840409
2115.61 0.637669
2116.08 0.500254
2117.02 0.331389
2117.96 0.235567
2118.90 0.176037
2119.84 0.136583
2121.72 0.0890906
2123.60 0.0627191
2125.48 0.0465752
2127.36 0.0359844
2131.12 0.0233787
2134.88 0.0164527
2138.64 0.0122411
2142.40 0.00949154
2149.92 0.00623731
2157.44 0.00445884
2164.96 0.00338273
2172.47 0.00268345
2187.51 0.00186299
2202.55 0.00142358
2232.62 0.00101455
2262.70 0.000887273
2292.77 0.000963257
2307.81 0.00114541
2315.33 0.00132965
2322.85 0.00165920
2330.37 0.00234458
2334.13 0.00301578
2337.89 0.00422944
2341.65 0.00681017
2343.53 0.00937805
2345.41 0.0140627
2347.29 0.0240816
2348.23 0.0340566
2349.16 0.0521969
2350.10 0.0907590
2350.57 0.128837
2351.04 0.197498
2351.51 0.340987
2351.75 0.480135
2351.98 0.725922
2352.22 1.22284
2352.34 1.69006
2352.45 2.47570
2352.57 3.97931
2352.63 5.29553
2352.69 7.32911
2352.75 10.8333
2352.81 17.2610
2352.84 22.9034
2352.87 31.1155
2352.89 43.7637
2352.92 63.3036
2352.96 101.666
2353.00 126.310
2353.02 118.361
2353.04 100.617
2353.08 63.3009
2353.12 37.3987
2353.16 23.6021
2353.20 15.9521
2353.25 11.4032
2353.29 8.51873
2353.33 6.58896
2353.41 4.28285
2353.50 2.98672
2353.58 2.19846
2353.75 1.33497
2353.92 0.893241
2354.08 0.640371
2354.25 0.481447
2354.42 0.375135
2354.75 0.245953
2355.09 0.173724
2355.42 0.129306
2355.76 0.100135
2356.43 0.0652139
2357.09 0.0460012
2358.43 0.0266558
2359.77 0.0176028
2361.11 0.0126634
2363.79 0.00775513
2366.47 0.00550842
2369.14 0.00432268
2374.50 0.00324473
2379.85 0.00289283
2385.21 0.00288083
2395.92 0.00355670
2401.27 0.00431424
2406.63 0.00554912
2411.98 0.00764538
2417.34 0.0115305
2420.02 0.0148301
2422.69 0.0198913
2425.37 0.0282304
2428.05 0.0434071
2429.39 0.0561697
2430.73 0.0756111
2432.06 0.107352
2433.40 0.164396
2434.07 0.211856
2434.74 0.283209
2435.41 0.397824
2436.08 0.599198
2436.41 0.762860
2436.75 1.00377
2437.08 1.37909
2437.42 2.00756
2437.75 3.18540
2437.92 4.19476
2438.09 5.75743
2438.26 8.36594
2438.34 10.3554
2438.42 13.0596
2438.51 16.9315
2438.59 22.4949
2438.67 30.8652
2438.76 43.1362
2438.88 68.9715
2439.00 86.1729
2439.12 68.9638
2439.24 43.1286
2439.32 31.4718
2439.40 23.4884
2439.55 14.0234
2439.71 9.14146
2439.86 6.39036
2440.02 4.69037
2440.17 3.58667
2440.48 2.28166
2440.79 1.57510
2441.10 1.15127
2441.72 0.690915
2442.34 0.459904
2442.95 0.327931
2443.57 0.245565
2444.19 0.190749
2445.43 0.124591
2446.66 0.0877764
2447.90 0.0651931
2449.13 0.0503513
2451.61 0.0326706
2454.08 0.0229502
2456.55 0.0170365
2459.02 0.0131761
2463.97 0.00860638
2468.91 0.00610831
2473.86 0.00459549
2478.80 0.00361059
2488.69 0.00244926
2498.58 0.00181785
2518.36 0.00119447
2538.14 0.000916367
2557.92 0.000780590
2597.48 0.000709771
2637.04 0.000839566
2656.82 0.00102450
2676.60 0.00139020
2686.49 0.00170836
2696.38 0.00220220
2706.27 0.00302355
2716.16 0.00453404
2721.10 0.00581504
2726.05 0.00778211
2730.99 0.0110284
2735.94 0.0169604
2738.41 0.0219684
2740.88 0.0296247
2743.36 0.0422004
2745.83 0.0650044
2747.07 0.0841286
2748.30 0.113148
2749.54 0.160321
2750.77 0.244657
2751.39 0.314289
2752.01 0.418498
2752.63 0.584558
2753.25 0.872958
2753.86 1.44060
2754.17 1.95625
2754.48 2.80349
2754.64 3.44898
2754.79 4.33428
2754.95 5.60966
2755.10 7.50444
2755.25 10.5145
2755.41 15.5485
2755.56 24.7043
2755.64 31.9416
2755.72 41.8278
2755.86 67.0724
2756.00 83.7633
2756.14 66.8748
2756.28 41.8200
2756.39 28.6441
2756.50 20.2785
2756.61 14.8803
2756.72 11.2891
2756.93 7.03836
2757.15 4.77751
2757.37 3.43749
2757.58 2.58991
2758.02 1.61557
2758.45 1.10145
2758.88 0.798175
2759.31 0.604653
2759.75 0.473748
2760.61 0.313217
2761.48 0.222316
2762.35 0.165927
2763.21 0.128601
2764.94 0.0837218
2766.67 0.0588366
2768.41 0.0436200
2770.14 0.0336479
2773.60 0.0217928
2777.06 0.0152896
2780.53 0.0113405
2783.99 0.00876556
2790.92 0.00572235
2797.85 0.00406168
2804.77 0.00305751
2811.70 0.00240474
2825.55 0.00163638
2839.41 0.00121981
2867.11 0.000810796
2894.82 0.000632398
2922.53 0.000556339
2950.24 0.000577026
2964.09 0.000775535
2971.02 0.00154518
2974.48 0.00453185
2976.21 0.0160038
2977.08 0.0584669
2977.51 0.204078
2977.62 0.332550
2977.73 0.632775
2977.78 0.959178
2977.83 1.60739
2977.89 3.13280
2977.92 4.72036
2977.94 7.57281
2977.97 12.0511
2978.00 15.1510
2978.03 12.0510
2978.06 7.57266
2978.08 5.20857
2978.10 3.67749
2978.14 2.06380
2978.19 1.28323
2978.23 0.875133
2978.32 0.474976
2978.40 0.298029
2978.58 0.147351
2978.75 0.0878478
2979.45 0.0242259
2980.83 0.00671763
2983.61 0.00213413
2989.16 0.000980334
3000.26 0.000751116
3011.36 0.000815971
3022.46 0.00102458
3033.57 0.00151433
3039.12 0.00201413
3044.67 0.00293559
3050.22 0.00492112
3052.99 0.00690816
3055.77 0.0105443
3058.54 0.0183276
3059.93 0.0260739
3061.32 0.0401514
3062.71 0.0700013
3063.40 0.0993961
3064.09 0.152126
3064.79 0.261832
3065.13 0.367578
3065.48 0.553093
3065.83 0.924107
3066.00 1.26825
3066.18 1.84106
3066.35 2.91247
3066.44 3.82995
3066.52 5.22557
3066.61 7.54543
3066.70 11.6351
3066.74 15.0231
3066.78 19.7890
3066.83 26.7521
3066.87 36.8931
3066.90 47.2322
3066.93 59.0531
3067.00 73.8361
3067.07 59.0513
3067.13 36.8911
3067.21 21.1770
3067.28 13.1776
3067.36 8.82546
3067.43 6.27009
3067.51 4.66370
3067.58 3.59567
3067.73 2.31612
3067.88 1.60828
3068.03 1.18250
3068.33 0.715114
3068.64 0.477685
3068.94 0.341760
3069.54 0.199477
3070.14 0.130593
3070.74 0.0921149
3071.94 0.0529266
3073.14 0.0343577
3074.34 0.0241312
3076.75 0.0138424
3079.15 0.00902517
3081.55 0.00639174
3086.36 0.00375761
3091.17 0.00253188
3095.97 0.00186440
3105.59 0.00119996
3115.20 0.000893430
3124.81 0.000728748
3144.04 0.000571610
3182.49 0.000502006
3201.72 0.000594190
3211.33 0.000980204
3216.14 0.00248574
3218.54 0.00832344
3219.74 0.0304031
3220.34 0.109420
3220.64 0.362024
3220.72 0.570509
3220.79 1.02152
3220.87 2.26700
3220.91 3.86322
3220.94 7.25657
3220.97 11.5397
3221.00 14.5010
3221.03 11.5396
3221.06 7.25643
3221.10 3.80405
3221.13 2.23840
3221.21 1.00344
3221.29 0.559023
3221.36 0.354233
3221.67 0.106818
3222.27 0.0296962
3223.49 0.00813683
3225.93 0.00244719
3230.79 0.000994333
