Gd-154(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
331.845 139.911
331.876 101.725
331.907 77.7332
331.938 61.8256
332.001 42.6491
332.063 31.9398
332.126 25.3532
332.251 17.9505
332.375 14.0780
332.500 11.8097
332.750 9.54450
333.000 9.10047
333.125 9.69050
333.250 11.3661
333.374 15.5577
333.437 19.8349
333.499 27.3644
333.531 33.3860
333.546 37.2779
333.562 41.9697
333.577 47.6822
333.593 54.7150
333.609 63.4818
333.624 74.5643
333.640 88.7962
333.655 107.398
333.671 132.197
333.687 165.979
333.702 213.064
333.718 280.154
333.733 377.269
333.749 517.340
333.775 848.413
333.800 1089.92
333.813 1040.45
333.826 898.215
333.851 579.481
333.881 341.201
333.911 217.969
333.942 150.923
333.972 111.382
334.002 86.3342
334.032 69.5186
334.093 49.0697
334.153 37.5022
334.213 30.3071
334.334 22.0877
334.455 17.6799
334.575 14.9985
334.696 13.2209
334.817 11.9667
335.058 10.3272
335.300 9.31065
335.541 8.62048
335.782 8.12135
336.265 7.44619
336.748 7.00857
337.714 6.46861
338.679 6.14208
339.645 5.91857
341.576 5.62217
343.508 5.42391
345.439 5.27318
349.302 5.03794
353.164 4.83639
357.027 4.62993
358.958 4.50998
359.924 4.44082
360.889 4.36223
361.855 4.27267
362.338 4.22670
362.821 4.19045
363.062 4.18527
363.304 4.20253
363.545 4.26958
363.786 4.45670
363.907 4.64959
364.028 4.97845
364.149 5.56704
364.269 6.70406
364.390 9.18116
364.450 11.5990
364.511 15.7824
364.571 23.8185
364.601 30.8223
364.616 35.6408
364.631 41.6913
364.646 49.5172
364.662 59.7665
364.677 73.4685
364.692 92.2062
364.707 118.456
364.722 156.106
364.737 211.045
364.752 290.341
364.764 375.166
364.776 473.844
364.800 606.351
364.812 578.107
364.824 498.117
364.848 320.502
364.864 237.808
364.879 180.398
364.910 112.197
364.941 76.4521
364.971 56.0103
365.002 43.2658
365.033 34.8580
365.095 24.7631
365.156 19.1394
365.218 15.6765
365.341 11.7783
365.465 9.71812
365.588 8.48291
365.711 7.67429
365.835 7.11061
366.081 6.38557
366.328 5.94506
366.575 5.65094
366.821 5.44113
367.315 5.16056
367.808 4.97932
368.795 4.75079
369.781 4.60289
370.768 4.49111
372.741 4.31487
376.688 4.01643
380.634 3.70027
384.581 3.30066
386.554 3.04149
388.527 2.71716
389.514 2.52187
390.501 2.30041
391.487 2.05530
392.474 1.81284
392.967 1.72353
393.461 1.70605
393.954 1.86632
394.201 2.08765
394.324 2.25914
394.447 2.48786
394.571 2.79232
394.694 3.19735
394.817 3.73898
394.879 4.07664
394.941 4.46893
395.064 5.46480
395.187 6.84188
395.311 8.78516
395.434 11.5973
395.557 15.8047
395.681 22.3594
395.804 33.1640
395.927 52.3911
395.989 67.9688
396.051 90.6309
396.112 125.111
396.174 180.554
396.236 276.981
396.297 461.733
396.328 622.120
396.359 866.453
396.390 1251.98
396.421 1864.96
396.460 3060.94
396.500 3931.77
396.540 3232.10
396.580 2071.42
396.622 1261.65
396.665 819.362
396.708 569.120
396.751 417.729
396.794 320.227
396.836 254.052
396.922 172.744
397.008 126.564
397.093 97.7653
397.264 65.0274
397.435 47.6276
397.607 37.1790
397.778 30.3524
397.949 25.6124
398.291 19.5528
398.634 15.9102
398.976 13.5080
399.318 11.8154
400.003 9.59434
400.688 8.19461
401.372 7.21473
402.057 6.47089
403.426 5.34620
404.111 4.87949
404.795 4.46453
405.138 4.29454
405.480 4.18523
405.822 4.21434
406.165 4.59232
406.336 5.07996
406.507 5.98690
406.678 7.71028
406.764 9.13095
406.807 10.0618
406.849 11.1867
406.892 12.5631
406.935 14.2590
406.956 15.2555
406.978 16.3704
407.021 19.0306
407.063 22.4289
407.106 26.8403
407.149 32.6763
407.192 40.5501
407.235 51.5135
407.277 67.2538
407.320 90.7818
407.363 127.773
407.406 189.794
407.427 237.246
407.449 302.643
407.470 395.103
407.491 529.168
407.513 727.347
407.534 1018.18
407.567 1676.56
407.600 2159.21
407.633 1780.48
407.666 1146.69
407.702 698.447
407.738 454.924
407.774 317.582
407.810 234.784
407.846 181.287
407.883 144.961
407.955 100.303
408.027 74.8202
408.099 58.8916
408.243 40.6615
408.388 30.9024
408.532 24.9957
408.676 21.1070
408.820 18.3870
409.109 14.8739
409.397 12.7335
409.686 11.3041
409.975 10.2862
410.552 8.93318
411.129 8.07165
411.706 7.46969
412.283 7.02073
