78-Pt_n-g
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
4.956920e+01 2.30624827e-01
5.000000e+01 2.28742849e-01
5.091660e+01 2.42452716e-01
5.137480e+01 2.53410294e-01
5.183310e+01 2.68777275e-01
5.229140e+01 2.93873505e-01
5.252050e+01 3.15075349e-01
5.274970e+01 3.50228463e-01
5.286420e+01 3.78214725e-01
5.297880e+01 4.19484767e-01
5.303610e+01 4.48123416e-01
5.309340e+01 4.84901772e-01
5.312200e+01 5.07390299e-01
5.313630e+01 5.19899939e-01
5.315070e+01 5.33376656e-01
5.316500e+01 5.47920442e-01
5.317210e+01 5.55628111e-01
5.317930e+01 5.63650616e-01
5.318650e+01 5.72003933e-01
5.319360e+01 5.80703258e-01
5.320790e+01 5.99233216e-01
5.322230e+01 6.19434107e-01
5.323660e+01 6.41481000e-01
5.325090e+01 6.65627732e-01
5.326520e+01 6.92152716e-01
5.329390e+01 7.53700240e-01
5.332250e+01 8.29498061e-01
