92-U_n-g
>  92-U-235:0.007204
>  92-U-238:0.992796
1.128580e+01 9.27239182e-01
1.129400e+01 1.37158229e+00
1.129810e+01 1.77118479e+00
1.130220e+01 2.37332752e+00
1.130800e+01 3.59716028e+00
1.131370e+01 4.42445638e+00
1.131950e+01 3.61926312e+00
1.132520e+01 2.39415285e+00
1.132920e+01 1.80092578e+00
1.133320e+01 1.40415311e+00
1.134120e+01 9.58140827e-01
1.134920e+01 7.38995251e-01
1.135720e+01 6.19266242e-01
1.136090e+01 5.92243820e-01
1.137320e+01 5.04939959e-01
1.138920e+01 4.56823018e-01
1.140750e+01 4.45617802e-01
1.145310e+01 4.31857588e-01
1.145410e+01 4.32424379e-01
1.150070e+01 4.91145637e-01
1.152400e+01 5.46727360e-01
1.154730e+01 6.38836777e-01
1.157060e+01 8.04178808e-01
1.158110e+01 9.54257656e-01
1.159390e+01 1.13904286e+00
1.160560e+01 1.44480904e+00
1.161720e+01 1.93890260e+00
1.162890e+01 2.78433516e+00
1.164050e+01 4.28011255e+00
1.164650e+01 5.42512311e+00
1.165260e+01 6.78172194e+00
1.166460e+01 8.75213474e+00
1.167670e+01 7.26558888e+00
1.168870e+01 4.64585489e+00
1.169600e+01 3.49657465e+00
1.170340e+01 2.69188290e+00
1.171800e+01 1.73613409e+00
1.173270e+01 1.23997743e+00
1.174740e+01 9.58417901e-01
1.176200e+01 7.85597420e-01
1.177670e+01 6.72962087e-01
1.180600e+01 5.41001545e-01
1.183540e+01 4.70637491e-01
1.183690e+01 4.68541277e-01
1.186470e+01 4.30573671e-01
1.192340e+01 3.92196269e-01
1.198200e+01 3.81431153e-01
1.204070e+01 3.87945739e-01
1.209930e+01 4.12806327e-01
1.215800e+01 4.67908034e-01
1.221550e+01 5.86914413e-01
1.224430e+01 7.00308582e-01
1.227300e+01 8.91843020e-01
1.229280e+01 1.10987528e+00
1.231250e+01 1.46529598e+00
1.233230e+01 2.09002248e+00
1.234210e+01 2.58260138e+00
1.234860e+01 3.02919350e+00
1.235200e+01 3.26287209e+00
1.236100e+01 4.09775141e+00
1.237000e+01 5.15391353e+00
1.238800e+01 7.31449279e+00
1.239000e+01 7.45624765e+00
1.239480e+01 7.62983191e+00
1.239950e+01 7.55141305e+00
1.240900e+01 6.74194493e+00
1.242800e+01 4.33891181e+00
1.243900e+01 3.27487398e+00
1.244990e+01 2.51865010e+00
1.247190e+01 1.61751071e+00
1.249380e+01 1.15091048e+00
1.251580e+01 8.87293245e-01
1.253770e+01 7.26215296e-01
1.255960e+01 6.21578692e-01
1.260350e+01 4.99798533e-01
1.264740e+01 4.35886908e-01
1.269130e+01 4.00574547e-01
1.273510e+01 3.83079294e-01
1.277900e+01 3.81477709e-01
1.285300e+01 4.08448285e-01
1.289000e+01 3.92801545e-01
1.292700e+01 3.61844037e-01
1.295750e+01 3.43286787e-01
1.298800e+01 3.31491432e-01
1.304900e+01 3.19463119e-01
1.311000e+01 3.15555376e-01
1.317100e+01 3.17555377e-01
1.326700e+01 3.34456170e-01
1.327500e+01 3.35915907e-01
1.330130e+01 3.38392720e-01
1.332750e+01 3.36543449e-01
1.337200e+01 3.28549728e-01
1.338000e+01 3.27315004e-01
1.343450e+01 3.22430784e-01
1.348900e+01 3.22443100e-01
1.359800e+01 3.30059861e-01
1.384500e+01 3.48129555e-01
1.392900e+01 3.51242956e-01
1.401600e+01 3.53434666e-01
1.410300e+01 3.52208182e-01
1.421900e+01 3.45933172e-01
1.427700e+01 3.44822297e-01
1.433500e+01 3.48045511e-01
1.436000e+01 3.51699185e-01
1.439530e+01 3.61511786e-01
1.439970e+01 3.62880788e-01
1.443940e+01 3.88924933e-01
1.445920e+01 4.13796999e-01
1.447900e+01 4.56352959e-01
1.449890e+01 5.35662257e-01
1.451870e+01 6.92554752e-01
1.453490e+01 9.02979199e-01
1.455100e+01 1.06024519e+00
1.455310e+01 1.06117693e+00
1.456170e+01 1.00856154e+00
1.457030e+01 8.97909034e-01
1.457890e+01 7.79127813e-01
1.458750e+01 6.78892851e-01
1.459870e+01 5.83134204e-01
1.460990e+01 5.18809027e-01
1.463240e+01 4.45710423e-01
1.465480e+01 4.09541370e-01
1.467730e+01 3.89965902e-01
1.472210e+01 3.71811430e-01
1.476700e+01 3.65188667e-01
1.484700e+01 3.63436848e-01
1.492700e+01 3.67015341e-01
1.500700e+01 3.73732066e-01
1.508700e+01 3.84014171e-01
1.516550e+01 4.00454539e-01
1.520480e+01 4.13430774e-01
1.524400e+01 4.32905581e-01
1.527430e+01 4.56466357e-01
1.530450e+01 4.95166000e-01
1.533480e+01 5.65393638e-01
1.536500e+01 7.01178907e-01
1.540100e+01 9.61788762e-01
1.541700e+01 1.01661108e+00
1.541870e+01 1.00846601e+00
1.544300e+01 8.93472578e-01
1.546900e+01 7.08279915e-01
1.548740e+01 6.18409447e-01
1.550590e+01 5.59799825e-01
1.552430e+01 5.21824733e-01
1.554270e+01 4.96923446e-01
1.557960e+01 4.69191078e-01
1.561650e+01 4.56817675e-01
1.565340e+01 4.52093388e-01
1.569020e+01 4.51722647e-01
1.576400e+01 4.59147545e-01
1.583770e+01 4.76459104e-01
1.587460e+01 4.90921546e-01
1.591140e+01 5.12985417e-01
1.594830e+01 5.50560836e-01
1.596670e+01 5.80904965e-01
1.598520e+01 6.25922555e-01
1.600360e+01 6.97274066e-01
1.602200e+01 8.19833654e-01
1.604050e+01 1.05168266e+00
1.604970e+01 1.24654696e+00
1.605890e+01 1.52780629e+00
1.607380e+01 2.20556730e+00
1.608860e+01 2.79196413e+00
1.609600e+01 2.73465101e+00
1.610350e+01 2.43833040e+00
1.611830e+01 1.70952279e+00
1.613260e+01 1.24042839e+00
1.614690e+01 9.75458823e-01
1.616110e+01 8.23245591e-01
1.617540e+01 7.31139578e-01
1.618970e+01 6.72418704e-01
1.620390e+01 6.33377057e-01
1.623250e+01 5.87557743e-01
1.626100e+01 5.64032849e-01
1.628960e+01 5.51682389e-01
1.634670e+01 5.43551857e-01
1.640370e+01 5.47543725e-01
1.643230e+01 5.53157768e-01
1.644210e+01 5.56064542e-01
1.646080e+01 5.64096428e-01
1.648940e+01 5.80285642e-01
1.651790e+01 6.02439991e-01
1.654650e+01 6.34412941e-01
1.657500e+01 6.82407848e-01
1.664600e+01 8.52263828e-01
1.666350e+01 8.50873196e-01
1.668100e+01 8.20768752e-01
1.671600e+01 7.41534512e-01
1.673870e+01 7.04602903e-01
1.676140e+01 6.80742938e-01
