63-Eu_n-tot
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
1.165350e+00 2.71362557e+02
1.202630e+00 1.83047375e+02
1.205300e+00 1.79879467e+02
1.241240e+00 1.37420802e+02
1.279850e+00 1.11490283e+02
1.285200e+00 1.09628460e+02
1.357080e+00 8.60120791e+01
1.434300e+00 7.47989974e+01
1.445000e+00 7.38314262e+01
1.445010e+00 7.38309441e+01
1.445020e+00 7.38299034e+01
1.445030e+00 7.38295149e+01
1.445040e+00 7.38288828e+01
1.445060e+00 7.38276426e+01
1.445080e+00 7.38264025e+01
1.445120e+00 7.38239460e+01
1.445160e+00 7.38217046e+01
1.445230e+00 7.38178240e+01
1.445320e+00 7.38125821e+01
1.445460e+00 7.38043863e+01
1.445640e+00 7.37936924e+01
1.445930e+00 7.37760439e+01
1.446270e+00 7.37558794e+01
1.446850e+00 7.37225371e+01
1.447540e+00 7.36829505e+01
1.448710e+00 7.36173734e+01
1.450070e+00 7.35435824e+01
1.452410e+00 7.34249972e+01
1.455140e+00 7.32953121e+01
1.459810e+00 7.31036798e+01
1.465280e+00 7.29176524e+01
1.474630e+00 7.27123530e+01
1.485560e+00 7.26719091e+01
1.504250e+00 7.30064340e+01
1.526130e+00 7.48281834e+01
1.563500e+00 7.94989605e+01
1.593130e+00 8.72598393e+01
1.607250e+00 9.39597582e+01
1.622750e+00 1.02825677e+02
1.652380e+00 1.33546338e+02
1.682000e+00 1.95536465e+02
1.688380e+00 2.17584786e+02
1.704500e+00 2.77094921e+02
1.727000e+00 3.34300538e+02
1.728940e+00 3.30551474e+02
1.749220e+00 2.98353199e+02
1.749500e+00 2.98036568e+02
1.769500e+00 2.53674656e+02
1.772000e+00 2.49570094e+02
1.792250e+00 2.40261276e+02
1.792850e+00 2.39633623e+02
1.813700e+00 2.37036458e+02
1.815000e+00 2.37746065e+02
1.835200e+00 2.04415053e+02
1.855400e+00 1.56983916e+02
1.855410e+00 1.56967941e+02
1.855420e+00 1.56944447e+02
1.855440e+00 1.56907195e+02
1.855470e+00 1.56848186e+02
1.855480e+00 1.56829113e+02
1.855540e+00 1.56715032e+02
1.855560e+00 1.56677005e+02
1.855680e+00 1.56450637e+02
1.855720e+00 1.56375675e+02
1.855970e+00 1.55907533e+02
1.856040e+00 1.55775850e+02
1.856530e+00 1.54862125e+02
