Sn-124(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
20928.9 10.7166
20932.2 8.74007
20935.5 7.55397
20942.2 6.26407
20948.8 5.61239
20955.5 5.23797
20962.2 5.00281
20968.8 4.84544
20982.1 4.65339
20995.4 4.54489
21008.8 4.47724
21022.1 4.43211
21048.7 4.37702
21075.3 4.34561
21102.0 4.32574
21128.6 4.31220
21181.8 4.29501
21235.1 4.28449
21341.6 4.27170
21448.1 4.26337
21554.6 4.25668
21767.6 4.24452
21980.7 4.23128
22087.2 4.22353
22193.7 4.21461
22300.2 4.20420
22406.7 4.19258
22460.0 4.18772
22513.2 4.18955
22539.8 4.20193
22553.2 4.21795
22566.5 4.25098
22579.8 4.32808
22586.4 4.40822
22593.1 4.55683
22596.4 4.68299
22599.8 4.87547
22603.1 5.18855
22606.4 5.74263
22609.7 6.86613
22611.4 7.91614
22613.1 9.67142
22614.7 12.9676
22615.6 15.7746
22616.4 20.0959
22617.2 27.1873
22618.1 39.8040
22618.9 64.5132
22619.3 86.0193
22619.7 116.499
22620.4 185.297
22621.0 230.891
22621.7 185.765
22622.3 118.500
22622.7 88.5739
22623.1 67.5857
22623.9 42.5644
22624.7 29.4701
22625.5 21.9761
22626.3 17.3446
22627.1 14.3008
22628.7 10.7076
22630.3 8.73051
22631.9 7.53645
22635.1 6.23067
22638.3 5.56464
22641.5 5.18062
22644.7 4.93781
22647.8 4.77412
22654.2 4.57276
22660.6 4.45773
22667.0 4.38501
22673.4 4.33580
22686.2 4.27419
22698.9 4.23746
22724.5 4.19496
22750.0 4.16934
22775.6 4.15031
22826.6 4.11892
22928.8 4.05822
22954.3 4.04644
22979.9 4.05091
22992.7 4.07714
22999.0 4.10879
23005.4 4.17007
23011.8 4.30290
23015.0 4.43238
23018.2 4.66017
23019.8 4.84548
23021.4 5.11820
23023.0 5.54327
23024.6 6.25375
23026.2 7.59750
23027.0 8.76444
23027.8 10.5666
23028.6 13.6419
23029.4 19.3802
23029.8 24.2416
23030.2 31.5494
23030.6 42.8719
23031.0 59.9324
23031.5 92.9250
23032.0 114.387
23032.5 91.6388
23033.0 58.3274
23033.4 40.9994
23033.8 29.9504
23034.2 22.8671
23034.6 18.2786
23035.4 12.7427
23036.2 9.83806
23037.0 8.11133
23037.8 7.03352
23039.4 5.80253
23041.0 5.15375
23042.6 4.77619
23044.2 4.53509
23045.7 4.37370
23048.9 4.17539
23052.1 4.06236
23058.4 3.94162
23064.8 3.87715
23071.1 3.83424
23083.8 3.77088
23109.2 3.65401
23134.5 3.50024
23159.9 3.25841
23172.6 3.07385
23185.3 2.81083
23191.6 2.63228
23197.9 2.40658
23204.3 2.11287
23210.6 1.71854
23217.0 1.17477
23220.1 0.831947
23223.3 0.452450
23226.5 0.120479
23228.1 0.0713578
23229.6 0.267043
23230.4 0.558800
23231.2 1.07980
23232.0 1.98122
23232.8 3.52471
23233.6 6.23259
23234.4 10.9550
23235.2 19.4630
23236.0 34.8925
23237.0 70.2455
23238.0 107.965
23238.5 111.903
23239.0 104.156
23240.0 77.3746
23241.0 55.8824
23242.1 42.1323
23243.1 33.3581
23244.1 27.5649
23245.1 23.4785
23246.1 20.5107
23248.1 16.5661
23250.1 14.0801
23252.1 12.4040
23256.1 10.2996
23260.2 9.04358
