56-Ba_n-tot
> 56-Ba-130:0.001060
> 56-Ba-132:0.001010
> 56-Ba-134:0.024170
> 56-Ba-135:0.065920
> 56-Ba-136:0.078540
> 56-Ba-137:0.112320
> 56-Ba-138:0.716980
1.348850e+02 3.98840501e+00
1.351660e+02 4.17333445e+00
1.353070e+02 4.33655617e+00
1.354470e+02 4.59470643e+00
1.355880e+02 5.03407618e+00
1.357290e+02 5.85518690e+00
1.357990e+02 6.55038206e+00
1.358690e+02 7.58953662e+00
1.359400e+02 9.18875679e+00
1.360100e+02 1.16575545e+01
1.360550e+02 1.39816687e+01
1.361050e+02 1.65640207e+01
1.362000e+02 1.99373797e+01
1.362950e+02 1.68133627e+01
1.363900e+02 1.19736296e+01
1.364840e+02 8.87056474e+00
1.365770e+02 7.10746298e+00
1.366710e+02 6.07694189e+00
1.367650e+02 5.44106940e+00
1.368580e+02 5.02558804e+00
1.369520e+02 4.74150305e+00
1.371390e+02 4.38993576e+00
1.373270e+02 4.18949462e+00
1.375140e+02 4.06444085e+00
1.378880e+02 3.92240137e+00
1.382630e+02 3.84694668e+00
1.386380e+02 3.80141579e+00
1.386960e+02 3.79675008e+00
1.390120e+02 3.77147882e+00
1.393870e+02 3.75035049e+00
1.401360e+02 3.72232097e+00
1.402910e+02 3.71855933e+00
1.408850e+02 3.70470226e+00
1.416340e+02 3.69217238e+00
1.423830e+02 3.68241165e+00
1.438820e+02 3.66731989e+00
1.448270e+02 3.65972752e+00
1.451900e+02 3.65691447e+00
1.453800e+02 3.65545424e+00
1.468780e+02 3.64547110e+00
1.483760e+02 3.63634649e+00
1.500000e+02 3.62720404e+00
1.509570e+02 3.62187113e+00
1.513730e+02 3.61965691e+00
1.522330e+02 3.61535341e+00
1.543690e+02 3.60599826e+00
1.573660e+02 3.59334998e+00
1.603630e+02 3.58096325e+00
1.632180e+02 3.56934725e+00
1.634600e+02 3.56840881e+00
1.641750e+02 3.56569531e+00
1.663560e+02 3.55804697e+00
1.693520e+02 3.54763937e+00
1.700000e+02 3.54540319e+00
1.723490e+02 3.53732124e+00
1.738470e+02 3.53222917e+00
1.753450e+02 3.52724343e+00
1.754790e+02 3.52681129e+00
1.760950e+02 3.52491233e+00
1.761170e+02 3.52484719e+00
1.768440e+02 3.52277549e+00
1.772180e+02 3.52175976e+00
1.774060e+02 3.52126531e+00
