Bi-209(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
25930.3 7.89711E-05
26149.8 6.79208E-05
26369.3 7.96241E-05
26479.0 9.79440E-05
26588.8 0.000134321
26643.6 0.000165754
26698.5 0.000214060
26753.4 0.000293178
26808.2 0.000435287
26835.7 0.000552912
26863.1 0.000729111
26890.5 0.00101036
26918.0 0.00149933
26945.4 0.00246410
26959.1 0.00334250
26972.8 0.00478788
26986.6 0.00741022
26993.4 0.00959464
27000.3 0.0128674
27007.1 0.0180640
27014.0 0.0268751
27020.9 0.0429596
27024.3 0.0558766
27027.7 0.0736151
27030.8 0.0943309
27033.9 0.117964
27040.0 0.147582
27046.2 0.117894
27052.3 0.0735482
27059.0 0.0433592
27065.7 0.0273526
27072.4 0.0184771
27079.1 0.0132120
27085.8 0.00986988
27092.5 0.00763807
27105.9 0.00494628
27119.4 0.00345641
27132.8 0.00254964
27159.6 0.00155151
27186.4 0.00104444
27213.2 0.000752494
27240.0 0.000569310
27266.9 0.000446919
27320.5 0.000298701
27374.1 0.000215817
27427.8 0.000164848
27481.4 0.000131305
27588.7 9.13514E-05
27696.0 6.94642E-05
27910.5 4.79494E-05
28125.1 3.89721E-05
28339.7 3.64025E-05
28446.9 3.78631E-05
28554.2 4.40893E-05
28661.5 7.63157E-05
28715.1 0.000194534
28728.6 0.000312093
28742.0 0.000634907
28748.7 0.00106645
28755.4 0.00221268
28758.7 0.00367642
28760.4 0.00503760
28762.1 0.00730889
28763.8 0.0115763
28764.6 0.0152475
28765.4 0.0208560
28766.3 0.0302462
28767.1 0.0472400
28767.5 0.0611740
28767.9 0.0814569
28768.4 0.111630
28768.8 0.155161
28769.4 0.249505
28770.0 0.311230
28770.6 0.247861
28771.2 0.155148
28771.7 0.106534
28772.2 0.0758851
28772.6 0.0556089
28773.1 0.0423805
28774.0 0.0265330
28775.0 0.0180366
28775.9 0.0130140
28776.8 0.00981748
28778.7 0.00616173
28780.5 0.00421673
28782.4 0.00306897
28786.1 0.00184307
28793.5 0.000890637
28801.0 0.000535891
28815.8 0.000273570
28830.7 0.000181034
28860.4 0.000120399
28890.1 0.000111500
28949.6 0.000212369
28964.4 0.000326056
28979.3 0.000642125
28986.7 0.00106873
28994.1 0.00222299
28997.9 0.00373455
28999.7 0.00516595
29001.6 0.00761033
29003.4 0.0123642
29004.4 0.0166091
29005.3 0.0234557
29006.2 0.0354874
29007.1 0.0593010
29007.6 0.0810160
29008.1 0.114929
29008.5 0.171433
29009.0 0.267334
29009.5 0.429602
29010.0 0.535030
29010.5 0.426182
29011.0 0.267316
29011.4 0.190024
29011.7 0.138255
29012.1 0.103606
29012.4 0.0804456
29013.1 0.0516336
29013.8 0.0356673
29014.5 0.0260196
29015.2 0.0197840
29016.5 0.0125181
29017.9 0.00862406
29019.3 0.00630372
29022.1 0.00379891
29024.8 0.00254615
29027.6 0.00183673
29033.1 0.00110281
29044.2 0.000558269
29055.2 0.000367514
29077.3 0.000248955
29099.4 0.000247814
29121.5 0.000331745
29143.6 0.000615919
29154.6 0.00100746
29160.2 0.00138578
29165.7 0.00204860
29171.2 0.00337175
29174.0 0.00458656
29176.7 0.00660766
29179.5 0.0103284
29180.9 0.0134766
29182.2 0.0182767
29183.6 0.0260578
29185.0 0.0396734
29186.4 0.0657150
29187.1 0.0875693
29187.8 0.118752
29188.9 0.190230
29190.0 0.237975
29191.1 0.190203
29192.2 0.118733
29193.5 0.0695231
29194.7 0.0437757
29196.0 0.0294699
29197.2 0.0210688
29198.4 0.0157122
29199.7 0.0121651
29202.1 0.00787704
29204.6 0.00550748
29207.1 0.00406676
29212.0 0.00248221
29216.9 0.00167775
29221.9 0.00121473
29231.8 0.000730189
29241.6 0.000495263
29251.5 0.000364047
29271.3 0.000230952
29310.8 0.000137001
29350.3 0.000112451
29429.3 0.000183838
29449.1 0.000280233
29468.8 0.000553241
29478.7 0.000922461
29483.7 0.00128079
29488.6 0.00191354
29493.5 0.00319135
29496.0 0.00438454
29498.5 0.00640465
29501.0 0.0102250
29502.2 0.0135666
29503.4 0.0187698
29504.7 0.0276346
29505.9 0.0439955
29506.5 0.0579035
29507.1 0.0783321
29507.7 0.110240
29508.4 0.158605
29509.2 0.254653
29510.0 0.317763
29510.8 0.253392
29511.7 0.158588
29512.4 0.0994732
29513.2 0.0659151
29514.0 0.0458943
29514.8 0.0336274
29516.4 0.0200061
29517.9 0.0132099
29519.5 0.00933008
29521.1 0.00694546
29524.2 0.00426983
29527.3 0.00288783
29530.5 0.00208801
29536.7 0.00124357
29543.0 0.000830139
29549.2 0.000598119
29561.8 0.000359958
29586.8 0.000183521
29611.9 0.000119690
29662.0 7.26625E-05
29712.1 5.56162E-05
29812.3 4.31449E-05
29912.6 3.89769E-05
30313.5 3.86415E-05
30714.4 4.61512E-05
31115.3 6.02642E-05
31516.2 8.58903E-05
31917.2 0.000137236
32117.6 0.000184354
32318.1 0.000262732
32518.5 0.000409566
32618.8 0.000548657
32668.9 0.000702798
32681.4 0.000799029
32693.9 0.00102480
32700.2 0.00130797
32706.5 0.00204508
32709.6 0.00298639
32711.2 0.00386764
32712.7 0.00535109
