20-Ca_n-tot
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
1.404900e+03 3.07756327e+00
1.423680e+03 3.18213564e+00
1.442450e+03 3.38468076e+00
1.461230e+03 3.73497411e+00
1.470610e+03 3.91066021e+00
1.480000e+03 3.98061129e+00
1.500000e+03 3.66845842e+00
1.500110e+03 3.66674186e+00
1.517550e+03 3.39458920e+00
1.536330e+03 3.19947542e+00
1.555100e+03 3.09346514e+00
1.569000e+03 3.04542478e+00
1.582910e+03 3.01212075e+00
1.610710e+03 2.97019958e+00
1.638520e+03 2.94551988e+00
1.666330e+03 2.92941390e+00
1.721940e+03 2.90942119e+00
1.777550e+03 2.89692048e+00
1.833160e+03 2.88776957e+00
1.888780e+03 2.88034462e+00
2.000000e+03 2.86806819e+00
2.166180e+03 2.85292683e+00
2.332350e+03 2.83912869e+00
2.440410e+03 2.83064121e+00
2.660620e+03 2.81355860e+00
2.664710e+03 2.81324329e+00
2.750000e+03 2.80688374e+00
2.770720e+03 2.80535525e+00
2.825770e+03 2.80133789e+00
2.853300e+03 2.79946489e+00
2.867060e+03 2.79900827e+00
2.873940e+03 2.80067508e+00
2.877380e+03 2.80861881e+00
2.879100e+03 2.83758107e+00
2.879530e+03 2.86421632e+00
2.879960e+03 2.92935498e+00
2.880180e+03 3.00414038e+00
2.880390e+03 3.16352285e+00
2.880610e+03 3.59061642e+00
2.880720e+03 4.11078007e+00
2.880820e+03 5.15275616e+00
2.880910e+03 6.56745544e+00
2.881000e+03 7.51120525e+00
2.881090e+03 6.56763834e+00
2.881180e+03 5.15297655e+00
2.881250e+03 4.38355728e+00
2.881320e+03 3.90172127e+00
2.881460e+03 3.40093356e+00
2.881600e+03 3.17034831e+00
2.881740e+03 3.04870095e+00
2.882020e+03 2.93231629e+00
2.882310e+03 2.88117021e+00
2.882870e+03 2.83842666e+00
2.883440e+03 2.82155555e+00
2.885690e+03 2.80351893e+00
2.890210e+03 2.79829092e+00
2.899250e+03 2.79634598e+00
2.917320e+03 2.79469543e+00
2.953460e+03 2.79196625e+00
2.989600e+03 2.78932431e+00
2.997060e+03 2.78881098e+00
3.000000e+03 2.78861238e+00
3.007670e+03 2.78809507e+00
3.016710e+03 2.78773285e+00
3.021230e+03 2.78848234e+00
3.023490e+03 2.79210447e+00
3.024620e+03 2.80370134e+00
3.025180e+03 2.83229456e+00
3.025460e+03 2.88159515e+00
3.025750e+03 3.04456412e+00
3.026000e+03 3.30251229e+00
3.026260e+03 3.04459027e+00
3.026450e+03 2.91037008e+00
3.026650e+03 2.85490152e+00
3.027050e+03 2.81529073e+00
3.027850e+03 2.79620890e+00
3.029440e+03 2.78925906e+00
3.032620e+03 2.78697243e+00
3.038980e+03 2.78594707e+00
3.051700e+03 2.78488512e+00
3.077150e+03 2.78303257e+00
3.128040e+03 2.77938571e+00
3.160000e+03 2.77710757e+00
3.163240e+03 2.77687675e+00
3.204780e+03 2.77395077e+00
3.229820e+03 2.77220735e+00
3.246330e+03 2.77106648e+00
3.267100e+03 2.76966195e+00
3.277490e+03 2.76897778e+00
3.287870e+03 2.76831989e+00
3.298260e+03 2.76771580e+00
3.303450e+03 2.76745815e+00
3.308640e+03 2.76726452e+00
3.311240e+03 2.76721170e+00
3.313840e+03 2.76721180e+00
3.316430e+03 2.76730395e+00
3.319030e+03 2.76756997e+00
3.320330e+03 2.76782548e+00
3.321630e+03 2.76822780e+00
3.322920e+03 2.76888386e+00
3.324220e+03 2.77002003e+00
3.325520e+03 2.77221079e+00
3.326170e+03 2.77415121e+00
3.326820e+03 2.77726903e+00
3.327470e+03 2.78276046e+00
3.327790e+03 2.78723819e+00
3.328120e+03 2.79381711e+00
3.328440e+03 2.80407995e+00
3.328770e+03 2.82104613e+00
3.329090e+03 2.85132672e+00
3.329420e+03 2.90713703e+00
3.329710e+03 2.98506466e+00
3.330000e+03 3.03060271e+00
3.330290e+03 2.96991109e+00
3.330590e+03 2.88853267e+00
3.330820e+03 2.84553541e+00
3.331060e+03 2.81932595e+00
3.331300e+03 2.80303302e+00
3.331530e+03 2.79261663e+00
3.332000e+03 2.78079804e+00
3.332480e+03 2.77479018e+00
3.332950e+03 2.77138124e+00
3.333420e+03 2.76929317e+00
3.334370e+03 2.76700682e+00
3.335310e+03 2.76586314e+00
3.336260e+03 2.76521488e+00
3.337200e+03 2.76481066e+00
3.338150e+03 2.76453761e+00
3.340040e+03 2.76418998e+00
3.341930e+03 2.76396610e+00
3.343820e+03 2.76379571e+00
3.345710e+03 2.76365056e+00
3.349490e+03 2.76339175e+00
3.353280e+03 2.76314650e+00
3.357060e+03 2.76290463e+00
3.360840e+03 2.76266194e+00
3.368400e+03 2.76217109e+00
3.375970e+03 2.76167246e+00
3.391090e+03 2.76066180e+00
3.421350e+03 2.75860951e+00
3.433380e+03 2.75778805e+00
3.451600e+03 2.75655735e+00
3.500000e+03 2.75329621e+00
3.572610e+03 2.74846645e+00
3.693630e+03 2.74057474e+00
3.762290e+03 2.73628240e+00
3.814640e+03 2.73300969e+00
3.840500e+03 2.73154533e+00
3.935660e+03 2.72625646e+00
3.996170e+03 2.72347490e+00
4.000000e+03 2.72335220e+00
4.056670e+03 2.72153940e+00
4.117180e+03 2.72142821e+00
4.147430e+03 2.72283122e+00
4.177690e+03 2.72626215e+00
4.207940e+03 2.73380087e+00
4.223070e+03 2.74057598e+00
4.238190e+03 2.75108872e+00
4.247620e+03 2.76172283e+00
4.250000e+03 2.76440849e+00
4.253320e+03 2.76815503e+00
4.268450e+03 2.79760178e+00
4.283570e+03 2.85221015e+00
4.298700e+03 2.95791895e+00
4.311350e+03 3.09589549e+00
4.324000e+03 3.17174419e+00
4.336650e+03 3.05656957e+00
4.349300e+03 2.90838439e+00
4.359470e+03 2.83166032e+00
4.369640e+03 2.78472730e+00
4.379800e+03 2.75557957e+00
4.389970e+03 2.73672840e+00
4.400140e+03 2.72398351e+00
4.410300e+03 2.71500175e+00
4.430640e+03 2.70344664e+00
4.450970e+03 2.69643983e+00
4.451180e+03 2.69639106e+00
4.471310e+03 2.69172338e+00
4.491640e+03 2.68826072e+00
4.511980e+03 2.68553533e+00
4.552640e+03 2.68130782e+00
4.552970e+03 2.68128050e+00
4.593310e+03 2.67796395e+00
4.603860e+03 2.67721404e+00
