Zr-94(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
15403.4 0.0732680
15407.2 0.0546041
15414.9 0.0336530
15422.5 0.0228020
15430.2 0.0164913
15437.9 0.0124989
15445.5 0.00981532
15460.8 0.00654417
15476.2 0.00470546
15491.5 0.00356956
15506.8 0.00282032
15537.5 0.00192450
15568.1 0.00143095
15629.4 0.000936920
15690.7 0.000710429
15752.0 0.000591723
15874.6 0.000487322
16119.8 0.000464710
16365.0 0.000544522
16610.2 0.000721465
16855.4 0.00109024
16978.0 0.00145006
17100.6 0.00216010
17161.9 0.00290252
17192.5 0.00354359
17223.2 0.00460607
17253.8 0.00667998
17269.2 0.00862363
17284.5 0.0120022
17299.8 0.0187970
17307.5 0.0251662
17315.1 0.0360545
17322.8 0.0570304
17326.6 0.0756816
17330.4 0.105652
17334.3 0.158064
17338.1 0.261059
17340.0 0.353368
17341.9 0.498886
17343.9 0.741831
17345.8 1.15029
17347.9 1.84018
17350.0 2.30024
17352.1 1.83939
17354.2 1.14983
17356.3 0.724075
17358.3 0.479312
17360.3 0.335268
17362.3 0.246255
17366.4 0.147670
17370.4 0.0983943
17374.4 0.0704347
17378.5 0.0532162
17386.5 0.0340070
17394.6 0.0241725
17402.7 0.0185133
17418.8 0.0126737
17434.9 0.00997355
17451.1 0.00860982
17483.3 0.00762604
17547.9 0.00848360
17612.4 0.0117872
17644.7 0.0147379
17677.0 0.0192076
17709.2 0.0263179
17741.5 0.0385136
17773.8 0.0619342
17789.9 0.0826142
17806.1 0.115528
17822.2 0.172326
17838.3 0.281370
17846.4 0.376508
17854.5 0.523611
17862.5 0.760016
17870.6 1.14360
17880.3 1.83548
17890.0 2.29703
17899.7 1.83179
17909.4 1.14116
17919.2 0.698525
17929.0 0.452781
17938.7 0.311808
17948.5 0.225916
17958.3 0.170483
17968.0 0.132910
17987.6 0.0870135
18007.1 0.0612690
18026.7 0.0454590
18065.7 0.0279111
18104.8 0.0189302
18143.9 0.0137397
18183.0 0.0104788
18222.1 0.00830318
18300.2 0.00568869
18378.4 0.00426533
18456.5 0.00344194
18534.7 0.00296901
18691.0 0.00270501
18769.2 0.00289232
18808.3 0.00309163
18847.4 0.00338768
18866.9 0.00358230
18886.4 0.00381554
18906.0 0.00409532
18925.5 0.00443174
18945.1 0.00483798
18964.6 0.00533139
18984.1 0.00593511
19003.7 0.00668035
19023.2 0.00760979
19042.8 0.00878251
19062.3 0.0102812
19081.8 0.0122225
19101.4 0.0147705
19120.9 0.0181517
19140.5 0.0226598
19160.0 0.0286119
19180.0 0.0363528
19200.0 0.0451810
19240.0 0.0561033
19260.0 0.0527785
19280.0 0.0449433
19320.0 0.0283861
19368.7 0.0162194
19417.4 0.0102250
19466.1 0.00712104
19514.7 0.00541819
19563.4 0.00450414
19612.1 0.00423635
19636.4 0.00451115
19660.8 0.00567704
19672.9 0.00740354
19679.0 0.00914058
19685.1 0.0123023
19691.2 0.0190198
19694.2 0.0256276
19697.3 0.0375057
19700.3 0.0623335
19701.9 0.0862548
19703.4 0.128309
19704.9 0.212704
19705.7 0.291004
19706.4 0.422656
19707.2 0.669048
19707.6 0.881193
19707.9 1.21055
19708.3 1.75831
19708.7 2.75425
19708.9 3.57524
19709.1 4.77715
19709.3 6.57993
19709.5 9.44429
19709.7 15.1210
19710.0 18.8868
19710.3 15.1203
19710.5 9.44391
19710.8 5.63305
19711.1 3.57525
19711.4 2.42626
19711.7 1.75840
19712.0 1.31509
19712.3 1.02676
19712.8 0.669160
19713.4 0.469742
19714.0 0.347751
19715.1 0.212823
19716.3 0.143523
19717.4 0.103941
19719.7 0.0623763
19724.3 0.0308073
19728.8 0.0192936
19737.9 0.0109023
19747.1 0.00802955
19756.2 0.00683910
19765.3 0.00637902
19783.6 0.00664173
19801.9 0.00846910
19811.0 0.0104669
19820.1 0.0140785
19829.3 0.0214134
19833.8 0.0282372
19838.4 0.0396807
19843.0 0.0611096
19845.3 0.0794811
19847.5 0.107918
19848.7 0.128500
19849.8 0.155272
19851.0 0.191165
19851.5 0.213806
19852.1 0.240528
19852.7 0.272291
19853.2 0.310315
19853.8 0.356151
19854.4 0.411755
19855.0 0.479553
19855.5 0.562436
19856.1 0.663593
19856.7 0.785934
19857.5 1.00658
19858.3 1.25566
19860.0 1.56872
19860.8 1.47547
19861.7 1.25540
19863.3 0.785693
19864.4 0.573620
19865.5 0.427029
19867.6 0.255353
19869.8 0.167210
19871.9 0.117622
19874.0 0.0871111
19876.2 0.0673036
19880.4 0.0439579
19884.7 0.0313520
19889.0 0.0238121
19897.5 0.0156670
19906.1 0.0116303
19914.6 0.00937313
19931.7 0.00715995
19965.8 0.00599038
20000.0 0.00638473
20049.9 0.00892000
20074.8 0.0115619
20099.7 0.0160809
20124.6 0.0245018
20137.1 0.0316446
20149.6 0.0425319
20162.0 0.0601623
20174.5 0.0908690
20186.9 0.149202
20193.2 0.197833
20199.4 0.266865
20209.7 0.427936
20220.0 0.535430
20230.3 0.427092
20240.6 0.266262
20248.2 0.185393
20255.8 0.132771
20263.3 0.0983595
20270.9 0.0752222
20286.0 0.0476161
20301.2 0.0326782
20316.3 0.0237855
20331.5 0.0181017
20361.7 0.0115391
20392.0 0.00804583
20422.3 0.00597050
20482.9 0.00372725
20543.4 0.00259969
20604.0 0.00195054
20725.1 0.00126396
20846.3 0.000923187
20967.4 0.000728147
21209.7 0.000527759
21451.9 0.000447345
21694.2 0.000456558
21815.3 0.000526048
21875.9 0.000603215
21936.4 0.000746085
21997.0 0.00104622
22027.3 0.00133714
22057.6 0.00185326
22087.9 0.00291771
22103.0 0.00394692
22118.1 0.00577977
22133.3 0.00958567
22140.8 0.0132870
22148.4 0.0198925
22152.2 0.0253641
22156.0 0.0335614
22159.8 0.0467499
22163.6 0.0698635
22165.5 0.0887449
22167.3 0.116436
22169.2 0.159641
22171.1 0.232454
22173.0 0.370278
22174.0 0.489864
22174.9 0.674493
22175.9 0.987200
22176.8 1.55557
22177.3 2.03971
22177.8 2.74147
22178.2 3.80286
22178.7 5.40914
22179.4 8.67307
22180.0 10.8019
22180.7 8.61955
22181.3 5.40867
22181.9 3.53804
22182.5 2.40818
22183.0 1.71633
22183.6 1.27435
22184.7 0.773733
22185.9 0.517884
22187.0 0.369021
22188.1 0.276741
22190.4 0.172014
22192.7 0.117606
22194.9 0.0858865
22197.2 0.0658613
22199.5 0.0524709
22204.0 0.0363742
22208.6 0.0277265
22217.7 0.0202795
22226.7 0.0198123
22231.3 0.0219655
22233.6 0.0238609
22235.8 0.0265029
22238.1 0.0301433
22240.4 0.0351721
22241.5 0.0384025
22242.6 0.0422050
22243.8 0.0467856
22244.9 0.0522408
22246.0 0.0588998
22247.2 0.0669451
22248.3 0.0769151
22249.4 0.0891439
22250.6 0.104509
22251.7 0.123548
22252.9 0.147541
22254.0 0.176953
22255.5 0.225520
22257.0 0.280679
22260.0 0.349751
22261.5 0.329085
22263.0 0.280144
22266.0 0.175976
22269.1 0.108865
22272.1 0.0713783
22275.1 0.0497900
22278.1 0.0366200
22284.2 0.0222144
22290.2 0.0150397
22296.3 0.0109555
22302.4 0.00841442
22314.5 0.00552528
22326.6 0.00399326
22338.7 0.00307466
22362.9 0.00206163
22387.1 0.00153629
22411.3 0.00122605
22459.8 0.000891259
22508.2 0.000725036
22556.6 0.000633377
22653.5 0.000551211
22847.2 0.000552917
23041.0 0.000686176
23234.7 0.00102272
23331.6 0.00136124
23428.4 0.00196871
23476.9 0.00247146
23525.3 0.00322635
23573.7 0.00443836
23622.2 0.00657301
23646.4 0.00831420
23670.6 0.0108928
23694.8 0.0149491
23719.0 0.0218696
23743.3 0.0351518
23755.4 0.0469016
23767.5 0.0656540
23779.6 0.0981827
