80-Hg_n-tot
> 80-Hg-196:0.001500
> 80-Hg-198:0.099700
> 80-Hg-199:0.168700
> 80-Hg-200:0.231000
> 80-Hg-201:0.131800
> 80-Hg-202:0.298600
> 80-Hg-204:0.068700
8.960940e+01 8.05585174e+01
8.964820e+01 1.10739257e+02
8.968700e+01 1.61898172e+02
8.972580e+01 2.50480580e+02
8.974580e+01 3.21763925e+02
8.976790e+01 4.00532087e+02
8.981000e+01 5.07355728e+02
8.985220e+01 4.16809262e+02
8.989430e+01 2.70792706e+02
8.991490e+01 2.23303225e+02
8.993380e+01 1.79732848e+02
8.997330e+01 1.26095460e+02
9.001270e+01 9.38933725e+01
9.005220e+01 7.35810088e+01
9.008400e+01 6.43934698e+01
9.013120e+01 5.07568300e+01
9.021010e+01 3.90324928e+01
9.025320e+01 3.53304228e+01
9.028910e+01 3.22469964e+01
9.036800e+01 2.79682967e+01
9.042230e+01 2.62811846e+01
9.052590e+01 2.30630352e+01
9.059140e+01 2.19777559e+01
9.068380e+01 2.04481135e+01
9.084170e+01 1.88802688e+01
9.092970e+01 1.83116893e+01
9.099960e+01 1.78621945e+01
9.115750e+01 1.71625220e+01
9.126790e+01 1.68547979e+01
9.147330e+01 1.62936533e+01
9.160620e+01 1.60843663e+01
9.177530e+01 1.58301836e+01
9.178910e+01 1.58105091e+01
9.194450e+01 1.56810295e+01
9.210490e+01 1.55663507e+01
9.211360e+01 1.55630690e+01
9.228270e+01 1.55310373e+01
9.242070e+01 1.55483890e+01
9.245190e+01 1.55609289e+01
9.262100e+01 1.57252647e+01
9.278400e+01 1.60669664e+01
9.279010e+01 1.60797583e+01
9.287470e+01 1.63904554e+01
9.295920e+01 1.68575003e+01
9.304380e+01 1.75787294e+01
9.305230e+01 1.76943806e+01
9.312840e+01 1.87446028e+01
9.321290e+01 2.06587713e+01
9.329750e+01 2.38244483e+01
9.339880e+01 2.96209938e+01
9.350000e+01 3.37319008e+01
9.360130e+01 3.01788263e+01
9.368390e+01 2.55271705e+01
9.370250e+01 2.44815682e+01
9.380090e+01 2.08261261e+01
9.389930e+01 1.87060241e+01
9.399770e+01 1.74443570e+01
9.409610e+01 1.66494300e+01
9.419450e+01 1.61192079e+01
9.429290e+01 1.57472464e+01
9.431560e+01 1.56919304e+01
9.448970e+01 1.52777209e+01
9.468650e+01 1.49952677e+01
9.488330e+01 1.48064040e+01
9.494720e+01 1.47670857e+01
9.527690e+01 1.45799901e+01
9.567050e+01 1.44411820e+01
9.606410e+01 1.43408639e+01
9.621040e+01 1.43110487e+01
9.645770e+01 1.42691389e+01
9.685130e+01 1.42140076e+01
9.747360e+01 1.41418619e+01
9.763840e+01 1.41257346e+01
9.842560e+01 1.40620689e+01
9.873680e+01 1.40396040e+01
9.921280e+01 1.40102954e+01
1.000000e+02 1.39657230e+01
1.014250e+02 1.38995874e+01
1.015630e+02 1.38984278e+01
1.028500e+02 1.38942668e+01
1.031250e+02 1.38857795e+01
1.062500e+02 1.38036153e+01
1.073730e+02 1.37780011e+01
1.093750e+02 1.37264822e+01
1.125000e+02 1.36521261e+01
1.147460e+02 1.36023680e+01
1.168670e+02 1.35502524e+01
1.184330e+02 1.35063082e+01
1.187500e+02 1.34977456e+01
1.202760e+02 1.34582057e+01
1.221190e+02 1.34223978e+01
1.239620e+02 1.34335373e+01
1.248840e+02 1.34937001e+01
1.250000e+02 1.35141882e+01
1.250220e+02 1.35180853e+01
1.258060e+02 1.36569661e+01
1.267270e+02 1.40974580e+01
1.271880e+02 1.45827715e+01
1.276490e+02 1.55027911e+01
1.278790e+02 1.62836808e+01
1.281100e+02 1.74631331e+01
1.283400e+02 1.93383965e+01
1.285700e+02 2.25310552e+01
1.288010e+02 2.85066147e+01
1.289160e+02 3.35918203e+01
1.290310e+02 4.13359065e+01
1.291460e+02 5.37912777e+01
1.292620e+02 7.51939827e+01
1.293770e+02 1.14758769e+02
1.294340e+02 1.46809283e+02
1.294920e+02 1.91272229e+02
1.295960e+02 3.04814923e+02
1.297000e+02 3.86313051e+02
1.298050e+02 3.18697241e+02
1.299090e+02 2.08521804e+02
1.299960e+02 1.45626703e+02
1.300830e+02 1.06289039e+02
1.301700e+02 8.14737457e+01
1.302570e+02 6.52402215e+01
1.304320e+02 4.62980127e+01
1.306060e+02 3.62290946e+01
1.307800e+02 3.02654910e+01
1.308850e+02 2.79615910e+01
1.309540e+02 2.64476064e+01
1.313020e+02 2.19995798e+01
1.316510e+02 1.95885132e+01
1.319990e+02 1.81235243e+01
1.326950e+02 1.64859572e+01
1.333920e+02 1.56211292e+01
1.340890e+02 1.50976489e+01
1.354820e+02 1.45032171e+01
1.368750e+02 1.41748083e+01
1.375000e+02 1.40799143e+01
1.382680e+02 1.39632731e+01
1.410540e+02 1.36960540e+01
1.466270e+02 1.33943750e+01
1.500000e+02 1.32919733e+01
1.522000e+02 1.32248380e+01
1.549860e+02 1.31944689e+01
1.577720e+02 1.32361110e+01
1.589210e+02 1.33144184e+01
1.605590e+02 1.34262007e+01
1.619520e+02 1.36291329e+01
1.625000e+02 1.37599983e+01
1.625110e+02 1.37626158e+01
1.633450e+02 1.39610722e+01
1.647380e+02 1.45087340e+01
1.661310e+02 1.54369662e+01
1.675240e+02 1.70861210e+01
1.682210e+02 1.83937327e+01
1.687500e+02 1.97990116e+01
1.689170e+02 2.02425028e+01
1.696140e+02 2.29401023e+01
1.703110e+02 2.70367140e+01
1.710070e+02 3.35884772e+01
1.717040e+02 4.48170669e+01
1.724000e+02 6.60143182e+01
1.727490e+02 8.41920346e+01
1.730970e+02 1.12070348e+02
1.734450e+02 1.57323243e+02
1.737940e+02 2.36072863e+02
1.741420e+02 3.84309517e+02
1.743160e+02 5.06406124e+02
1.744900e+02 6.78141019e+02
1.747950e+02 1.10829435e+03
1.750000e+02 1.31731388e+03
1.751000e+02 1.41927447e+03
1.754050e+02 1.16429612e+03
1.757100e+02 7.49051090e+02
1.759000e+02 5.62333450e+02
1.760900e+02 4.30406196e+02
1.764690e+02 2.71680478e+02
1.768490e+02 1.87516775e+02
1.772280e+02 1.38752754e+02
1.776080e+02 1.08231264e+02
1.779870e+02 8.79318256e+01
1.787460e+02 6.34495222e+01
1.795050e+02 4.97657058e+01
1.802640e+02 4.13083842e+01
1.812500e+02 3.50999177e+01
1.817830e+02 3.17429970e+01
1.833010e+02 2.66683792e+01
1.848190e+02 2.36113460e+01
1.863370e+02 2.16023615e+01
1.869570e+02 2.10279819e+01
1.875000e+02 2.05249692e+01
1.878550e+02 2.01956853e+01
1.906250e+02 1.85313574e+01
1.908910e+02 1.83714676e+01
1.937500e+02 1.73138320e+01
1.939280e+02 1.72483212e+01
1.968750e+02 1.65147845e+01
1.969640e+02 1.64931192e+01
1.984380e+02 1.62354063e+01
2.000000e+02 1.59771598e+01
2.012370e+02 1.58524151e+01
2.024750e+02 1.57657402e+01
2.037120e+02 1.57573882e+01
2.039840e+02 1.57942211e+01
2.049490e+02 1.59567647e+01
2.055680e+02 1.61991163e+01
2.061860e+02 1.66225486e+01
2.068050e+02 1.73776155e+01
2.074240e+02 1.87982591e+01
2.077330e+02 1.99834633e+01
2.079670e+02 2.13105875e+01
2.080420e+02 2.17380153e+01
2.083520e+02 2.44502192e+01
2.086610e+02 2.88663988e+01
2.089700e+02 3.66054014e+01
2.091250e+02 4.27718145e+01
2.092790e+02 5.15729750e+01
2.094340e+02 6.45828395e+01
2.095890e+02 8.44926976e+01
2.097430e+02 1.15987050e+02
2.098980e+02 1.66080558e+02
2.100990e+02 2.64628780e+02
2.103000e+02 3.37023927e+02
2.105020e+02 2.80717627e+02
2.107030e+02 1.86188074e+02
2.109020e+02 1.24260041e+02
2.111000e+02 8.84892333e+01
2.112990e+02 6.73322124e+01
2.114970e+02 5.41092213e+01
2.116960e+02 4.53833128e+01
2.118940e+02 3.93477712e+01
2.122910e+02 3.17768018e+01
2.126880e+02 2.73778630e+01
2.127540e+02 2.69133720e+01
2.130850e+02 2.45836219e+01
2.138790e+02 2.13339071e+01
2.146730e+02 1.95544213e+01
2.149930e+02 1.91099793e+01
2.154670e+02 1.84516697e+01
2.159350e+02 1.80120503e+01
2.162610e+02 1.77122046e+01
2.170550e+02 1.71894642e+01
2.186430e+02 1.64886140e+01
2.202310e+02 1.60334654e+01
2.218180e+02 1.57060907e+01
2.234060e+02 1.54525038e+01
2.239020e+02 1.53924486e+01
2.255070e+02 1.52139364e+01
2.265820e+02 1.50930816e+01
2.297580e+02 1.48238182e+01
2.318700e+02 1.46753672e+01
2.329340e+02 1.46058924e+01
2.361100e+02 1.44252812e+01
2.382610e+02 1.43180302e+01
2.398370e+02 1.42363580e+01
2.424610e+02 1.41050933e+01
2.430290e+02 1.40794799e+01
2.478040e+02 1.38643059e+01
2.488130e+02 1.38181507e+01
2.500190e+02 1.37665091e+01
2.510150e+02 1.37238612e+01
2.517880e+02 1.36889721e+01
2.557720e+02 1.35016651e+01
2.573910e+02 1.34240605e+01
2.577640e+02 1.34053181e+01
2.587600e+02 1.33583502e+01
2.597550e+02 1.33213250e+01
2.607510e+02 1.33183541e+01
2.612490e+02 1.33543116e+01
2.615160e+02 1.34098956e+01
2.617470e+02 1.34581214e+01
2.622450e+02 1.37381945e+01
2.624940e+02 1.40408662e+01
2.627430e+02 1.45997258e+01
2.629920e+02 1.57432659e+01
2.631170e+02 1.67914672e+01
2.632410e+02 1.84976210e+01
2.633660e+02 2.14885209e+01
2.634280e+02 2.38747182e+01
2.634900e+02 2.72799815e+01
2.635520e+02 3.23245364e+01
2.636150e+02 4.00500830e+01
2.636770e+02 5.22855091e+01
2.637080e+02 6.09404702e+01
2.637390e+02 7.18072570e+01
2.637680e+02 8.46318903e+01
2.637790e+02 8.94963706e+01
2.638200e+02 1.10115852e+02
2.639000e+02 1.38309632e+02
2.639400e+02 1.32812017e+02
2.639810e+02 1.16484342e+02
2.640610e+02 7.97645557e+01
2.641100e+02 6.35066853e+01
2.641580e+02 5.18384929e+01
2.642550e+02 3.75356299e+01
2.643530e+02 2.98052931e+01
2.644500e+02 2.52673766e+01
2.645470e+02 2.23950014e+01
2.646440e+02 2.04700117e+01
2.648380e+02 1.81241952e+01
2.650330e+02 1.67968622e+01
2.652270e+02 1.59678443e+01
2.656160e+02 1.50155222e+01
2.660040e+02 1.44980501e+01
2.663930e+02 1.41776445e+01
2.671700e+02 1.38025447e+01
2.679480e+02 1.35857608e+01
2.687250e+02 1.34392495e+01
2.701450e+02 1.32573572e+01
2.702790e+02 1.32395756e+01
2.710650e+02 1.31635342e+01
2.718340e+02 1.30891632e+01
2.733880e+02 1.29633870e+01
2.742190e+02 1.29046483e+01
2.750000e+02 1.28483651e+01
2.764980e+02 1.27409220e+01
2.765220e+02 1.27393454e+01
2.797100e+02 1.25158557e+01
2.805710e+02 1.24528592e+01
2.827160e+02 1.22912167e+01
2.828990e+02 1.22774874e+01
2.860870e+02 1.20327520e+01
2.869230e+02 1.19724175e+01
2.889340e+02 1.18221743e+01
2.892750e+02 1.17966735e+01
2.900980e+02 1.17485821e+01
2.908700e+02 1.17017027e+01
2.916670e+02 1.16688591e+01
2.920430e+02 1.16591223e+01
2.920650e+02 1.16586236e+01
2.922650e+02 1.16559840e+01
2.924640e+02 1.16548569e+01
2.926630e+02 1.16553628e+01
2.928620e+02 1.16576783e+01
2.930620e+02 1.16619568e+01
2.932610e+02 1.16685165e+01
2.932740e+02 1.16691087e+01
2.934600e+02 1.16770949e+01
2.936600e+02 1.16883744e+01
2.940580e+02 1.17207403e+01
2.944570e+02 1.17687624e+01
2.948550e+02 1.18366563e+01
2.951520e+02 1.19059960e+01
2.952540e+02 1.19310464e+01
2.956520e+02 1.20615683e+01
2.960510e+02 1.22343805e+01
2.964490e+02 1.24628058e+01
2.964500e+02 1.24635644e+01
2.968480e+02 1.27647249e+01
2.972460e+02 1.31672219e+01
2.976450e+02 1.37087581e+01
2.980440e+02 1.44461849e+01
2.982610e+02 1.50031086e+01
2.984420e+02 1.54746021e+01
2.988410e+02 1.69343104e+01
2.992390e+02 1.90491513e+01
2.996260e+02 2.21266385e+01
2.996380e+02 2.22220799e+01
3.000360e+02 2.72061787e+01
3.004350e+02 3.55077926e+01
3.008330e+02 5.04849222e+01
3.010330e+02 6.27254855e+01
3.012140e+02 7.89808509e+01
3.012320e+02 8.05975134e+01
3.013710e+02 9.95684694e+01
3.014310e+02 1.07761749e+02
3.016310e+02 1.50852311e+02
3.018300e+02 2.22039353e+02
3.020290e+02 3.41284786e+02
3.022650e+02 5.60785384e+02
3.025000e+02 7.25465860e+02
3.027360e+02 6.04978490e+02
3.028020e+02 5.46724504e+02
3.029250e+02 4.38162380e+02
3.029720e+02 3.96684371e+02
3.031320e+02 2.94503209e+02
3.032920e+02 2.24033626e+02
3.034520e+02 1.75604722e+02
3.036110e+02 1.41710879e+02
3.039310e+02 9.93453014e+01
3.042510e+02 7.52205371e+01
3.043900e+02 6.87069369e+01
3.044800e+02 6.44938662e+01
3.045700e+02 6.02935330e+01
3.048900e+02 5.04710366e+01
3.052570e+02 4.37316247e+01
3.055290e+02 3.87781673e+01
3.059770e+02 3.43173628e+01
3.060340e+02 3.37547482e+01
3.061690e+02 3.24528177e+01
3.067710e+02 2.90320438e+01
3.068080e+02 2.88263933e+01
3.068120e+02 2.88128102e+01
3.074470e+02 2.68793849e+01
3.075650e+02 2.66720113e+01
3.075890e+02 2.66356916e+01
3.080870e+02 2.61613090e+01
3.083590e+02 2.61954949e+01
3.083660e+02 2.62000547e+01
3.091430e+02 2.74378324e+01
3.091530e+02 2.74705268e+01
3.093650e+02 2.83324150e+01
3.095500e+02 2.92295678e+01
3.099210e+02 3.14020829e+01
