45-Rh_n-g
> 45-Rh-103:1.000000
1.140260e+02 9.30522000e+00
1.140700e+02 1.16370000e+01
1.141140e+02 9.30846000e+00
1.141580e+02 5.83131000e+00
1.142030e+02 3.59080000e+00
1.142470e+02 2.35152000e+00
1.142920e+02 1.64190000e+00
1.143360e+02 1.21014000e+00
1.144250e+02 7.43309000e-01
1.145140e+02 5.13338000e-01
1.146030e+02 3.84461000e-01
1.146920e+02 3.05607000e-01
1.148700e+02 2.18518000e-01
1.150480e+02 1.74469000e-01
1.152260e+02 1.49569000e-01
1.155820e+02 1.24930000e-01
1.162940e+02 1.11444000e-01
1.170070e+02 1.13806000e-01
1.184310e+02 1.39270000e-01
1.198550e+02 1.95055000e-01
1.205670e+02 2.43344000e-01
1.212790e+02 3.17503000e-01
1.219910e+02 4.39284000e-01
1.227040e+02 6.59783000e-01
1.230600e+02 8.44173000e-01
1.234160e+02 1.12363000e+00
1.237720e+02 1.57689000e+00
1.241280e+02 2.38451000e+00
1.243060e+02 3.04984000e+00
1.244840e+02 4.04241000e+00
1.246620e+02 5.61858000e+00
1.248400e+02 8.34250000e+00
1.250180e+02 1.36679000e+01
1.251070e+02 1.84658000e+01
1.251960e+02 2.62831000e+01
1.252850e+02 4.02320000e+01
1.253300e+02 5.16618000e+01
1.253740e+02 6.85394000e+01
1.254190e+02 9.47210000e+01
1.254410e+02 1.13474000e+02
1.254630e+02 1.37757000e+02
1.254850e+02 1.69983000e+02
1.255080e+02 2.12926000e+02
1.255300e+02 2.71066000e+02
1.255520e+02 3.48425000e+02
1.255740e+02 4.46570000e+02
1.255960e+02 5.59062000e+02
1.256400e+02 7.00112000e+02
1.256620e+02 6.58473000e+02
1.256840e+02 5.58852000e+02
1.257280e+02 3.48170000e+02
1.257560e+02 2.54554000e+02
1.257840e+02 1.89839000e+02
1.258390e+02 1.13482000e+02
1.258950e+02 7.40460000e+01
1.259500e+02 5.17190000e+01
1.260050e+02 3.79899000e+01
1.260610e+02 2.90345000e+01
1.261720e+02 1.84762000e+01
1.262830e+02 1.27602000e+01
1.263940e+02 9.33178000e+00
1.266150e+02 5.60868000e+00
1.268370e+02 3.74107000e+00
1.270590e+02 2.67459000e+00
1.272810e+02 2.00931000e+00
1.275030e+02 1.56681000e+00
1.279460e+02 1.03350000e+00
1.283900e+02 7.37033000e-01
1.288330e+02 5.55599000e-01
1.292770e+02 4.36726000e-01
1.301640e+02 2.96016000e-01
1.310520e+02 2.19654000e-01
1.328260e+02 1.45515000e-01
1.346010e+02 1.14426000e-01
1.363750e+02 1.01627000e-01
1.399240e+02 1.04451000e-01
1.434730e+02 1.42845000e-01
1.452480e+02 1.86809000e-01
1.470220e+02 2.69269000e-01
1.479090e+02 3.39300000e-01
1.487970e+02 4.46445000e-01
1.496840e+02 6.22104000e-01
1.505710e+02 9.39665000e-01
1.510150e+02 1.20489000e+00
1.514580e+02 1.60623000e+00
1.519020e+02 2.25584000e+00
1.523460e+02 3.41028000e+00
1.525670e+02 4.35842000e+00
1.527890e+02 5.76895000e+00
1.530110e+02 7.99991000e+00
1.532330e+02 1.18333000e+01
1.534550e+02 1.92540000e+01
1.535660e+02 2.58769000e+01
1.536760e+02 3.65541000e+01
1.537870e+02 5.53094000e+01
1.538430e+02 7.04495000e+01
1.538980e+02 9.24173000e+01
1.539540e+02 1.25845000e+02
1.540090e+02 1.79121000e+02
1.540650e+02 2.68663000e+02
1.541200e+02 4.21700000e+02
1.541800e+02 6.75791000e+02
1.542400e+02 8.45528000e+02
1.543000e+02 6.75415000e+02
1.543600e+02 4.21284000e+02
1.544090e+02 2.82103000e+02
1.544580e+02 1.95711000e+02
1.545070e+02 1.41442000e+02
1.545560e+02 1.06087000e+02
1.546540e+02 6.52491000e+01
1.547510e+02 4.38440000e+01
1.548490e+02 3.13654000e+01
1.549470e+02 2.35138000e+01
1.551430e+02 1.45871000e+01
1.553380e+02 9.91185000e+00
1.555340e+02 7.16987000e+00
1.557300e+02 5.42582000e+00
1.559250e+02 4.25006000e+00
1.563170e+02 2.81222000e+00
1.567080e+02 2.00075000e+00
1.570990e+02 1.49871000e+00
1.574900e+02 1.16684000e+00
1.582730e+02 7.69603000e-01
1.590560e+02 5.50381000e-01
1.598380e+02 4.17123000e-01
1.606210e+02 3.30439000e-01
1.621860e+02 2.29194000e-01
1.637510e+02 1.75913000e-01
1.668820e+02 1.29515000e-01
1.700120e+02 1.20332000e-01
1.731420e+02 1.36500000e-01
1.762730e+02 1.90665000e-01
1.778380e+02 2.55079000e-01
1.786210e+02 3.38509000e-01
1.788160e+02 3.91102000e-01
1.790120e+02 5.02884000e-01
1.791100e+02 6.21882000e-01
1.792070e+02 8.63473000e-01
1.792560e+02 1.09091000e+00
1.793050e+02 1.47493000e+00
1.793540e+02 2.17489000e+00
1.794030e+02 3.51233000e+00
1.794470e+02 5.42696000e+00
1.794900e+02 6.70463000e+00
1.795340e+02 5.43495000e+00
1.795770e+02 3.52738000e+00
1.796060e+02 2.64007000e+00
1.796350e+02 2.03591000e+00
1.796930e+02 1.34309000e+00
1.797500e+02 9.95158000e-01
1.798080e+02 8.03463000e-01
1.799240e+02 6.16715000e-01
1.800390e+02 5.36992000e-01
1.802700e+02 4.82814000e-01
1.805010e+02 4.77610000e-01
1.814250e+02 5.83380000e-01
1.823490e+02 8.06604000e-01
1.832730e+02 1.22224000e+00
1.837350e+02 1.57222000e+00
1.841960e+02 2.10429000e+00
1.846580e+02 2.97027000e+00
1.851200e+02 4.51965000e+00
1.853510e+02 5.80030000e+00
1.855820e+02 7.71863000e+00
1.858130e+02 1.07796000e+01
1.860440e+02 1.61030000e+01
1.861600e+02 2.03816000e+01
1.862750e+02 2.66169000e+01
1.863910e+02 3.62011000e+01
1.865060e+02 5.19906000e+01
1.865640e+02 6.40393000e+01
1.866220e+02 8.07006000e+01
1.866790e+02 1.04694000e+02
1.867370e+02 1.40722000e+02
1.867950e+02 1.98144000e+02
1.868530e+02 2.95764000e+02
1.868820e+02 3.71292000e+02
1.869100e+02 4.75001000e+02
1.869390e+02 6.20001000e+02
1.869680e+02 8.19900000e+02
1.870190e+02 1.31241000e+03
1.870700e+02 1.64085000e+03
1.871210e+02 1.31194000e+03
1.871720e+02 8.19368000e+02
1.872200e+02 5.17441000e+02
1.872680e+02 3.42868000e+02
1.873160e+02 2.39666000e+02
1.873640e+02 1.75428000e+02
1.874610e+02 1.04469000e+02
1.875570e+02 6.88394000e+01
1.876530e+02 4.86053000e+01
1.877490e+02 3.60992000e+01
1.879410e+02 2.21124000e+01
1.881340e+02 1.49057000e+01
1.883260e+02 1.07193000e+01
1.885180e+02 8.07640000e+00
1.887110e+02 6.30277000e+00
1.890950e+02 4.14500000e+00
1.894800e+02 2.93355000e+00
1.898640e+02 2.18635000e+00
1.902490e+02 1.69340000e+00
