Rb-85(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1199.62 33.8005
1200.28 54.5252
1200.61 71.7439
1200.94 97.2763
1201.27 136.765
1201.60 200.829
1201.93 309.804
1202.26 499.146
1202.63 838.171
1203.00 1098.51
1203.37 917.299
1203.74 597.877
1204.03 420.595
1204.32 305.819
1204.61 230.977
1204.90 180.641
1205.48 120.240
1206.06 87.0821
1206.64 66.9496
1207.22 53.8249
1208.38 38.1872
1209.54 29.4765
1210.70 24.0730
1211.86 20.4505
1213.02 17.8810
1215.34 14.5181
1217.66 12.4427
1219.99 11.0453
1222.31 10.0450
1226.95 8.71022
1231.59 7.85840
1236.23 7.26790
1237.39 7.15166
1238.55 7.05569
1239.13 7.02605
1239.71 7.03857
1240.00 7.09460
1240.14 7.15629
1240.29 7.26614
1240.43 7.47541
1240.51 7.65514
1240.58 7.92386
1240.65 8.35886
1240.72 9.08799
1240.80 10.4365
1240.87 12.9607
1240.94 16.6625
1241.00 19.0745
1241.07 16.5942
1241.13 12.9418
1241.20 10.4820
1241.27 9.15552
1241.34 8.39165
1241.41 7.93578
1241.54 7.43758
1241.68 7.18980
1241.82 7.04557
1241.95 6.95375
1242.22 6.84216
1242.77 6.72743
1243.32 6.65855
1244.41 6.55906
1245.50 6.47829
1246.59 6.40875
1247.69 6.35648
1248.23 6.34776
1248.78 6.38117
1249.05 6.44796
1249.19 6.51543
1249.32 6.63013
1249.46 6.84397
1249.60 7.28657
1249.67 7.70966
1249.73 8.40509
1249.80 9.63549
1249.87 11.8850
1249.94 15.3312
1250.00 17.5825
1250.07 15.2688
1250.13 11.8710
1250.21 9.42654
1250.28 8.17409
1250.36 7.49789
1250.44 7.10205
1250.59 6.68652
1250.74 6.48547
1250.89 6.37049
1251.04 6.29804
1251.34 6.21084
1251.95 6.12171
1252.56 6.06798
1253.77 5.98901
1254.98 5.92261
1259.83 5.69435
1269.53 5.31502
1288.92 4.69266
1308.32 4.12108
1327.71 3.52327
1337.41 3.20561
1347.11 2.88581
1356.80 2.60432
1366.50 2.49491
1371.35 2.62179
1376.20 3.03133
1381.05 4.02239
1383.47 4.92751
1385.90 6.30645
1388.32 8.44308
1390.75 11.8411
1393.17 17.4638
1395.59 27.2980
1398.02 45.9070
1399.23 61.6433
1400.44 85.2405
1401.65 122.132
1402.87 182.611
1404.08 286.548
1405.29 468.981
1406.65 798.434
1408.00 1060.60
1409.36 900.778
1410.71 597.467
1412.12 383.412
1413.53 261.075
1414.94 189.230
1416.36 144.431
1417.77 114.819
1419.18 94.2876
1422.00 68.3575
1424.82 53.1178
1427.65 43.3315
1433.29 31.7816
1438.94 25.3576
1444.58 21.3402
1450.23 18.6192
1453.05 17.5752
1454.46 17.1392
1454.81 17.0576
1455.16 17.0230
1455.34 17.0570
1455.52 17.1953
1455.61 17.3610
1455.69 17.6802
1455.78 18.3425
1455.83 18.9306
1455.87 19.8032
1455.94 21.6842
1456.00 22.9059
1456.07 21.6153
1456.13 19.7264
1456.18 18.7453
1456.23 18.1144
1456.33 17.4040
1456.42 17.0494
1456.52 16.8451
1456.71 16.6180
1456.91 16.4859
1457.30 16.3123
1457.68 16.1797
1459.24 15.7444
1462.34 15.0030
1468.55 13.7914
1480.96 12.0347
1487.17 11.3471
1490.27 11.0244
1493.38 10.7021
1496.48 10.3628
1498.03 10.1787
1499.58 9.98040
1500.36 9.87663
1501.14 9.77385
1501.91 9.68368
1502.69 9.64193
1503.08 9.66977
1503.46 9.77178
1503.85 10.0246
1504.24 10.6101
1504.63 12.0284
1504.82 13.4694
1505.02 15.9928
1505.21 20.7804
1505.40 30.9756
1505.50 40.6229
1505.60 56.5960
1505.70 84.4253
1505.79 133.418
1505.90 220.125
1506.00 287.525
1506.11 244.282
1506.21 164.687
1506.29 120.476
1506.37 91.1492
1506.45 71.7154
1506.53 58.4786
1506.69 42.3763
1506.85 33.4491
1507.01 27.9334
1507.17 24.3169
1507.49 19.9405
1507.81 17.4630
1508.13 15.9104
1508.44 14.8566
1508.76 14.1000
1509.40 13.0914
1510.04 12.4541
1510.68 12.0131
1511.32 11.6890
1512.59 11.2380
1513.87 10.9321
1516.43 10.5249
1518.98 10.2479
1521.53 10.0346
1526.64 9.70532
1536.86 9.22586
1547.07 8.85868
1567.51 8.28690
1587.94 7.82643
1608.37 7.40386
1618.59 7.18259
1628.80 6.93202
1639.02 6.61382
1644.13 6.40348
1649.23 6.12822
1651.79 5.95173
1654.34 5.73591
1656.90 5.46419
1659.45 5.11205
1660.73 4.89637
1662.00 4.65120
1663.28 4.38370
1664.56 4.13555
1665.20 4.06259
1665.83 4.09057
1666.47 4.35124
1667.11 5.17146
1667.43 6.03677
1667.75 7.49503
1668.07 10.0306
1668.39 14.6619
1668.55 18.4239
1668.71 23.8270
1668.87 31.8268
1669.03 44.0235
1669.19 63.7195
1669.35 96.8064
1669.51 156.253
1669.67 264.746
1669.83 455.395
1670.00 610.885
1670.17 524.529
1670.34 352.563
1670.44 272.013
1670.54 213.980
1670.74 141.601
1670.95 101.631
1671.15 77.6855
1671.36 62.2714
1671.56 51.7565
1671.97 38.6703
1672.38 31.0504
1672.79 26.1917
1673.60 20.4687
1674.42 17.2960
