Zn-70(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
55303.7 1.70224
55318.0 2.51065
55332.2 3.62929
55346.4 5.16550
55360.7 7.25945
55374.9 10.0812
55396.7 16.2337
55418.5 24.9219
55462.0 44.4783
55483.8 48.9501
55505.6 48.0979
55549.1 39.0529
55577.8 32.9597
55606.6 28.0737
55664.0 21.4389
55721.5 17.4439
55778.9 14.8920
55836.4 13.1861
55893.8 12.0598
55922.5 11.7072
55951.3 11.5737
55965.6 11.6691
55972.8 11.8008
55980.0 12.0373
55987.2 12.4770
55990.8 12.8484
55994.4 13.4243
55997.9 14.4180
55999.7 15.2372
56001.5 16.4817
56003.3 18.5904
56004.2 20.2679
56005.1 22.6876
56006.0 26.4938
56006.9 32.9394
56007.4 37.9640
56007.8 45.0004
56008.3 55.0233
56008.7 68.9444
56009.4 94.6911
56010.0 104.181
56010.6 76.7120
56011.3 46.4447
56011.8 31.7617
56012.3 23.2929
56012.9 18.3980
56013.4 15.4627
56014.5 12.4616
56015.5 11.1704
56016.6 10.5823
56017.6 10.3183
56019.8 10.2024
56024.0 10.4692
56028.2 10.8869
56036.7 11.9084
56045.2 13.3645
56053.6 15.7766
56062.1 20.3315
56066.3 24.2586
56070.6 30.2296
56074.8 39.6227
56079.0 54.4963
56084.5 83.4499
56090.0 104.075
56095.5 86.5480
56101.0 58.3704
56106.7 39.3536
56112.4 28.7630
56118.1 22.6698
56123.8 18.9338
56129.5 16.4995
56135.3 14.8290
56146.7 12.7440
56158.1 11.5264
56169.5 10.7422
56192.3 9.79729
56215.2 9.24099
56238.0 8.86406
56283.7 8.35924
56329.3 8.01193
56375.0 7.74287
56466.3 7.33010
56557.7 7.01336
56649.0 6.75554
56831.7 6.35154
57014.3 6.04230
57197.0 5.79282
57562.3 5.40128
57927.7 5.08695
58293.0 4.79910
58475.7 4.65077
58567.0 4.57255
58658.3 4.49061
58749.7 4.40551
58841.0 4.32641
58886.7 4.30617
58909.5 4.31447
58932.3 4.35535
58943.8 4.40109
58955.2 4.47974
58966.6 4.61874
58978.0 4.87948
58989.4 5.42461
58995.1 5.93660
59000.8 6.79263
59006.6 8.36736
59009.4 9.68998
59012.3 11.6720
59015.1 14.8246
59018.0 20.1262
59020.8 29.6926
59023.7 47.6402
59026.3 74.7094
59029.0 93.4047
59031.7 76.4087
59034.3 49.8162
59037.1 32.3167
59039.8 22.5332
59042.5 16.8960
59045.2 13.4550
59047.9 11.2126
59050.6 9.68877
59056.1 7.80514
59061.5 6.73268
59066.9 6.06306
59077.8 5.29961
59088.7 4.89061
59099.5 4.64057
59110.4 4.47239
59121.2 4.35066
59143.0 4.18187
59164.7 4.06377
59208.1 3.88810
59295.0 3.59047
59381.9 3.24681
59468.8 2.76592
59512.2 2.43188
59555.6 1.99557
59599.1 1.40921
59620.8 1.04429
59642.5 0.635965
59664.2 0.235199
59675.1 0.0933622
59686.0 0.0736297
59691.4 0.152212
59696.8 0.329859
59702.3 0.655798
59707.7 1.20464
59713.1 2.09005
59718.5 3.48452
59724.0 5.64446
59729.4 8.92879
59735.6 14.5484
59741.7 22.5675
59754.0 40.9617
59760.2 45.3913
59766.3 44.8695
59778.6 36.7953
59788.0 30.4545
59797.3 25.5529
59806.7 21.9221
59816.1 19.2262
59834.8 15.5990
59853.5 13.3359
59872.2 11.8139
59891.0 10.7307
59928.4 9.30142
59965.9 8.40657
60003.3 7.79545
60078.2 7.01511
60153.1 6.53688
60228.0 6.21260
60377.8 5.79985
60527.6 5.55443
