53-I_n-tot
>  53-I-127:1.000000
8.490050e+01 5.36427000e+00
8.535030e+01 5.27586000e+00
8.557510e+01 5.33491000e+00
8.568760e+01 5.54946000e+00
8.574380e+01 5.87883000e+00
8.577190e+01 6.19896000e+00
8.580000e+01 6.71216000e+00
8.587000e+01 8.29406000e+00
8.594000e+01 6.68737000e+00
8.597420e+01 6.07842000e+00
8.600840e+01 5.73035000e+00
8.607680e+01 5.39720000e+00
8.621350e+01 5.17621000e+00
8.648700e+01 5.05911000e+00
8.703400e+01 5.01819000e+00
8.758100e+01 5.10612000e+00
8.812800e+01 5.42240000e+00
8.840150e+01 5.75721000e+00
8.867500e+01 6.32825000e+00
8.894850e+01 7.34756000e+00
8.922200e+01 9.31766000e+00
8.935880e+01 1.10244000e+01
8.949550e+01 1.36583000e+01
8.963230e+01 1.79769000e+01
8.976900e+01 2.56757000e+01
8.990580e+01 4.11855000e+01
8.997410e+01 5.54730000e+01
9.004250e+01 7.91259000e+01
9.011090e+01 1.22074000e+02
9.014510e+01 1.57741000e+02
9.017930e+01 2.10949000e+02
9.021340e+01 2.94503000e+02
9.024760e+01 4.33793000e+02
9.028180e+01 6.81288000e+02
9.031600e+01 1.13644000e+03
9.034900e+01 1.83744000e+03
9.038200e+01 2.32275000e+03
9.041500e+01 1.87989000e+03
9.044800e+01 1.18955000e+03
9.048530e+01 6.99994000e+02
9.052260e+01 4.43146000e+02
9.055990e+01 3.02089000e+02
9.059730e+01 2.18605000e+02
9.063460e+01 1.65728000e+02
9.067190e+01 1.30340000e+02
9.074650e+01 8.75413000e+01
9.082110e+01 6.36742000e+01
9.089580e+01 4.90192000e+01
9.104500e+01 3.26573000e+01
9.119430e+01 2.41647000e+01
9.134350e+01 1.91656000e+01
9.149280e+01 1.59577000e+01
9.164200e+01 1.37654000e+01
9.194050e+01 1.10237000e+01
9.223900e+01 9.41897000e+00
9.253750e+01 8.38598000e+00
9.283600e+01 7.67413000e+00
9.343300e+01 6.76779000e+00
9.403000e+01 6.22028000e+00
9.462700e+01 5.85488000e+00
9.522400e+01 5.59316000e+00
9.641800e+01 5.24022000e+00
9.761200e+01 5.00900000e+00
1.000000e+02 4.71303000e+00
1.021460e+02 4.53726000e+00
1.042910e+02 4.40343000e+00
1.085830e+02 4.19930000e+00
1.128740e+02 4.03590000e+00
1.171650e+02 3.88817000e+00
1.214560e+02 3.74130000e+00
1.257480e+02 3.58240000e+00
1.278930e+02 3.49442000e+00
1.300390e+02 3.40021000e+00
1.321840e+02 3.30868000e+00
1.332570e+02 3.28297000e+00
1.337940e+02 3.31106000e+00
1.340620e+02 3.42339000e+00
1.341290e+02 3.51084000e+00
1.341960e+02 3.68544000e+00
1.342630e+02 4.10095000e+00
1.342970e+02 4.53685000e+00
1.343300e+02 5.29598000e+00
1.343650e+02 6.51886000e+00
1.344000e+02 7.33434000e+00
1.344350e+02 6.52104000e+00
1.344700e+02 5.29970000e+00
1.345100e+02 4.43293000e+00
1.345510e+02 3.98847000e+00
1.346310e+02 3.60864000e+00
1.347920e+02 3.39847000e+00
1.351140e+02 3.33293000e+00
1.357570e+02 3.39740000e+00
1.364010e+02 3.60823000e+00
1.370450e+02 4.11092000e+00
1.373660e+02 4.59673000e+00
1.376880e+02 5.39981000e+00
1.380100e+02 6.80768000e+00
1.383320e+02 9.49814000e+00
1.384930e+02 1.18138000e+01
1.386540e+02 1.53700000e+01
1.388150e+02 2.11644000e+01
1.388950e+02 2.55059000e+01
1.389750e+02 3.14021000e+01
1.390560e+02 3.96818000e+01
1.391360e+02 5.17291000e+01
1.392170e+02 7.01682000e+01
1.392970e+02 1.00126000e+02
1.393780e+02 1.53150000e+02
1.394180e+02 1.95941000e+02
1.394580e+02 2.58076000e+02
1.394980e+02 3.52389000e+02
1.395390e+02 5.01569000e+02
1.395790e+02 7.48748000e+02
1.396190e+02 1.16498000e+03
1.396650e+02 1.88681000e+03
1.397100e+02 2.38981000e+03
1.397560e+02 1.94192000e+03
1.398010e+02 1.23406000e+03
1.398480e+02 7.63177000e+02
1.398940e+02 5.00615000e+02
1.399410e+02 3.49128000e+02
1.399880e+02 2.56667000e+02
1.400340e+02 1.96592000e+02
1.400810e+02 1.55755000e+02
1.401740e+02 1.05459000e+02
1.402670e+02 7.68774000e+01
1.403610e+02 5.91114000e+01
1.405470e+02 3.90508000e+01
1.407340e+02 2.85098000e+01
1.409200e+02 2.22586000e+01
1.411070e+02 1.82230000e+01
1.412930e+02 1.54527000e+01
