W-183(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
245.931 26.3233
245.941 32.9726
245.951 42.6654
245.961 57.2316
245.971 79.1236
245.978 101.077
245.985 126.679
246.000 161.367
246.015 133.852
246.029 88.1043
246.044 57.5460
246.059 40.2858
246.073 30.1840
246.088 23.9193
246.103 19.8094
246.118 16.9800
246.147 13.4496
246.176 11.4058
246.206 10.1203
246.265 8.63824
246.324 7.84052
246.382 7.36361
246.500 6.87564
246.618 6.78053
246.677 6.91564
246.735 7.29383
246.794 8.22415
246.824 9.15214
246.853 10.7517
246.882 13.7457
246.897 16.2736
246.912 20.0793
246.927 26.0903
246.941 36.1374
246.956 53.9592
246.963 67.9657
246.971 86.5856
246.978 111.052
246.985 139.248
247.000 177.988
247.015 147.984
247.029 97.5366
247.041 69.6823
247.053 51.8297
247.064 40.1451
247.076 32.3924
247.099 23.0995
247.122 18.0550
247.145 15.0009
247.168 13.0177
247.214 10.6741
247.260 9.37411
247.306 8.57046
247.399 7.64687
247.491 7.13867
247.583 6.81857
247.768 6.43293
247.952 6.20211
248.137 6.04234
248.506 5.82271
249.244 5.54119
249.982 5.33493
251.458 4.98721
252.934 4.65019
254.410 4.29785
255.148 4.13370
255.886 4.03885
256.255 4.06944
256.624 4.22770
256.993 4.66178
257.362 5.75001
257.547 6.83108
257.731 8.64514
257.916 11.8598
258.100 18.0429
258.192 23.3763
258.285 31.5471
258.377 44.8217
258.469 68.0547
258.515 86.6908
258.561 113.511
258.607 153.916
258.654 218.284
258.700 328.869
258.746 537.068
258.769 714.696
258.792 980.800
258.815 1394.75
258.838 2035.97
258.869 3322.37
258.900 4245.37
258.931 3472.74
258.962 2215.34
258.982 1629.88
259.002 1222.85
259.042 744.111
259.082 495.821
259.123 354.155
259.163 266.543
259.203 208.794
259.283 139.869
259.363 101.766
259.443 78.4745
259.604 52.4347
259.764 38.8161
259.925 30.7263
260.085 25.4777
260.246 21.8504
260.566 17.2404
260.887 14.4851
261.208 12.6755
261.529 11.4059
262.171 9.74959
262.812 8.71739
264.096 7.48317
265.379 6.74033
266.663 6.21177
269.230 5.41700
270.513 5.06857
271.796 4.72588
273.080 4.38435
274.363 4.07085
275.005 3.96012
275.647 3.93856
276.289 4.12837
276.930 4.85523
277.251 5.67848
277.572 7.14685
277.893 9.87502
278.053 12.1034
278.214 15.3227
278.374 20.1308
278.535 27.6121
278.695 39.9293
278.855 61.8268
278.936 79.5674
279.016 105.335
279.096 144.518
279.176 207.625
279.256 317.205
279.337 527.574
279.377 709.616
279.417 987.791
279.457 1426.81
279.497 2124.30
279.549 3468.96
279.600 4435.88
279.652 3631.62
279.704 2318.02
279.736 1728.80
279.769 1312.75
279.833 812.652
279.898 548.016
279.962 395.092
280.027 299.382
280.091 235.898
280.221 159.419
280.350 116.800
280.479 90.5298
280.737 60.9420
280.995 45.3434
281.253 36.0059
281.512 29.9116
281.770 25.6772
282.286 20.2591
282.803 16.9895
283.319 14.8231
283.835 13.2877
284.868 11.2490
285.901 9.92680
286.417 9.41249
286.934 8.99144
287.192 8.87545
287.321 8.89760
287.450 9.06443
287.579 9.61494
287.644 10.2538
287.708 11.4797
287.773 14.0969
287.805 16.5820
287.837 20.7468
287.870 28.4051
287.902 44.2848
287.918 59.1701
287.934 83.5293
287.950 125.840
287.967 201.315
287.983 326.672
288.000 417.299
288.017 344.497
288.034 224.633
288.050 147.494
288.066 102.632
288.082 75.6547
288.098 58.7869
288.130 39.7815
288.162 30.0242
288.194 24.3321
288.226 20.7330
288.290 16.5574
288.354 14.2935
288.418 12.9086
288.546 11.3349
288.675 10.4763
288.803 9.93544
289.059 9.27943
289.316 8.87847
289.572 8.59336
290.085 8.18470
291.111 7.62423
292.136 7.19035
293.162 6.81172
293.675 6.64841
294.188 6.53825
294.444 6.53378
294.701 6.60714
294.957 6.84328
295.213 7.45557
295.342 8.06447
295.470 9.07941
295.598 10.8564
295.726 14.2108
295.854 21.3222
295.919 28.0915
295.983 39.5561
296.015 48.4492
296.047 60.8442
296.079 78.8460
296.111 105.949
296.143 149.189
296.175 222.075
296.191 278.158
296.207 354.180
296.223 458.676
296.239 601.299
296.270 984.213
296.300 1261.61
296.331 1037.18
296.361 667.338
296.386 459.393
296.411 327.503
296.435 243.347
296.460 187.946
296.510 122.612
296.559 87.5439
296.609 66.6294
296.658 53.2079
296.757 37.5110
296.856 28.9624
296.955 23.7624
297.054 20.3353
297.153 17.9411
297.351 14.8668
297.549 13.0130
297.748 11.7885
297.946 10.9264
298.342 9.79771
298.738 9.09228
299.134 8.60695
299.530 8.24941
300.322 7.74843
301.114 7.40313
302.699 6.92894
304.283 6.58957
305.868 6.31204
309.037 5.83108
312.205 5.35688
313.790 5.09640
315.374 4.80868
316.167 4.65532
316.959 4.50294
317.751 4.37332
318.543 4.33611
318.939 4.41350
319.335 4.64147
319.732 5.18588
320.128 6.46206
320.326 7.68961
320.524 9.70683
320.722 13.2111
320.821 15.9518
320.920 19.7962
321.019 25.3708
321.118 33.7699
321.217 47.1115
321.316 69.8236
321.366 87.5508
321.415 112.435
321.465 148.733
321.514 204.122
321.564 293.480
321.613 447.751
321.663 735.015
321.687 969.959
321.712 1296.55
321.756 2123.36
321.800 2721.59
321.844 2233.60
321.888 1430.89
321.918 1045.37
321.947 780.974
321.976 599.174
322.006 472.607
322.065 314.764
322.124 225.383
322.183 170.341
322.241 134.141
322.359 90.9841
322.477 67.1355
322.595 52.5072
322.713 42.8418
322.830 36.0908
323.066 27.4543
323.302 22.2850
323.537 18.9082
323.773 16.5593
324.244 13.5440
324.715 11.7165
325.186 10.4996
325.657 9.63338
326.600 8.47890
327.542 7.73508
329.427 6.79453
331.311 6.16860
333.196 5.65479
334.138 5.40307
335.080 5.13566
335.552 4.99826
335.787 4.93861
336.023 4.90723
336.258 4.97323
336.376 5.11361
336.494 5.44912
336.612 6.29560
336.671 7.19432
336.730 8.84989
336.788 12.2519
336.818 15.4028
336.847 20.5665
336.877 29.7947
336.892 37.2450
336.906 48.0525
336.921 64.3467
336.936 89.9818
336.950 131.960
336.965 201.627
336.983 329.430
337.000 422.837
337.018 349.131
337.035 226.265
337.055 136.955
337.075 89.7237
337.095 63.3675
337.114 47.6930
337.134 37.6201
337.154 30.8482
337.194 22.5431
337.233 17.8153
337.273 14.8684
337.352 11.4945
337.432 9.68316
337.511 8.58407
337.670 7.34282
337.828 6.67063
337.987 6.25088
338.304 5.74775
338.939 5.23139
339.573 4.92480
340.842 4.49126
342.112 4.16378
342.746 4.05562
343.381 4.03489
344.015 4.21119
344.650 4.87606
344.967 5.62180
345.284 6.94317
345.602 9.37986
345.760 11.3591
345.919 14.2060
346.078 18.4371
346.236 24.9828
346.395 35.6918
346.554 54.5438
346.633 69.6839
346.712 91.4972
346.792 124.325
346.871 176.464
346.950 265.232
347.029 430.662
347.069 569.783
347.109 775.767
347.148 1090.00
347.188 1567.63
347.244 2564.21
347.300 3286.08
347.357 2696.43
347.413 1724.52
347.455 1218.83
347.497 885.621
347.539 665.856
347.581 517.225
347.664 337.468
347.748 238.811
347.832 179.137
347.916 140.438
348.083 94.8146
348.250 69.8254
348.418 54.5815
348.585 44.5270
348.753 37.5145
349.088 28.5362
349.423 23.1491
349.757 19.6161
350.092 17.1452
350.762 13.9461
351.432 11.9744
352.102 10.6490
352.269 10.4094
352.437 10.2758
352.520 10.3398
352.562 10.4680
352.604 10.7441
352.646 11.3540
352.667 11.9255
352.688 12.8604
352.709 14.5042
352.730 17.6366
352.740 20.3356
352.751 24.3695
352.761 30.6884
352.772 40.4312
352.786 60.4870
352.800 75.0404
352.814 63.4646
352.829 44.3106
352.843 31.2779
352.858 23.9389
352.873 19.6809
352.887 17.0534
352.917 14.1481
352.946 12.6668
352.975 11.7974
353.005 11.2381
353.064 10.5689
353.181 9.91946
353.299 9.57611
353.534 9.15597
353.769 8.85935
354.709 8.01362
355.649 7.36827
356.589 6.80241
357.529 6.26575
357.999 6.00810
358.469 5.78777
358.704 5.72155
358.939 5.73037
359.174 5.90602
359.409 6.48580
359.526 7.11095
359.644 8.19556
359.761 10.1572
359.879 13.9660
359.937 17.2525
359.996 22.2605
360.055 30.3215
360.084 36.2600
360.114 44.1733
360.143 55.0625
360.172 70.4650
360.202 93.0745
360.231 127.666
360.260 184.051
360.290 282.288
360.305 359.492
360.319 467.314
360.334 619.750
360.349 832.366
360.374 1369.12
360.400 1759.16
360.426 1448.35
360.452 933.579
360.468 691.702
360.485 522.820
360.518 323.170
360.552 218.641
360.585 158.836
360.618 121.530
360.652 96.8843
360.718 67.2040
360.785 50.6518
360.852 40.4247
360.985 28.8498
361.119 22.6974
361.252 18.9817
361.385 16.5342
361.519 14.8189
361.785 12.5922
362.052 11.2227
362.319 10.2980
362.586 9.63096
363.119 8.72530
363.653 8.12889
364.720 7.35998
365.787 6.85107
366.854 6.46046
368.988 5.82893
371.122 5.24753
372.189 4.94272
373.256 4.62190
373.790 4.46240
374.323 4.32044
374.857 4.23713
375.390 4.33203
375.657 4.54635
375.924 5.00826
376.191 5.97185
376.458 8.05673
376.591 9.98024
376.724 13.0603
376.858 18.2701
376.924 22.2673
376.991 27.7808
377.058 35.6418
377.124 47.2624
377.191 65.2758
377.258 94.9768
377.325 148.170
377.358 191.619
377.391 254.939
377.425 351.708
377.458 505.694
377.491 762.623
377.525 1199.01
377.562 1969.76
377.600 2529.93
377.638 2080.68
377.676 1336.87
377.701 972.507
377.727 724.262
377.753 554.984
377.778 437.181
377.830 290.904
377.881 208.541
377.933 157.818
377.984 124.555
378.087 84.8625
378.190 62.9136
378.293 49.4322
378.396 40.5094
378.499 34.2705
378.704 26.2578
378.910 21.4426
379.116 18.2843
379.322 16.0787
379.733 13.2312
380.145 11.4918
380.556 10.3245
