Zn-67(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
2691.15 4.89775
2691.20 3.65638
2691.25 2.78340
2691.34 1.74643
2691.43 1.19835
2691.53 0.882631
2691.71 0.557501
2691.90 0.403842
2692.27 0.268224
2692.64 0.211648
2693.39 0.164514
2694.13 0.144457
2697.11 0.114721
2703.07 0.0905413
2714.99 0.0645709
2726.91 0.0497658
2738.83 0.0402952
2762.67 0.0291043
2786.50 0.0228604
2834.17 0.0164088
2858.01 0.0149875
2869.93 0.0160219
2875.89 0.0225584
2877.38 0.0293846
2878.87 0.0482699
2879.61 0.0734589
2880.36 0.140009
2880.73 0.224340
2881.10 0.429900
2881.29 0.665574
2881.48 1.16710
2881.57 1.65594
2881.66 2.50702
2881.75 4.12208
2881.80 5.48410
2881.85 7.37270
2881.92 11.8057
2882.00 14.7045
2882.08 11.7447
2882.15 7.37304
2882.22 4.87409
2882.28 3.36422
2882.35 2.41215
2882.41 1.80731
2882.54 1.10874
2882.67 0.748052
2882.93 0.405745
2883.18 0.256033
2883.70 0.131888
2884.21 0.0832280
2885.24 0.0457011
2886.27 0.0317546
2890.38 0.0175542
2898.61 0.0135514
2915.08 0.0120379
2948.00 0.0110294
2980.92 0.0110735
2997.38 0.0134935
3001.50 0.0161384
3005.61 0.0236603
3007.67 0.0340277
3009.73 0.0627894
3010.75 0.101559
3011.78 0.205896
3012.30 0.341303
3012.56 0.468149
3012.81 0.684003
3013.07 1.09550
3013.20 1.45848
3013.33 2.02897
3013.46 3.01349
3013.58 4.86860
3013.65 6.49429
3013.71 8.94373
3013.78 12.8126
3013.84 18.9709
3013.92 30.3858
3014.00 38.0118
3014.08 30.3863
3014.16 18.9717
3014.25 10.8961
3014.34 6.77836
3014.43 4.54050
3014.53 3.22750
3014.62 2.39525
3014.71 1.84926
3014.89 1.19498
3015.07 0.833240
3015.26 0.615287
3015.62 0.375998
3015.98 0.254469
3016.35 0.184833
3017.08 0.111944
3018.54 0.0568963
3019.99 0.0367985
3022.91 0.0220265
3025.83 0.0167367
3037.50 0.0115297
3060.83 0.0102344
3107.50 0.0103006
3154.18 0.0112547
3177.51 0.0122066
3189.18 0.0133775
3195.01 0.0162707
3197.93 0.0262525
3199.39 0.0611743
3199.76 0.0931179
3200.12 0.170702
3200.30 0.259982
3200.48 0.448487
3200.67 0.948312
3200.76 1.54520
3200.85 2.73392
3200.92 4.35956
3201.00 5.44048
3201.08 4.35966
3201.15 2.73406
3201.21 1.89727
3201.27 1.36210
3201.38 0.772047
3201.60 0.338005
3201.83 0.190164
3202.06 0.123889
3202.96 0.0458079
3204.77 0.0221523
3208.38 0.0158105
3215.61 0.0145497
3230.08 0.0151939
3259.00 0.0181616
3287.92 0.0233658
3302.39 0.0277486
3309.62 0.0319452
3313.23 0.0396985
3315.04 0.0633218
3315.95 0.138947
3316.17 0.202946
3316.40 0.345758
