Sb-121(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
157.222 1.69677
157.247 1.26403
157.298 0.808636
157.349 0.590155
157.400 0.469516
157.451 0.396477
157.553 0.316436
157.756 0.253740
157.960 0.232441
158.367 0.227845
158.775 0.252488
159.182 0.321483
159.386 0.392934
159.589 0.522452
159.793 0.791134
159.895 1.04811
159.997 1.49465
160.099 2.37531
160.149 3.17545
160.200 4.49134
160.251 6.87246
160.277 8.85640
160.302 11.8161
160.328 16.5157
160.353 24.4196
160.379 38.8180
160.404 65.9602
160.427 105.463
160.450 131.612
160.473 105.266
160.496 65.7994
160.521 39.1860
160.546 24.9451
160.571 16.9589
160.595 12.2056
160.620 9.16795
160.645 7.13861
160.694 4.68013
160.744 3.31574
160.793 2.48403
160.892 1.56765
160.991 1.10228
161.090 0.834971
161.288 0.557298
161.486 0.425561
161.684 0.355043
162.080 0.292303
162.872 0.284505
163.664 0.360115
164.060 0.437420
164.456 0.561179
164.852 0.768726
165.248 1.14826
165.446 1.46644
165.644 1.94855
165.842 2.72886
166.040 4.11357
166.139 5.24781
166.238 6.93177
166.337 9.58584
166.436 14.1220
166.535 22.8281
166.585 30.5256
166.634 42.8104
166.684 64.0662
166.708 80.9848
166.733 105.113
166.758 141.182
166.783 196.990
166.807 287.089
166.832 434.057
166.861 690.844
166.890 860.512
166.920 685.987
166.949 426.528
166.978 262.027
167.008 170.434
167.037 117.629
167.066 85.3386
167.096 64.3866
167.125 50.2147
167.184 32.8670
167.242 23.1037
167.301 17.1122
167.418 10.4485
167.536 7.03381
167.653 5.05692
167.770 3.81170
167.887 2.97793
168.122 1.96420
168.356 1.39570
168.591 1.04500
168.826 0.813674
169.295 0.536790
169.764 0.383579
170.233 0.289883
170.702 0.228355
171.640 0.155016
172.578 0.114761
173.517 0.0916938
173.986 0.0883250
174.220 0.101259
174.279 0.114030
174.338 0.142548
174.396 0.222456
174.425 0.323072
174.455 0.535164
174.477 0.812197
174.500 0.995920
174.523 0.810490
174.545 0.534286
174.575 0.318636
174.605 0.217663
174.665 0.137383
174.724 0.108165
174.784 0.0944835
175.023 0.0771459
175.500 0.0742533
