Ti-49(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
68097.7 0.392700
68098.4 0.777224
68098.8 1.18954
68099.2 1.90189
68099.6 3.05103
68100.0 3.79645
68100.4 3.05097
68100.8 1.90183
68101.3 1.07236
68101.7 0.651711
68102.7 0.306107
68104.6 0.114994
68108.4 0.0394644
68116.0 0.0154390
68131.2 0.00846809
68161.7 0.00626649
68222.6 0.00508936
68344.4 0.00387309
68588.1 0.00250277
68831.8 0.00176824
69075.4 0.00133686
69562.7 0.000888632
70050.1 0.000685441
70537.4 0.000592964
71024.7 0.000569439
71512.0 0.000623686
71755.7 0.000723455
71877.5 0.000875659
71938.4 0.00123603
71968.9 0.00245696
71984.1 0.00697411
71991.7 0.0231550
71995.5 0.0757418
71997.4 0.216063
71998.4 0.490020
71998.8 0.852801
71999.3 1.65556
72000.0 3.31038
72000.7 1.65554
72001.5 0.595077
72002.2 0.282400
72003.8 0.105007
72006.9 0.0331269
72013.1 0.00992161
72025.5 0.00333632
72050.3 0.00163495
72099.9 0.00140809
72149.5 0.00227290
72174.3 0.00564195
72186.7 0.0179511
72189.8 0.0296557
72192.9 0.0596148
72194.5 0.0960521
72196.0 0.180235
72197.6 0.446602
72198.4 0.851980
72198.7 1.26079
72199.1 1.92218
72199.6 3.07483
72200.0 3.84325
72200.4 3.07478
72200.9 1.92215
72201.4 1.11182
72201.9 0.691668
72202.9 0.331346
72204.9 0.123155
72208.8 0.0388989
72216.8 0.0117299
72232.7 0.00403267
72264.6 0.00206122
72328.2 0.00178644
72391.9 0.00209700
72455.6 0.00276139
72519.3 0.00407666
72551.1 0.00523886
72583.0 0.00708226
72614.8 0.0102384
72646.6 0.0162310
72662.6 0.0213923
72678.5 0.0292733
72694.4 0.0417318
72710.3 0.0615628
72730.2 0.0982269
72750.0 0.122644
72769.9 0.0981336
72789.7 0.0615059
72803.2 0.0441166
72816.8 0.0324040
72830.3 0.0245178
72843.8 0.0190915
72870.9 0.0124597
72898.0 0.00879045
72925.0 0.00657558
72952.1 0.00514699
