Se-78(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
6842.38 0.349142
6844.93 0.506946
6846.21 0.629351
6846.85 0.707811
6847.48 0.801799
6848.12 0.915630
6848.76 1.05520
6849.40 1.22871
6850.04 1.44781
6850.67 1.72942
6851.31 2.09876
6851.95 2.59431
6852.59 3.27644
6853.23 4.24191
6853.86 5.64729
6854.50 7.73855
6855.14 10.8464
6856.07 17.3506
6857.00 21.6838
6857.47 20.4065
6857.93 17.3447
6858.86 10.8407
6859.44 7.96903
6860.02 5.96359
6861.18 3.58657
6862.34 2.34869
6863.50 1.64421
6864.66 1.21023
6865.82 0.926312
6868.14 0.591123
6870.46 0.409317
6872.77 0.300130
6877.41 0.181398
6882.05 0.121748
6886.69 0.0876381
6891.33 0.0663302
6895.96 0.0521378
6905.24 0.0349863
6914.51 0.0254050
6923.79 0.0195043
6933.07 0.0156079
6951.62 0.0109255
6970.17 0.00830727
7007.27 0.00559168
7044.37 0.00424543
7081.47 0.00345504
7155.68 0.00256954
7304.09 0.00176842
7452.49 0.00139260
7749.31 0.00106833
8046.13 0.00101689
8342.94 0.00121210
8491.35 0.00147278
8639.76 0.00197589
8788.17 0.00305975
8862.37 0.00412530
8936.57 0.00602888
8973.68 0.00759895
9010.78 0.00994696
9047.88 0.0136867
9084.98 0.0201810
9122.08 0.0329725
9131.36 0.0381281
9140.64 0.0446082
9145.27 0.0484911
9149.91 0.0529062
9154.55 0.0579546
9159.19 0.0637604
9163.82 0.0704844
9168.46 0.0783260
9173.10 0.0875433
9177.74 0.0984689
9182.38 0.111549
9187.01 0.127371
9191.65 0.146733
9196.29 0.170731
9200.93 0.200917
9205.56 0.239484
9210.20 0.289620
9214.84 0.355995
9219.48 0.445581
9224.12 0.568552
9228.75 0.739105
9233.39 0.973817
9241.70 1.55667
9250.00 1.94332
9254.15 1.82787
9258.31 1.55306
9266.61 0.970348
9272.34 0.690899
9278.07 0.503352
9283.80 0.377598
9289.53 0.291375
9300.99 0.186392
9312.45 0.128478
9323.91 0.0935970
9335.37 0.0711118
9358.28 0.0449827
9381.20 0.0310205
