Hg-198(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3.30000E+07 4.61200
3.35427E+07 4.57122
3.40000E+07 4.53786
3.44094E+07 4.50872
3.50000E+07 4.46780
3.60000E+07 4.40596
3.70000E+07 4.35532
3.74411E+07 4.33600
3.74597E+07 4.33523
3.75464E+07 4.33164
3.80000E+07 4.31386
3.90000E+07 4.27993
4.00000E+07 4.25210
4.02019E+07 4.24719
4.05957E+07 4.23857
4.10000E+07 4.23100
4.11027E+07 4.22928
4.20000E+07 4.21756
4.30000E+07 4.21107
4.40000E+07 4.21096
4.42294E+07 4.21177
4.45703E+07 4.21355
4.50000E+07 4.21670
4.60000E+07 4.22564
4.70000E+07 4.23615
4.77976E+07 4.24634
4.80000E+07 4.24924
4.90000E+07 4.26579
4.97911E+07 4.28186
5.00000E+07 4.28660
5.10000E+07 4.30970
5.20000E+07 4.33264
5.28676E+07 4.35247
5.30000E+07 4.35549
5.36689E+07 4.37075
5.40000E+07 4.37830
5.50000E+07 4.40110
5.60000E+07 4.42395
5.64402E+07 4.43400
5.70000E+07 4.44673
5.70781E+07 4.44850
5.80000E+07 4.46927
5.90000E+07 4.49141
6.00000E+07 4.51300
6.04916E+07 4.52322
6.08436E+07 4.53027
6.10000E+07 4.53334
6.20000E+07 4.55201
6.30000E+07 4.56933
6.40000E+07 4.58558
6.47714E+07 4.59753
6.50000E+07 4.60100
6.60000E+07 4.61502
6.70000E+07 4.62710
6.80000E+07 4.63750
6.90000E+07 4.64649
7.00000E+07 4.65430
7.01100E+07 4.65509
7.10000E+07 4.66083
7.20000E+07 4.66588
7.30000E+07 4.66953
7.40000E+07 4.67184
7.46368E+07 4.67266
7.50000E+07 4.67290
7.60000E+07 4.67277
7.70000E+07 4.67148
7.77310E+07 4.66980
7.80000E+07 4.66904
7.90000E+07 4.66547
8.00000E+07 4.66080
8.10000E+07 4.65515
8.20000E+07 4.64863
8.22749E+07 4.64669
8.30000E+07 4.64123
8.40000E+07 4.63292
8.50000E+07 4.62370
8.60000E+07 4.61372
8.70000E+07 4.60310
8.80000E+07 4.59181
8.90000E+07 4.57982
9.00000E+07 4.56710
9.10000E+07 4.55376
9.20000E+07 4.53993
9.30000E+07 4.52567
9.40000E+07 4.51101
9.50000E+07 4.49600
9.60000E+07 4.48063
9.70000E+07 4.46485
9.80000E+07 4.44867
9.90000E+07 4.43209
1.00000E+08 4.41510
1.02000E+08 4.38039
1.04000E+08 4.34504
1.06000E+08 4.30907
1.08000E+08 4.27251
1.10000E+08 4.23540
1.12000E+08 4.19803
1.14000E+08 4.16064
1.16000E+08 4.12318
1.18000E+08 4.08561
1.20000E+08 4.04790
1.22000E+08 4.01047
1.24000E+08 3.97362
1.26000E+08 3.93715
1.28000E+08 3.90089
1.30000E+08 3.86470
1.32000E+08 3.82886
1.34000E+08 3.79370
1.36000E+08 3.75916
1.38000E+08 3.72517
1.40000E+08 3.69170
1.42000E+08 3.65882
1.44000E+08 3.62660
1.46000E+08 3.59497
1.48000E+08 3.56389
1.50000E+08 3.53330
