Nd-146(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3032.55 16.1127
3043.50 14.5119
3065.40 12.3311
3087.30 10.8024
3109.19 9.57242
3131.09 8.47585
3142.04 7.94229
3147.51 7.67381
3150.25 7.54039
3151.62 7.48212
3152.30 7.48814
3152.65 7.62640
3152.73 7.77785
3152.82 8.18872
3152.86 8.73223
3152.90 10.1288
3152.92 11.8869
3152.95 15.7608
3152.96 20.1021
3152.97 27.6209
3152.97 35.5722
3152.98 45.9655
3152.98 62.2220
3152.99 89.7787
3152.99 141.786
3153.00 171.576
3153.01 141.834
3153.01 89.1973
3153.02 62.2803
3153.02 46.0172
3153.03 34.0154
3153.03 27.6594
3153.05 19.6140
3153.06 15.7834
3153.08 11.7870
3153.10 10.1352
3153.14 8.72947
3153.18 8.17897
3153.27 7.75399
3153.36 7.59396
3153.70 7.41981
3154.39 7.34374
3155.76 7.26324
3158.51 7.11937
3164.00 6.82941
3174.98 6.21073
3185.97 5.50750
3196.95 4.65877
3207.94 3.55102
3213.43 2.83800
3218.92 1.97249
3221.67 1.47648
3224.41 0.951747
3227.16 0.449539
3228.53 0.250860
3229.22 0.181095
3229.91 0.142376
3230.59 0.147128
3231.28 0.212890
3231.97 0.364860
3232.65 0.638651
3233.34 1.08823
3234.03 1.79209
3234.71 2.87565
3235.40 4.53150
3236.09 7.08755
3236.77 11.0905
3237.46 17.5561
3238.14 28.3931
3238.83 47.6348
3239.52 84.2427
3239.86 115.138
3240.20 160.500
3240.55 228.409
3240.89 329.952
3241.45 581.435
3242.00 797.229
3242.56 698.814
3243.11 477.092
3243.62 329.778
3244.13 237.568
3244.63 179.475
3245.14 141.384
3246.16 96.4277
3247.17 71.9464
3248.19 57.0480
3249.20 47.2226
3251.23 35.3004
3253.26 28.4652
3255.29 24.0955
3257.32 21.0800
3259.35 18.8807
3263.41 15.8918
3267.47 13.9526
3275.59 11.5602
3283.72 10.1066
3291.84 9.09835
3308.08 7.71939
3340.56 5.96530
3373.05 4.66607
3405.53 3.50994
3438.01 2.39725
3470.50 1.31447
3486.74 0.810130
3494.86 0.581952
3498.92 0.485158
3500.95 0.475148
3501.46 0.504987
3501.97 0.611942
3502.22 0.770358
3502.47 1.22193
3502.60 1.83702
3502.73 3.50196
3502.79 5.69339
3502.82 7.76785
3502.85 11.1844
3502.89 17.9169
3502.90 23.8830
3502.92 32.6716
3502.93 48.6042
3502.95 79.1705
3502.96 105.767
3502.97 146.757
3502.97 212.243
3502.98 309.446
3502.99 489.895
3503.00 618.746
3503.01 490.066
3503.02 309.657
3503.03 193.001
3503.04 124.126
3503.05 84.9842
3503.06 61.3281
3503.07 46.1595
3503.08 35.9307
3503.10 23.9603
3503.12 16.8411
3503.14 12.6772
3503.18 7.88974
3503.22 5.43118
3503.25 4.00540
3503.33 2.50250
3503.49 1.35480
3503.64 0.929765
3503.96 0.611197
3504.27 0.492012
3504.89 0.396160
3505.52 0.353195
3508.02 0.271242
3513.01 0.170021
3518.01 0.0956902
3520.51 0.0684161
3523.00 0.0486206
3525.50 0.0371721
3528.00 0.0350810
3530.50 0.0435093
3533.00 0.0637973
3535.49 0.0975257
3537.99 0.146761
3540.49 0.216516
3541.74 0.274200
3542.36 0.367595
3542.67 0.654422
3542.75 0.929271
3542.83 1.65895
3542.87 2.59267
3542.91 4.92015
3542.93 7.75850
3542.95 13.7020
3542.96 20.0512
3542.97 31.8823
3542.97 41.8659
3542.98 56.7877
3542.98 79.6883
3542.99 110.594
3542.99 174.220
3543.00 221.077
3543.01 174.370
3543.01 110.778
3543.02 69.4879
3543.03 44.5263
3543.03 30.4272
3543.04 22.9297
3543.05 13.3284
3543.07 8.94801
3543.09 4.78735
3543.12 3.03553
3543.18 1.62312
3543.23 1.08717
3543.34 0.672449
3543.44 0.523910
3543.87 0.386579
3544.73 0.382457
3546.45 0.453760
3549.89 0.652893
3556.76 1.24406
3563.63 2.17919
3570.50 3.62129
3577.37 5.83086
3584.24 9.23581
3591.12 14.5707
3594.55 18.3403
3596.27 20.6045
3597.13 21.8664
3597.56 22.6028
3597.77 23.2660
3597.83 23.6735
3597.88 24.5823
3597.91 25.6700
3597.93 28.2290
3597.95 31.2294
3597.96 36.9765
3597.97 42.8013
3597.97 50.9854
3597.98 67.7699
3597.99 95.3233
3597.99 140.915
3598.00 167.048
3598.01 141.013
3598.01 94.9025
3598.02 64.8292
3598.03 47.9684
