U-235(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
35.5814 12.1028
35.6786 8.51582
35.7758 6.43484
35.8730 5.14905
36.0620 3.75582
36.1560 3.14795
36.2500 2.60656
36.4603 1.90365
36.6705 1.54744
36.8808 1.35918
37.0910 1.35994
37.1705 1.46562
37.2500 1.60265
37.4090 1.47278
37.6015 1.35345
37.7940 1.48565
37.9865 1.97526
38.0828 2.55631
38.1790 3.70039
38.2565 5.25982
38.3340 6.59714
38.4115 5.92637
38.4890 4.44858
38.5655 3.56029
38.6421 3.22043
38.7186 3.24642
38.7951 3.57013
38.8716 4.23674
38.9482 5.45403
39.0247 7.97615
39.0629 10.8411
39.0821 13.6819
39.1012 19.1611
39.1149 25.7975
39.1285 31.4431
39.1557 24.5251
39.1798 21.6140
39.2039 23.4019
39.2280 27.9530
39.2521 35.4147
39.2761 47.1761
39.3002 66.2417
39.3243 98.6892
39.3484 156.018
39.3610 201.028
39.3736 256.478
39.3988 352.117
39.4114 349.661
39.4240 308.012
39.4492 195.506
39.4699 129.335
39.4907 88.5232
39.5114 63.3897
39.5321 47.3657
39.5736 29.3608
39.6150 20.3124
39.6565 15.3624
39.6979 12.6237
39.7394 11.3363
39.7808 11.2766
39.8849 15.3707
39.9110 15.2927
39.9370 13.9237
39.9891 9.94592
40.0340 7.43085
40.0790 5.92252
40.1239 5.06536
40.1689 4.63219
40.2138 4.52776
40.2587 4.75628
40.3037 5.42416
40.3486 6.77430
40.3752 8.03702
40.4017 9.68903
40.4548 13.0344
40.4814 13.3381
40.5079 12.2498
40.5610 8.57677
40.5985 6.54709
40.6360 5.19718
40.7110 3.75853
40.7860 3.15552
40.8610 2.95312
41.0110 3.32346
41.0860 3.98224
41.1610 5.23104
41.3000 9.61183
41.3980 10.8657
41.4390 11.6372
41.5350 15.4423
41.5693 16.1011
41.6035 16.0629
41.6720 17.3075
41.7128 21.9165
41.7332 26.6924
41.7536 34.6520
41.7740 48.5844
41.7944 75.1322
41.8046 97.8642
41.8148 132.291
41.8250 186.159
41.8352 271.273
41.8417 347.091
41.8483 435.692
41.8613 559.659
41.8679 535.458
41.8744 460.320
41.8875 290.109
41.8957 213.513
41.9039 160.088
41.9202 97.0049
41.9365 64.4311
41.9529 46.0501
41.9692 34.8520
41.9856 27.6418
42.0183 19.5087
42.0509 15.7881
42.0836 14.7375
42.1163 16.3087
42.1490 22.0109
42.2030 41.3051
42.2165 41.1183
42.2300 36.7718
42.2570 24.6703
42.2835 16.3689
42.3099 11.6467
42.3364 8.93094
42.3628 7.29418
42.4157 5.64298
42.4686 5.15107
42.5215 5.59359
42.5480 6.33539
42.5744 7.73881
42.6009 10.4658
42.6273 16.3655
42.6405 22.0920
42.6538 31.9326
42.6670 50.2416
42.6802 86.0870
42.6916 136.955
42.7030 172.632
42.7144 139.797
42.7258 88.1631
42.7356 58.4720
42.7454 40.4633
42.7552 29.4099
42.7650 22.3393
42.7846 14.3242
42.8042 10.2044
42.8238 7.83870
42.8434 6.37092
42.8826 4.75315
42.9218 3.97601
42.9610 3.60787
43.0394 3.56411
43.1177 4.36163
43.1569 5.27675
43.1961 6.89038
43.2353 9.96047
43.2549 12.6045
43.2745 16.6871
43.2941 23.4190
43.3137 35.4783
43.3333 59.4613
43.3431 80.4261
43.3529 111.476
43.3675 179.344
43.3820 230.873
43.3965 190.287
43.4110 120.151
43.4223 82.3468
43.4335 58.2232
43.4448 42.8136
43.4560 32.6648
43.4785 20.8399
43.5010 14.6137
43.5235 10.9982
43.5460 8.74638
43.5910 6.28404
43.6511 4.96093
43.7112 4.77005
43.7712 5.60490
43.8013 6.62534
43.8313 8.36491
43.8760 13.2890
43.9392 22.8945
43.9662 21.5452
43.9932 17.1610
44.0472 9.95554
44.1036 6.57837
44.1600 5.18534
44.2529 4.69591
44.3459 5.76806
44.3923 7.21192
44.4388 9.95511
44.4852 15.5472
44.5085 20.4881
44.5317 27.8574
44.5656 43.5906
44.5994 55.1155
44.6282 47.6739
44.6570 33.3805
44.6672 29.0102
44.7006 18.8245
44.7339 13.2260
44.7673 10.1195
44.8006 8.33892
44.8673 6.67461
44.9340 6.02912
45.0720 4.87178
45.2100 3.42413
45.3440 2.53652
45.4780 2.21975
45.5449 2.30692
45.6119 2.72307
45.6454 3.19847
45.6789 4.07058
45.7124 5.79113
45.7459 9.46093
45.7979 19.8554
45.8109 19.8413
45.8239 17.7088
45.8499 11.7234
45.8744 7.77537
45.8988 5.51185
45.9233 4.20586
45.9478 3.41545
45.9967 2.58275
46.0456 2.20682
46.1435 1.98172
46.2413 2.09497
46.3392 2.49915
46.4370 3.39975
46.4859 4.23071
46.5349 5.58497
46.5838 7.96612
46.6082 9.85684
46.6327 12.5141
46.6557 15.9931
46.6786 20.6840
46.7245 32.4726
46.7529 36.9223
46.7846 35.8766
46.8162 32.1488
46.8581 29.5077
46.9000 31.7768
46.9438 40.5055
46.9841 52.9563
47.0244 55.9375
47.0472 48.6471
47.0761 36.0002
47.1050 25.4695
47.1299 19.1065
47.1548 14.7108
47.2047 9.51636
47.2545 6.83156
47.3044 5.33743
47.4040 3.97103
47.5037 3.66069
47.6034 4.11944
47.6532 4.75324
47.7031 5.88564
47.7529 7.99770
47.8027 12.4209
47.8277 16.6342
47.8526 23.8087
47.8775 37.0895
47.9024 63.4123
47.9236 102.257
47.9447 136.563
47.9553 133.969
47.9659 117.395
47.9871 75.5053
48.0005 55.9872
48.0139 42.4885
48.0406 26.9483
48.0674 19.3656
48.0941 15.5003
48.1476 12.9543
48.2011 14.3093
48.2571 18.9650
48.3131 23.4880
48.3691 20.7048
48.4250 14.9515
48.4668 12.2973
48.5498 11.3980
48.5913 11.9469
48.6121 12.6529
48.6328 13.9776
48.6517 15.9737
48.6706 19.0514
48.6895 23.6960
48.7084 30.5818
48.7238 38.2859
48.7392 47.7209
48.7699 63.3348
48.7853 62.3659
48.8007 54.9501
48.8315 35.7616
48.8675 21.2083
48.9035 13.8818
48.9395 10.0623
48.9756 7.94203
49.0476 6.05677
49.1196 5.78709
49.1916 6.89815
49.2276 8.29454
49.2637 10.8221
49.2997 15.7123
49.3177 19.9656
49.3357 26.5797
49.3537 37.5778
49.3717 57.4948
49.3807 73.8676
49.3897 97.7305
49.3987 133.398
49.4077 186.897
49.4142 239.235
49.4207 300.367
49.4336 385.656
49.4466 317.090
49.4595 199.826
49.4680 145.009
49.4764 107.346
49.4933 63.7970
49.5102 41.7736
49.5271 29.4781
49.5440 22.0200
49.5609 17.1920
49.5946 11.5718
49.6284 8.58362
49.6622 6.83771
49.7298 5.08097
49.7973 4.45161
49.8649 4.54325
49.9324 5.63625
49.9662 7.04882
50.0000 10.0563
50.0159 12.7233
50.0318 17.1038
50.0477 24.7976
50.0557 30.8089
50.0636 38.9954
50.0788 61.7610
50.0940 81.7155
50.1016 80.1247
50.1092 70.4777
50.1244 46.2536
50.1394 30.2190
50.1544 21.3524
50.1695 16.4372
50.1845 13.6361
50.2145 11.1923
50.2446 10.9499
50.2746 12.2437
50.3046 15.4064
50.3347 21.9649
50.3497 27.6998
50.3647 36.3856
50.3825 52.4686
50.4002 74.7649
50.4009 75.7070
50.4031 78.6416
50.4052 81.5988
50.4096 87.6051
50.4183 100.217
50.4356 125.480
50.4437 131.688
50.4651 111.752
50.4865 71.9845
50.5057 47.3273
50.5248 32.6793
50.5440 23.9242
50.5632 18.4624
50.6015 12.4832
50.6399 9.59622
50.7165 7.36476
50.7932 7.15415
50.8699 8.21305
50.9466 10.8867
51.0232 16.8404
51.0616 22.4386
51.0999 31.4195
51.1446 48.2785
51.1893 68.6222
51.2146 77.2694
51.2467 88.1772
51.2787 105.045
51.2977 114.163
51.3185 115.406
51.3393 104.407
51.3808 68.4484
51.4078 50.1873
51.4348 37.8919
51.4618 30.0144
51.4889 25.3164
51.5159 23.3602
51.5429 25.0690
51.5564 28.5469
51.5699 35.8225
51.5834 51.2738
51.5902 64.9656
51.5969 85.1745
51.6073 129.877
51.6176 160.249
51.6279 130.432
51.6382 84.9930
51.6491 54.3326
51.6600 37.5438
51.6709 27.9851
51.6818 22.1534
51.7036 15.7522
51.7254 12.4909
51.7690 9.39536
