Pt-196(n,g) JEFF-3.2
Energy(eV) XS(b)
3847.37 5.01125
3847.54 5.55886
3847.70 6.20396
3847.87 6.96089
3848.03 7.86791
3848.20 8.95223
3848.53 11.8895
3848.69 13.9205
3848.86 16.4722
3849.02 19.7449
3849.19 24.0093
3849.35 29.6938
3849.52 37.2826
3849.68 47.5401
3849.85 61.2916
3850.17 98.2163
3850.49 123.200
3850.65 116.222
3850.81 98.9208
3851.14 61.9340
3851.49 36.5794
3851.83 23.1032
3852.18 15.6068
3852.53 11.1622
3852.88 8.33558
3853.23 6.45013
3853.93 4.17376
3854.63 2.91365
3855.33 2.14667
3856.73 1.30239
3858.13 0.873467
3859.52 0.626526
3860.92 0.471584
3862.32 0.368066
3865.12 0.242716
3867.91 0.172625
3870.71 0.129523
3873.50 0.101149
3879.10 0.0673092
3884.69 0.0486826
3890.28 0.0373634
3895.87 0.0299879
3907.06 0.0213196
3918.24 0.0166709
3940.61 0.0123012
3962.97 0.0106938
3985.34 0.0103552
4030.08 0.0121103
4074.81 0.0179453
4097.18 0.0240100
4119.55 0.0348772
4141.92 0.0568912
4153.10 0.0774111
4164.28 0.112070
4175.47 0.177507
4181.06 0.234532
4186.65 0.324484
4189.45 0.390301
4190.85 0.430991
4192.24 0.478384
4193.64 0.534029
4195.04 0.599940
4195.74 0.637547
4196.44 0.678784
4197.14 0.724128
4197.84 0.774138
4199.23 0.890895
4200.63 1.03587
4202.03 1.21877
4203.43 1.45377
4204.83 1.76211
4206.22 2.17666
4207.62 2.74999
4209.02 3.56848
4210.33 4.69338
4211.65 6.37790
4212.96 8.97523
4214.27 12.9910
4216.01 20.7826
4217.75 26.0084
4218.62 24.5001
4219.49 20.8395
4221.23 13.0315
4222.62 8.80688
4224.01 6.14985
4225.40 4.46560
4226.79 3.36096
4229.57 2.07666
4232.35 1.39937
4235.13 1.00321
4237.91 0.753083
4243.47 0.468031
4249.03 0.318435
4254.59 0.230534
4260.15 0.174588
4265.71 0.136818
4276.83 0.0905904
4287.96 0.0644674
4299.08 0.0482848
4310.20 0.0375734
4332.44 0.0247200
4354.68 0.0175953
4376.92 0.0132374
4399.16 0.0103783
4443.64 0.00697738
4488.13 0.00510923
4532.61 0.00397670
4577.09 0.00324357
4666.06 0.00241119
4755.02 0.00207118
4799.51 0.00209620
4843.99 0.00247636
4866.23 0.00311420
4877.35 0.00377697
4888.47 0.00500932
4899.59 0.00767858
4905.15 0.0103565
4910.71 0.0152637
4913.49 0.0194166
4916.27 0.0257796
4919.05 0.0362543
4921.83 0.0553282
4923.22 0.0713699
4924.61 0.0958184
4926.00 0.135764
4927.39 0.207708
4928.09 0.267552
4928.78 0.357770
4929.48 0.502984
4930.17 0.758876
4930.52 0.967455
4930.87 1.27428
4931.22 1.75521
4931.56 2.56492
4931.91 4.09488
4932.08 5.42231
4932.26 7.48423
4932.43 10.9652
4932.52 13.6505
4932.61 17.3924
4932.69 22.7715
4932.74 26.4022
4932.78 30.7572
4932.82 36.2630
4932.87 42.9351
4932.91 51.1818
4932.95 61.2817
4933.01 78.6466
4933.07 98.1975
4933.19 123.016
4933.25 115.736
4933.31 98.4772
4933.43 61.4986
4933.56 36.1007
4933.69 22.7581
4933.82 15.3730
4933.95 10.9859
4934.08 8.20550
4934.21 6.34603
4934.47 4.10527
4934.73 2.86497
4934.99 2.11004
4935.51 1.27895
4936.03 0.856693
4936.55 0.613556
4937.07 0.460983
4937.59 0.359038
4938.63 0.235487
4939.67 0.166471
4940.71 0.124017
4941.75 0.0960593
4943.83 0.0626840
4945.91 0.0442999
4947.99 0.0331040
4950.07 0.0257849
4954.23 0.0171134
4958.39 0.0123697
4962.55 0.00949583
4966.71 0.00762482
4975.04 0.00541743
4983.36 0.00421638
5000.00 0.00302576
5029.43 0.00225780
5058.86 0.00201828
5117.71 0.00214899
5147.14 0.00260033
5161.85 0.00306721
5176.57 0.00390338
5191.28 0.00559685
5198.64 0.00717595
5205.99 0.00984597
5213.35 0.0149002
5217.03 0.0193213
5220.71 0.0263254
5224.39 0.0384083
5228.07 0.0619799
5229.90 0.0832505
5231.74 0.118056
5233.58 0.180882
5234.50 0.233294
5235.42 0.312397
5236.11 0.401606
5236.80 0.535458
5237.49 0.749512
5238.18 1.12243
5238.87 1.86296
5239.21 2.54011
5239.55 3.66187
5239.90 5.72233
5240.07 7.45159
5240.24 10.0722
5240.33 11.9133
5240.41 14.2845
5240.50 17.3965
5240.59 21.5655
5240.67 27.2714
5240.76 35.2394
5240.84 46.5179
5240.93 62.3909
5241.00 80.0457
5241.08 99.9778
5241.22 125.179
5241.29 117.936
5241.36 100.410
5241.51 62.9442
5241.64 40.7203
5241.77 27.5483
5241.89 19.5433
5242.02 14.4587
5242.28 8.73148
5242.53 5.80072
5242.79 4.11946
5243.05 3.07130
5243.56 1.89137
5244.07 1.27930
5244.58 0.922185
5245.09 0.696034
5245.61 0.543913
5246.63 0.358295
5247.65 0.253910
5248.68 0.189402
5249.70 0.146779
5251.75 0.0957242
5253.80 0.0675082
5255.85 0.0502794
5257.90 0.0390046
5261.99 0.0256252
5266.09 0.0182952
5270.19 0.0138507
5274.28 0.0109551
5282.48 0.00753873
5290.67 0.00567945
5307.06 0.00383483
5323.45 0.00299170
5339.84 0.00254627
5372.61 0.00213907
5438.16 0.00197955
5503.72 0.00213862
5569.27 0.00253952
5634.82 0.00337695
5667.60 0.00422091
5700.37 0.00606173
5716.76 0.00824826
5724.95 0.0103026
5733.15 0.0139364
5741.34 0.0215269
5745.44 0.0290009
5749.54 0.0425430
5751.58 0.0539138
5753.63 0.0712288
5755.68 0.0995491
5757.73 0.150624
5758.75 0.193251
5759.78 0.257621
5760.80 0.361595
5761.83 0.545788
5762.34 0.696479
5762.85 0.919978
5763.36 1.27180
5763.87 1.87214
5764.39 3.02157
5764.64 4.03536
5764.90 5.64937
5765.03 6.83759
5765.15 8.43265
