Cr-50(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
65616.6 4.11658
65678.2 4.27252
65709.1 4.44909
65739.9 4.77534
65770.7 5.43854
65786.1 6.04476
65801.5 7.03494
65816.9 8.79232
65832.3 12.2960
65840.0 15.4597
65847.7 20.5165
65855.4 28.9974
65863.1 43.4973
65871.5 67.8810
65879.9 84.5420
65888.3 68.8633
65896.7 44.7378
65905.9 28.1137
65915.1 19.2164
65924.3 14.2591
65933.5 11.2966
65942.7 9.40828
65951.9 8.13805
65970.3 6.59483
65988.6 5.72889
66007.0 5.19450
66043.8 4.59228
66080.5 4.27421
66117.3 4.08244
66154.0 3.95550
66190.8 3.86541
66264.3 3.74514
66337.8 3.66678
66484.8 3.56550
66631.8 3.49762
66778.8 3.44536
67072.8 3.36403
67366.8 3.29892
67660.8 3.24284
67954.8 3.19275
68101.8 3.17032
68175.3 3.16383
68212.0 3.17823
68230.4 3.25180
68235.0 3.32535
68239.6 3.51786
68241.9 3.75792
68244.2 4.32524
68245.3 4.95525
68246.5 6.23462
68247.1 7.43079
68247.6 9.36147
68248.2 12.7117
68248.8 18.7000
68249.3 28.0865
68249.9 34.4937
68250.5 28.3627
68251.0 18.9405
68251.6 13.3587
68252.1 10.0843
68253.1 6.81013
68254.1 5.36823
68255.1 4.62709
68257.1 3.93387
68259.1 3.63272
68263.1 3.38392
68267.1 3.28594
68283.1 3.18044
68315.1 3.14708
68379.1 3.12985
68507.1 3.10911
68763.1 3.07258
69275.1 3.00476
69787.1 2.94089
70043.1 2.90911
70171.1 2.89199
70235.1 2.88360
70267.1 2.89153
70283.1 2.96270
70287.1 3.04361
70291.1 3.27179
70293.1 3.57193
70295.1 4.32426
70296.1 5.19985
70297.1 7.07776
70297.6 8.91296
70298.1 12.1052
70298.6 18.1369
70299.1 30.3601
70299.5 47.4417
70299.9 58.9872
70300.3 48.3019
70300.7 31.5077
70301.1 21.6266
70301.5 15.7400
70301.9 12.0446
70302.2 9.74889
70303.0 7.10292
70303.7 5.74971
70305.2 4.45748
70306.7 3.88665
70309.7 3.40379
70312.7 3.20880
70318.7 3.05139
70324.6 2.98890
70348.5 2.91651
70396.2 2.88760
70491.6 2.86813
70682.5 2.84333
71064.3 2.80015
71827.8 2.71879
72591.4 2.63950
72973.1 2.60069
73068.6 2.59353
73164.0 2.59576
73211.7 2.61193
73235.6 2.63264
73259.5 2.67495
73283.3 2.77200
73295.3 2.87088
73307.2 3.05019
73319.1 3.41879
73325.1 3.76490
73331.0 4.34722
73337.0 5.43318
73340.0 6.35630
73343.0 7.76740
73346.0 10.0659
73348.9 14.0678
73351.9 21.6651
73354.9 36.9315
73357.4 58.1738
73359.9 72.7499
73362.4 59.2531
73364.9 38.3878
73367.1 26.0290
73369.3 18.6153
73371.5 14.0757
73373.8 11.1719
73378.2 7.87088
73382.6 6.16090
73387.0 5.16689
73391.4 4.54203
73400.3 3.82780
73409.1 3.44901
73418.0 3.22365
73426.8 3.07791
73435.7 2.97779
73453.3 2.85189
73471.0 2.77785
73506.4 2.69671
73541.8 2.65390
73577.1 2.62742
73647.9 2.59553
73789.4 2.56129
73930.8 2.53925
74213.8 2.50535
74496.8 2.47597
75062.7 2.42168
75628.7 2.37026
76194.6 2.32138
76760.5 2.27726
77043.5 2.25961
77326.5 2.25057
77468.0 2.25472
77538.7 2.26219
77609.5 2.27728
77680.2 2.30883
77715.6 2.33810
77750.9 2.38720
77786.3 2.48048
77804.0 2.56389
77821.7 2.70123
77839.4 2.95685
77848.2 3.17963
77857.0 3.53509
77865.9 4.16030
77870.3 4.66934
77874.7 5.42232
77879.2 6.60109
77883.6 8.57990
77888.0 12.1771
77892.4 19.0868
77896.2 28.5714
77899.9 35.1203
77903.7 28.4815
77907.4 18.1620
77911.9 10.7361
77916.3 7.13125
77920.8 5.27820
77925.2 4.24122
77929.7 3.61606
77934.2 3.21587
77943.1 2.75955
77952.0 2.52459
77960.9 2.39110
77978.8 2.25767
77996.6 2.19916
78014.4 2.17063
78050.1 2.14837
78121.5 2.14398
78192.9 2.15196
78335.6 2.18089
78478.3 2.23649
78621.0 2.35940
78692.4 2.48052
78763.8 2.69179
78835.1 3.10024
78870.8 3.45926
78906.5 4.02450
78942.2 4.97778
78977.8 6.73621
78995.7 8.20126
79013.5 10.3629
79031.4 13.6304
79049.2 18.5720
79074.6 28.8114
79099.9 35.8557
