La-139(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
963.345 4.86702
963.418 4.42834
963.563 3.86665
963.708 3.52941
963.853 3.30791
963.998 3.15293
964.289 2.95227
964.579 2.82952
965.160 2.68866
965.740 2.61082
966.321 2.56160
967.482 2.50273
968.644 2.46839
969.805 2.44555
972.128 2.41620
974.451 2.39722
976.773 2.38321
981.419 2.36231
990.709 2.33153
1000.00 2.30528
1022.20 2.24345
1044.40 2.17299
1066.60 2.08584
1088.81 1.97178
1099.91 1.90004
1111.01 1.81540
1122.11 1.71627
1133.21 1.60697
1138.76 1.55633
1144.31 1.52289
1149.86 1.53898
1155.41 1.69408
1158.19 1.89634
1160.96 2.27794
1163.74 3.01409
1166.51 4.52178
1167.90 5.86672
1169.29 7.96649
1170.67 11.4242
1172.06 17.5263
1173.45 29.4511
1174.14 39.9736
1174.84 56.4899
1175.53 84.1825
1176.22 134.420
1176.57 175.426
1176.92 234.652
1177.26 321.757
1177.61 449.131
1178.16 741.977
1178.70 957.836
1179.25 792.132
1179.79 512.119
1180.23 354.108
1180.67 253.379
1181.11 188.559
1181.55 145.624
1182.43 94.7841
1183.31 67.3495
1184.19 50.9034
1185.08 40.2746
1186.84 27.7774
1188.60 20.9228
1190.36 16.7245
1192.12 13.9416
1193.88 11.9900
1197.41 9.47266
1200.93 7.94854
1204.45 6.94916
1205.33 6.75908
1206.21 6.60348
1206.65 6.55578
1207.09 6.58114
1207.31 6.68802
1207.42 6.81220
1207.53 7.04956
1207.64 7.55826
1207.70 8.05143
1207.75 8.91177
1207.81 10.6042
1207.84 12.1707
1207.86 14.6379
1207.89 19.2286
1207.91 23.0409
1207.92 28.2471
1207.93 36.9277
1207.95 51.4251
1207.96 77.2848
1207.97 122.781
1207.99 194.318
1208.00 239.739
1208.01 194.317
1208.03 122.778
1208.04 82.4485
1208.05 57.2890
1208.06 42.1801
1208.07 32.6734
1208.10 22.0675
1208.12 16.8556
1208.15 13.7209
1208.17 11.8445
1208.22 9.66885
1208.26 8.53485
1208.31 7.86930
1208.40 7.15635
1208.50 6.79580
1208.59 6.58867
1208.78 6.36119
1209.16 6.15543
1209.53 6.04522
1210.29 5.89695
1211.04 5.77972
1212.55 5.57971
1214.06 5.40603
1220.09 4.86991
1226.12 4.49620
1232.15 4.22118
1238.18 4.01073
1244.21 3.84528
1247.23 3.77594
1250.24 3.71604
1251.75 3.69200
1253.26 3.67991
1254.01 3.68885
1254.76 3.73931
1255.14 3.82054
1255.33 3.90445
1255.52 4.05788
1255.71 4.38498
1255.80 4.70324
1255.90 5.26790
1255.94 5.73000
1255.99 6.41522
1256.04 7.49312
1256.08 9.32999
1256.13 12.8390
1256.15 16.0078
1256.18 20.8286
1256.20 29.4914
1256.22 45.3493
1256.24 59.6871
1256.25 81.9935
1256.26 118.112
1256.27 176.018
1256.29 280.144
1256.30 348.215
1256.31 280.147
1256.33 176.024
1256.34 122.022
1256.35 89.4282
1256.36 66.0198
1256.37 51.7738
1256.39 33.8293
1256.41 24.5176
1256.43 18.6577
1256.45 14.9331
1256.49 10.7352
1256.54 8.45155
1256.58 7.13280
1256.62 6.26799
1256.66 5.69595
1256.74 4.98259
1256.83 4.57744
1256.99 4.15768
1257.16 3.95512
1257.32 3.84149
1257.66 3.72368
1258.32 3.63101
1258.98 3.59135
1260.31 3.54989
1261.64 3.52280
1264.30 3.48012
1266.95 3.44338
1272.26 3.37872
1277.57 3.32223
1288.19 3.22708
1298.82 3.14956
1320.06 3.02987
1341.30 2.94069
1383.79 2.81325
1405.04 2.76477
1415.66 2.74328
1420.97 2.73388
1423.62 2.73226
1424.95 2.74267
1425.62 2.79065
1425.78 2.83942
1425.95 2.97257
1426.03 3.14776
1426.11 3.60160
1426.16 4.17120
1426.20 5.48064
1426.22 6.95153
1426.24 9.73105
1426.25 12.5212
1426.26 16.6375
1426.27 23.5132
1426.28 35.5371
1426.29 55.0849
1426.30 68.4629
1426.31 55.0908
1426.32 35.5444
1426.33 27.4880
1426.34 21.0596
1426.35 13.9378
1426.36 10.1500
1426.37 7.95971
1426.40 5.69832
1426.43 4.62936
1426.48 3.69258
1426.53 3.30735
1426.63 3.00149
1426.74 2.88517
1426.95 2.79736
1427.15 2.76515
1427.99 2.73235
1429.65 2.72366
1431.31 2.73302
1431.73 2.74636
1432.15 2.78547
1432.35 2.83963
1432.56 2.98900
1432.67 3.18776
1432.77 3.71132
1432.82 4.37100
1432.85 4.97468
1432.87 5.97433
1432.90 7.80159
1432.91 9.33615
1432.93 11.6580
1432.94 15.3809
1432.95 21.7901
1432.97 33.7420
1432.98 56.4398
1432.99 89.1197
1433.00 110.131
1433.01 89.1298
1433.02 56.4527
1433.04 33.7537
1433.05 22.4698
1433.06 15.7634
1433.07 12.1251
1433.09 9.63746
1433.10 8.11073
1433.12 6.18903
1433.15 5.13114
1433.17 4.48959
1433.22 3.78573
1433.32 3.22428
1433.42 3.01005
1433.62 2.84805
1433.82 2.78879
1434.22 2.74448
1434.62 2.72818
1436.22 2.70990
1439.41 2.70023
1445.80 2.68814
1458.58 2.66677
1484.13 2.62761
1535.24 2.55770
1586.35 2.49381
1611.90 2.46319
1624.68 2.44976
1631.07 2.45025
1632.67 2.45675
1634.26 2.47866
1635.06 2.51065
1635.86 2.60183
1636.26 2.72744
1636.46 2.85126
1636.66 3.07229
1636.86 3.53253
1636.96 3.97510
1637.06 4.73886
1637.16 6.26769
1637.21 7.67060
1637.26 10.0008
1637.31 14.2800
1637.33 17.8913
1637.36 23.3824
1637.38 32.2473
1637.41 47.6618
1637.43 76.8351
1637.46 133.290
1637.48 211.031
1637.50 264.214
1637.52 211.037
1637.54 133.301
1637.56 95.5031
1637.57 70.7411
1637.58 53.9795
1637.60 42.3917
1637.63 27.7929
1637.66 20.0183
1637.68 15.1603
1637.71 12.1368
1637.77 8.54594
1637.83 6.62626
1637.88 5.48427
1638.00 4.26051
1638.11 3.64366
1638.22 3.29545
1638.45 2.93234
1638.68 2.75764
1638.90 2.66035
1639.36 2.56133
1640.27 2.48832
1641.17 2.46171
1642.99 2.44149
1644.81 2.43378
1648.44 2.43375
1649.35 2.44155
1650.26 2.46683
1650.71 2.50319
1651.17 2.60621
1651.39 2.74699
1651.51 2.88587
1651.62 3.13194
1651.73 3.64361
1651.79 4.13338
1651.85 4.96563
1651.90 6.62507
1651.93 8.16524
1651.96 10.6064
1651.99 15.1792
1652.00 18.8489
1652.02 24.2911
1652.03 32.7823
1652.05 46.8516
1652.06 71.7009
1652.07 117.567
1652.09 189.185
1652.10 232.864
1652.11 189.211
1652.13 117.602
1652.14 82.0694
1652.15 57.4682
1652.16 42.0572
1652.17 32.8061
1652.19 20.9274
1652.21 14.9805
1652.23 11.3410
1652.26 9.15284
1652.30 6.63406
1652.34 5.27540
1652.38 4.49436
1652.47 3.64771
1652.55 3.22936
1652.64 2.99262
1652.81 2.74848
1653.15 2.56630
1653.49 2.50043
1654.17 2.45169
1654.85 2.43373
1657.57 2.41331
1663.02 2.40183
1673.91 2.38668
1695.69 2.35822
1739.25 2.29892
1782.82 2.23332
1804.60 2.19718
1815.49 2.17831
1820.93 2.16972
1823.66 2.16991
1825.02 2.18785
1825.36 2.20809
1825.70 2.26544
1825.87 2.34360
1826.04 2.55603
1826.12 2.83429
1826.21 3.55092
1826.25 4.44386
1826.29 6.47981
1826.31 8.81563
1826.34 13.2833
1826.35 17.5461
1826.36 23.7362
1826.37 35.2371
1826.38 54.6256
1826.39 86.7888
1826.40 107.263
1826.41 86.7863
1826.42 54.6227
1826.43 33.8962
1826.45 22.9733
1826.46 16.6130
1826.47 12.6927
1826.49 8.39898
1826.51 6.25690
1826.56 4.30041
1826.60 3.46791
1826.69 2.79134
1826.78 2.52938
1826.95 2.32886
1827.13 2.25541
1827.48 2.20065
1827.83 2.18062
1829.24 2.15888
1832.06 2.14863
1837.70 2.13640
1848.99 2.11324
1871.55 2.06355
1894.11 2.00762
1905.40 1.97713
1911.04 1.96276
1913.86 1.96225
1915.27 1.98911
1915.62 2.01976
1915.97 2.10680
1916.15 2.22640
1916.32 2.55037
1916.41 2.97458
1916.46 3.37610
1916.50 4.06610
1916.54 5.40158
1916.57 6.59300
1916.59 8.51274
1916.61 11.8819
1916.63 18.5381
1916.64 24.5182
1916.65 34.0518
1916.67 50.0163
1916.68 77.9450
1916.69 123.090
1916.70 153.850
1916.71 123.102
1916.72 77.9596
1916.74 46.4542
1916.75 30.0430
1916.76 20.4268
1916.78 15.2121
1916.79 11.6855
1916.80 9.51618
1916.83 6.87876
1916.86 5.36220
1916.88 4.44779
1916.94 3.46270
1916.99 2.95427
1917.04 2.66781
1917.15 2.36686
1917.36 2.13738
1917.58 2.05302
1918.00 1.99017
1918.43 1.96682
1920.13 1.93984
1923.54 1.92348
1930.36 1.89956
1944.00 1.85058
1957.64 1.79643
1964.46 1.76786
1967.87 1.75685
1969.57 1.76684
1970.00 1.78315
1970.42 1.83236
1970.64 1.90104
1970.85 2.09036
1970.96 2.34297
1971.06 2.99663
