20-Ca_n-g
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
2.953460e+03 1.14765658e-03
2.989600e+03 1.14265753e-03
2.997060e+03 1.17018548e-03
3.000000e+03 1.18107487e-03
3.007670e+03 1.20948365e-03
3.016710e+03 1.49389894e-03
3.021230e+03 2.57068679e-03
3.023490e+03 6.35369119e-03
3.024620e+03 1.80223024e-02
3.025180e+03 4.66534445e-02
3.025460e+03 9.59539998e-02
3.025750e+03 2.58892841e-01
3.026000e+03 5.16783310e-01
3.026260e+03 2.58957786e-01
3.026450e+03 1.24789095e-01
3.026650e+03 6.93508677e-02
3.027050e+03 2.97842463e-02
3.027850e+03 1.07672195e-02
3.029440e+03 3.93260180e-03
3.032620e+03 1.86968313e-03
3.038980e+03 1.30102023e-03
3.051700e+03 1.14867223e-03
3.077150e+03 1.10395175e-03
3.128040e+03 1.08250253e-03
3.160000e+03 1.07509546e-03
3.163240e+03 1.07434595e-03
3.204780e+03 1.06594675e-03
3.229820e+03 1.06252815e-03
3.246330e+03 1.06096858e-03
3.267100e+03 1.06270695e-03
3.277490e+03 1.06644908e-03
3.287870e+03 1.07494665e-03
3.298260e+03 1.09535228e-03
3.303450e+03 1.11659442e-03
3.308640e+03 1.15594181e-03
3.311240e+03 1.18925695e-03
3.313840e+03 1.24008984e-03
3.316430e+03 1.32308747e-03
3.319030e+03 1.47186262e-03
3.320330e+03 1.59501343e-03
3.321630e+03 1.77939031e-03
3.322920e+03 2.07350600e-03
3.324220e+03 2.58487142e-03
3.325520e+03 3.59398175e-03
3.326170e+03 4.51166502e-03
3.326820e+03 6.02196702e-03
3.327470e+03 8.75750575e-03
3.327790e+03 1.10377137e-02
3.328120e+03 1.44454464e-02
3.328440e+03 1.98584109e-02
3.328770e+03 2.89860975e-02
3.329090e+03 4.56425102e-02
3.329420e+03 7.71846543e-02
3.329710e+03 1.22949845e-01
3.330000e+03 1.53313212e-01
3.330290e+03 1.22765192e-01
3.330590e+03 7.71652560e-02
3.330820e+03 5.22245742e-02
3.331060e+03 3.66850084e-02
3.331300e+03 2.68391668e-02
3.331530e+03 2.04322140e-02
3.332000e+03 1.29903083e-02
3.332480e+03 9.08470054e-03
3.332950e+03 6.79950513e-03
3.333420e+03 5.35823689e-03
3.334370e+03 3.71911916e-03
3.335310e+03 2.85884903e-03
3.336260e+03 2.35401047e-03
3.337200e+03 2.03241332e-03
3.338150e+03 1.81552517e-03
3.340040e+03 1.54984780e-03
3.341930e+03 1.39959060e-03
3.343820e+03 1.30639215e-03
3.345710e+03 1.24461806e-03
3.349490e+03 1.17019894e-03
3.353280e+03 1.12866059e-03
3.357060e+03 1.10300471e-03
3.360840e+03 1.08595023e-03
3.368400e+03 1.06511408e-03
3.375970e+03 1.05304248e-03
3.391090e+03 1.03951954e-03
3.421350e+03 1.02613591e-03
3.433380e+03 1.02280731e-03
3.451600e+03 1.01824822e-03
3.500000e+03 1.00960019e-03
3.572610e+03 9.96959180e-04
3.693630e+03 9.79125114e-04
3.762290e+03 9.70376071e-04
3.814640e+03 9.63706197e-04
3.840500e+03 9.61456564e-04
3.935660e+03 9.55440964e-04
3.996170e+03 9.55771029e-04
4.000000e+03 9.56193334e-04
4.056670e+03 9.62441883e-04
4.117180e+03 9.83556569e-04
4.147430e+03 1.00616624e-03
4.177690e+03 1.04617765e-03
4.207940e+03 1.12260576e-03
4.223070e+03 1.18820776e-03
4.238190e+03 1.28866037e-03
4.247620e+03 1.39013072e-03
4.250000e+03 1.41578581e-03
4.253320e+03 1.45157487e-03
4.268450e+03 1.73519683e-03
4.283570e+03 2.27085203e-03
4.298700e+03 3.33976298e-03
4.311350e+03 4.80494506e-03
4.324000e+03 5.76772622e-03
4.336650e+03 4.77303909e-03
4.349300e+03 3.30659513e-03
4.359470e+03 2.51444645e-03
4.369640e+03 2.01799966e-03
4.379800e+03 1.70407265e-03
4.389970e+03 1.49839093e-03
4.400140e+03 1.35820790e-03
4.410300e+03 1.25913099e-03
4.430640e+03 1.13251046e-03
4.450970e+03 1.05796719e-03
4.451180e+03 1.05747640e-03
4.471310e+03 1.01143819e-03
4.491640e+03 9.80226794e-04
4.511980e+03 9.58321035e-04
4.552640e+03 9.30545223e-04
4.552970e+03 9.30416034e-04
4.593310e+03 9.29009569e-04
4.603860e+03 9.30340283e-04
4.629300e+03 1.00504994e-03
4.633980e+03 1.12161458e-03
4.642020e+03 1.32270436e-03
4.648380e+03 2.54578114e-03
4.651570e+03 7.00754872e-03
4.653160e+03 2.18182743e-02
4.653950e+03 6.30842482e-02
4.654350e+03 1.49046001e-01
4.654550e+03 2.69586293e-01
4.654750e+03 5.59091813e-01
4.655000e+03 1.11675829e+00
4.655260e+03 5.59183872e-01
4.655420e+03 2.97576824e-01
4.655590e+03 1.75725920e-01
4.655930e+03 7.91793660e-02
4.656600e+03 2.85094340e-02
4.657950e+03 9.18918668e-03
4.660640e+03 3.17160102e-03
4.666030e+03 1.48819572e-03
4.674650e+03 1.13046941e-03
4.676800e+03 1.04149672e-03
4.698350e+03 9.25673875e-04
4.741440e+03 8.94229870e-04
4.755990e+03 8.92251349e-04
4.827630e+03 8.94619734e-04
4.837330e+03 8.95707177e-04
4.877990e+03 9.08236592e-04
4.918660e+03 9.29865300e-04
4.959330e+03 9.66789588e-04
5.000000e+03 1.03184285e-03
5.034650e+03 1.13142772e-03
5.069300e+03 1.31479512e-03
5.086630e+03 1.46635580e-03
5.103950e+03 1.68783184e-03
5.121280e+03 2.01822570e-03
5.138600e+03 2.50963424e-03
5.163800e+03 3.53140389e-03
5.189000e+03 4.19358483e-03
5.214200e+03 3.49173969e-03
5.239400e+03 2.46589077e-03
5.266450e+03 1.77586694e-03
5.293500e+03 1.40453211e-03
5.320550e+03 1.19621298e-03
5.347600e+03 1.07075032e-03
5.374650e+03 9.89991567e-04
5.401700e+03 9.34984641e-04
5.455810e+03 8.66458805e-04
5.489460e+03 8.41363520e-04
5.509910e+03 8.26368179e-04
5.564010e+03 8.00410025e-04
5.672210e+03 7.67717410e-04
5.780410e+03 7.46638632e-04
5.888620e+03 7.30676576e-04
5.978910e+03 7.20162704e-04
6.000000e+03 7.17951593e-04
6.035560e+03 7.14223408e-04
6.105020e+03 7.06959460e-04
6.321430e+03 6.88375010e-04
6.468360e+03 6.77411497e-04
6.537830e+03 6.74071568e-04
6.646030e+03 6.70293632e-04
6.700130e+03 6.69295198e-04
6.713090e+03 6.69389333e-04
6.754240e+03 6.76624727e-04
6.808340e+03 6.89529688e-04
6.835390e+03 6.99067636e-04
6.835460e+03 6.99105187e-04
6.862440e+03 7.49385995e-04
6.889490e+03 8.11842542e-04
6.896640e+03 8.34029187e-04
6.903010e+03 9.20953436e-04
6.916540e+03 1.12232513e-03
6.927230e+03 1.31208447e-03
6.930070e+03 1.59869994e-03
6.936830e+03 2.31370550e-03
6.942520e+03 2.95575469e-03
6.943590e+03 3.76726757e-03
6.946970e+03 6.36299680e-03
6.950170e+03 8.85519020e-03
6.950350e+03 9.87009414e-03
6.953730e+03 2.89863582e-02
6.954000e+03 3.05212558e-02
6.955910e+03 1.07475070e-01
6.956390e+03 1.78555013e-01
6.956860e+03 3.54110970e-01
6.957100e+03 5.58304033e-01
6.957120e+03 5.95234312e-01
6.957340e+03 1.00147917e+00
6.957460e+03 1.44557426e+00
6.957580e+03 2.23201237e+00
6.957700e+03 3.77866025e+00
6.957760e+03 5.12537678e+00
6.957820e+03 7.05559644e+00
6.957910e+03 1.12879889e+01
6.958000e+03 1.41097432e+01
6.958090e+03 1.12882077e+01
6.958180e+03 7.05580125e+00
6.958250e+03 5.01867793e+00
