77-Ir_n-g
> 77-Ir-191:0.373000
> 77-Ir-193:0.627000
3.632310e+01 5.45146477e+01
3.634180e+01 6.84807175e+01
3.636060e+01 8.84405413e+01
3.637930e+01 1.18124085e+02
3.639810e+01 1.64164815e+02
3.641690e+01 2.38451716e+02
3.643560e+01 3.59604185e+02
3.645780e+01 5.74285135e+02
3.648000e+01 7.17192679e+02
3.650220e+01 5.73901054e+02
3.652440e+01 3.59149342e+02
3.653930e+01 2.58659714e+02
3.655410e+01 1.90353628e+02
3.658380e+01 1.11974979e+02
3.661350e+01 7.25681161e+01
3.664320e+01 5.06206370e+01
3.667290e+01 3.73181790e+01
3.670260e+01 2.87041817e+01
3.671210e+01 2.70965928e+01
3.676200e+01 1.86580245e+01
3.682140e+01 1.32741095e+01
3.688080e+01 1.00705661e+01
3.699960e+01 6.62789667e+00
3.711840e+01 4.92971097e+00
3.723720e+01 3.98179238e+00
3.747480e+01 3.04580731e+00
3.767420e+01 2.71565857e+00
3.771240e+01 2.66066182e+00
3.795000e+01 2.55070941e+00
3.842520e+01 2.66550494e+00
3.863620e+01 2.86375991e+00
3.890030e+01 3.24717875e+00
3.913790e+01 3.78251566e+00
3.937550e+01 4.59243653e+00
3.959830e+01 5.95781091e+00
3.961310e+01 6.06252095e+00
3.973190e+01 7.47411473e+00
3.985070e+01 9.77667870e+00
3.996950e+01 1.41488705e+01
4.002890e+01 1.80913488e+01
4.007930e+01 2.36272533e+01
4.008830e+01 2.46314806e+01
4.014770e+01 3.67838470e+01
4.017740e+01 4.71150836e+01
4.020710e+01 6.30117414e+01
4.023680e+01 8.91845491e+01
4.025170e+01 1.09000431e+02
4.026650e+01 1.36156583e+02
4.028140e+01 1.74395308e+02
4.029620e+01 2.29714079e+02
4.031110e+01 3.11424834e+02
4.032590e+01 4.31769441e+02
4.034800e+01 6.87378529e+02
4.037000e+01 8.57514296e+02
4.039210e+01 6.87157383e+02
4.041410e+01 4.31647931e+02
4.042900e+01 3.10858106e+02
4.044400e+01 2.29154574e+02
4.045890e+01 1.74002305e+02
4.047380e+01 1.35986402e+02
4.050370e+01 8.94779148e+01
4.053350e+01 6.37362062e+01
4.056040e+01 4.97777415e+01
4.056340e+01 4.82312539e+01
4.059320e+01 3.83560431e+01
4.065300e+01 2.70601175e+01
4.071270e+01 2.12563914e+01
4.077240e+01 1.80371077e+01
4.080090e+01 1.73613787e+01
4.089180e+01 1.58644396e+01
4.101120e+01 1.63290787e+01
4.104140e+01 1.68010015e+01
4.107090e+01 1.77392851e+01
4.113070e+01 2.02885108e+01
4.116160e+01 2.22236510e+01
4.119040e+01 2.46440044e+01
4.122020e+01 2.80318308e+01
4.122180e+01 2.82749673e+01
4.125010e+01 3.34496242e+01
4.127990e+01 4.10684894e+01
4.128190e+01 4.18796838e+01
4.130980e+01 5.49979753e+01
4.132470e+01 6.53337836e+01
4.133970e+01 7.96802829e+01
4.134200e+01 8.28870407e+01
4.135460e+01 1.02472956e+02
4.136950e+01 1.35515968e+02
