Au-197(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
493.202 175.503
493.217 220.391
493.233 279.233
493.249 363.157
493.266 462.446
493.300 603.728
493.317 582.793
493.334 508.998
493.368 338.090
493.394 243.695
493.419 181.693
493.445 140.771
493.471 112.989
493.523 79.3193
493.575 60.6443
493.627 49.2161
493.679 41.7203
493.782 32.7190
493.886 27.6525
493.989 24.4776
494.197 20.7833
494.404 18.7283
494.611 17.4262
495.026 15.8612
495.440 14.9367
495.855 14.3113
496.684 13.4886
497.513 12.9448
498.342 12.5414
500.000 11.9535
502.083 11.4283
504.165 11.0263
508.330 10.4119
512.495 9.92798
516.660 9.50425
520.825 9.09606
524.990 8.64994
527.072 8.37822
528.113 8.21639
529.155 8.02679
530.196 7.80034
530.716 7.67584
531.237 7.56226
531.497 7.52758
531.758 7.53523
532.018 7.64062
532.278 7.98601
532.408 8.35788
532.539 8.99992
532.669 10.1524
532.799 12.3539
532.929 17.0171
532.994 21.3983
533.059 28.6521
533.124 41.6560
533.157 52.2208
533.189 67.4901
533.222 90.5220
533.254 126.446
533.287 184.703
533.319 280.231
533.360 463.398
533.400 602.253
533.420 579.003
533.440 503.581
533.481 330.461
533.509 243.387
533.537 183.768
533.565 143.119
533.593 114.814
533.649 79.6436
533.705 59.7260
533.761 47.3806
533.817 39.2145
533.928 29.3901
534.040 23.8735
534.152 20.4404
534.376 16.5022
534.600 14.3684
534.824 13.0552
535.048 12.1741
535.272 11.5450
535.720 10.7081
536.167 10.1749
537.063 9.52204
537.959 9.11982
538.854 8.83020
540.645 8.39641
542.436 8.02825
543.332 7.84360
544.228 7.65135
545.123 7.46073
545.571 7.38713
546.019 7.37733
546.243 7.43386
546.467 7.58246
546.690 7.91778
546.914 8.66798
547.138 10.4773
547.250 12.3406
547.362 15.6725
547.474 22.2492
547.530 28.0799
547.586 37.2439
547.642 52.6128
547.698 80.3545
547.726 102.936
547.754 135.408
547.782 182.900
547.810 251.882
547.855 415.098
547.900 537.940
547.945 448.672
547.990 293.842
548.042 178.611
548.095 117.728
548.147 83.9457
548.199 63.7953
548.251 50.8721
548.303 42.1386
548.407 31.3949
548.512 25.2532
548.616 21.3951
548.824 16.9434
549.033 14.5274
549.241 13.0434
549.450 12.0513
549.658 11.3460
550.075 10.4139
550.492 9.82560
551.326 9.11505
552.160 8.68626
552.994 8.38504
554.662 7.95540
556.331 7.62568
557.999 7.33145
558.833 7.18774
559.667 7.04843
560.084 6.99277
560.292 6.98013
560.501 6.99661
560.709 7.09180
560.813 7.21403
560.918 7.45594
561.022 7.97594
561.074 8.46502
561.126 9.27450
561.178 10.7209
561.230 13.5695
561.257 16.0922
561.283 19.9979
561.309 26.3094
561.335 36.5269
561.367 56.2437
561.400 71.0052
561.433 60.1385
561.465 41.3896
561.499 28.6893
561.532 21.4636
561.565 17.2167
561.598 14.5862
561.632 12.8508
561.665 11.6561
561.731 10.1565
561.798 9.28131
561.864 8.72283
561.997 8.06732
562.130 7.70153
562.263 7.46979
562.529 7.18913
562.795 7.01841
563.061 6.89682
563.592 6.71923
564.656 6.45645
565.719 6.22626
567.846 5.76054
569.973 5.23127
572.100 4.59531
573.164 4.23137
574.227 3.85472
575.291 3.55248
575.823 3.52774
576.354 3.76465
