Pd-105(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
149.421 35.1196
149.559 51.6448
149.628 64.7458
149.697 83.4405
149.766 111.299
149.834 155.076
149.903 228.710
149.972 363.933
150.007 476.223
150.041 640.569
150.076 888.065
150.110 1258.47
150.160 2042.88
150.210 2593.96
150.260 2114.14
150.310 1347.87
150.346 956.172
150.383 696.225
150.419 523.769
150.456 406.692
150.528 264.725
150.601 186.569
150.674 139.375
150.746 108.786
150.892 72.8686
151.037 53.3356
151.183 41.4972
151.328 33.7503
151.473 28.3837
151.764 21.5877
152.055 17.5720
152.346 14.9821
152.637 13.2072
153.218 11.0197
153.800 9.96484
154.091 9.93008
154.236 10.1755
154.381 10.8011
154.527 12.2756
154.600 13.7098
154.672 16.1287
154.745 20.5405
154.818 29.5713
154.854 37.9079
154.890 51.4306
154.927 74.6711
154.963 115.357
155.002 183.131
155.040 231.014
155.079 189.159
155.117 122.826
155.146 88.3683
155.175 65.8977
155.203 51.1467
155.232 41.1868
155.289 29.2203
155.347 22.6697
155.404 18.7199
155.462 16.1558
155.576 13.1254
155.691 11.4518
155.806 10.4151
156.036 9.22073
156.265 8.56033
156.495 8.14613
156.954 7.69086
157.413 7.59981
157.643 7.75506
157.873 8.20011
158.102 9.33342
158.217 10.5050
158.332 12.5998
158.447 16.7414
158.504 20.4413
158.561 26.3403
158.619 36.4326
158.676 55.3770
158.705 71.4024
158.734 95.3604
158.762 132.140
158.791 188.736
158.811 242.213
158.831 303.807
158.870 385.704
158.910 316.998
158.949 205.251
158.986 135.748
159.022 94.5222
159.059 69.5170
159.095 53.6997
159.168 35.8038
159.241 26.5594
159.315 21.1853
159.388 17.7823
159.534 13.8586
159.680 11.7428
159.826 10.4574
160.118 9.01141
160.411 8.23372
160.703 7.75153
161.288 7.18129
161.873 6.84734
162.457 6.62114
163.627 6.32160
164.796 6.12386
165.965 5.98975
166.550 5.95719
166.842 5.96247
167.135 6.00229
167.427 6.12762
167.573 6.26785
167.719 6.53010
167.866 7.07473
167.939 7.58226
168.012 8.42351
168.085 9.94811
168.158 13.0678
168.195 15.9586
168.231 20.6740
168.268 28.8171
168.304 43.2607
168.342 67.0270
168.380 83.8775
168.418 69.2548
168.456 46.0337
168.490 32.0240
168.525 23.6596
168.559 18.5802
168.594 15.3562
168.662 11.6970
168.731 9.80315
168.800 8.70069
168.868 8.00439
169.006 7.20293
169.143 6.77307
169.281 6.51435
169.556 6.23107
169.830 6.09818
170.105 6.07089
170.243 6.12451
170.380 6.30674
170.449 6.52507
170.518 6.97144
