51-Sb_n-g
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
5.502270e+01 5.21501383e+00
5.504530e+01 3.38367102e+00
5.506360e+01 2.38320164e+00
5.508190e+01 1.75495195e+00
5.510030e+01 1.35646757e+00
5.511860e+01 1.09420742e+00
5.515520e+01 7.85694908e-01
5.519180e+01 6.18723942e-01
5.526510e+01 4.50323947e-01
5.533840e+01 3.67320175e-01
5.548490e+01 2.83163896e-01
5.563140e+01 2.37608347e-01
5.567210e+01 2.30229134e-01
5.592440e+01 1.86182709e-01
5.621750e+01 1.55579339e-01
5.669750e+01 1.25630780e-01
5.680360e+01 1.19450719e-01
5.738970e+01 1.00246523e-01
5.856180e+01 8.00806285e-02
5.874830e+01 7.86611860e-02
5.973400e+01 7.35043518e-02
6.079900e+01 7.49905372e-02
6.090620e+01 7.52698268e-02
6.149230e+01 8.09704996e-02
6.207840e+01 9.24119671e-02
6.266440e+01 1.17317280e-01
6.284980e+01 1.32861699e-01
6.295750e+01 1.42024262e-01
6.325050e+01 1.86495698e-01
6.354360e+01 2.78573370e-01
6.369010e+01 3.67410967e-01
6.383660e+01 5.23905683e-01
6.398310e+01 8.39682192e-01
6.405640e+01 1.13474376e+00
6.412970e+01 1.63505193e+00
6.420290e+01 2.58401227e+00
6.423960e+01 3.41283697e+00
6.427620e+01 4.71891312e+00
6.431280e+01 6.93785491e+00
6.434940e+01 1.11042022e+01
6.436780e+01 1.46530676e+01
6.438610e+01 2.00085102e+01
6.440440e+01 2.83576377e+01
6.442270e+01 4.14271051e+01
6.444640e+01 6.62425335e+01
6.447000e+01 8.27808191e+01
6.449370e+01 6.62185429e+01
6.451730e+01 4.13970878e+01
6.453530e+01 2.85230785e+01
6.455320e+01 2.02341075e+01
6.457120e+01 1.48756043e+01
6.458920e+01 1.13082319e+01
6.462510e+01 7.09297037e+00
6.466100e+01 4.83560670e+00
6.469700e+01 3.50206446e+00
6.473290e+01 2.65423505e+00
6.480480e+01 1.68173358e+00
6.487660e+01 1.16837089e+00
6.490050e+01 1.06775025e+00
6.494850e+01 8.65840271e-01
6.509220e+01 5.42882649e-01
6.523600e+01 3.83838983e-01
6.537970e+01 2.94477229e-01
6.566710e+01 2.03974400e-01
6.592590e+01 1.66727629e-01
6.595460e+01 1.62885949e-01
6.618230e+01 1.48446232e-01
6.624210e+01 1.45953060e-01
6.643860e+01 1.46489141e-01
6.656680e+01 1.53711208e-01
6.663090e+01 1.62113823e-01
6.669500e+01 1.77544267e-01
6.675910e+01 2.07964477e-01
6.679110e+01 2.34670718e-01
6.681700e+01 2.68398683e-01
6.682310e+01 2.76542973e-01
6.685520e+01 3.46767765e-01
6.688720e+01 4.72113410e-01
6.691930e+01 7.19342889e-01
6.693530e+01 9.33065481e-01
6.695130e+01 1.24541474e+00
6.697570e+01 1.92205613e+00
6.700000e+01 2.37335688e+00
6.702440e+01 1.92278985e+00
6.704870e+01 1.24639010e+00
6.706750e+01 8.91551802e-01
6.708620e+01 6.64463102e-01
6.710490e+01 5.18350626e-01
6.712370e+01 4.21395245e-01
6.716120e+01 3.07328112e-01
6.719860e+01 2.46490084e-01
6.723610e+01 2.10657192e-01
6.727360e+01 1.87933016e-01
6.734860e+01 1.61958821e-01
6.749850e+01 1.40357585e-01
6.764840e+01 1.31989199e-01
6.794830e+01 1.25973960e-01
6.796680e+01 1.25870442e-01
6.824810e+01 1.30768952e-01
6.911670e+01 1.52413789e-01
6.944750e+01 1.67868760e-01
6.969160e+01 1.80472668e-01
7.026650e+01 2.24959113e-01
7.064690e+01 2.72143485e-01
7.084140e+01 2.97606531e-01
7.141630e+01 4.28309718e-01
7.170380e+01 5.35375553e-01
7.184640e+01 6.15128826e-01
7.199130e+01 6.97625064e-01
7.227870e+01 9.60070698e-01
7.244610e+01 1.23123510e+00
7.256620e+01 1.42733672e+00
7.270990e+01 1.81319290e+00
7.285360e+01 2.39069685e+00
7.299740e+01 3.31390740e+00
7.304580e+01 3.85794925e+00
7.314110e+01 4.93145888e+00
7.328480e+01 8.15987233e+00
7.335670e+01 1.11408004e+01
7.342860e+01 1.61294562e+01
7.350040e+01 2.54074257e+01
7.353640e+01 3.33425421e+01
7.357230e+01 4.55790434e+01
7.360820e+01 6.57342097e+01
7.364410e+01 1.01846218e+02
7.364550e+01 1.04127336e+02
7.366210e+01 1.31175713e+02
7.368010e+01 1.73459911e+02
7.369800e+01 2.35718969e+02
7.371600e+01 3.27052732e+02
7.374300e+01 5.23088090e+02
7.377000e+01 6.53682645e+02
7.379700e+01 5.22877274e+02
7.382400e+01 3.26805589e+02
7.385470e+01 1.88931761e+02
7.388540e+01 1.17483893e+02
7.391610e+01 7.86577377e+01
7.394680e+01 5.58939196e+01
7.397750e+01 4.15936918e+01
7.400820e+01 3.20976737e+01
7.406960e+01 2.07316161e+01
7.413100e+01 1.44840227e+01
7.419240e+01 1.07016655e+01
7.424520e+01 8.92009153e+00
7.431510e+01 6.56680667e+00
7.443790e+01 4.48776568e+00
7.454500e+01 3.45522836e+00
7.456070e+01 3.30539257e+00
7.468350e+01 2.58452940e+00
7.480630e+01 2.11529298e+00
7.484490e+01 2.03045269e+00
7.505180e+01 1.61273897e+00
7.514470e+01 1.52718529e+00
7.529740e+01 1.44276725e+00
7.544460e+01 1.44010988e+00
7.554300e+01 1.49228596e+00
7.559450e+01 1.53459571e+00
7.574450e+01 1.76187516e+00
7.578850e+01 1.88378120e+00
7.589440e+01 2.20119260e+00
7.604430e+01 3.02685208e+00
7.619420e+01 4.72855980e+00
7.626920e+01 6.32336971e+00
7.627970e+01 6.69982274e+00
7.634420e+01 9.02201278e+00
7.641910e+01 1.40615384e+01
7.645660e+01 1.83809539e+01
7.649410e+01 2.50515944e+01
