38-Sr_n-g
>  38-Sr-84:0.005600
>  38-Sr-86:0.098600
>  38-Sr-87:0.070000
>  38-Sr-88:0.825800
>  38-Sr-89:0.000000
>  38-Sr-90:0.000000
5.429720e+02 3.40047322e+00
5.430000e+02 4.21976765e+00
5.430290e+02 3.39599259e+00
5.430570e+02 2.16582002e+00
5.430830e+02 1.43587042e+00
5.431080e+02 1.00281331e+00
5.431340e+02 7.41503205e-01
5.431590e+02 5.76405389e-01
5.432110e+02 3.91479887e-01
5.432620e+02 2.97410971e-01
5.433130e+02 2.43719454e-01
5.433640e+02 2.10416837e-01
5.434670e+02 1.73246938e-01
5.435690e+02 1.54266274e-01
5.436710e+02 1.43438791e-01
5.437740e+02 1.36799462e-01
5.438760e+02 1.32520758e-01
5.440810e+02 1.27745366e-01
5.442860e+02 1.25553184e-01
5.446950e+02 1.24402624e-01
5.451050e+02 1.25042804e-01
5.455140e+02 1.26403655e-01
5.463330e+02 1.30019278e-01
5.464980e+02 1.30844573e-01
5.471520e+02 1.34117155e-01
5.479480e+02 1.38287506e-01
5.479720e+02 1.38476919e-01
5.496100e+02 1.51636642e-01
5.528860e+02 1.78256085e-01
5.532750e+02 1.81430112e-01
5.561620e+02 2.18464821e-01
5.586030e+02 2.49816825e-01
5.611870e+02 3.06373567e-01
5.639300e+02 3.66418168e-01
5.665940e+02 4.58218408e-01
5.692580e+02 5.89439914e-01
5.692680e+02 5.90178339e-01
5.719210e+02 7.86106773e-01
5.745850e+02 1.09922428e+00
5.758760e+02 1.36104777e+00
5.772490e+02 1.63950951e+00
5.785810e+02 2.06749481e+00
5.799130e+02 2.67905359e+00
5.812440e+02 3.58737863e+00
5.823730e+02 4.78015277e+00
5.825760e+02 4.99462215e+00
5.839080e+02 7.26169108e+00
5.852400e+02 1.09527313e+01
5.868200e+02 1.74828689e+01
5.884000e+02 2.17726173e+01
5.899800e+02 1.73651555e+01
5.905660e+02 1.49446867e+01
5.915600e+02 1.08389874e+01
5.931560e+02 6.63507325e+00
5.947510e+02 4.29548785e+00
5.954790e+02 3.68329809e+00
5.963470e+02 2.95339483e+00
5.979100e+02 2.15253893e+00
