Pb-204(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
9097.37 37.5794
9097.51 27.6992
9097.64 22.2582
9097.77 19.0557
9097.90 17.0117
9098.04 15.6553
9098.30 14.0127
9098.57 13.0994
9098.83 12.5447
9099.36 11.9311
9099.89 11.6159
9100.42 11.4326
9101.48 11.2360
9103.61 11.0761
9105.73 11.0070
9109.97 10.9360
9114.21 10.8905
9131.18 10.7542
9165.12 10.5152
9233.00 10.0612
9300.88 9.60357
9368.77 9.09744
9436.65 8.45957
9470.59 8.03622
9504.53 7.47748
9521.50 7.11563
9538.47 6.66862
9555.44 6.09715
9572.41 5.33664
9580.90 4.85434
9589.38 4.28140
9597.87 3.60056
9606.35 2.81332
9614.84 2.02522
9619.08 1.77923
9621.20 1.77051
9623.32 1.90624
9624.38 2.05560
9625.44 2.28059
9626.50 2.60355
9627.56 3.05362
9628.62 3.67135
9629.68 4.50928
9630.75 5.64267
9631.81 7.17147
9632.87 9.24211
9633.93 12.0577
9634.99 15.9121
9636.05 21.2264
9637.11 28.6322
9638.17 39.0121
9639.23 53.6413
9640.29 74.0953
9641.47 105.583
9642.65 146.334
9645.00 222.473
9646.18 229.702
9647.36 213.491
9649.71 158.059
9652.45 108.419
9655.18 79.1716
9657.92 61.6568
9660.66 50.4957
9663.39 42.9388
9666.13 37.5621
9671.60 30.5277
9677.08 26.1930
9682.55 23.2852
9693.50 19.6620
9704.44 17.5094
9715.39 16.0879
9726.34 15.0794
9737.28 14.3260
9759.18 13.2720
9781.07 12.5653
9802.96 12.0541
9824.86 11.6638
9868.64 11.0987
9912.43 10.7003
10000.0 10.1529
10085.5 9.81540
10171.1 9.56041
10342.2 9.17931
10513.2 8.88737
10684.3 8.64001
11026.5 8.19916
11197.5 7.98135
11283.1 7.86938
11325.9 7.81684
11336.5 7.80866
11347.2 7.81371
11352.6 7.83499
11357.9 7.91014
11360.6 8.02114
11361.9 8.13258
11363.3 8.33193
11364.6 8.74650
11365.3 9.14135
11365.9 9.80861
11366.6 11.1141
11367.0 12.2975
11367.3 14.1404
11367.6 17.4542
11368.0 23.7198
11368.1 29.4197
11368.3 37.7520
11368.5 52.0935
11368.6 74.1495
11368.8 115.346
11369.0 141.197
11369.2 113.663
11369.4 74.7856
11369.6 49.5906
11369.8 35.8217
11370.0 27.2183
11370.1 22.1490
11370.5 16.3541
11370.9 13.4969
11371.2 11.8173
11371.6 10.7784
11372.3 9.62678
11373.1 9.02121
11373.8 8.67215
11375.3 8.29728
11376.7 8.11140
11378.2 8.00514
11381.2 7.89298
11387.0 7.80307
11392.9 7.76444
11404.7 7.72473
11416.4 7.69922
11463.5 7.62116
11510.5 7.54799
11557.5 7.47341
11745.7 7.14259
11933.8 6.72948
12121.9 6.17355
12216.0 5.80817
12310.0 5.35247
12404.1 4.76467
12498.2 3.97605
12545.2 3.47300
12592.2 2.87296
12639.3 2.15604
12686.3 1.31907
12733.3 0.456011
12745.1 0.280358
12751.0 0.208663
12756.8 0.152199
12762.7 0.115429
12768.6 0.104009
12774.5 0.125140
12780.3 0.187898
12786.2 0.304357
12792.1 0.489853
12798.0 0.764517
12803.9 1.15487
12809.7 1.69614
12815.6 2.43562
12821.5 3.43736
12827.4 4.78640
12833.3 6.60842
12839.1 9.07084
