41-Nb_n-tot
>  41-Nb-93:1.000000
3.381510e+02 6.36169000e+00
3.385780e+02 6.16623000e+00
3.390060e+02 6.02761000e+00
3.398600e+02 5.84446000e+00
3.407150e+02 5.72866000e+00
3.415690e+02 5.64814000e+00
3.424240e+02 5.58816000e+00
3.441330e+02 5.50255000e+00
3.458420e+02 5.44143000e+00
3.492600e+02 5.35060000e+00
3.526780e+02 5.27436000e+00
3.560960e+02 5.19756000e+00
3.595140e+02 5.11123000e+00
3.612230e+02 5.06720000e+00
3.616510e+02 5.06097000e+00
3.620780e+02 5.06744000e+00
3.622920e+02 5.08710000e+00
3.623980e+02 5.10867000e+00
3.625050e+02 5.14788000e+00
3.626120e+02 5.22576000e+00
3.626650e+02 5.29536000e+00
3.627190e+02 5.40639000e+00
3.627720e+02 5.59708000e+00
3.628260e+02 5.95894000e+00
3.628520e+02 6.26965000e+00
3.628790e+02 6.74216000e+00
3.629060e+02 7.48470000e+00
3.629320e+02 8.65889000e+00
3.629660e+02 1.08535000e+01
3.630000e+02 1.23164000e+01
3.630340e+02 1.08520000e+01
3.630680e+02 8.65542000e+00
3.630970e+02 7.39762000e+00
3.631260e+02 6.63597000e+00
3.631550e+02 6.16660000e+00
3.631840e+02 5.86515000e+00
3.632420e+02 5.52108000e+00
3.633000e+02 5.34299000e+00
3.633580e+02 5.23946000e+00
3.634160e+02 5.17432000e+00
3.635320e+02 5.09986000e+00
3.637640e+02 5.03815000e+00
3.639960e+02 5.01967000e+00
3.642280e+02 5.03133000e+00
3.643450e+02 5.05606000e+00
3.644610e+02 5.10799000e+00
3.645770e+02 5.22048000e+00
3.646350e+02 5.32570000e+00
3.646930e+02 5.49782000e+00
3.647510e+02 5.80103000e+00
3.648090e+02 6.38733000e+00
3.648380e+02 6.89675000e+00
3.648670e+02 7.67673000e+00
3.648960e+02 8.90945000e+00
3.649250e+02 1.08709000e+01
3.649620e+02 1.47122000e+01
3.650000e+02 1.75112000e+01
3.650380e+02 1.52739000e+01
3.650750e+02 1.15747000e+01
3.651100e+02 9.27928000e+00
3.651450e+02 7.90606000e+00
3.651790e+02 7.07079000e+00
3.652140e+02 6.53932000e+00
3.652830e+02 5.93243000e+00
3.653520e+02 5.61581000e+00
3.654210e+02 5.42914000e+00
3.654900e+02 5.30944000e+00
3.656280e+02 5.16793000e+00
3.657670e+02 5.08830000e+00
3.659050e+02 5.03727000e+00
3.661820e+02 4.97410000e+00
3.667350e+02 4.90394000e+00
3.672880e+02 4.85658000e+00
3.695000e+02 4.69822000e+00
3.705960e+02 4.61562000e+00
3.716910e+02 4.52932000e+00
3.727870e+02 4.44930000e+00
3.738820e+02 4.41268000e+00
3.744300e+02 4.44506000e+00
3.749780e+02 4.56107000e+00
3.755250e+02 4.85775000e+00
3.760730e+02 5.58001000e+00
3.763470e+02 6.28737000e+00
3.766210e+02 7.46161000e+00
3.768950e+02 9.51482000e+00
3.771690e+02 1.33883000e+01
3.773060e+02 1.66671000e+01
3.774420e+02 2.15995000e+01
3.775790e+02 2.94092000e+01
3.777160e+02 4.25954000e+01
3.777850e+02 5.27840000e+01
3.778530e+02 6.69894000e+01
3.779220e+02 8.74748000e+01
3.779900e+02 1.18190000e+02
3.780590e+02 1.66705000e+02
3.781270e+02 2.47657000e+02
3.781960e+02 3.91648000e+02
3.782640e+02 6.55599000e+02
3.783320e+02 1.07961000e+03
3.784000e+02 1.38995000e+03
3.784680e+02 1.14416000e+03
3.785360e+02 7.36204000e+02
3.785910e+02 5.09047000e+02
3.786450e+02 3.64297000e+02
3.787000e+02 2.71217000e+02
3.787540e+02 2.09556000e+02
3.788630e+02 1.36613000e+02
3.789720e+02 9.72747000e+01
3.790820e+02 7.37665000e+01
3.791910e+02 5.86009000e+01
3.794090e+02 4.08160000e+01
3.796270e+02 3.10998000e+01
3.798450e+02 2.51682000e+01
3.800630e+02 2.12527000e+01
3.802810e+02 1.85159000e+01
3.807180e+02 1.50005000e+01
3.811540e+02 1.28832000e+01
3.815910e+02 1.14903000e+01
3.820270e+02 1.05149000e+01
3.829000e+02 9.25379000e+00
3.837720e+02 8.48372000e+00
3.846450e+02 7.96980000e+00
3.855180e+02 7.60498000e+00
3.872630e+02 7.12706000e+00
3.890080e+02 6.84089000e+00
3.898810e+02 6.75238000e+00
3.907540e+02 6.72435000e+00
3.911900e+02 6.77100000e+00
3.914080e+02 6.83595000e+00
3.916270e+02 6.96404000e+00
3.918450e+02 7.23532000e+00
3.919540e+02 7.48938000e+00
3.920630e+02 7.91189000e+00
3.921720e+02 8.68195000e+00
3.922270e+02 9.32365000e+00
3.922810e+02 1.02821000e+01
3.923360e+02 1.17964000e+01
3.923900e+02 1.43353000e+01
3.924450e+02 1.89000000e+01
3.924990e+02 2.74324000e+01
3.925500e+02 4.00245000e+01
3.926000e+02 4.83935000e+01
3.926510e+02 3.99953000e+01
3.927010e+02 2.74029000e+01
3.927610e+02 1.83243000e+01
3.928200e+02 1.37243000e+01
3.928800e+02 1.12639000e+01
3.929390e+02 9.83719000e+00
3.929980e+02 8.94479000e+00
3.930580e+02 8.35394000e+00
3.931770e+02 7.64784000e+00
3.932960e+02 7.25769000e+00
3.934150e+02 7.01923000e+00
3.936530e+02 6.75173000e+00
3.938910e+02 6.60965000e+00
3.941280e+02 6.52235000e+00
3.946040e+02 6.41900000e+00
3.950800e+02 6.35663000e+00
3.955560e+02 6.31205000e+00
3.965070e+02 6.24712000e+00
3.984100e+02 6.15700000e+00
4.003130e+02 6.09030000e+00
4.041200e+02 5.99170000e+00
4.079260e+02 5.92008000e+00
4.155380e+02 5.82024000e+00
4.231510e+02 5.75152000e+00
4.307630e+02 5.69870000e+00
4.383750e+02 5.65347000e+00
4.459880e+02 5.60785000e+00
4.497940e+02 5.58000000e+00
4.516970e+02 5.56262000e+00
4.536000e+02 5.54091000e+00
4.544270e+02 5.52948000e+00
4.552540e+02 5.51649000e+00
4.560810e+02 5.50192000e+00
4.569080e+02 5.48685000e+00
4.573210e+02 5.48056000e+00
4.577350e+02 5.47756000e+00
4.581480e+02 5.48309000e+00
4.585620e+02 5.51133000e+00
4.587690e+02 5.54531000e+00
4.589750e+02 5.60736000e+00
4.591820e+02 5.72430000e+00
4.593890e+02 5.95937000e+00
4.595950e+02 6.48820000e+00
4.596990e+02 7.01316000e+00
4.598020e+02 7.93151000e+00
4.599060e+02 9.70846000e+00
4.599570e+02 1.12627000e+01
4.600090e+02 1.36814000e+01
4.600610e+02 1.76962000e+01
4.601120e+02 2.48757000e+01
4.601640e+02 3.89043000e+01
4.601900e+02 5.08317000e+01
4.602160e+02 6.80474000e+01
4.602370e+02 8.69627000e+01
4.602580e+02 1.08956000e+02
4.603000e+02 1.38982000e+02
4.603420e+02 1.15717000e+02
4.603850e+02 7.65492000e+01
4.604240e+02 5.20297000e+01
4.604630e+02 3.73949000e+01
4.605020e+02 2.85133000e+01
4.605410e+02 2.28714000e+01
4.606200e+02 1.64536000e+01
4.606980e+02 1.31143000e+01
4.607760e+02 1.11584000e+01
4.608550e+02 9.91482000e+00
4.610110e+02 8.47100000e+00
4.611680e+02 7.68779000e+00
4.613250e+02 7.21096000e+00
4.614810e+02 6.89583000e+00
4.616380e+02 6.67519000e+00
4.619510e+02 6.39061000e+00
4.622640e+02 6.21791000e+00
4.625780e+02 6.10339000e+00
4.628910e+02 6.02252000e+00
4.635180e+02 5.91659000e+00
4.641440e+02 5.85068000e+00
4.647710e+02 5.80579000e+00
4.653970e+02 5.77323000e+00
4.666500e+02 5.72888000e+00
4.679040e+02 5.69974000e+00
4.704100e+02 5.66276000e+00
4.729160e+02 5.63922000e+00
4.754220e+02 5.62215000e+00
4.804350e+02 5.59764000e+00
4.854480e+02 5.58013000e+00
4.879540e+02 5.57336000e+00
4.904600e+02 5.56831000e+00
4.929670e+02 5.56656000e+00
4.942200e+02 5.56846000e+00
4.954730e+02 5.57477000e+00
4.960990e+02 5.58123000e+00
4.967260e+02 5.59194000e+00
4.973530e+02 5.61046000e+00
4.979790e+02 5.64504000e+00
4.982920e+02 5.67431000e+00
4.986060e+02 5.71876000e+00
4.989190e+02 5.79067000e+00
4.992320e+02 5.91763000e+00
4.993890e+02 6.02094000e+00
4.995460e+02 6.17302000e+00
4.997020e+02 6.41015000e+00
4.998590e+02 6.80841000e+00
5.000160e+02 7.55315000e+00
5.000940e+02 8.19273000e+00
5.001720e+02 9.18324000e+00
5.002510e+02 1.08244000e+01
5.003290e+02 1.37900000e+01
5.003680e+02 1.62219000e+01
5.004070e+02 1.97488000e+01
5.004460e+02 2.50028000e+01
5.004850e+02 3.27777000e+01
5.005430e+02 4.91214000e+01
5.006000e+02 6.00176000e+01
5.006570e+02 4.90966000e+01
5.007150e+02 3.27610000e+01
5.007700e+02 2.26344000e+01
5.008240e+02 1.68191000e+01
5.008790e+02 1.33999000e+01
5.009340e+02 1.12832000e+01
5.009890e+02 9.89687000e+00
