Cu-65(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
7526.81 0.0422322
7536.25 0.0478373
7545.69 0.0549953
7555.12 0.0643861
7564.56 0.0771051
7574.00 0.0950087
7583.43 0.121421
7592.87 0.162690
7602.31 0.231802
7607.03 0.284594
7611.74 0.356818
7616.46 0.456867
7621.18 0.594882
7638.00 1.19526
7642.21 1.14100
7646.41 0.983348
7654.82 0.631068
7661.61 0.436743
7668.39 0.315668
7675.18 0.240213
7681.97 0.191852
7695.54 0.138329
7709.12 0.113447
7736.26 0.0994104
7763.41 0.109082
7790.56 0.137932
7817.71 0.194227
7831.28 0.239134
7844.85 0.301482
7858.43 0.388354
7872.00 0.507718
7896.50 0.800689
7921.00 0.972197
7945.50 0.758240
7970.00 0.471497
7997.48 0.275805
8024.97 0.173514
8052.45 0.117309
8079.93 0.0840339
8107.42 0.0629731
8134.90 0.0488913
8189.86 0.0319126
8244.83 0.0225116
8299.79 0.0168367
8354.76 0.0135166
8382.24 0.0138797
8389.11 0.0153834
8395.98 0.0201980
8399.42 0.0270756
8402.86 0.0463802
8404.57 0.0724762
8406.29 0.142604
8407.15 0.233317
8408.01 0.462475
8408.44 0.736954
8408.87 1.35446
8409.08 1.99934
8409.30 3.20680
8409.40 4.24752
8409.51 5.80906
8409.62 8.24665
8409.73 12.0743
8409.86 19.3563
8410.00 24.2178
8410.14 19.3907
8410.28 12.1450
8410.37 8.73513
8410.46 6.41740
8410.64 3.76882
8410.83 2.42827
8411.01 1.68535
8411.38 0.940316
8411.74 0.598232
8412.48 0.304879
8413.21 0.186365
8414.68 0.0933961
8416.15 0.0583915
8419.08 0.0321028
8422.02 0.0224972
8427.89 0.0153404
8433.76 0.0126602
8445.50 0.0104807
8457.24 0.00948257
8504.21 0.00761203
8598.14 0.00566842
8786.01 0.00362486
8973.88 0.00263716
9067.81 0.00253327
9091.30 0.00268492
9114.78 0.00320955
9126.52 0.00395889
9132.39 0.00470448
9138.26 0.00605780
9144.13 0.00892874
9147.07 0.0117711
9150.00 0.0169249
9152.94 0.0278353
9154.41 0.0385827
9155.87 0.0579078
9157.34 0.0982151
9158.08 0.137212
9158.81 0.205801
9159.54 0.344052
9160.28 0.690098
9160.64 1.09921
9161.01 2.00713
9161.20 2.93872
9161.38 4.64330
9161.47 6.07167
9161.56 8.15769
9161.65 11.3512
9161.74 16.1817
9161.81 20.6589
9161.87 25.7994
9162.00 31.9497
9162.13 25.2459
9162.26 15.7498
9162.36 10.4636
9162.47 7.23318
9162.58 5.20050
9162.68 3.89618
9162.89 2.38898
9163.11 1.60278
9163.53 0.858988
9163.96 0.533630
9164.38 0.363033
9164.81 0.263023
9165.66 0.156723
9166.51 0.104323
9167.36 0.0747884
9169.07 0.0444303
9170.77 0.0299678
9172.47 0.0220052
9175.88 0.0140646
9179.28 0.0104960
9182.69 0.00873832
9189.50 0.00774415
9196.31 0.00916052
9199.71 0.0112553
9203.12 0.0154030
9206.52 0.0245457
9208.22 0.0336943
9209.93 0.0502732
9211.63 0.0850942
9212.48 0.118947
9213.33 0.178898
9214.18 0.300764
9215.03 0.609917
9215.46 0.982524
9215.89 1.82801
9216.10 2.71974
9216.31 4.42017
9216.42 5.89918
9216.52 8.14411
9216.63 11.6977
9216.74 17.3557
9216.80 22.2067
9216.87 27.6978
9217.00 34.2148
9217.13 27.0350
9217.26 16.8383
9217.42 9.67979
9217.57 6.00173
9217.72 4.01119
9217.87 2.84627
9218.18 1.63041
9218.48 1.05004
9218.78 0.731012
9219.09 0.537702
9219.70 0.325764
9220.30 0.218482
9220.91 0.156850
9222.13 0.0924905
9223.34 0.0612836
9224.56 0.0438534
9226.99 0.0260595
9229.42 0.0176167
9231.85 0.0129516
9236.71 0.00822858
9241.58 0.00599363
9246.44 0.00475411
9256.16 0.00348409
9275.61 0.00251444
9295.06 0.00213233
9372.85 0.00163820
9528.44 0.00133996
9684.03 0.00127686
9722.92 0.00136357
9761.82 0.00167978
9781.27 0.00215086
9790.99 0.00263048
9800.72 0.00351524
9810.44 0.00541933
9815.30 0.00732048
9820.16 0.0107871
9825.03 0.0181570
9827.46 0.0254368
9829.89 0.0385655
9832.32 0.0660044
9834.75 0.139620
9835.97 0.234721
9837.18 0.474390
9837.79 0.760762
9838.40 1.40562
9838.70 2.07657
9839.01 3.33826
9839.16 4.41462
9839.31 6.04349
9839.46 8.59077
9839.61 12.5725
9839.81 20.1813
9840.00 25.5701
9840.19 20.7414
9840.39 13.0100
9840.54 8.76579
9840.70 6.10014
9840.86 4.41671
9841.01 3.31651
9841.32 2.04248
9841.64 1.37501
9841.95 0.984273
