Pt-195(n,tot) JEFF-3.2
Energy(eV) XS(b)
285.385 337.562
285.427 500.065
285.470 784.694
285.513 1297.72
285.556 2143.90
285.600 2767.25
285.644 2287.69
285.688 1479.21
285.716 1102.38
285.744 837.436
285.799 521.319
285.855 354.796
285.911 258.586
285.967 198.449
286.023 158.434
286.135 110.104
286.247 82.9828
286.359 66.1680
286.582 47.0349
286.806 36.7972
287.029 30.5857
287.253 26.4768
287.477 23.5846
287.924 19.8176
288.371 17.4904
288.819 15.9141
289.266 14.7738
290.160 13.2195
291.055 12.1868
292.844 10.8166
294.633 9.82576
296.422 8.92202
297.317 8.44319
298.211 7.91620
299.106 7.32723
299.553 7.02186
300.000 6.75153
300.279 6.64856
300.557 6.67733
300.835 7.01092
301.114 8.09720
301.253 9.27005
301.392 11.3046
301.532 14.9798
301.601 17.9170
301.671 22.0841
301.740 28.1701
301.810 37.3934
301.880 52.0565
301.914 62.7410
301.949 76.8922
301.984 96.0669
302.019 122.759
302.054 161.130
302.088 218.466
302.123 308.186
302.158 456.299
302.193 714.586
302.228 1177.37
302.264 1950.95
302.300 2523.95
302.336 2091.20
302.373 1355.92
302.400 957.190
302.428 696.863
302.456 525.429
302.484 410.088
302.539 271.010
302.595 194.620
302.650 148.380
302.706 118.259
302.817 82.5505
302.928 62.8251
303.039 50.6700
303.150 42.5814
303.260 36.8885
303.482 29.5015
303.704 24.9954
303.926 21.9922
304.148 19.8625
304.592 17.0555
305.036 15.2955
305.924 13.2455
306.812 12.3161
307.256 12.3269
307.699 13.0038
308.143 15.3488
308.365 18.0766
308.587 23.3066
308.809 34.4024
308.920 44.8664
309.031 62.3127
309.142 93.9383
309.198 119.928
309.253 158.131
309.309 216.674
309.364 310.699
309.420 468.798
309.475 739.036
309.538 1217.16
309.600 1572.14
309.663 1303.22
309.725 845.410
309.767 621.382
309.810 467.238
309.852 361.655
309.895 287.891
309.979 195.984
310.064 143.797
310.149 111.539
310.234 90.2331
310.403 64.6634
310.573 50.3932
310.743 41.5507
311.082 31.4838
311.421 26.0738
311.760 22.7682
312.099 20.5628
312.438 18.9967
313.117 16.9281
313.795 15.6243
315.152 14.0617
316.508 13.1420
317.865 12.5231
320.578 11.7175
323.291 11.1937
326.004 10.8103
331.431 10.2559
336.857 9.84270
342.284 9.49141
344.997 9.32184
347.710 9.14255
349.067 9.04205
349.745 8.98697
350.423 8.92852
351.101 8.87163
351.441 8.85161
351.780 8.85431
351.949 8.87688
352.119 8.93074
352.289 9.04743
352.458 9.30267
352.628 9.91123
352.712 10.5353
352.797 11.6530
352.882 13.8672
352.924 15.8431
352.967 18.9804
353.009 24.3000
353.052 34.1137
353.094 54.1769
353.115 72.0214
353.136 98.5611
353.152 125.914
353.168 157.735
353.200 201.472
353.232 168.229
353.264 111.906
353.292 77.6080
353.320 56.6540
353.349 43.6947
353.377 35.3287
353.434 25.6999
353.490 20.6254
353.547 17.6310
353.603 15.7126
353.716 13.4722
353.830 12.2472
353.943 11.4962
354.056 10.9970
354.169 10.6452
354.392 10.1915
354.615 9.91005
354.839 9.71890
355.062 9.58044
355.508 9.39140
355.954 9.26573
356.847 9.10080
357.739 8.98852
359.524 8.82448
361.309 8.69171
364.880 8.44979
368.450 8.19825
372.020 7.89999
373.805 7.71511
375.590 7.48689
377.375 7.18510
378.267 6.99059
379.160 6.75640
379.606 6.62469
380.053 6.48993
380.499 6.37314
380.945 6.34268
381.168 6.42034
381.391 6.64515
381.614 7.17949
381.838 8.42545
381.949 9.61633
382.061 11.5592
382.172 14.8926
382.284 21.0350
382.340 26.1303
382.395 33.6627
382.451 45.3081
382.507 64.3396
382.535 78.6295
382.563 98.0314
382.591 125.097
382.619 164.055
382.646 222.178
382.674 312.315
382.702 457.111
382.730 690.938
382.765 1141.49
382.800 1477.07
382.835 1225.10
382.870 794.238
382.897 563.336
382.923 411.390
382.950 311.347
382.976 243.619
383.029 161.934
383.082 116.978
383.135 89.7398
383.188 71.9902
383.294 50.9502
383.400 39.3363
383.506 32.1880
383.612 27.4380
383.718 24.1005
383.930 19.7812
384.142 17.1568
384.354 15.4171
384.566 14.1900
384.990 12.5856
385.414 11.5904
385.838 10.9141
386.262 10.4240
387.110 9.75634
387.957 9.31527
389.653 8.74403
391.349 8.36017
393.045 8.05643
396.436 7.52730
399.828 6.96320
401.524 6.61960
403.219 6.19654
404.067 5.94160
404.915 5.64952
405.763 5.31857
406.611 4.97046
407.035 4.82069
407.459 4.74043
407.883 4.84438
408.307 5.44254
408.519 6.17406
408.731 7.51724
408.943 10.0520
409.049 12.1330
409.155 15.1345
409.261 19.5989
409.367 26.4874
409.473 37.6539
409.578 56.9748
409.631 72.1898
409.684 93.7142
409.737 125.264
409.790 173.564
409.843 251.556
409.896 385.882
409.949 634.211
409.976 835.174
410.002 1112.69
410.051 1847.75
410.100 2398.53
410.149 1992.82
410.198 1293.19
410.243 849.475
410.289 585.211
410.334 424.770
410.380 322.577
410.471 206.336
410.562 145.827
410.653 110.309
410.744 87.6662
410.926 61.2830
411.108 46.9019
411.290 38.1009
411.472 32.2635
411.654 28.1593
412.019 22.8362
412.383 19.5849
412.747 17.4151
413.111 15.8742
413.839 13.8413
414.568 12.5641
415.296 11.6864
416.024 11.0434
417.481 10.1550
418.937 9.55753
421.850 8.76711
424.764 8.22449
427.677 7.79189
433.503 7.06591
438.292 6.56988
440.687 6.42120
443.081 6.49921
444.279 6.74240
445.476 7.28076
446.673 8.40332
447.871 10.7945
449.068 16.3463
449.667 21.9177
450.265 31.6865
450.864 50.4712
451.163 66.7384
451.463 91.8074
451.762 132.618
452.061 203.558
452.361 336.331
452.660 596.868
452.930 991.019
453.200 1289.52
453.471 1075.48
453.741 700.554
453.983 470.090
454.225 329.321
454.467 242.286
454.709 186.109
455.192 121.371
455.676 87.1768
456.160 66.9431
456.643 53.9394
457.611 38.6718
458.578 30.2715
459.546 25.0796
461.480 19.1164
463.415 15.8247
465.350 13.7248
469.220 11.0927
473.089 9.31315
475.024 8.53542
476.959 7.77448
478.894 7.01902
479.861 6.66646
480.829 6.39453
481.796 6.40047
482.280 6.70553
482.764 7.55213
483.247 9.80690
483.489 12.2485
483.731 16.8060
483.973 26.3776
484.094 35.4493
484.215 50.8249
484.336 79.5978
484.396 104.152
484.457 141.663
484.517 202.634
484.577 308.850
484.638 510.710
484.668 678.372
484.698 916.221
484.749 1490.81
484.800 1910.87
484.851 1568.63
484.902 999.283
484.941 695.506
484.979 498.383
485.018 370.295
485.057 284.603
485.135 182.764
485.212 127.778
485.290 94.9313
485.367 73.8503
485.522 49.2795
485.677 36.0179
485.832 28.0181
486.143 19.2033
486.453 14.6967
486.763 12.1439
487.383 10.0402
487.694 10.1518
488.004 11.2491
488.314 13.9405
488.469 16.2833
488.624 19.7029
488.779 24.7680
488.934 32.4785
489.090 44.7152
489.245 65.3458
489.400 103.332
489.477 135.216
489.555 183.163
489.632 259.500
489.710 389.131
489.788 627.275
489.865 1086.36
489.933 1740.55
490.000 2210.33
490.068 1793.15
490.135 1113.65
490.188 750.614
490.240 520.469
490.293 374.656
490.345 279.909
490.398 216.790
490.450 174.246
490.503 146.037
490.555 128.818
490.607 121.099
490.660 123.116
490.686 128.334
490.712 136.899
490.739 149.560
490.765 167.179
490.791 191.239
490.817 223.431
490.844 266.633
490.870 324.179
490.896 401.616
490.922 505.253
490.949 644.187
490.975 828.357
491.037 1467.81
491.100 1996.05
491.131 1954.20
491.163 1734.83
491.225 1196.75
491.294 788.360
491.362 552.422
491.431 411.890
491.500 322.815
491.637 220.244
491.774 165.016
491.911 131.320
492.048 108.917
492.322 81.3366
492.596 65.2155
492.871 54.7372
493.419 42.0451
493.967 34.7012
494.516 29.9424
495.613 24.1632
496.710 20.7840
497.806 18.5580
500.000 15.7689
502.141 14.0761
504.283 12.8670
508.565 11.0914
510.706 10.3140
512.848 9.48201
513.918 8.99273
514.454 8.71448
514.989 8.41070
515.524 8.10663
