Co-59(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
19770.7 1.73280
19771.9 1.99564
19773.1 2.43600
19774.3 3.25171
19775.4 4.92123
19776.0 6.48374
19776.6 9.05179
19777.2 13.5361
19777.8 21.5710
19779.0 52.6108
19779.3 54.1069
19779.6 49.2720
19780.2 33.1865
19780.6 24.0361
19781.1 17.8236
19781.5 13.6892
19781.9 10.8838
19782.8 7.50708
19783.7 5.65839
19784.5 4.54393
19785.4 3.82064
19787.1 2.97026
19788.8 2.49896
19790.5 2.20931
19794.0 1.88182
19797.4 1.70534
19800.8 1.59727
19807.7 1.47217
19814.6 1.40165
19821.4 1.35554
19835.2 1.29648
19848.9 1.25755
19862.6 1.22794
19890.1 1.18196
20000.0 1.05352
20221.7 0.880211
20443.4 0.814819
20665.1 0.940067
20775.9 1.12687
20831.3 1.26705
20859.1 1.35254
20872.9 1.40386
20879.8 1.44992
20883.3 1.54769
20885.0 1.85311
20885.9 2.75345
20886.3 4.76234
20886.6 7.95591
20886.7 11.2737
20886.8 16.5055
20886.9 25.4739
20887.0 31.7111
20887.1 25.6155
20887.2 16.6813
20887.3 11.4391
20887.5 8.10227
20887.7 4.96796
20888.1 2.85675
20889.0 1.91752
20890.7 1.59890
20894.1 1.51425
20901.0 1.51275
20914.7 1.55984
20942.2 1.67762
20997.1 1.96264
21106.9 2.76721
21216.8 4.01828
21271.7 4.87831
21299.1 5.37196
21312.9 5.62305
21319.7 5.76318
21323.2 5.99366
21324.0 6.21037
21324.9 6.77211
21325.3 7.43993
21325.8 8.87986
21326.0 10.3200
21326.2 12.6779
21326.4 16.9784
21326.6 25.8187
21327.0 55.2499
21327.1 56.1102
21327.2 50.9900
21327.4 36.0687
21327.5 27.5863
21327.7 22.1196
21327.9 15.7542
21328.2 12.4226
21328.5 10.6308
21329.0 8.77601
21329.5 7.91777
21330.6 7.14142
21331.6 6.82072
21333.7 6.56934
21335.8 6.48951
21340.0 6.47516
21344.3 6.52533
21352.7 6.68541
21361.1 6.87687
21394.8 7.77537
21462.2 10.0555
21597.0 17.0616
21956.0 51.6580
22135.5 51.6589
22225.3 47.1204
22315.0 45.0420
22406.0 51.6654
22538.0 86.4001
22604.0 81.9517
22670.0 61.7676
22720.9 48.6123
22771.8 39.1702
22873.5 27.5552
22975.3 20.9264
23077.0 16.6217
23280.5 11.1668
23484.0 7.59009
23687.5 4.81679
23891.0 2.52502
23992.8 1.70106
24043.6 1.49238
24094.5 1.54692
24145.4 2.05451
24170.8 2.57486
24196.3 3.35014
24247.1 6.01166
24298.0 10.9411
24343.0 18.0272
24388.0 27.7851
24433.0 38.3766
24478.0 46.0374
24568.0 45.9640
24658.0 36.9183
24764.5 27.9836
24871.0 22.7387
24924.3 21.5426
24977.5 21.7764
25030.8 24.7561
25084.0 33.9858
25174.0 70.9857
25219.0 69.6365
25264.0 53.9119
25307.5 41.2343
25351.0 32.9291
25394.5 27.4987
25438.0 23.7743
25524.9 19.0321
25611.9 16.0775
25698.9 13.9398
25785.9 12.1302
25829.3 11.2017
25851.1 10.6876
25872.8 10.1085
25894.6 9.42668
25905.5 9.03732
25916.3 8.62465
25927.2 8.24936
25932.6 8.14214
25938.1 8.19309
25943.5 8.61288
25948.9 9.92269
25954.4 13.5365
25957.1 17.2442
25959.8 23.2567
25964.4 41.1746
25969.0 61.4954
25973.6 61.6251
25978.2 49.3183
25983.1 38.1597
25988.1 30.9872
25993.0 26.4022
25997.9 23.3387
26002.8 21.1792
26007.8 19.5958
26017.6 17.4381
26027.5 16.0424
26037.3 15.0625
26057.0 13.7612
26076.7 12.9144
26096.4 12.3010
26135.8 11.4306
26175.2 10.8036
26214.6 10.3032
26293.4 9.50367
26451.0 8.27790
26608.7 7.26912
26766.3 6.36666
26923.9 5.60123
27002.7 5.38084
27081.5 5.52165
27120.9 5.91287
27160.3 6.75841
27199.7 8.47474
27209.6 9.13350
27219.4 9.94330
27224.3 10.4413
27229.3 11.0855
27231.7 11.5613
27233.0 11.8985
27234.2 12.3806
27235.4 13.1714
27236.0 13.8111
27236.6 14.7506
27237.3 16.2919
27237.9 18.9822
27238.2 21.2011
27238.5 24.4258
27238.8 29.2237
27239.1 36.0826
27239.6 50.8118
27240.0 60.7884
27240.5 51.2376
27240.9 36.6739
27241.3 28.7846
27241.6 23.9373
27242.0 20.8399
27242.3 18.8011
27243.0 16.4156
27243.7 15.2071
27244.4 14.5235
27245.1 14.1300
27246.5 13.7572
27248.0 13.6542
27249.4 13.6775
27252.2 13.9019
27257.8 14.6451
27263.5 15.5709
27286.0 20.5456
27377.0 56.9646
27422.5 57.0545
27468.0 44.2534
27522.4 31.6340
27576.9 24.0729
27631.3 19.4936
27685.7 16.5323
27740.1 14.4886
27794.6 12.9996
27903.4 10.9667
28012.3 9.62133
28121.1 8.63876
28338.8 7.22613
28556.5 6.16774
28774.2 5.25427
28991.9 4.36982
29100.8 3.90142
29155.2 3.64907
29182.4 3.51789
29196.0 3.46325
29202.8 3.49019
29206.2 3.70004
29207.0 3.90335
29207.9 4.39789
29208.3 4.96273
29208.7 6.09701
29209.2 8.99937
29209.4 12.1446
29209.6 17.9885
29209.8 27.0023
29210.0 32.8259
29210.2 27.2053
29210.4 18.2308
29210.6 11.9663
29210.9 8.75121
29211.3 5.95353
29211.8 4.84488
29212.3 4.32485
29213.2 3.85446
29214.1 3.65567
29217.8 3.41931
29225.3 3.31385
29240.1 3.20983
29269.8 3.01901
29299.5 2.80441
29329.2 2.54428
29358.9 2.19982
29373.7 1.97153
29388.6 1.68024
29403.4 1.29019
29410.9 1.04298
29418.3 0.757183
29425.7 0.454471
29429.4 0.330445
29433.1 0.283546
29436.8 0.441769
29438.7 0.688393
29440.5 1.14330
29442.4 1.95380
29444.3 3.35706
29446.1 5.79497
29448.0 9.92066
29449.5 15.1305
29451.0 22.1923
29454.0 36.5386
29455.5 38.8651
29457.0 37.1797
29460.0 29.1730
29462.0 24.3894
29463.9 20.6276
29467.8 15.5736
29471.7 12.5283
29475.5 10.5771
29479.4 9.23920
29483.3 8.27872
29491.0 6.99950
29498.8 6.19127
29506.5 5.63679
29522.0 4.92592
29537.5 4.48819
29553.0 4.19167
29584.0 3.81974
29646.0 3.50545
29708.0 3.55073
29769.9 4.00756
29831.9 5.14193
29893.9 7.53684
29924.9 9.53948
29940.4 10.8315
29948.1 11.5648
29952.0 11.9568
29954.0 12.1681
29954.9 12.3064
29955.4 12.4668
29955.6 12.7512
29955.9 14.4715
29956.0 16.6210
29956.1 14.5252
29956.3 12.9137
29956.5 12.6430
29956.9 12.5460
29957.7 12.5829
29959.4 12.7458
29962.6 13.1064
29969.1 13.8747
29982.0 15.5760
30021.3 22.2358
30060.5 31.2244
30139.0 49.5381
30178.3 52.4902
30217.5 50.1431
30296.0 39.1864
30363.4 30.7514
30430.8 24.7214
30498.2 20.4981
30565.5 17.4611
30700.3 13.4363
30835.1 10.8464
30969.8 8.94237
31037.2 8.13526
31104.6 7.40579
31172.0 6.79595
31239.3 6.52136
31273.0 6.74144
31306.7 7.57497
31340.4 9.79755
31374.1 15.2104
31408.1 26.7390
31442.0 40.4430
31476.0 41.0738
31509.9 32.9870
31533.9 27.6898
31557.9 23.6310
31581.9 20.6076
31605.8 18.3346
31653.8 15.2164
31701.8 13.2055
31749.7 11.8015
31797.7 10.7685
31821.7 10.3630
31833.7 10.1944
31845.7 10.0630
31857.6 10.0064
31863.6 10.0392
31869.6 10.1623
31875.6 10.4861
31878.6 10.8098
31881.6 11.3551
31884.6 12.3439
31887.6 14.3252
31889.1 16.1061
31890.6 18.9281
31892.1 23.5964
31893.6 31.3635
31895.3 44.8238
31897.0 53.8683
31898.7 45.0725
31900.4 31.7335
31902.0 23.2601
31903.7 18.4343
31905.3 15.5929
31907.0 13.8245
31910.3 11.8550
31913.5 10.8503
31916.8 10.2612
31920.1 9.88221
31926.7 9.42269
31933.2 9.14726
31939.8 8.95523
31952.9 8.68319
31966.1 8.47781
31979.2 8.30316
