Ni-60(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
50793.1 6.24688
50849.8 6.23566
50878.1 6.23142
50892.3 6.23546
50899.4 6.26212
50902.9 6.36498
50904.7 6.69854
50905.6 7.57271
50906.0 9.17788
50906.2 11.1447
50906.4 15.4313
50906.8 24.7226
50907.2 15.5270
50907.5 10.1590
50907.8 8.24957
50908.5 7.02686
50909.8 6.48651
50912.4 6.30096
50917.7 6.24428
50928.2 6.22635
50949.3 6.21762
50991.4 6.20784
51075.6 6.19059
51244.0 6.15708
51412.4 6.12429
51496.6 6.11003
51538.7 6.11246
51559.7 6.15343
51565.0 6.19893
51570.2 6.32694
51572.9 6.49845
51575.5 6.94957
51576.8 7.51677
51578.1 8.86401
51578.8 10.3794
51579.4 13.4987
51579.8 16.4253
51580.1 21.3056
51580.4 29.9930
51580.7 45.5533
51581.1 69.6425
51581.4 85.3558
51581.7 69.9217
51582.0 45.8823
51582.3 32.9258
51582.5 24.6266
51582.8 19.4440
51583.0 16.0847
51583.6 12.2245
51584.1 10.2397
51585.1 8.31638
51586.1 7.47997
51588.2 6.77897
51590.3 6.50245
51594.4 6.28628
51598.5 6.20453
51615.1 6.11778
51648.1 6.08823
51714.2 6.06889
51846.5 6.04150
52110.9 5.99048
52375.4 5.94047
52507.6 5.91569
52573.7 5.90345
52606.8 5.89777
52623.3 5.89659
52631.6 5.90239
52635.7 5.92885
52637.8 6.02256
52638.8 6.30102
52639.3 6.95333
52639.6 8.00440
52639.8 10.9573
52640.1 16.0289
52640.4 10.9578
52640.6 8.21035
52640.8 7.14599
52641.3 6.40888
52642.1 6.06118
52643.9 5.93973
52647.5 5.90287
52654.6 5.89167
52668.8 5.88645
52697.2 5.88050
52754.0 5.86978
52867.5 5.84866
53094.7 5.80668
53549.0 5.72325
54457.7 5.55724
55366.3 5.39004
55820.6 5.30499
56047.8 5.26195
56161.4 5.24088
56218.2 5.23385
56246.6 5.24633
56260.8 5.31776
56264.3 5.39252
56267.9 5.59788
56269.6 5.86845
56271.4 6.55702
56272.3 7.39504
56273.2 9.28280
56273.6 11.3234
56274.1 15.1425
56274.3 18.4394
56274.5 23.4854
56274.7 31.4905
56275.0 44.8261
56275.2 68.8450
56275.5 84.7580
56275.8 69.1656
56276.0 45.1965
56276.3 29.2374
56276.6 20.5030
56276.9 15.6126
56277.2 12.7645
56277.8 9.60109
56278.3 8.08572
56279.5 6.70863
56280.6 6.13339
56282.9 5.66464
56285.2 5.48283
56289.8 5.34267
56294.4 5.29002
56312.7 5.23312
56349.4 5.21110
56422.7 5.19254
56569.4 5.16263
56716.1 5.13382
56789.5 5.12098
56826.2 5.12124
56844.5 5.14711
56853.7 5.24848
56858.2 5.55190
56860.5 6.23402
56861.7 7.28503
56862.3 8.34544
56862.8 10.1645
56863.5 13.2001
56864.1 15.2759
56864.7 13.2441
56865.4 10.2189
56866.4 7.57533
56867.4 6.47395
56869.3 5.68611
56873.3 5.30226
56881.1 5.16113
56896.9 5.11492
56928.4 5.09626
56991.5 5.08009
57117.6 5.05357
57369.8 5.00153
57874.2 4.89453
58882.9 4.66171
59891.7 4.38970
60900.5 4.04997
61909.3 3.58390
62413.7 3.26565
62918.1 2.84924
63422.5 2.27302
63674.7 1.89301
63926.9 1.42790
64179.1 0.865401
64305.2 0.556664
64431.3 0.257846
64494.3 0.130867
64525.8 0.0791851
64557.4 0.0391767
64588.9 0.0146897
64620.4 0.0107443
64651.9 0.0338324
64683.5 0.0923904
64715.0 0.197501
64746.5 0.363568
64778.0 0.609729
64809.6 0.960866
64841.1 1.45017
64872.6 2.12053
64904.1 3.02830
64919.9 3.59336
64927.8 3.90977
64931.7 4.08309
64933.7 4.19394
64934.7 4.31440
64935.2 4.51220
64935.6 5.68084
64935.9 7.12776
64936.2 5.70344
64936.6 4.61479
64937.0 4.44010
64937.9 4.39071
64939.7 4.44117
64943.3 4.59815
64950.4 4.94446
64964.6 5.70974
64993.0 7.55162
65019.3 9.68732
65032.5 10.9337
65039.1 11.6224
65042.4 12.0529
65044.0 12.5260
65044.9 13.4824
65045.3 15.4657
65045.5 18.5621
65045.7 26.7559
65045.9 41.3264
65046.1 26.9022
65046.3 19.7426
65046.5 16.5025
65046.8 14.1685
65047.5 13.0919
65048.8 12.8156
65051.5 12.9853
65056.9 13.5645
65067.6 14.8503
65089.1 17.6890
65132.1 24.1976
65218.0 36.8829
65274.3 40.8756
65330.5 40.4802
65443.0 33.5667
65503.7 29.5717
65518.9 28.6623
65534.1 27.8029
65549.2 27.0494
65556.8 26.9378
65558.7 27.1032
65560.6 27.6355
65561.6 28.2941
65562.5 29.7003
65563.5 33.2870
65563.9 37.2455
65564.4 44.6557
65564.9 55.8389
65565.3 63.2879
65565.8 55.9524
65566.2 44.7504
65566.6 38.7481
65566.9 34.9986
65567.6 30.9367
65568.3 29.0286
65569.0 28.0100
65570.5 26.9782
65571.9 26.4837
65577.5 25.7045
65588.8 25.0082
65600.1 24.4540
65611.4 23.9397
65634.0 22.9825
65656.6 22.1019
65747.0 19.1917
65837.4 17.0247
65927.8 15.3728
66108.6 13.0546
66289.5 11.5262
66470.3 10.4514
66651.1 9.65718
67012.7 8.56360
67374.3 7.84484
67735.9 7.33371
68459.2 6.64661
69182.4 6.19560
69905.7 5.86765
70628.9 5.61159
70990.5 5.50167
71171.3 5.45029
71261.7 5.42591
71306.9 5.41658
71329.5 5.42324
71340.8 5.46952
71346.5 5.63714
71349.3 6.12095
71350.7 7.14972
71351.4 8.64123
71352.1 12.3857
71352.6 16.5638
71353.0 19.4586
71353.4 16.6383
71353.9 12.4752
71354.8 8.17574
71355.7 6.78706
71357.5 5.93447
71361.0 5.57126
71368.2 5.44771
71382.5 5.40767
71411.1 5.38975
71468.3 5.37172
71582.7 5.34123
71811.6 5.28373
72269.3 5.17602
72498.2 5.12512
72727.0 5.07593
72955.9 5.02876
73070.3 5.00878
73127.5 5.01304
73141.8 5.02716
73156.1 5.07279
73163.3 5.13788
73170.4 5.31747
73174.0 5.55309
73177.6 6.15033
73179.4 6.86814
73181.2 8.48835
73182.1 10.1876
73183.0 13.3437
73183.4 16.0597
73183.8 20.0564
73184.3 26.4053
73184.7 36.3086
73185.3 55.2671
73185.9 68.0157
73186.5 55.6227
73187.1 36.6931
73187.7 23.9765
73188.3 17.1611
73188.9 13.3101
73189.5 10.9882
73190.7 8.48379
73192.0 7.27047
73194.4 6.17286
73196.9 5.71068
73201.8 5.33630
73206.7 5.19072
73216.5 5.07779
73226.3 5.03442
73265.5 4.98385
73343.8 4.95631
73500.6 4.92224
73814.2 4.86154
74441.3 4.74687
75695.5 4.53132
76949.7 4.32414
77576.8 4.22066
77890.4 4.16843
78047.2 4.14217
78125.6 4.12916
78164.8 4.12334
78184.4 4.12323
78194.2 4.13423
78199.1 4.18239
78201.5 4.36452
78202.7 4.99036
78203.3 6.84725
78203.7 11.2482
78203.8 18.0442
78204.0 37.6938
78204.1 71.2951
78204.3 37.7051
78204.4 21.3490
78204.5 14.0822
78204.7 8.50364
78205.2 5.61471
78206.1 4.56183
78207.8 4.23720
78211.4 4.14634
78218.5 4.12138
78232.8 4.11286
78261.4 4.10645
78318.5 4.09635
78432.7 4.07676
78661.2 4.03741
79118.1 3.95714
79575.0 3.87417
79803.4 3.83152
79917.6 3.81016
79974.8 3.80071
80003.3 3.80110
80017.6 3.82058
80024.7 3.89816
80028.3 4.14676
80030.1 4.77802
80031.0 5.92149
80031.4 7.31697
80031.9 10.0898
80032.6 16.3994
80033.3 10.0911
80033.8 7.23298
80034.3 5.83729
80035.2 4.71556
80037.1 4.11656
80040.8 3.88576
80048.4 3.81198
80063.4 3.78878
80093.4 3.77755
80153.5 3.76441
80273.6 3.74029
80513.8 3.69162
80994.4 3.58952
81474.9 3.47935
81715.1 3.42052
81835.3 3.39002
81895.3 3.37466
81925.3 3.36785
81940.4 3.36859
81947.9 3.38571
81951.6 3.45581
81953.5 3.69218
81954.4 4.34142
81954.9 5.64551
81955.4 11.0969
81955.7 18.9099
81956.0 11.1696
81956.4 6.21111
81956.8 4.72685
81957.5 3.86950
81959.0 3.51985
81961.9 3.40399
81967.8 3.36875
81979.6 3.35622
82003.1 3.34731
82050.1 3.33391
82144.2 3.30801
82332.4 3.25481
82708.7 3.14035
83461.4 2.86705
84214.1 2.49786
84590.4 2.25241
