31-Ga_n-tot
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
6.883790e+02 7.62286141e+01
6.884930e+02 8.41612087e+01
6.886880e+02 9.77282364e+01
6.889970e+02 1.28830814e+02
6.893060e+02 1.75491144e+02
6.896150e+02 2.48313482e+02
6.899240e+02 3.66163324e+02
6.902330e+02 5.58947405e+02
6.906170e+02 9.27658925e+02
6.910000e+02 1.20443050e+03
6.913840e+02 1.00220138e+03
6.916880e+02 7.24572240e+02
6.917670e+02 6.52424597e+02
6.920100e+02 4.89855956e+02
6.922540e+02 3.74821864e+02
6.927400e+02 2.36340959e+02
6.932270e+02 1.62797071e+02
6.932850e+02 1.57695088e+02
6.937130e+02 1.20044925e+02
6.942000e+02 9.31725083e+01
6.946860e+02 7.52087598e+01
6.948830e+02 7.07875005e+01
6.956590e+02 5.33765946e+01
6.964800e+02 4.29594970e+01
6.966320e+02 4.10362280e+01
6.976060e+02 3.33455582e+01
6.980780e+02 3.12053955e+01
6.988760e+02 2.76492491e+01
6.995520e+02 2.47207178e+01
6.996750e+02 2.44438857e+01
7.004740e+02 2.28540656e+01
7.012720e+02 2.17420392e+01
7.014980e+02 2.16381122e+01
7.016720e+02 2.17230089e+01
7.020710e+02 2.24076576e+01
7.024700e+02 2.39786267e+01
7.028700e+02 2.72923886e+01
7.030690e+02 3.01673607e+01
7.032690e+02 3.44581708e+01
7.034440e+02 4.02292949e+01
7.034690e+02 4.10662076e+01
7.036680e+02 5.17151542e+01
7.038680e+02 6.96377400e+01
7.040680e+02 1.01996363e+02
7.041680e+02 1.28191359e+02
7.042670e+02 1.65581435e+02
7.043670e+02 2.19787796e+02
7.044670e+02 2.98086929e+02
7.046340e+02 4.89340008e+02
7.048000e+02 6.35930990e+02
7.049670e+02 5.35386057e+02
7.051330e+02 3.55494129e+02
7.052770e+02 2.46880583e+02
7.053900e+02 1.93629429e+02
7.054210e+02 1.79029706e+02
7.055650e+02 1.36304503e+02
7.057090e+02 1.08301443e+02
7.059970e+02 7.55004999e+01
7.062850e+02 5.78425597e+01
7.065730e+02 4.72083641e+01
7.068610e+02 4.02579154e+01
7.073360e+02 3.33464664e+01
7.074370e+02 3.19013426e+01
7.080130e+02 2.72249927e+01
7.085890e+02 2.42298911e+01
7.091640e+02 2.21387171e+01
7.097400e+02 2.05798871e+01
7.108920e+02 1.83599965e+01
7.112290e+02 1.79006907e+01
7.120440e+02 1.69316026e+01
7.131960e+02 1.59049106e+01
7.143480e+02 1.50791546e+01
7.151210e+02 1.46384914e+01
7.166510e+02 1.39062426e+01
7.189550e+02 1.30499461e+01
7.190130e+02 1.30316959e+01
7.212590e+02 1.24450958e+01
7.229050e+02 1.20708223e+01
7.235620e+02 1.19510266e+01
7.281700e+02 1.12442401e+01
7.306900e+02 1.09117530e+01
7.327770e+02 1.07048404e+01
7.373840e+02 1.03020199e+01
7.384750e+02 1.02143825e+01
7.419910e+02 9.99367884e+00
7.462590e+02 9.75231407e+00
7.512060e+02 9.52424282e+00
7.540440e+02 9.40688018e+00
7.604210e+02 9.20034369e+00
7.696130e+02 8.93518155e+00
