27-Co_n-g
>  27-Co-59:1.000000
8.082520e+03 6.40249000e-01
8.093050e+03 3.94660000e-01
8.103570e+03 2.59708000e-01
8.114100e+03 1.81957000e-01
8.124620e+03 1.34224000e-01
8.145680e+03 8.20023000e-02
8.166730e+03 5.59163000e-02
8.187780e+03 4.11445000e-02
8.208830e+03 3.20006000e-02
8.250940e+03 2.17486000e-02
8.293040e+03 1.64233000e-02
8.335140e+03 1.32929000e-02
8.419350e+03 9.91538000e-03
8.587770e+03 7.26057000e-03
8.671970e+03 7.09460000e-03
8.693020e+03 7.49980000e-03
8.714080e+03 8.91278000e-03
8.724600e+03 1.09871000e-02
8.729870e+03 1.30848000e-02
8.735130e+03 1.69303000e-02
8.740390e+03 2.51321000e-02
8.743020e+03 3.32457000e-02
8.745650e+03 4.78780000e-02
8.748290e+03 7.84717000e-02
8.750920e+03 1.60474000e-01
8.752230e+03 2.66295000e-01
8.752890e+03 3.65213000e-01
8.753550e+03 5.32578000e-01
8.754210e+03 8.50145000e-01
8.754540e+03 1.12726000e+00
8.754860e+03 1.56354000e+00
8.755190e+03 2.30396000e+00
8.755520e+03 3.69265000e+00
8.755690e+03 4.87906000e+00
8.755850e+03 6.66048000e+00
8.756020e+03 9.43899000e+00
8.756180e+03 1.38146000e+01
8.756600e+03 2.85423000e+01
8.756810e+03 2.33887000e+01
8.757020e+03 1.47132000e+01
8.757190e+03 9.95155000e+00
8.757350e+03 6.95651000e+00
8.757520e+03 5.04386000e+00
8.757690e+03 3.79729000e+00
8.758020e+03 2.34428000e+00
8.758350e+03 1.57934000e+00
8.758690e+03 1.13270000e+00
8.759020e+03 8.50920000e-01
8.759690e+03 5.30184000e-01
8.760350e+03 3.62091000e-01
8.761020e+03 2.63378000e-01
8.761680e+03 2.00585000e-01
8.762350e+03 1.58209000e-01
8.763680e+03 1.06366000e-01
8.765010e+03 7.70771000e-02
8.766350e+03 5.89362000e-02
8.767680e+03 4.69364000e-02
8.770340e+03 3.25276000e-02
8.773000e+03 2.45440000e-02
