Gd-158(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
869.461 7.96659
869.484 6.25622
869.530 4.17965
869.577 3.01669
869.623 2.30447
869.716 1.51599
869.809 1.11184
869.901 0.877727
870.087 0.629770
870.272 0.507044
870.458 0.436529
870.829 0.360749
871.571 0.295977
872.313 0.264607
875.280 0.204001
881.216 0.147966
887.151 0.122895
893.087 0.118338
899.022 0.140353
901.990 0.171180
904.958 0.232623
906.442 0.286105
907.925 0.368779
909.409 0.505048
910.893 0.751610
911.635 0.957002
912.377 1.26656
912.748 1.48384
912.934 1.61480
913.119 1.76431
913.304 1.93624
913.490 2.13518
913.675 2.36709
913.861 2.63948
914.046 2.96268
914.232 3.34991
914.417 3.81919
914.603 4.39534
914.788 5.11326
914.974 6.02329
915.159 7.20007
915.345 8.75704
915.530 10.8780
915.716 13.8662
915.901 18.2570
916.087 25.0550
916.272 36.3292
916.365 44.9151
916.458 56.7176
916.550 73.4334
916.643 97.7213
916.736 133.810
916.829 187.320
916.964 299.362
917.100 372.370
917.236 296.459
917.372 185.100
917.533 104.572
917.694 64.0214
917.856 42.4233
918.017 29.9249
918.179 22.1475
918.340 17.0145
918.663 10.9114
918.985 7.57459
919.308 5.56067
919.954 3.36098
920.599 2.25105
921.245 1.61484
921.890 1.21674
922.536 0.951243
923.827 0.630181
925.118 0.450765
926.409 0.340354
927.700 0.267543
930.282 0.180321
932.864 0.131873
938.029 0.0823114
943.193 0.0584075
948.357 0.0448578
958.686 0.0305514
969.014 0.0233903
979.343 0.0193024
1000.00 0.0155265
1016.96 0.0154063
1025.44 0.0166874
1033.92 0.0197867
1042.39 0.0271948
1046.63 0.0348468
1050.87 0.0489994
1052.99 0.0610203
1055.11 0.0794744
1057.23 0.109892
1059.35 0.165303
1060.41 0.211959
1061.47 0.283115
1062.53 0.399487
1063.59 0.609112
1064.12 0.783840
1064.65 1.04762
1064.92 1.23309
1065.18 1.47301
1065.45 1.79095
1065.58 1.99100
1065.71 2.22474
1065.84 2.50463
1065.98 2.83819
1066.11 3.24660
1066.24 3.74576
1066.37 4.37478
1066.51 5.16951
1066.64 6.21044
1066.77 7.58682
1066.90 9.49038
1067.04 12.1791
1067.17 16.2142
1067.30 22.5330
1067.43 33.3729
1067.50 41.7814
1067.57 53.6219
1067.63 70.8734
1067.70 96.9363
1067.76 137.580
1067.83 201.323
1067.92 322.279
1068.00 403.728
1068.09 323.692
1068.17 202.416
1068.24 132.270
1068.32 89.9366
1068.39 64.0359
1068.47 47.5014
1068.61 28.7866
1068.76 19.2138
1068.91 13.6599
1069.06 10.1922
1069.35 6.29265
1069.65 4.25855
1069.94 3.07440
1070.24 2.32332
1070.53 1.81752
1071.12 1.19928
1071.72 0.851051
1072.31 0.635829
1072.90 0.493812
1074.08 0.323425
1075.26 0.229277
1076.44 0.171768
1077.62 0.134150
1079.99 0.0895166
1082.35 0.0650865
1084.71 0.0502971
1087.07 0.0406895
1091.80 0.0294187
1096.52 0.0233825
1105.98 0.0176878
1115.43 0.0155435
1124.88 0.0150087
1143.78 0.0169490
1162.68 0.0238501
1172.13 0.0311933
1181.59 0.0447267
1186.31 0.0561461
1191.04 0.0735777
1195.76 0.102129
1200.49 0.153788
1202.85 0.197024
1205.21 0.262640
1207.58 0.369293
1208.76 0.449601
1209.94 0.559967
1210.53 0.631410
1211.12 0.717670
1211.71 0.823146
1212.01 0.884813
1212.30 0.953747
1212.60 1.03141
1212.89 1.11873
1213.19 1.21807
1213.48 1.33093
1214.08 1.61018
1214.67 1.98718
1215.26 2.51533
1215.85 3.28578
1216.44 4.47160
1217.03 6.42668
1217.32 7.92355
1217.62 9.99332
1217.91 12.9728
1218.21 17.4630
1218.51 24.6556
1218.80 36.9201
1219.10 59.5733
1219.24 78.0316
1219.39 103.485
1219.65 164.803
1219.90 206.223
1220.16 166.448
1220.41 104.769
1220.70 60.7624
1220.99 37.8694
1221.28 25.3745
1221.57 18.0293
1221.86 13.4098
1222.15 10.3383
1222.72 6.65907
1223.30 4.63202
1223.88 3.40587
1225.04 2.06120
1226.19 1.38011
1227.35 0.989395
1228.51 0.744540
1229.66 0.581394
1231.98 0.384230
1234.29 0.274418
1236.60 0.207235
1238.91 0.163342
1243.54 0.111837
1248.16 0.0847433
1252.79 0.0698358
1257.42 0.0622131
1266.67 0.0630247
1271.29 0.0731763
1275.92 0.0961130
1278.23 0.116801
1280.54 0.149231
1282.86 0.203262
1285.17 0.301998
1286.33 0.385027
1287.48 0.511086
1288.64 0.716166
1289.79 1.08209
1290.37 1.38434
1290.66 1.58579
1290.95 1.83525
1291.24 2.14925
1291.53 2.55205
1291.67 2.79847
1291.82 3.08046
1291.96 3.40991
1292.11 3.79244
1292.40 4.78351
1292.69 6.21991
1292.97 8.41151
1293.12 9.97170
1293.26 11.9885
1293.41 14.6966
1293.55 18.3869
1293.70 23.6646
1293.84 31.4223
1293.99 43.5810
1294.13 63.5123
1294.28 98.7795
1294.42 162.331
1294.56 260.143
1294.70 325.046
1294.84 259.943
1294.98 162.739
1295.09 110.845
1295.20 77.8754
1295.31 56.8087
1295.42 42.9057
1295.64 26.6385
1295.86 18.0066
1296.08 12.9386
1296.30 9.72847
1296.74 6.06586
1297.18 4.13331
1297.62 2.99777
1298.06 2.27225
1298.50 1.78301
1299.38 1.18272
1300.26 0.843064
1301.14 0.632467
1302.01 0.492973
1303.77 0.325438
1305.53 0.232606
1307.29 0.175833
1309.05 0.138608
1312.56 0.0943991
1316.08 0.0702327
1323.11 0.0464292
1330.15 0.0364193
1337.18 0.0337817
1340.70 0.0362624
1344.21 0.0469229
1345.97 0.0629277
1346.85 0.0791552
1347.73 0.108953
1348.61 0.172685
1349.05 0.236034
1349.49 0.350558
1349.71 0.446589
1349.93 0.592264
1350.15 0.828730
1350.37 1.24795
1350.48 1.59425
1350.59 2.11108
1350.70 2.93148
1350.81 4.34825
1350.92 7.11171
1350.97 9.59749
1351.03 13.6379
1351.05 16.7362
1351.08 20.8193
1351.09 23.5366
1351.11 26.8062
1351.12 30.7826
1351.14 35.2901
1351.15 41.2901
1351.16 48.8636
1351.18 58.5631
1351.19 70.1537
1351.20 86.4476
1351.22 106.389
1351.23 134.841
1351.24 169.456
1351.26 216.368
1351.27 269.735
1351.30 336.260
1351.31 316.967
1351.33 270.192
1351.36 169.814
1351.38 121.878
1351.39 89.3405
1351.43 52.7982
1351.47 34.2092
1351.51 23.7728
1351.54 17.4111
1351.58 13.2740
1351.65 8.42445
1351.73 5.81048
1351.80 4.24701
1351.95 2.55324
1352.10 1.70112
1352.25 1.21911
1352.39 0.918423
1352.54 0.718380
1352.84 0.476582
1353.14 0.342502
1353.43 0.260252
1353.73 0.206196
1354.32 0.141744
1354.91 0.106330
1356.10 0.0708051
1357.28 0.0542426
1358.47 0.0452643
1360.84 0.0364864
1365.58 0.0309566
1370.32 0.0302332
1379.80 0.0339742
1389.29 0.0436881
1398.77 0.0646875
1403.51 0.0847914
1408.25 0.119998
1412.99 0.191749
1415.36 0.260678
1417.73 0.382746
1418.92 0.483386
1419.51 0.550708
1420.11 0.634156
1420.70 0.739782
1420.99 0.803283
1421.29 0.875788
1421.59 0.959400
1421.88 1.05583
1422.18 1.16826
1422.48 1.30042
1422.77 1.45784
1423.07 1.64603
1423.37 1.87523
1423.66 2.15624
1423.96 2.50849
1424.25 2.95493
1424.55 3.53431
1424.85 4.30488
1425.14 5.36455
1425.44 6.86505
1425.74 9.09355
1426.03 12.5977
1426.33 18.5605
1426.48 23.1876
1426.62 29.6876
1426.77 39.1307
1426.92 53.3487
1427.07 75.4405
1427.22 109.998
1427.41 176.472
1427.60 223.249
1427.79 180.810
1427.98 113.378
1428.10 83.4651
1428.22 62.6481
1428.46 37.8109
1428.69 24.8248
1428.93 17.4082
1429.17 12.8364
1429.40 9.84023
1429.87 6.30259
1430.35 4.38356
1430.82 3.23176
1431.76 1.98191
1432.71 1.35710
1433.65 1.00396
1435.54 0.646466
1437.43 0.487891
1439.32 0.416260
1443.09 0.406566
1444.98 0.455724
1446.87 0.552087
1448.76 0.725211
1449.70 0.859712
1450.65 1.04622
1451.12 1.16737
1451.59 1.31322
1451.83 1.39762
