30-Zn_n-g
>  30-Zn-64:0.491700
>  30-Zn-66:0.277300
>  30-Zn-67:0.040400
>  30-Zn-68:0.184500
>  30-Zn-70:0.006100
2.242670e+02 1.13949808e+01
2.244690e+02 8.72976200e+00
2.248730e+02 5.52796002e+00
2.252770e+02 3.78535352e+00
2.256810e+02 2.74523434e+00
2.260840e+02 2.07889187e+00
2.268920e+02 1.30926183e+00
2.277000e+02 9.00379553e-01
2.285080e+02 6.58207873e-01
2.293160e+02 5.03288072e-01
2.296780e+02 4.56210538e-01
2.301230e+02 3.98351300e-01
2.317390e+02 2.69562965e-01
2.333550e+02 1.96648638e-01
2.349700e+02 1.51483381e-01
2.365860e+02 1.21632626e-01
2.398170e+02 8.59767179e-02
2.430480e+02 6.64149576e-02
2.449050e+02 5.96437497e-02
2.462790e+02 5.47336900e-02
2.495110e+02 4.74025042e-02
2.525190e+02 4.36097406e-02
2.559730e+02 3.98090418e-02
2.601330e+02 3.80055998e-02
2.617010e+02 3.78379938e-02
2.624350e+02 3.77691138e-02
2.639390e+02 3.82423369e-02
2.677460e+02 4.17320816e-02
2.696500e+02 4.54095101e-02
2.715530e+02 5.19116997e-02
2.734570e+02 6.44334837e-02
2.744080e+02 7.53414015e-02
2.750000e+02 8.59435829e-02
2.753600e+02 9.24023834e-02
2.753610e+02 9.24207576e-02
2.753620e+02 9.24369394e-02
2.753630e+02 9.24662355e-02
2.753660e+02 9.25284272e-02
2.753710e+02 9.26522016e-02
2.753820e+02 9.28983523e-02
2.754030e+02 9.33957160e-02
2.754040e+02 9.34192927e-02
2.754460e+02 9.44093765e-02
2.754470e+02 9.44337961e-02
2.755320e+02 9.65096830e-02
2.755340e+02 9.65624661e-02
2.757030e+02 1.01022950e-01
2.757080e+02 1.01175675e-01
2.760460e+02 1.11501144e-01
2.760550e+02 1.11882004e-01
2.767330e+02 1.40578961e-01
2.767500e+02 1.41753492e-01
2.771260e+02 1.67737042e-01
2.774190e+02 1.87993547e-01
2.781050e+02 2.72974611e-01
2.781410e+02 2.80356169e-01
2.784480e+02 3.43312723e-01
2.787910e+02 4.48734600e-01
2.791350e+02 6.17096514e-01
2.794780e+02 9.10368934e-01
2.798210e+02 1.49019428e+00
2.799920e+02 2.01958945e+00
2.801640e+02 2.89323360e+00
2.803350e+02 4.48448934e+00
2.804210e+02 5.81539657e+00
2.805070e+02 7.81818726e+00
2.805930e+02 1.10148747e+01
2.806790e+02 1.64771191e+01
2.807640e+02 2.65593275e+01
2.808500e+02 4.60651140e+01
2.809210e+02 7.22451585e+01
2.809250e+02 7.37200907e+01
2.810000e+02 9.21731019e+01
2.810750e+02 7.37377956e+01
2.811500e+02 4.60882281e+01
2.812210e+02 2.91156309e+01
2.812920e+02 1.93129539e+01
2.813620e+02 1.35080929e+01
2.814330e+02 9.89936088e+00
2.815750e+02 5.90877635e+00
2.817160e+02 3.90396649e+00
2.818570e+02 2.76563530e+00
2.819990e+02 2.06128346e+00
2.822820e+02 1.27410823e+00
2.825650e+02 8.68202095e-01
2.828480e+02 6.32399577e-01
2.831310e+02 4.83456847e-01
2.834140e+02 3.83452527e-01
2.839790e+02 2.61712667e-01
2.845450e+02 1.93291797e-01
2.851110e+02 1.51047560e-01
2.856770e+02 1.23159487e-01
2.864820e+02 9.94228547e-02
2.868090e+02 8.98026074e-02
2.879400e+02 7.14313918e-02
2.890720e+02 6.02526093e-02
2.902040e+02 5.29624855e-02
2.924670e+02 4.43831973e-02
2.925510e+02 4.42117646e-02
2.947310e+02 3.99387472e-02
2.976050e+02 3.73481523e-02
2.992580e+02 3.59812369e-02
3.002640e+02 3.57214408e-02
3.037840e+02 3.52558130e-02
3.041200e+02 3.52874408e-02
3.079760e+02 3.64567953e-02
3.083110e+02 3.66652423e-02
3.087270e+02 3.69809289e-02
3.099040e+02 3.80278952e-02
3.118330e+02 4.05453436e-02
3.125000e+02 4.19338631e-02
3.137610e+02 4.46196724e-02
3.142880e+02 4.66008769e-02
3.156890e+02 5.28405709e-02
3.166530e+02 5.95225443e-02
3.170690e+02 6.37457820e-02
3.173650e+02 6.74189424e-02
3.176170e+02 7.05682532e-02
3.177640e+02 7.32838129e-02
3.184590e+02 8.95484824e-02
3.185810e+02 9.38763973e-02
3.188060e+02 1.04661534e-01
3.189800e+02 1.15863721e-01
3.191540e+02 1.31198141e-01
3.193280e+02 1.55155860e-01
3.195020e+02 2.00123196e-01
3.195450e+02 2.20582332e-01
3.195880e+02 2.41850105e-01
3.196750e+02 3.11863038e-01
3.197620e+02 4.38025103e-01
3.198490e+02 6.79313836e-01
3.199250e+02 1.01794083e+00
3.200000e+02 1.24515055e+00
3.200270e+02 1.16700989e+00
3.200760e+02 1.02638505e+00
3.201510e+02 6.96686146e-01
3.202160e+02 5.09011628e-01
3.202820e+02 3.97333651e-01
3.203470e+02 3.30560173e-01
3.204120e+02 2.89499275e-01
3.205090e+02 2.58013804e-01
3.205430e+02 2.48489536e-01
3.206730e+02 2.36793293e-01
3.208040e+02 2.36526337e-01
3.209350e+02 2.42022844e-01
3.209910e+02 2.46155262e-01
3.211960e+02 2.80008480e-01
3.214730e+02 3.32524635e-01
3.217140e+02 4.10913555e-01
3.217180e+02 4.12899742e-01
3.219550e+02 5.33056713e-01
3.221960e+02 7.29497044e-01
3.222400e+02 7.92369860e-01
3.224370e+02 1.07468464e+00
3.226780e+02 1.76148011e+00
3.227990e+02 2.39206934e+00
3.229190e+02 3.44000299e+00
3.230400e+02 5.36609068e+00
3.231000e+02 6.99469731e+00
3.231600e+02 9.46956807e+00
3.232210e+02 1.34788206e+01
3.232510e+02 1.64534572e+01
3.232810e+02 2.04581248e+01
3.232850e+02 2.11961881e+01
3.233110e+02 2.59936416e+01
3.233410e+02 3.37584905e+01
3.233710e+02 4.48432582e+01
3.234010e+02 6.05811200e+01
3.234260e+02 7.75391054e+01
3.234510e+02 9.68327888e+01
3.235000e+02 1.21046588e+02
3.235010e+02 1.21039932e+02
3.235020e+02 1.21010538e+02
3.235030e+02 1.20919028e+02
3.235060e+02 1.20554653e+02
3.235130e+02 1.19135704e+02
3.235250e+02 1.13862281e+02
3.235500e+02 9.67381553e+01
3.235990e+02 6.05002773e+01
3.236360e+02 4.17206617e+01
3.236740e+02 2.96361765e+01
3.237110e+02 2.18043926e+01
3.237480e+02 1.65775372e+01
3.238230e+02 1.03910012e+01
3.238970e+02 7.07113789e+00
3.239720e+02 5.10754812e+00
3.240470e+02 3.85739580e+00
3.241960e+02 2.42171593e+00
3.243300e+02 1.73890966e+00
3.243450e+02 1.66248706e+00
3.244940e+02 1.21458625e+00
3.246430e+02 9.28553767e-01
3.247930e+02 7.34970314e-01
3.250910e+02 4.97390161e-01
3.253900e+02 3.62849121e-01
3.256880e+02 2.79338235e-01
3.259860e+02 2.24016557e-01
3.265830e+02 1.57566204e-01
3.271800e+02 1.20712635e-01
3.277770e+02 9.81744013e-02
3.283740e+02 8.33966853e-02
3.285080e+02 8.14252505e-02
3.295680e+02 6.60928728e-02
3.307620e+02 5.67424381e-02
3.319550e+02 5.11744535e-02
3.331490e+02 4.76389721e-02
3.354730e+02 4.37902406e-02
3.355370e+02 4.36863284e-02
3.368660e+02 4.26652656e-02
3.379240e+02 4.19895380e-02
3.426990e+02 4.13979218e-02
3.474740e+02 4.21160213e-02
3.500000e+02 4.27692888e-02
3.522490e+02 4.35046639e-02
3.535800e+02 4.40260961e-02
3.535810e+02 4.40265217e-02
3.535820e+02 4.40268946e-02
3.535830e+02 4.40275231e-02
3.535850e+02 4.40284298e-02
3.535860e+02 4.40288787e-02
3.535890e+02 4.40304353e-02
3.535910e+02 4.40314745e-02
3.535980e+02 4.40348955e-02
3.536020e+02 4.40368515e-02
3.536160e+02 4.40436716e-02
3.536240e+02 4.40475689e-02
3.536520e+02 4.40614878e-02
3.536670e+02 4.40689475e-02
3.537250e+02 4.40972943e-02
3.537550e+02 4.41119524e-02
3.538690e+02 4.41683212e-02
3.539290e+02 4.41979972e-02
3.541580e+02 4.43118499e-02
3.542780e+02 4.43715373e-02
3.547360e+02 4.46028439e-02
3.549750e+02 4.47236400e-02
3.558920e+02 4.52003378e-02
3.563700e+02 4.54491783e-02
3.582050e+02 4.64622250e-02
3.591590e+02 4.69901259e-02
3.617990e+02 4.86410268e-02
3.628290e+02 4.93275507e-02
3.647380e+02 5.06038231e-02
3.687500e+02 5.40729123e-02
3.720780e+02 5.71387911e-02
3.758950e+02 6.06652509e-02
3.781250e+02 6.36774920e-02
3.809000e+02 6.75720449e-02
3.870530e+02 7.62991054e-02
3.875000e+02 7.73065355e-02
3.905750e+02 8.43892322e-02
3.921880e+02 8.81098525e-02
3.945310e+02 9.35832054e-02
3.968750e+02 9.91088943e-02
3.982100e+02 1.02286990e-01
3.992190e+02 1.05878896e-01
4.000000e+02 1.08678825e-01
4.015630e+02 1.14288349e-01
4.037890e+02 1.22338411e-01
4.039060e+02 1.22926936e-01
4.062500e+02 1.34786459e-01
4.085940e+02 1.46721074e-01
4.093680e+02 1.50688991e-01
4.109380e+02 1.62501137e-01
4.117990e+02 1.69029950e-01
4.149460e+02 1.92900673e-01
4.156250e+02 2.01033844e-01
4.203130e+02 2.57615987e-01
4.205250e+02 2.60198209e-01
4.250000e+02 3.54790250e-01
4.261040e+02 3.78275137e-01
4.288930e+02 4.74097642e-01
4.296880e+02 5.14184678e-01
4.316830e+02 6.15112338e-01
4.343750e+02 8.25806073e-01
4.344720e+02 8.33417999e-01
4.372610e+02 1.19326438e+00
4.390630e+02 1.60135909e+00
4.400510e+02 1.82536788e+00
4.428400e+02 2.97437898e+00
4.437500e+02 3.55995392e+00
4.455200e+02 4.69990882e+00
4.482000e+02 5.81623754e+00
4.508850e+02 4.63923056e+00
4.531250e+02 3.20904876e+00
4.535700e+02 2.92528294e+00
4.540000e+02 2.70747688e+00
4.540010e+02 2.70703946e+00
4.540020e+02 2.70669900e+00
4.540030e+02 2.70601918e+00
4.540060e+02 2.70466248e+00
4.540110e+02 2.70195016e+00
4.540230e+02 2.69653547e+00
4.540450e+02 2.68569211e+00
4.540900e+02 2.66420226e+00
4.541800e+02 2.62180835e+00
4.543600e+02 2.53930718e+00
4.547190e+02 2.38338383e+00
4.554380e+02 2.10569020e+00
4.559000e+02 1.96459650e+00
4.568750e+02 1.66683516e+00
4.578130e+02 1.48592956e+00
4.597500e+02 1.11387951e+00
4.625000e+02 8.20779370e-01
4.626250e+02 8.07593451e-01
4.655000e+02 6.30195631e-01
4.671880e+02 5.66331206e-01
4.683750e+02 5.23288346e-01
4.712500e+02 4.58924362e-01
4.718750e+02 4.51985856e-01
4.765630e+02 4.10884631e-01
4.770000e+02 4.08639233e-01
4.812500e+02 4.19672893e-01
4.827500e+02 4.32483163e-01
4.859380e+02 4.71809062e-01
4.885000e+02 5.30189765e-01
4.906250e+02 5.84305529e-01
4.953130e+02 7.97875593e-01
4.976560e+02 9.69566404e-01
5.000000e+02 1.21657974e+00
5.030180e+02 1.73080888e+00
5.060350e+02 2.66895799e+00
5.075440e+02 3.44301665e+00
5.090530e+02 4.57552191e+00
5.103690e+02 6.05473822e+00
5.105610e+02 6.27068450e+00
5.120700e+02 8.80464989e+00
5.142350e+02 1.40177038e+01
5.164000e+02 1.74154252e+01
5.185650e+02 1.38635298e+01
5.207300e+02 8.65154035e+00
5.207380e+02 8.63880530e+00
5.226020e+02 5.67225851e+00
5.244740e+02 3.87073551e+00
5.263470e+02 2.76557023e+00
5.282190e+02 2.05840898e+00
5.311060e+02 1.43943569e+00
5.319630e+02 1.25590972e+00
5.357070e+02 8.42621539e-01
5.394520e+02 6.04229760e-01
5.414750e+02 5.23520406e-01
5.431960e+02 4.55238422e-01
5.506840e+02 2.87412559e-01
5.518440e+02 2.73850507e-01
5.581730e+02 2.02062507e-01
5.622130e+02 1.75698864e-01
5.656620e+02 1.55428020e-01
5.673970e+02 1.49522139e-01
5.725810e+02 1.38785953e-01
5.731500e+02 1.39105566e-01
5.751730e+02 1.43069715e-01
5.777660e+02 1.60417330e-01
5.790620e+02 1.79213369e-01
5.803580e+02 2.12445136e-01
5.806390e+02 2.26126254e-01
5.816540e+02 2.76679343e-01
5.823020e+02 3.31263318e-01
5.829500e+02 4.14273743e-01
5.829510e+02 4.14401088e-01
5.829520e+02 4.14576712e-01
5.829530e+02 4.14720421e-01
5.829540e+02 4.14864130e-01
5.829550e+02 4.15051337e-01
5.829570e+02 4.15425748e-01
5.829600e+02 4.15907950e-01
5.829640e+02 4.16550887e-01
5.829700e+02 4.17530182e-01
5.829780e+02 4.18835908e-01
5.829910e+02 4.20983412e-01
5.830060e+02 4.23461299e-01
5.830310e+02 4.27648137e-01
5.830630e+02 4.33007289e-01
5.831120e+02 4.41924494e-01
5.831750e+02 4.53389471e-01
5.832740e+02 4.73875527e-01
5.834000e+02 4.99948694e-01
5.835970e+02 5.54358804e-01
5.838500e+02 6.24235749e-01
5.842440e+02 7.90235528e-01
5.843000e+02 8.13829406e-01
5.847500e+02 1.12263942e+00
5.852000e+02 1.67296468e+00
5.854240e+02 2.12280248e+00
5.855370e+02 2.45553975e+00
5.856490e+02 2.78533243e+00
5.858740e+02 3.80981811e+00
5.860990e+02 5.48402062e+00
5.863240e+02 8.38451261e+00
5.865490e+02 1.35526566e+01
5.867750e+02 2.16208321e+01
5.870000e+02 2.69870169e+01
5.872260e+02 2.16049415e+01
5.874510e+02 1.35353387e+01
5.876080e+02 9.62503366e+00
5.877660e+02 7.01096086e+00
5.879230e+02 5.26452021e+00
5.880800e+02 4.07043643e+00
5.881240e+02 3.86799995e+00
5.883950e+02 2.62117527e+00
5.887090e+02 1.82398800e+00
5.890240e+02 1.34463388e+00
5.893390e+02 1.03582028e+00
5.899680e+02 6.76904292e-01
5.905970e+02 4.84747385e-01
5.912260e+02 3.70076061e-01
5.924850e+02 2.45524840e-01
5.932980e+02 2.04707024e-01
5.937430e+02 1.82365198e-01
5.950010e+02 1.45483387e-01
5.956160e+02 1.33856307e-01
5.962600e+02 1.22171487e-01
5.975180e+02 1.06566656e-01
6.000000e+02 8.70192218e-02
6.000350e+02 8.67435865e-02
6.025510e+02 7.45662406e-02
6.036460e+02 7.13198542e-02
6.075850e+02 5.96422489e-02
6.105930e+02 5.37992512e-02
6.126180e+02 5.06221971e-02
6.176520e+02 4.48078286e-02
6.243430e+02 3.87854463e-02
6.255700e+02 3.76813375e-02
6.277180e+02 3.61870659e-02
6.405480e+02 2.94598700e-02
6.478520e+02 2.67889591e-02
6.657350e+02 2.14959681e-02
6.679860e+02 2.08306160e-02
6.705020e+02 2.01657181e-02
7.000000e+02 1.54695624e-02
7.004560e+02 1.53970407e-02
7.082530e+02 1.45482192e-02
7.283860e+02 1.26959327e-02
7.304110e+02 1.25667369e-02
7.384530e+02 1.22697466e-02
7.409700e+02 1.23647467e-02
7.434870e+02 1.28143497e-02
7.447450e+02 1.34168172e-02
7.460030e+02 1.47612025e-02
7.466320e+02 1.61004981e-02
7.472620e+02 1.84928909e-02
7.478910e+02 2.33606821e-02
7.482050e+02 2.79232383e-02
7.485200e+02 3.56684363e-02
7.485210e+02 3.57043626e-02
7.485220e+02 3.57305575e-02
7.485230e+02 3.57567474e-02
7.485250e+02 3.58422956e-02
7.485260e+02 3.58710240e-02
7.485310e+02 3.60146659e-02
