51-Sb_n-tot
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
7.660650e+01 1.00340602e+02
7.662530e+01 1.35859143e+02
7.664400e+01 1.88423970e+02
7.665800e+01 2.41140954e+02
7.667200e+01 3.01848114e+02
7.670000e+01 3.80214839e+02
7.671400e+01 3.60126777e+02
7.672800e+01 3.08551694e+02
7.675600e+01 1.96796458e+02
7.677080e+01 1.56522341e+02
7.677870e+01 1.35025544e+02
7.680140e+01 9.61382201e+01
7.682410e+01 7.14798549e+01
7.684680e+01 5.52874913e+01
7.689220e+01 3.64026665e+01
7.693760e+01 2.63817903e+01
7.698300e+01 2.04779540e+01
7.702840e+01 1.67176399e+01
7.711920e+01 1.23769933e+01
7.721000e+01 1.00529111e+01
7.726190e+01 9.25484925e+00
7.730080e+01 8.65911561e+00
7.739160e+01 7.75473994e+00
7.748240e+01 7.12988567e+00
7.766400e+01 6.33703313e+00
7.775310e+01 6.10441227e+00
7.784560e+01 5.86757932e+00
7.802720e+01 5.56363740e+00
7.820880e+01 5.35020917e+00
7.857190e+01 5.06884904e+00
7.873530e+01 4.98739486e+00
7.893510e+01 4.89478179e+00
7.929830e+01 4.77680050e+00
7.966150e+01 4.68712478e+00
7.971760e+01 4.67680019e+00
8.038790e+01 4.56828960e+00
8.111430e+01 4.48240900e+00
8.168210e+01 4.43139924e+00
8.256700e+01 4.36261456e+00
8.364660e+01 4.29635939e+00
8.401980e+01 4.27569546e+00
8.462890e+01 4.24613828e+00
8.547250e+01 4.21307270e+00
8.561120e+01 4.20816825e+00
8.610230e+01 4.19942922e+00
8.659340e+01 4.20404301e+00
8.708460e+01 4.23675096e+00
8.757570e+01 4.33472575e+00
8.782130e+01 4.43651142e+00
8.806680e+01 4.60959957e+00
8.831240e+01 4.91800488e+00
8.837800e+01 5.07678386e+00
8.855790e+01 5.51236342e+00
8.880350e+01 6.81564041e+00
8.892630e+01 8.10811673e+00
8.904910e+01 1.04113965e+01
8.917190e+01 1.50721859e+01
8.923330e+01 1.94024134e+01
8.929460e+01 2.66621377e+01
8.935600e+01 4.01345804e+01
8.938670e+01 5.16041855e+01
8.941740e+01 6.91648821e+01
8.944810e+01 9.77774065e+01
8.947880e+01 1.48085107e+02
8.949420e+01 1.88154176e+02
8.950950e+01 2.44890235e+02
8.952490e+01 3.26505778e+02
8.954020e+01 4.43309477e+02
8.956510e+01 7.12907776e+02
8.959000e+01 8.98016059e+02
8.961490e+01 7.25521794e+02
8.963980e+01 4.59271782e+02
8.965800e+01 3.24325118e+02
8.967620e+01 2.35600702e+02
8.969440e+01 1.77215894e+02
8.971260e+01 1.37808214e+02
8.974900e+01 9.06368496e+01
8.978550e+01 6.51812556e+01
8.982190e+01 5.02613996e+01
8.985830e+01 4.10757590e+01
8.993110e+01 3.19900042e+01
9.000390e+01 3.07516306e+01
9.004030e+01 3.31406029e+01
9.007680e+01 3.86516376e+01
9.011320e+01 4.96721114e+01
9.014960e+01 7.20801785e+01
9.016780e+01 9.17910244e+01
9.018600e+01 1.21977021e+02
9.020420e+01 1.69546277e+02
9.021330e+01 2.02961350e+02
9.022240e+01 2.44675877e+02
9.023430e+01 3.12763027e+02
9.024620e+01 3.91642843e+02
9.027000e+01 4.95508938e+02
9.028190e+01 4.71025158e+02
9.029380e+01 4.05315281e+02
9.031760e+01 2.61205203e+02
9.034480e+01 1.57374916e+02
9.037190e+01 1.02735506e+02
9.039900e+01 7.25899843e+01
9.042620e+01 5.46309351e+01
9.045330e+01 4.31613895e+01
9.048050e+01 3.54118653e+01
9.053470e+01 2.58903496e+01
9.058900e+01 2.04450450e+01
9.064330e+01 1.70084978e+01
9.075190e+01 1.30109497e+01
9.086050e+01 1.08093951e+01
9.096900e+01 9.43744433e+00
9.118620e+01 7.84340339e+00
9.128350e+01 7.44770136e+00
9.140330e+01 6.96028141e+00
9.162040e+01 6.41387786e+00
9.183760e+01 6.09207328e+00
9.194610e+01 6.09941592e+00
9.200040e+01 6.31550995e+00
9.202760e+01 6.62226072e+00
9.205470e+01 7.26747332e+00
9.210000e+01 8.76466326e+00
9.214530e+01 7.17376610e+00
9.217600e+01 6.40990174e+00
9.220670e+01 6.04367549e+00
9.226800e+01 5.72704992e+00
9.239080e+01 5.49314965e+00
9.263620e+01 5.27978268e+00
9.312710e+01 5.03058675e+00
9.361810e+01 4.86698668e+00
9.410900e+01 4.74804076e+00
9.418900e+01 4.73461281e+00
9.509080e+01 4.58125461e+00
9.564180e+01 4.51703243e+00
9.607270e+01 4.46638281e+00
9.709450e+01 4.38367896e+00
9.803630e+01 4.30943774e+00
9.854730e+01 4.28052266e+00
1.000000e+02 4.22053591e+00
1.006010e+02 4.22368978e+00
1.012030e+02 4.25908874e+00
1.018040e+02 4.36346664e+00
1.024060e+02 4.63049643e+00
1.026640e+02 4.86030021e+00
1.027060e+02 4.89791947e+00
1.030070e+02 5.34984169e+00
1.033080e+02 6.15444337e+00
1.036080e+02 7.71600089e+00
1.037590e+02 9.07663262e+00
1.039090e+02 1.11855552e+01
1.040590e+02 1.46660685e+01
1.042100e+02 2.09100662e+01
1.042850e+02 2.60358034e+01
1.043600e+02 3.36097277e+01
1.044350e+02 4.54030883e+01
1.045100e+02 6.50471730e+01
1.045860e+02 1.01116605e+02
1.046230e+02 1.31367888e+02
1.046610e+02 1.76786065e+02
1.046980e+02 2.49114466e+02
1.047360e+02 3.71695422e+02
1.047740e+02 5.94521794e+02
1.048110e+02 1.01490705e+03
1.048460e+02 1.63800998e+03
1.048800e+02 2.06882750e+03
1.049150e+02 1.67932647e+03
1.049490e+02 1.06685961e+03
