63-Eu_n-g
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
3.927920e+00 1.90688220e+03
3.927930e+00 1.90724796e+03
3.927950e+00 1.90770886e+03
3.927960e+00 1.90794088e+03
3.928000e+00 1.90874471e+03
3.928030e+00 1.90934773e+03
3.928100e+00 1.91098745e+03
3.928150e+00 1.91215880e+03
3.928300e+00 1.91537426e+03
3.928410e+00 1.91773239e+03
3.928700e+00 1.92409319e+03
3.928910e+00 1.92870029e+03
3.929500e+00 1.94121296e+03
3.929910e+00 1.94991019e+03
3.931090e+00 1.97280822e+03
3.931930e+00 1.98912448e+03
3.934280e+00 2.02607520e+03
3.935950e+00 2.05238724e+03
3.940660e+00 2.08161627e+03
3.944000e+00 2.10253416e+03
3.953420e+00 2.00073014e+03
3.955800e+00 1.97522754e+03
3.967600e+00 1.68422058e+03
3.978930e+00 1.38939035e+03
3.991200e+00 1.07162711e+03
4.013490e+00 6.95218201e+02
4.029960e+00 5.32685938e+02
4.035780e+00 4.76004686e+02
4.058070e+00 3.46332798e+02
4.080360e+00 2.64292113e+02
4.124940e+00 1.70406294e+02
4.132030e+00 1.62322508e+02
4.169530e+00 1.22514638e+02
4.214110e+00 9.40077324e+01
4.234090e+00 8.54585830e+01
4.258690e+00 7.58592952e+01
4.336150e+00 5.74556470e+01
4.347850e+00 5.49717505e+01
4.437010e+00 4.46366862e+01
4.438210e+00 4.45571379e+01
4.526180e+00 4.14306377e+01
4.540280e+00 4.16506685e+01
4.591310e+00 4.49017669e+01
4.615340e+00 4.84800586e+01
4.642340e+00 5.52624964e+01
4.659920e+00 6.22212789e+01
4.667850e+00 6.65841758e+01
4.682210e+00 7.74959591e+01
4.693370e+00 8.84177718e+01
4.704500e+00 1.03989466e+02
4.718890e+00 1.26218872e+02
4.744400e+00 1.87141353e+02
4.750000e+00 2.06518497e+02
4.767200e+00 2.43835846e+02
4.790000e+00 2.71405572e+02
4.795500e+00 2.57193222e+02
4.812800e+00 2.15438779e+02
4.821060e+00 1.87795678e+02
4.835600e+00 1.42509806e+02
4.846630e+00 1.18981740e+02
4.856150e+00 1.00045512e+02
4.876700e+00 7.48856190e+01
4.897250e+00 5.88019763e+01
4.897750e+00 5.85344875e+01
4.917800e+00 4.91860178e+01
4.948880e+00 4.05470657e+01
4.958900e+00 3.80004283e+01
5.000000e+00 3.25188955e+01
5.043500e+00 2.97549764e+01
5.043510e+00 2.97546786e+01
5.043520e+00 2.97542613e+01
5.043530e+00 2.97537852e+01
5.043540e+00 2.97534526e+01
5.043570e+00 2.97522876e+01
5.043630e+00 2.97498729e+01
5.043640e+00 2.97494825e+01
5.043760e+00 2.97448386e+01
5.043780e+00 2.97440646e+01
5.044020e+00 2.97346038e+01
5.044050e+00 2.97334182e+01
5.044540e+00 2.97146156e+01
5.044610e+00 2.97119436e+01
5.045580e+00 2.96752556e+01
5.045710e+00 2.96703550e+01
5.047660e+00 2.95995153e+01
5.047910e+00 2.95905274e+01
5.051820e+00 2.94609207e+01
5.052330e+00 2.94443497e+01
5.060130e+00 2.92316243e+01
5.061150e+00 2.92050661e+01
5.076760e+00 2.89568037e+01
5.078800e+00 2.89286140e+01
5.110010e+00 2.91226047e+01
5.114100e+00 2.91610831e+01
5.176530e+00 3.29741792e+01
5.184700e+00 3.35104094e+01
5.220000e+00 3.90972085e+01
5.255300e+00 4.95133435e+01
5.290600e+00 7.03633417e+01
5.308250e+00 8.84094699e+01
5.309550e+00 9.03477459e+01
5.325900e+00 1.14813501e+02
5.352950e+00 1.72324122e+02
5.380000e+00 2.10445876e+02
5.407050e+00 1.71919594e+02
5.434100e+00 1.14590595e+02
5.442580e+00 1.03588008e+02
5.465090e+00 7.45487926e+01
5.496080e+00 5.43681454e+01
5.527060e+00 4.38973155e+01
