82-Pb_n-tot
> 82-Pb-204:0.014000
> 82-Pb-206:0.241000
> 82-Pb-207:0.221000
> 82-Pb-208:0.524000
3.356010e+03 1.79511616e+01
3.356180e+03 2.09809109e+01
3.356340e+03 2.64350964e+01
3.356430e+03 3.09228746e+01
3.356510e+03 3.74777342e+01
3.356590e+03 4.77922903e+01
3.356670e+03 6.48466523e+01
3.356760e+03 9.48624759e+01
3.356840e+03 1.48548597e+02
3.356920e+03 2.31730949e+02
3.357000e+03 2.86348294e+02
3.357080e+03 2.30752483e+02
3.357160e+03 1.48614378e+02
3.357210e+03 1.11613646e+02
3.357260e+03 8.63426254e+01
3.357360e+03 5.63065507e+01
3.357460e+03 4.05249030e+01
3.357560e+03 3.16305533e+01
3.357660e+03 2.61014071e+01
3.357760e+03 2.25182876e+01
3.357960e+03 1.82810182e+01
3.358170e+03 1.59690492e+01
3.358370e+03 1.45870273e+01
3.358770e+03 1.30790996e+01
3.359170e+03 1.23215012e+01
3.359570e+03 1.18884335e+01
3.359970e+03 1.16180167e+01
3.360370e+03 1.14379989e+01
3.361170e+03 1.12206355e+01
3.361980e+03 1.10997439e+01
3.362780e+03 1.10255826e+01
3.363580e+03 1.09768228e+01
3.365180e+03 1.09187306e+01
3.366790e+03 1.08867866e+01
3.368390e+03 1.08673508e+01
3.370000e+03 1.08546145e+01
3.373210e+03 1.08395052e+01
3.376410e+03 1.08311708e+01
3.382830e+03 1.08226712e+01
3.389250e+03 1.08185264e+01
3.395670e+03 1.08161000e+01
3.408500e+03 1.08133032e+01
3.434170e+03 1.08103146e+01
3.459840e+03 1.08082682e+01
3.500000e+03 1.08055776e+01
3.511180e+03 1.08048285e+01
3.529400e+03 1.08036959e+01
3.547350e+03 1.08026410e+01
3.562520e+03 1.08017502e+01
3.665190e+03 1.07959376e+01
3.666600e+03 1.07958596e+01
3.700900e+03 1.07939951e+01
3.735200e+03 1.07921446e+01
3.752350e+03 1.07912277e+01
3.767870e+03 1.07904157e+01
3.769500e+03 1.07903319e+01
