73-Ta_n-tot
> 73-Ta-181:1.000000
3.512140e+01 2.56690000e+03
3.514070e+01 4.11749000e+03
3.516000e+01 5.16738000e+03
3.517930e+01 4.15481000e+03
3.519860e+01 2.61527000e+03
3.521930e+01 1.57455000e+03
3.523990e+01 1.01398000e+03
3.526060e+01 7.00738000e+02
3.528130e+01 5.13797000e+02
3.530200e+01 3.95327000e+02
3.532260e+01 3.16509000e+02
3.536400e+01 2.23437000e+02
3.540530e+01 1.75177000e+02
3.544660e+01 1.50084000e+02
3.552930e+01 1.39393000e+02
3.557060e+01 1.49983000e+02
3.561200e+01 1.73407000e+02
3.565330e+01 2.15889000e+02
3.569470e+01 2.91389000e+02
3.573600e+01 4.32960000e+02
3.575670e+01 5.51801000e+02
3.577730e+01 7.29781000e+02
3.579800e+01 1.00960000e+03
3.581870e+01 1.47599000e+03
3.583930e+01 2.30333000e+03
3.586000e+01 3.81990000e+03
3.588000e+01 6.15340000e+03
3.590000e+01 7.75550000e+03
3.592000e+01 6.26417000e+03
3.594000e+01 3.95763000e+03
3.595230e+01 2.94571000e+03
3.596450e+01 2.23144000e+03
3.598900e+01 1.37182000e+03
3.601350e+01 9.17323000e+02
3.603800e+01 6.55176000e+02
3.606240e+01 4.91959000e+02
3.608690e+01 3.84022000e+02
3.613590e+01 2.55000000e+02
3.618490e+01 1.83753000e+02
3.623390e+01 1.40236000e+02
3.633180e+01 9.17916000e+01
3.642980e+01 6.66629000e+01
3.652770e+01 5.18727000e+01
3.672360e+01 3.59940000e+01
3.691950e+01 2.82188000e+01
3.711540e+01 2.41453000e+01
3.750720e+01 2.19723000e+01
3.770310e+01 2.34008000e+01
3.789900e+01 2.71165000e+01
3.809490e+01 3.46743000e+01
3.829080e+01 4.99377000e+01
3.838880e+01 6.32776000e+01
3.848670e+01 8.38429000e+01
3.858470e+01 1.17374000e+02
3.868260e+01 1.76529000e+02
3.873160e+01 2.24250000e+02
3.878060e+01 2.93642000e+02
3.882950e+01 3.99534000e+02
3.887850e+01 5.71389000e+02
3.892750e+01 8.74511000e+02
3.895200e+01 1.11898000e+03
3.897650e+01 1.47337000e+03
3.900090e+01 2.00915000e+03
3.902540e+01 2.85709000e+03
3.904990e+01 4.25991000e+03
3.907440e+01 6.61742000e+03
3.910220e+01 1.07170000e+04
3.913000e+01 1.35601000e+04
3.915780e+01 1.09817000e+04
3.918560e+01 6.95080000e+03
3.920500e+01 4.97426000e+03
3.922440e+01 3.64505000e+03
3.924380e+01 2.75240000e+03
3.926320e+01 2.13912000e+03
3.930210e+01 1.38990000e+03
3.934090e+01 9.74116000e+02
3.937970e+01 7.21981000e+02
3.941850e+01 5.58220000e+02
3.949620e+01 3.65820000e+02
3.957380e+01 2.61299000e+02
3.965140e+01 1.98124000e+02
3.972910e+01 1.56910000e+02
3.980670e+01 1.28461000e+02
3.996200e+01 9.26064000e+01
4.011720e+01 7.15524000e+01
4.027250e+01 5.80310000e+01
4.042780e+01 4.87666000e+01
4.073830e+01 3.71161000e+01
4.104890e+01 3.02346000e+01
4.135940e+01 2.57630000e+01
4.167000e+01 2.26540000e+01
4.229100e+01 1.86523000e+01
4.291210e+01 1.62074000e+01
4.353320e+01 1.45653000e+01
4.415430e+01 1.33868000e+01
4.539650e+01 1.18031000e+01
4.663870e+01 1.07814000e+01
4.725970e+01 1.04013000e+01
4.788080e+01 1.01204000e+01
4.819140e+01 1.00703000e+01
4.834670e+01 1.01122000e+01
4.850190e+01 1.02663000e+01
4.865720e+01 1.07060000e+01
4.873480e+01 1.11913000e+01
4.881250e+01 1.21067000e+01
4.889010e+01 1.40542000e+01
4.892890e+01 1.59273000e+01
4.896770e+01 1.91533000e+01
4.900660e+01 2.53425000e+01
4.902600e+01 3.07695000e+01
4.904540e+01 3.93149000e+01
4.906480e+01 5.37561000e+01
4.908420e+01 8.05215000e+01
4.909390e+01 1.02962000e+02
4.910360e+01 1.36230000e+02
4.911330e+01 1.86890000e+02
4.912300e+01 2.64181000e+02
4.913650e+01 4.21834000e+02
4.915000e+01 5.30898000e+02
4.916350e+01 4.31023000e+02
4.917700e+01 2.75653000e+02
4.918990e+01 1.78587000e+02
4.920270e+01 1.22332000e+02
4.921560e+01 8.89978000e+01
4.922840e+01 6.81867000e+01
4.925420e+01 4.50778000e+01
4.927990e+01 3.33644000e+01
4.930560e+01 2.66576000e+01
4.933130e+01 2.24666000e+01
4.938280e+01 1.77133000e+01
4.943420e+01 1.52083000e+01
4.948560e+01 1.37181000e+01
4.958850e+01 1.20886000e+01
4.969140e+01 1.12458000e+01
4.979430e+01 1.07413000e+01
5.000000e+01 1.01692000e+01
5.018040e+01 9.87989000e+00
5.036080e+01 9.68022000e+00
5.072150e+01 9.40792000e+00
5.144300e+01 9.06360000e+00
5.288600e+01 8.61556000e+00
5.432900e+01 8.27735000e+00
5.505050e+01 8.13333000e+00
5.541130e+01 8.08681000e+00
5.550140e+01 8.09461000e+00
5.559160e+01 8.14433000e+00
5.563670e+01 8.21889000e+00
5.568180e+01 8.40370000e+00
5.570440e+01 8.60603000e+00
5.572690e+01 8.99924000e+00
5.573820e+01 9.34333000e+00
5.574950e+01 9.87364000e+00
5.576070e+01 1.07205000e+01
5.577200e+01 1.20841000e+01
5.578600e+01 1.46314000e+01
5.580000e+01 1.64094000e+01
5.581400e+01 1.48215000e+01
5.582800e+01 1.23181000e+01
5.584120e+01 1.07608000e+01
5.585430e+01 9.84787000e+00
5.586750e+01 9.30150000e+00
5.588060e+01 8.95762000e+00
5.590690e+01 8.57108000e+00
5.593330e+01 8.37163000e+00
5.598590e+01 8.18022000e+00
5.603850e+01 8.09141000e+00
5.614370e+01 8.00705000e+00
5.624900e+01 7.96380000e+00
5.667000e+01 7.89253000e+00
5.688040e+01 7.90825000e+00
5.698570e+01 7.94904000e+00
5.709090e+01 8.04350000e+00
5.719620e+01 8.26969000e+00
5.724880e+01 8.50065000e+00
5.730140e+01 8.91481000e+00
5.735400e+01 9.74623000e+00
5.738040e+01 1.05054000e+01
5.740670e+01 1.17484000e+01
5.743300e+01 1.39657000e+01
5.745930e+01 1.84241000e+01
5.747240e+01 2.24879000e+01
5.748560e+01 2.90364000e+01
5.749880e+01 4.01576000e+01
5.751190e+01 5.94350000e+01
5.752600e+01 9.13838000e+01
5.754000e+01 1.13453000e+02
5.755410e+01 9.32577000e+01
5.756810e+01 6.17746000e+01
5.757950e+01 4.44118000e+01
5.759080e+01 3.34678000e+01
5.760220e+01 2.65211000e+01
5.761350e+01 2.19558000e+01
5.763630e+01 1.66270000e+01
5.765900e+01 1.37979000e+01
5.768170e+01 1.21293000e+01
5.770440e+01 1.10663000e+01
5.774980e+01 9.83787000e+00
5.779530e+01 9.17948000e+00
5.784070e+01 8.78346000e+00
5.793160e+01 8.34570000e+00
5.802240e+01 8.11694000e+00
5.811330e+01 7.97947000e+00
5.829500e+01 7.82732000e+00
5.847670e+01 7.76106000e+00
5.865850e+01 7.79011000e+00
5.874930e+01 7.90004000e+00
5.879480e+01 8.02213000e+00
5.884020e+01 8.24637000e+00
5.888560e+01 8.69865000e+00
5.890830e+01 9.10859000e+00
5.893100e+01 9.77050000e+00
5.895380e+01 1.09248000e+01
5.897650e+01 1.31552000e+01
