Pd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
899.617 70.2326
899.658 90.8879
899.699 120.826
899.739 165.383
899.780 231.266
899.840 369.915
899.900 462.281
899.960 369.612
900.020 231.017
900.073 150.364
900.125 101.946
900.178 72.4407
900.231 53.6580
900.336 32.4555
900.441 21.5901
900.547 15.3410
900.652 11.4417
900.863 7.04999
901.074 4.76868
901.284 3.43755
901.495 2.59418
901.706 2.02668
902.127 1.33434
902.549 0.944433
902.970 0.703464
903.392 0.544272
904.235 0.353601
905.078 0.248172
905.921 0.183818
906.764 0.141689
908.449 0.0917087
910.135 0.0643333
911.821 0.0477427
913.507 0.0369446
916.879 0.0242384
920.251 0.0173808
923.622 0.0133282
926.994 0.0108166
933.738 0.00840318
940.481 0.00870609
943.853 0.0106252
947.225 0.0162576
948.911 0.0233903
950.597 0.0412207
951.440 0.0635321
951.861 0.0846042
952.283 0.121625
952.704 0.197861
952.915 0.271814
953.125 0.403911
953.231 0.513455
953.336 0.678479
953.442 0.944360
953.547 1.41389
953.600 1.79789
953.652 2.36713
953.705 3.26288
953.758 4.78712
953.810 7.70843
953.837 10.2901
953.863 14.3827
953.889 21.4633
953.916 34.9987
953.929 46.8303
953.942 64.9412
953.955 94.1795
953.968 141.120
953.984 226.056
954.000 282.208
954.016 225.489
954.032 141.126
954.047 88.0124
954.063 57.7821
954.078 40.1352
954.093 29.3078
954.109 22.2043
954.124 17.3606
954.155 11.4227
954.186 8.05951
954.216 5.99254
954.278 3.68795
954.339 2.50214
954.401 1.81538
954.462 1.38311
954.524 1.09439
954.647 0.744762
954.769 0.551141
955.015 0.359710
955.261 0.278291
955.507 0.244916
955.999 0.255470
956.245 0.295077
956.491 0.367463
956.736 0.495555
956.982 0.735333
957.105 0.938322
957.228 1.24692
957.351 1.74798
957.474 2.63974
957.535 3.37257
957.597 4.46307
957.658 6.18687
957.720 9.13868
957.781 14.8447
957.812 19.9112
957.843 28.0439
957.874 42.2983
957.904 70.1509
957.920 95.0410
957.935 134.073
957.950 198.978
957.966 307.238
957.983 491.816
958.000 614.971
958.017 491.819
958.034 307.244
958.055 173.190
958.075 105.827
958.096 70.0260
958.116 49.3429
958.137 36.4878
958.157 28.0115
958.198 17.9400
958.239 12.4407
958.280 9.12346
958.362 5.50460
958.444 3.67687
958.526 2.62950
958.608 1.97434
958.690 1.53798
958.854 1.00979
959.018 0.714979
959.182 0.533680
959.346 0.414242
959.674 0.271475
