Nb-93(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1015.81 58.0885
1015.86 74.9099
1015.93 110.162
1016.00 133.587
1016.07 109.879
1016.14 74.3351
1016.20 55.3345
1016.25 43.4109
1016.30 35.7040
1016.36 30.5562
1016.47 24.3785
1016.57 21.0348
1016.79 17.6224
1017.01 15.9377
1017.44 14.1994
1017.87 13.2222
1018.74 11.9977
1019.61 11.1713
1021.34 10.0413
1023.07 9.28170
1026.54 8.31263
1030.00 7.71920
1034.87 7.18953
1039.74 6.84361
1044.60 6.59731
1049.47 6.41068
1059.20 6.13967
1068.94 5.94290
1078.67 5.78308
1088.41 5.64022
1093.27 5.57110
1098.14 5.50324
1100.57 5.47205
1101.79 5.45914
1103.01 5.45108
1104.22 5.45555
1104.83 5.46951
1105.44 5.50252
1106.05 5.58205
1106.35 5.66309
1106.66 5.80853
1106.96 6.10239
1107.11 6.37392
1107.27 6.82606
1107.42 7.65691
1107.49 8.35752
1107.57 9.42136
1107.65 11.1351
1107.72 14.1053
1107.80 19.7023
1107.87 30.8558
1107.94 46.2610
1108.00 56.3038
1108.06 46.0078
1108.13 30.8583
1108.20 19.9067
1108.27 14.3665
1108.35 11.3654
1108.42 9.60834
1108.49 8.49364
1108.57 7.76513
1108.71 6.89199
1108.86 6.40801
1109.01 6.11597
1109.30 5.79221
1109.59 5.62567
1109.89 5.52760
1110.47 5.41956
1111.06 5.36105
1111.64 5.32288
1112.82 5.27124
1113.99 5.23224
1115.16 5.19731
1117.50 5.12823
1119.85 5.05108
1121.02 5.00657
1122.19 4.95631
1123.36 4.89966
1123.95 4.87070
