Rh-103(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
271.668 62.2564
271.728 78.1125
271.788 100.722
271.847 134.370
271.907 187.121
271.967 275.115
272.027 432.023
272.057 555.587
272.087 722.499
272.144 1157.97
272.200 1449.03
272.257 1157.63
272.313 722.117
272.347 535.992
272.381 404.475
272.449 246.134
272.517 162.440
272.585 114.262
272.653 84.3906
272.721 64.7292
272.857 41.4088
272.993 28.6971
273.129 21.0382
273.401 12.6880
273.673 8.48053
273.945 6.07161
274.217 4.56603
274.489 3.56339
275.033 2.35263
275.577 1.67826
276.121 1.26497
276.665 0.994133
277.753 0.674137
278.840 0.502419
279.928 0.403756
281.016 0.347271
283.192 0.317988
284.280 0.346814
285.368 0.426822
286.456 0.622953
287.000 0.824981
287.543 1.19444
287.815 1.50391
288.087 1.97204
288.359 2.72753
288.631 4.06130
288.767 5.14867
288.903 6.75504
289.039 9.26959
289.175 13.5210
289.311 21.5599
289.379 28.5520
289.447 39.5208
289.481 47.4822
289.515 58.0335
289.549 72.3750
289.583 92.4382
289.617 121.424
289.651 164.732
289.685 231.311
289.719 333.595
289.765 533.881
289.810 666.970
289.833 627.469
289.856 533.312
289.901 333.478
289.946 206.811
289.990 135.209
290.035 93.6359
290.080 68.0960
290.124 51.5176
290.169 40.2336
290.258 26.4043
290.348 18.6057
290.437 13.8047
290.616 8.46547
290.795 5.72408
290.973 4.13648
291.152 3.13523
291.331 2.46438
291.688 1.64881
292.046 1.19097
292.403 0.908566
292.761 0.722227
293.476 0.499280
294.191 0.376229
295.621 0.252890
297.051 0.196856
298.481 0.168836
301.341 0.151049
304.200 0.163150
307.060 0.206255
309.920 0.309697
311.350 0.421289
312.065 0.545326
312.244 0.612993
312.423 0.742045
312.512 0.866274
312.601 1.09251
312.691 1.57427
312.735 2.03171
312.780 2.75854
312.835 4.08476
312.890 4.97179
312.945 4.10271
313.000 2.79399
313.051 2.00031
313.103 1.54266
313.205 1.10957
313.308 0.936120
313.410 0.859081
313.820 0.822184
314.640 1.03138
315.459 1.43518
316.279 2.17605
316.689 2.79460
317.099 3.72848
317.509 5.23394
317.919 7.89169
318.124 10.0602
318.328 13.2653
318.533 18.2930
318.636 21.9518
318.738 26.8195
318.841 33.5036
318.943 43.0128
319.046 57.1678
319.148 79.4637
319.251 117.412
319.302 147.000
319.353 188.679
319.404 249.572
319.456 341.481
319.507 484.932
319.558 710.151
319.624 1138.30
319.690 1424.50
319.756 1137.94
319.822 709.770
319.878 467.210
319.935 319.811
319.991 228.743
320.047 170.350
320.160 103.771
320.272 69.3656
320.384 49.4825
320.497 37.0425
320.722 23.0332
320.947 15.8514
321.172 11.9634
321.397 10.8344
321.509 13.2383
321.565 17.7229
321.594 22.2756
321.622 29.7395
321.656 43.3874
321.690 52.4232
321.724 42.9744
321.758 28.9093
321.804 17.8010
321.849 12.5070
321.895 9.73851
321.940 8.11192
322.031 6.31831
322.122 5.33692
322.304 4.22051
322.486 3.54512
322.850 2.69397
323.214 2.15564
323.942 1.51617
324.670 1.18338
325.397 1.05057
326.125 1.18920
326.489 1.52360
326.671 1.87196
326.853 2.49218
327.035 3.71872
327.126 4.82260
327.217 6.60543
327.308 9.74347
327.399 15.9364
327.444 21.4996
327.490 30.3544
327.535 45.1396
327.581 70.2195
327.630 112.088
327.680 139.990
327.730 112.059
327.779 70.1772
327.831 42.7375
327.882 27.6322
327.933 19.0400
327.984 13.8453
328.035 10.4998
328.086 8.24306
328.189 5.49000
328.291 3.94679
328.393 2.99971
328.598 1.94465
328.803 1.39911
329.007 1.07910
329.417 0.733095
329.826 0.555387
330.235 0.449055
331.054 0.328119
332.691 0.216410
334.328 0.161532
337.602 0.105667
340.876 0.0775063
344.150 0.0610832
347.424 0.0509448
350.698 0.0455377
352.335 0.0478542
352.744 0.0518792
353.153 0.0634534
353.358 0.0787088
353.563 0.117330
353.665 0.163349
353.767 0.266322
353.818 0.372697
353.870 0.570153
353.895 0.736938
353.921 0.986409
353.946 1.37042
353.972 1.96047
354.006 3.11170
354.040 3.87886
354.074 3.11194
354.108 1.96074
354.142 1.23522
354.175 0.824196
354.208 0.584375
354.241 0.436508
354.308 0.274622
354.374 0.193927
354.507 0.120281
354.640 0.0889510
354.905 0.0634563
355.171 0.0535492
355.702 0.0459647
356.233 0.0432303
358.358 0.0424982
359.421 0.0456366
360.483 0.0542951
361.014 0.0649622
361.546 0.0917256
361.811 0.125514
361.944 0.157325
362.077 0.212349
362.210 0.321051
362.276 0.420719
362.342 0.586597
362.409 0.892807
362.442 1.15291
362.475 1.55129
362.508 2.20136
362.542 3.35021
362.575 5.58112
362.591 7.48067
362.608 10.2223
362.634 16.3317
362.660 20.3832
362.686 16.3087
362.712 10.2253
362.740 6.11580
362.768 3.91098
362.796 2.67677
362.823 1.93800
362.851 1.46600
362.879 1.15058
362.935 0.769305
362.990 0.557607
363.046 0.429153
363.157 0.288465
363.269 0.218303
363.380 0.179311
363.602 0.142486
364.048 0.130377
364.493 0.156646
364.938 0.231614
365.160 0.308398
365.383 0.446222
365.605 0.728107
365.717 0.993731
365.828 1.44679
365.939 2.31495
365.995 3.08132
366.051 4.29859
366.106 6.39961
366.162 10.4222
366.190 13.9222
366.217 19.3208
366.245 27.9675
366.273 41.9547
366.307 67.0838
366.340 83.8281
366.374 67.0093
366.407 41.8992
366.437 27.3161
366.466 18.5721
366.495 13.2143
366.525 9.81035
366.583 5.95409
366.642 3.97368
366.701 2.83495
366.759 2.12386
366.877 1.32256
366.994 0.905774
367.111 0.662507
367.346 0.404376
367.581 0.277660
367.815 0.206286
368.285 0.133143
368.754 0.0985829
369.224 0.0799201
370.163 0.0629751
371.101 0.0598030
372.040 0.0716582
372.510 0.0925117
372.744 0.113527
372.979 0.151037
373.214 0.227000
373.331 0.297841
373.448 0.417238
373.566 0.641807
373.625 0.835967
373.683 1.13798
373.742 1.64369
373.801 2.57034
373.830 3.34143
373.859 4.47375
373.889 6.18316
373.918 8.76527
373.959 14.0060
374.000 17.5021
374.041 14.0077
374.082 8.76750
374.119 5.65818
374.156 3.82083
374.193 2.70994
374.230 2.01030
374.305 1.22540
374.379 0.826334
374.453 0.597920
374.527 0.456172
374.675 0.297309
374.823 0.215863
374.971 0.169428
375.267 0.124361
375.563 0.112083
375.860 0.131785
376.008 0.169324
376.156 0.267266
376.230 0.380035
376.304 0.614930
376.341 0.838133
376.378 1.21289
376.415 1.88850
376.452 3.15579
376.486 5.01876
376.520 6.25504
376.554 5.01235
376.588 3.15428
376.612 2.26324
376.635 1.66380
376.682 0.985342
376.728 0.647312
376.775 0.460660
376.869 0.274707
376.962 0.189380
377.149 0.115706
377.336 0.0853454
377.710 0.0605339
378.084 0.0504576
378.832 0.0420431
379.580 0.0385586
382.572 0.0355958
385.563 0.0401108
386.311 0.0443909
387.059 0.0553958
387.433 0.0696512
387.807 0.107128
387.994 0.154941
388.088 0.199342
388.181 0.274157
388.275 0.414733
388.321 0.536464
388.368 0.725918
388.415 1.04376
388.462 1.62589
388.485 2.11114
388.508 2.82393
388.532 3.90714
388.555 5.54039
388.588 8.84899
388.620 11.0466
388.653 8.83898
388.685 5.54148
388.719 3.35596
388.753 2.16288
