34-Se_n-tot
>  34-Se-74:0.008900
>  34-Se-76:0.093700
>  34-Se-77:0.076300
>  34-Se-78:0.237700
>  34-Se-80:0.496100
>  34-Se-82:0.087300
3.725940e+02 5.47837065e+00
3.727400e+02 5.48363758e+00
3.728020e+02 5.48636101e+00
3.728700e+02 5.48940171e+00
3.732170e+02 5.52580439e+00
3.733910e+02 5.55155002e+00
3.735650e+02 5.58359417e+00
3.737280e+02 5.62097228e+00
3.737380e+02 5.62327895e+00
3.739120e+02 5.67223250e+00
3.739990e+02 5.70069527e+00
3.740850e+02 5.73222248e+00
3.741670e+02 5.76504075e+00
3.741720e+02 5.76717979e+00
3.742590e+02 5.80803841e+00
3.744320e+02 5.90258508e+00
3.746060e+02 6.01731096e+00
3.747800e+02 6.15736394e+00
3.749530e+02 6.32914940e+00
3.751270e+02 6.54149193e+00
3.753000e+02 6.80602165e+00
3.754740e+02 7.13865624e+00
3.755950e+02 7.43433795e+00
3.756470e+02 7.56576915e+00
3.758210e+02 8.12534049e+00
3.759940e+02 8.85251914e+00
3.759970e+02 8.86915452e+00
3.761680e+02 9.81748564e+00
3.763420e+02 1.11257335e+01
3.765150e+02 1.29502456e+01
3.766890e+02 1.55787546e+01
3.768620e+02 1.95211210e+01
3.770230e+02 2.52718150e+01
3.770360e+02 2.57376593e+01
3.772090e+02 3.62140455e+01
3.773800e+02 5.49623288e+01
3.773830e+02 5.52914909e+01
3.774700e+02 7.09456346e+01
3.775570e+02 9.36436759e+01
3.776430e+02 1.27187881e+02
3.777300e+02 1.76620032e+02
3.777360e+02 1.81640621e+02
3.778650e+02 2.89593221e+02
3.779150e+02 3.20741715e+02
3.780000e+02 3.73699853e+02
3.780930e+02 3.30356043e+02
3.781350e+02 3.10784560e+02
3.782660e+02 2.06424122e+02
3.782700e+02 2.03237546e+02
3.782720e+02 2.02145126e+02
3.783890e+02 1.38249606e+02
3.784500e+02 1.17804855e+02
3.785080e+02 9.83717541e+01
3.786270e+02 7.36376267e+01
3.786290e+02 7.33688676e+01
3.787460e+02 5.76623226e+01
3.788070e+02 5.29355029e+01
3.789830e+02 3.93247068e+01
3.789860e+02 3.92039892e+01
3.791640e+02 3.20769019e+01
3.792210e+02 2.98078132e+01
3.793430e+02 2.70048806e+01
3.794590e+02 2.43747975e+01
3.795210e+02 2.35113147e+01
3.796970e+02 2.11250177e+01
3.796990e+02 2.11108404e+01
3.798780e+02 1.99220383e+01
3.801720e+02 1.82558374e+01
3.802350e+02 1.81614839e+01
3.805920e+02 1.83500642e+01
3.806480e+02 1.85846155e+01
3.809490e+02 2.04262341e+01
3.811230e+02 2.23148563e+01
3.811270e+02 2.23624231e+01
3.813050e+02 2.53770589e+01
3.814840e+02 2.97441454e+01
3.815990e+02 3.39314562e+01
3.816620e+02 3.62631831e+01
3.818410e+02 4.63296111e+01
3.820190e+02 6.24514555e+01
3.820740e+02 7.09094474e+01
3.821980e+02 9.00410888e+01
3.823760e+02 1.41118081e+02
3.824650e+02 1.83601973e+02
3.825550e+02 2.45857296e+02
3.826440e+02 3.39107490e+02
3.827330e+02 4.78702052e+02
3.828670e+02 7.86631967e+02
3.830000e+02 1.01422972e+03
3.830250e+02 9.81714757e+02
3.831340e+02 8.39988920e+02
3.832680e+02 5.45003180e+02
3.833820e+02 3.72044963e+02
3.834960e+02 2.64221299e+02
3.836100e+02 1.96388759e+02
3.837240e+02 1.52024103e+02
3.839520e+02 1.00289704e+02
3.839760e+02 9.73819888e+01
3.841800e+02 7.27049066e+01
3.844080e+02 5.62924973e+01
3.846360e+02 4.57070658e+01
3.849270e+02 3.77478129e+01
3.850920e+02 3.32528960e+01
3.855480e+02 2.64079494e+01
3.858780e+02 2.33411337e+01
3.860040e+02 2.21816630e+01
3.864600e+02 1.93746494e+01
3.869160e+02 1.73805697e+01
3.869350e+02 1.73257278e+01
3.873430e+02 1.61483418e+01
3.877800e+02 1.48874702e+01
3.878280e+02 1.47521260e+01
3.887400e+02 1.31513775e+01
3.896520e+02 1.20568349e+01
3.896820e+02 1.20304727e+01
3.905640e+02 1.12859351e+01
3.915840e+02 1.06973602e+01
3.923880e+02 1.02497512e+01
3.934860e+02 9.84887685e+00
3.942120e+02 9.59629828e+00
3.960360e+02 9.14543904e+00
3.964190e+02 9.07334858e+00
3.972900e+02 8.90961670e+00
3.978600e+02 8.80964601e+00
4.010940e+02 8.40324418e+00
4.015070e+02 8.35498809e+00
4.051550e+02 8.06133826e+00
4.054960e+02 8.04054596e+00
4.087030e+02 7.84549679e+00
4.088030e+02 7.83996909e+00
4.124510e+02 7.68077179e+00
4.145720e+02 7.60947458e+00
4.152010e+02 7.58840590e+00
4.163110e+02 7.55176979e+00
4.197470e+02 7.44740197e+00
4.236480e+02 7.35809032e+00
4.239190e+02 7.35191683e+00
4.270430e+02 7.28667403e+00
4.281870e+02 7.26747729e+00
4.304560e+02 7.22966901e+00
4.327250e+02 7.19225367e+00
4.343380e+02 7.16632333e+00
4.349940e+02 7.15741599e+00
4.361280e+02 7.14286903e+00
4.372630e+02 7.12968331e+00
4.383980e+02 7.11984563e+00
4.389650e+02 7.11793795e+00
4.391350e+02 7.11878387e+00
4.395320e+02 7.12136457e+00
4.400990e+02 7.13612529e+00
4.403830e+02 7.15296497e+00
4.406670e+02 7.18384003e+00
4.409500e+02 7.24506795e+00
4.410920e+02 7.29927923e+00
4.412340e+02 7.38476741e+00
4.413760e+02 7.52888756e+00
4.415170e+02 7.79436740e+00
4.415880e+02 8.01531548e+00
4.416340e+02 8.22645619e+00
4.416590e+02 8.34126124e+00
4.417300e+02 8.83406887e+00
4.418010e+02 9.57936846e+00
4.419010e+02 1.10954894e+01
4.420000e+02 1.21083455e+01
4.421000e+02 1.10939235e+01
4.421990e+02 9.57591625e+00
4.422760e+02 8.77468468e+00
4.423540e+02 8.26440556e+00
4.424310e+02 7.93743190e+00
4.425090e+02 7.72121298e+00
4.426630e+02 7.46682587e+00
4.428180e+02 7.33077009e+00
4.429730e+02 7.25008827e+00
4.431270e+02 7.19833412e+00
4.434370e+02 7.13770556e+00
4.434680e+02 7.13434594e+00
4.437460e+02 7.10429130e+00
4.440560e+02 7.08329107e+00
4.446740e+02 7.05788011e+00
4.452930e+02 7.04207172e+00
4.459120e+02 7.03034689e+00
4.471500e+02 7.01205284e+00
4.483880e+02 6.99662156e+00
4.496250e+02 6.98236815e+00
4.521010e+02 6.95527253e+00
4.562260e+02 6.91163755e+00
4.570510e+02 6.90428007e+00
4.620020e+02 6.86064750e+00
4.669530e+02 6.81687148e+00
4.694280e+02 6.79480286e+00
4.695680e+02 6.79354414e+00
4.708170e+02 6.78323336e+00
4.717340e+02 6.77651438e+00
4.719040e+02 6.77529579e+00
4.743790e+02 6.75742617e+00
4.756170e+02 6.74862215e+00
4.768540e+02 6.74037448e+00
4.774730e+02 6.73681864e+00
4.780920e+02 6.73415474e+00
4.787110e+02 6.73335028e+00
4.793300e+02 6.73679496e+00
4.796390e+02 6.74189707e+00
4.799490e+02 6.75144582e+00
4.802580e+02 6.76922137e+00
4.805670e+02 6.80360666e+00
4.808770e+02 6.87613953e+00
4.810320e+02 6.94372407e+00
4.811860e+02 7.05487298e+00
4.813410e+02 7.25173031e+00
4.814960e+02 7.63745304e+00
4.815730e+02 7.97684404e+00
4.816500e+02 8.50156773e+00
4.817280e+02 9.34347193e+00
4.818050e+02 1.07028413e+01
4.818540e+02 1.19101743e+01
4.819030e+02 1.33188401e+01
4.820000e+02 1.52518838e+01
4.820980e+02 1.37778134e+01
4.821950e+02 1.12760798e+01
4.822650e+02 9.99854193e+00
4.823340e+02 9.13650956e+00
4.824040e+02 8.55621634e+00
4.824730e+02 8.15685954e+00
4.826120e+02 7.66572027e+00
4.827520e+02 7.39036643e+00
4.828910e+02 7.22138864e+00
4.830300e+02 7.11017759e+00
4.833080e+02 6.97679912e+00
4.835860e+02 6.90199081e+00
4.838640e+02 6.85513119e+00
4.844210e+02 6.80043699e+00
4.849770e+02 6.76954165e+00
4.854090e+02 6.75387744e+00
4.855340e+02 6.74941636e+00
4.860900e+02 6.73513321e+00
4.866460e+02 6.72408518e+00
4.877590e+02 6.70735269e+00
4.888720e+02 6.69445809e+00
4.910980e+02 6.67386110e+00
4.933230e+02 6.65641104e+00
4.955490e+02 6.64039129e+00
5.000000e+02 6.61038168e+00
5.042020e+02 6.58663337e+00
5.084050e+02 6.56385530e+00
5.105060e+02 6.55319279e+00
5.115560e+02 6.54834924e+00
5.126070e+02 6.54426458e+00
5.136570e+02 6.54202743e+00
5.141830e+02 6.54254902e+00
5.147080e+02 6.54565594e+00
5.152330e+02 6.55478751e+00
5.154960e+02 6.56448356e+00
5.157590e+02 6.58174933e+00
5.160210e+02 6.61529553e+00
5.161530e+02 6.64464067e+00
5.162840e+02 6.69052641e+00
5.164150e+02 6.76711833e+00
5.165460e+02 6.90637544e+00
5.166120e+02 7.02094645e+00
5.166780e+02 7.18776008e+00
5.167430e+02 7.43675367e+00
5.168090e+02 7.80674657e+00
5.169050e+02 8.58072389e+00
5.170000e+02 9.09676631e+00
5.170960e+02 8.58014440e+00
5.171910e+02 7.80524423e+00
5.172590e+02 7.42532046e+00
5.173260e+02 7.17286071e+00
5.173940e+02 7.00502042e+00
5.174610e+02 6.89067130e+00
5.175970e+02 6.75225217e+00
5.177320e+02 6.67614906e+00
5.178670e+02 6.63024702e+00
5.180020e+02 6.60049082e+00
5.182730e+02 6.56539185e+00
5.185430e+02 6.54599799e+00
5.188130e+02 6.53388545e+00
5.193540e+02 6.51948598e+00
5.198950e+02 6.51084182e+00
5.204360e+02 6.50465986e+00
5.215170e+02 6.49543293e+00
5.218670e+02 6.49301211e+00
5.225990e+02 6.48819578e+00
5.236800e+02 6.48180136e+00
5.258440e+02 6.46989998e+00
5.301700e+02 6.44731870e+00
5.344960e+02 6.42526617e+00
5.388220e+02 6.40355242e+00
5.431490e+02 6.38258263e+00
5.437350e+02 6.38000158e+00
5.453120e+02 6.37350703e+00
5.463930e+02 6.36978350e+00
5.474750e+02 6.36723684e+00
5.485560e+02 6.36757400e+00
5.490970e+02 6.37032054e+00
5.496380e+02 6.37711937e+00
5.501790e+02 6.39337253e+00
5.504490e+02 6.40954936e+00
5.507200e+02 6.43758888e+00
5.509900e+02 6.49107183e+00
5.511250e+02 6.53745789e+00
5.512600e+02 6.60960893e+00
