Cr-50(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
64554.4 0.00304610
64602.5 0.00410880
64650.5 0.00596848
64698.5 0.00968793
64722.6 0.0131314
64746.6 0.0189149
64794.6 0.0534725
64800.6 0.0638542
64806.6 0.0774648
64812.6 0.0957875
64818.6 0.121018
64821.7 0.137350
64824.7 0.156879
64827.7 0.180469
64830.7 0.209154
64833.7 0.244346
64836.7 0.287355
64839.7 0.339988
64842.7 0.403794
64847.0 0.516725
64851.3 0.645134
64860.0 0.803653
64864.3 0.754899
64868.7 0.641012
64877.3 0.400548
64885.1 0.259787
64892.8 0.175865
64900.5 0.124920
64908.2 0.0925773
64923.6 0.0561648
64939.0 0.0375408
64954.4 0.0268582
64969.8 0.0202095
65000.6 0.0127402
65031.4 0.00888394
65062.2 0.00665439
65123.8 0.00434721
65185.4 0.00329351
65247.0 0.00279441
65370.2 0.00264239
65493.4 0.00343404
65555.0 0.00442281
65616.6 0.00628468
65678.2 0.0101890
65709.1 0.0139160
65739.9 0.0203380
65770.7 0.0327907
65786.1 0.0439006
65801.5 0.0617981
65816.9 0.0931866
65832.3 0.155106
65840.0 0.210631
65847.7 0.298951
65855.4 0.446324
65863.1 0.696862
65871.5 1.11468
65879.9 1.39288
65888.3 1.11409
65896.7 0.696446
65905.9 0.411179
65915.1 0.259492
65924.3 0.175460
65933.5 0.125517
65942.7 0.0938559
65951.9 0.0726770
65970.3 0.0471592
65988.6 0.0330205
66007.0 0.0244158
66043.8 0.0149336
66080.5 0.0101101
66117.3 0.00732866
66154.0 0.00558013
66190.8 0.00440936
66264.3 0.00298648
66337.8 0.00218604
66484.8 0.00136160
66631.8 0.000964770
66778.8 0.000742390
67072.8 0.000513718
67366.8 0.000405914
67660.8 0.000355547
67954.8 0.000389032
68101.8 0.000666476
68175.3 0.00180788
68212.0 0.00623207
68230.4 0.0227038
68235.0 0.0385853
68239.6 0.0797233
68241.9 0.130759
68244.2 0.251000
68245.3 0.384276
68246.5 0.654569
68247.1 0.907058
68247.6 1.31432
68248.2 2.02053
68248.8 3.28184
68249.3 5.25669
68249.9 6.60009
68250.5 5.30367
68251.0 3.31856
68251.6 2.14386
68252.1 1.45525
68253.1 0.767283
68254.1 0.464650
68255.1 0.309269
68257.1 0.164163
68259.1 0.101283
68263.1 0.0495428
68267.1 0.0293192
68283.1 0.00806143
68315.1 0.00228038
68379.1 0.000769493
68507.1 0.000377197
68763.1 0.000268013
69275.1 0.000231027
69787.1 0.000246252
70043.1 0.000365288
70171.1 0.000854822
70235.1 0.00278963
70267.1 0.0102961
70283.1 0.0385167
70287.1 0.0659733
70291.1 0.138230
70293.1 0.229243
70295.1 0.450475
70296.1 0.702737
70297.1 1.23574
70297.6 1.75116
70298.1 2.64073
70298.6 4.30760
70299.1 7.65266
70299.5 12.2681
70299.9 15.2743
70300.3 12.2287
70300.7 7.62186
70301.1 4.94272
70301.5 3.35846
70301.9 2.37025
70302.2 1.75994
70303.0 1.06187
70303.7 0.708581
70305.2 0.375831
70306.7 0.231691
70309.7 0.112884
70312.7 0.0666672
70318.7 0.0311533
70324.6 0.0180377
70348.5 0.00481918
70396.2 0.00137289
70491.6 0.000492387
70682.5 0.000269168
71064.3 0.000213787
71827.8 0.000216095
72591.4 0.000324014
72973.1 0.000762121
73068.6 0.00120928
73164.0 0.00246086
73211.7 0.00416792
73235.6 0.00584504
73259.5 0.00885145
73283.3 0.0150747
73295.3 0.0210466
73307.2 0.0314708
73319.1 0.0521519
73325.1 0.0711203
73331.0 0.102522
73337.0 0.160159
73340.0 0.208612
73343.0 0.282097
73346.0 0.400843
73348.9 0.605901
73351.9 0.991800
73354.9 1.75941
73357.4 2.81355
73359.9 3.50977
73362.4 2.80217
73364.9 1.75056
73367.1 1.13509
73369.3 0.768749
73371.5 0.545904
73373.8 0.404213
73378.2 0.244428
73382.6 0.162556
73387.0 0.115464
73391.4 0.0861652
73400.3 0.0531559
73409.1 0.0360037
73418.0 0.0260044
73426.8 0.0196689
73435.7 0.0154056
73453.3 0.0102029
73471.0 0.00727431
73506.4 0.00426695
73541.8 0.00283398
73577.1 0.00204148
73647.9 0.00124116
73789.4 0.000660253
73930.8 0.000455380
74213.8 0.000310961
74496.8 0.000264407
75062.7 0.000244277
75628.7 0.000260567
76194.6 0.000307719
76760.5 0.000417097
77043.5 0.000533435
77326.5 0.000785859
77468.0 0.00107365
77538.7 0.00133467
77609.5 0.00178254
77680.2 0.00268597
77715.6 0.00355078
77750.9 0.00507858
77786.3 0.00820391
77804.0 0.0111829
77821.7 0.0163545
77839.4 0.0265644
77848.2 0.0358693
77857.0 0.0512273
77865.9 0.0792280
77870.3 0.102642
77874.7 0.137962
77879.2 0.194404
77883.6 0.291255
77888.0 0.471616
77892.4 0.828182
77896.2 1.33664
77899.9 1.72715
77903.7 1.42993
77907.4 0.902266
77911.9 0.506406
77916.3 0.307986
77920.8 0.203113
77925.2 0.142857
77929.7 0.105576
77934.2 0.0810851
77943.1 0.0521040
77952.0 0.0363498
77960.9 0.0268794
77978.8 0.0165817
77996.6 0.0114186
78014.4 0.00847919
78050.1 0.00545433
78121.5 0.00328564
78192.9 0.00263184
78335.6 0.00256854
78478.3 0.00332645
78621.0 0.00519129
78692.4 0.00698812
78763.8 0.0100435
78835.1 0.0158022
78870.8 0.0207788
78906.5 0.0285259
78942.2 0.0414495
78977.8 0.0650349
78995.7 0.0845368
79013.5 0.113153
79031.4 0.156154
79049.2 0.220752
79074.6 0.353081
79099.9 0.440690
79125.3 0.351955
79150.6 0.219908
79169.3 0.153256
79187.9 0.109726
79206.6 0.0812282
79225.2 0.0620625
79262.5 0.0391757
79299.8 0.0267896
79337.1 0.0194220
79374.4 0.0147122
79448.9 0.00928148
79523.5 0.00639876
79598.1 0.00469154
79747.3 0.00285745
79896.4 0.00194568
80045.6 0.00142759
80343.9 0.000891285
80642.3 0.000633862
80940.6 0.000491149
81537.2 0.000347925
82133.9 0.000282996
