Mo-95(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
218.065 6.70952
218.108 9.27061
218.151 13.3388
218.194 19.8379
218.247 31.7715
218.300 39.7442
218.353 31.7789
218.406 19.8473
218.459 12.1791
218.513 7.90293
218.566 5.44578
218.619 3.94730
218.673 2.97971
218.726 2.32365
218.832 1.52205
218.939 1.07232
219.046 0.796095
219.259 0.489437
219.472 0.332387
219.685 0.241490
219.898 0.184242
220.112 0.145883
220.538 0.0992877
220.964 0.0731436
221.817 0.0463837
222.670 0.0336570
223.523 0.0266221
225.228 0.0195205
228.639 0.0144178
232.051 0.0128054
235.462 0.0125215
238.873 0.0136996
240.578 0.0157639
242.284 0.0217261
243.137 0.0298628
243.563 0.0378255
243.990 0.0520304
244.416 0.0812079
244.629 0.108974
244.842 0.156992
245.056 0.250873
245.162 0.335540
245.269 0.473559
245.375 0.719981
245.429 0.921988
245.482 1.22038
245.535 1.68338
245.589 2.44452
245.642 3.77347
245.695 6.15883
245.748 9.83730
245.800 12.2858
245.853 9.83939
245.905 6.16146
245.964 3.58754
246.023 2.24489
246.082 1.50960
246.141 1.07739
246.200 0.804703
246.259 0.623491
246.377 0.406047
246.495 0.286107
246.613 0.213380
246.850 0.133497
247.086 0.0930198
247.322 0.0697611
247.794 0.0454791
248.266 0.0337550
248.738 0.0272483
249.683 0.0207362
251.572 0.0164139
253.461 0.0156773
255.349 0.0167010
257.238 0.0200587
258.183 0.0235500
259.127 0.0297889
260.072 0.0423693
260.544 0.0540455
261.016 0.0736881
261.016 0.0736991
261.017 0.0737321
261.017 0.0737595
261.018 0.0738201
261.021 0.0739414
261.025 0.0741794
261.033 0.0746597
261.051 0.0756367
261.085 0.0776594
261.154 0.0819998
261.291 0.0920535
261.567 0.119792
261.842 0.164626
262.117 0.244046
262.255 0.309087
262.392 0.405514
262.530 0.557345
262.668 0.816515
262.805 1.31352
262.874 1.75195
262.943 2.45038
263.012 3.65577
263.081 5.97466
263.115 7.99971
263.149 11.1349
263.184 16.1812
263.218 24.3920
263.259 39.0195
263.300 48.7298
263.341 38.9753
263.382 24.3546
263.408 17.8323
263.434 13.3146
263.485 7.97967
263.537 5.21644
263.589 3.64711
263.640 2.68311
263.692 2.05280
263.795 1.31007
263.898 0.907454
264.001 0.666167
264.208 0.404008
264.414 0.272382
264.621 0.197227
264.827 0.150323
265.034 0.119109
265.446 0.0814625
265.859 0.0605104
266.685 0.0392389
267.511 0.0292258
268.336 0.0237498
269.988 0.0183197
273.291 0.0146230
276.594 0.0136071
289.805 0.0148240
303.017 0.0198063
309.622 0.0244381
316.228 0.0322218
316.228 0.0322221
316.229 0.0322229
316.229 0.0322236
316.230 0.0322250
316.232 0.0322278
316.235 0.0322336
316.243 0.0322450
316.257 0.0322677
316.285 0.0323133
316.343 0.0324051
316.457 0.0325904
316.686 0.0329680
317.145 0.0337530
