Cl-35(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
0.0757067 46.1415
0.0771893 45.8951
0.0786718 45.6556
0.0801544 45.4249
0.0808834 45.3115
0.0812500 45.2566
0.0816369 45.1986
0.0831195 44.9764
0.0831811 44.9672
0.0846020 44.7632
0.0852450 44.6710
0.0860846 44.5545
0.0875000 44.3583
0.0875671 44.3490
0.0890497 44.1525
0.0902119 43.9986
0.0905322 43.9581
0.0934973 43.5833
0.0964624 43.2272
0.0994275 42.8871
0.100000 42.8243
0.102393 42.5618
0.105358 42.2513
0.105609 42.2250
0.108323 41.9517
0.111288 41.6651
0.112500 41.5525
0.114253 41.3896
0.117218 41.1247
0.120183 40.8697
0.120226 40.8660
0.123148 40.6237
0.125000 40.4756
0.126113 40.3866
0.129079 40.1576
0.132044 39.9364
0.135009 39.7231
0.135353 39.6984
0.137500 39.5496
0.137974 39.5168
0.138800 39.4596
0.140939 39.3165
0.142111 39.2381
0.143904 39.1222
0.145287 39.0328
0.146869 38.9337
0.148329 38.8423
0.149834 38.7513
0.150000 38.7412
0.152799 38.5720
0.155764 38.4008
0.156670 38.3485
0.158730 38.2321
0.161695 38.0692
0.161767 38.0653
0.162500 38.0265
0.164660 37.9121
0.166362 37.8220
0.167625 37.7575
0.170590 37.6060
0.173555 37.4601
0.174186 37.4291
0.175000 37.3905
0.176520 37.3183
0.179485 37.1775
0.185415 36.9096
0.185683 36.8975
0.191346 36.6531
0.197276 36.4088
0.200000 36.3014
0.203206 36.1751
0.209136 35.9514
0.215066 35.7377
0.215556 35.7200
0.218750 35.6092
0.220997 35.5312
0.226927 35.3348
0.228257 35.2908
0.232857 35.1433
0.237500 34.9999
0.238787 34.9602
0.244717 34.7838
0.250648 34.6135
0.256250 34.4583
0.256578 34.4492
0.262508 34.2912
0.263541 34.2637
0.268438 34.1382
0.270706 34.0802
0.274368 33.9884
0.275000 33.9731
0.280299 33.8446
0.286229 33.7052
0.292159 33.5700
0.298089 33.4388
0.304019 33.3115
0.309950 33.1878
0.312500 33.1360
0.315880 33.0675
0.321810 32.9513
0.323534 32.9175
0.327740 32.8379
0.332724 32.7437
0.333670 32.7265
0.339601 32.6187
0.340980 32.5936
0.345531 32.5141
0.350000 32.4360
0.351461 32.4105
0.357391 32.3114
0.360847 32.2536
0.363321 32.2140
0.369252 32.1189
0.371367 32.0849
0.381112 31.9339
0.387500 31.8394
0.392972 31.7584
0.404833 31.5905
0.416693 31.4297
0.425000 31.3217
0.428554 31.2755
0.440414 31.1275
0.452274 30.9853
0.464135 30.8487
0.464760 30.8415
0.475995 30.7167
0.487856 30.5896
0.499716 30.4670
0.500000 30.4642
0.511576 30.3489
0.512214 30.3425
0.523437 30.2351
0.527081 30.2002
0.535297 30.1235
0.547158 30.0164
0.559018 29.9126
0.562500 29.8831
0.570878 29.8120
0.582739 29.7144
0.594599 29.6196
