K-39(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
42185.4 3.13404
42260.8 4.54911
42336.2 6.76302
42411.6 10.3120
42487.0 16.0139
42594.0 28.8438
42701.0 39.7353
42808.5 34.8561
42916.0 24.0814
42985.1 18.7305
43054.1 14.8335
43192.2 9.97384
43330.3 7.27787
43468.4 5.64836
43606.5 4.58769
43744.6 3.85545
44020.8 2.92816
44297.0 2.37634
44573.2 2.01620
44849.4 1.76677
44987.5 1.67110
45056.5 1.63077
45091.0 1.61717
45108.3 1.62814
45116.9 1.69221
45121.2 1.90640
45123.4 2.48203
45124.5 3.62434
45125.0 5.14777
45125.6 8.57539
45125.9 12.7372
45126.3 15.4632
45126.7 12.6908
45127.0 8.48209
45127.5 5.48401
45127.9 3.98138
45128.8 2.70341
45130.5 1.98553
45133.9 1.70093
45140.8 1.60969
45154.6 1.57952
45182.1 1.56057
45237.2 1.53402
45347.3 1.49047
45457.4 1.46007
45567.5 1.45054
45677.6 1.48467
45732.7 1.53827
45787.8 1.64715
45842.8 1.88108
45870.4 2.10143
45897.9 2.46924
45925.4 3.14028
45939.2 3.69952
45952.9 4.53598
45966.7 5.85635
45980.5 8.07293
45994.2 12.0640
46008.0 19.5283
46020.8 30.5709
46033.5 37.9634
46046.2 30.6508
46058.9 19.6285
46066.6 14.8619
46074.3 11.4934
46089.7 7.44174
46105.1 5.29944
46120.5 4.06645
46135.9 3.30040
46151.3 2.79531
46182.1 2.19287
46212.9 1.86088
46243.6 1.65772
46305.2 1.42914
46366.8 1.30663
46428.4 1.23041
46551.5 1.13820
46674.7 1.08076
46797.9 1.03853
47044.2 0.975004
47290.5 0.925226
47536.8 0.882856
48029.5 0.811231
49014.7 0.696530
50000.0 0.600319
51087.2 0.501695
51630.8 0.454115
51766.8 0.444246
51902.7 0.440322
51970.6 0.446982
52004.6 0.457154
52038.6 0.478636
52072.5 0.528043
52089.5 0.577926
52106.5 0.667358
52123.5 0.848836
52132.0 1.01738
52140.5 1.29873
52149.0 1.81829
52153.2 2.25759
52157.5 2.92372
52161.7 3.99977
52166.0 5.85868
52170.2 9.36051
52174.5 16.2868
52178.1 25.9543
52181.7 32.4057
52185.3 26.0547
52188.9 16.5188
52193.1 9.59250
52197.4 6.07394
52201.7 4.18728
52205.9 3.08944
52210.2 2.40293
52214.4 1.94779
52223.0 1.40317
52231.5 1.10296
52240.0 0.920180
52257.0 0.717895
52274.1 0.613711
52291.1 0.552544
52325.2 0.486131
52359.3 0.451565
52393.3 0.430398
52461.5 0.404989
52597.8 0.376974
52734.1 0.357722
53006.7 0.325480
53279.3 0.295290
53824.6 0.236872
53960.9 0.223674
54097.2 0.212674
54233.5 0.207900
54301.6 0.214073
54335.7 0.231589
54352.8 0.278854
54361.3 0.419020
54365.5 0.813981
54367.7 1.72278
54368.7 3.19861
54369.3 4.80683
54369.8 7.78745
54370.3 12.1693
54370.8 15.1526
54371.3 12.0791
54371.8 7.56867
54372.3 4.66434
54372.8 3.07661
54373.8 1.60203
54375.9 0.715959
54379.9 0.354322
54388.0 0.245354
54404.1 0.223602
54436.4 0.233842
54468.7 0.258685
54501.1 0.303868
54533.4 0.394710
54549.5 0.478361
54565.7 0.617586
54581.8 0.875193
54589.9 1.09487
54598.0 1.43279
54606.1 1.99045
54614.1 2.99204
54618.2 3.81066
54622.2 4.99912
54626.3 6.76328
54630.3 9.37220
54636.2 14.8441
54642.1 18.5138
54647.9 14.8548
54653.8 9.33785
54657.6 6.86422
54661.3 5.15781
54668.8 3.15901
54676.2 2.14024
54683.7 1.57490
54691.2 1.23918
54698.6 1.03308
54713.6 0.835697
54728.5 0.820898
54743.4 0.996590
54750.9 1.20528
54758.4 1.56710
54765.8 2.20824
54773.3 3.34942
54781.0 5.17734
54788.6 6.40073
54796.3 5.15098
54803.9 3.27141
54809.1 2.38313
54814.3 1.78285
54824.6 1.09571
54835.0 0.750265
54845.3 0.556922
54866.0 0.360502
54886.7 0.267249
54928.1 0.181899
54969.5 0.143128
55010.9 0.121180
55052.3 0.107743
55093.7 0.103870
55114.4 0.121434
55124.7 0.188478
55129.9 0.396964
55132.5 0.955840
55133.8 2.09270
55134.4 3.69398
55135.1 7.51149
55135.5 11.9003
55135.9 14.7291
55136.3 11.6986
55136.7 7.30038
55137.3 3.58726
55137.9 2.02873
55139.0 0.886736
55141.4 0.332281
55146.2 0.140021
55155.6 0.0867484
55174.6 0.0727983
55212.5 0.0657027
55288.2 0.0557173
55439.8 0.0398243
55591.3 0.0305618
55667.1 0.0360258
55705.0 0.0664797
55714.5 0.0958531
55724.0 0.172833
55728.7 0.270445
55733.4 0.510168
55735.8 0.788164
55738.2 1.38641
55739.4 1.97879
55740.5 3.01144
55741.7 4.99047
55742.3 6.65241
55742.9 9.02376
55743.9 14.5402
55744.8 18.1911
55745.8 14.5723
55746.8 9.19983
55747.8 5.58330
55748.8 3.61410
55749.8 2.50233
55750.8 1.83226
55752.9 1.11383
55754.9 0.762910
55759.0 0.450368
55763.1 0.324956
55771.2 0.246498
55779.4 0.262998
55787.6 0.365750
55791.6 0.476301
55795.7 0.670876
55799.8 1.04541
55801.8 1.37262
55803.9 1.88507
55805.9 2.74435
55808.0 4.31922
55809.0 5.62456
55810.0 7.54244
55811.0 10.4273
55812.0 14.7651
55813.5 23.7543
55815.0 29.7866
55816.4 23.8970
