56-Ba_n-g
> 56-Ba-130:0.001060
> 56-Ba-132:0.001010
> 56-Ba-134:0.024170
> 56-Ba-135:0.065920
> 56-Ba-136:0.078540
> 56-Ba-137:0.112320
> 56-Ba-138:0.716980
8.704230e+01 3.31033892e+01
8.709350e+01 2.34951981e+01
8.714470e+01 1.74809655e+01
8.719590e+01 1.34952889e+01
8.729830e+01 8.73549238e+00
8.740080e+01 6.12211042e+00
8.750000e+01 4.58874550e+00
8.750320e+01 4.53928492e+00
8.770810e+01 2.80259097e+00
8.791290e+01 1.92079356e+00
8.811780e+01 1.41178710e+00
8.852750e+01 8.74990010e-01
8.893730e+01 6.10599584e-01
8.934700e+01 4.59990200e-01
8.950860e+01 4.28870140e-01
9.016650e+01 3.02180442e-01
9.062500e+01 2.58957444e-01
9.098590e+01 2.25451688e-01
9.180540e+01 1.83458685e-01
9.218750e+01 1.74380537e-01
9.296880e+01 1.57374487e-01
9.344430e+01 1.47053313e-01
9.375000e+01 1.45840175e-01
9.414060e+01 1.45309656e-01
9.433590e+01 1.45051017e-01
9.453130e+01 1.44797073e-01
9.472660e+01 1.44936288e-01
9.475430e+01 1.44956846e-01
9.492190e+01 1.45082094e-01
9.508320e+01 1.45491419e-01
9.511720e+01 1.45974818e-01
9.531250e+01 1.48758284e-01
9.550780e+01 1.51861510e-01
9.570310e+01 1.55216640e-01
9.589840e+01 1.58857546e-01
9.609380e+01 1.62823495e-01
9.628910e+01 1.67166464e-01
9.648440e+01 1.71923706e-01
9.667970e+01 1.77185516e-01
9.672220e+01 1.78451481e-01
9.687500e+01 1.85314812e-01
9.707030e+01 1.94768432e-01
9.726560e+01 2.04984858e-01
9.765630e+01 2.28380928e-01
9.804690e+01 2.57109776e-01
9.836110e+01 2.86590745e-01
9.843750e+01 2.95392443e-01
9.882810e+01 3.52692163e-01
9.918050e+01 4.22594899e-01
9.921880e+01 4.31330897e-01
9.960940e+01 5.56097952e-01
9.980470e+01 6.41133672e-01
1.000000e+02 7.50254798e-01
1.002110e+02 9.19041140e-01
1.004220e+02 1.15808242e+00
1.004830e+02 1.26321478e+00
1.005120e+02 1.31489970e+00
1.006330e+02 1.53093260e+00
1.008440e+02 2.15083274e+00
1.009490e+02 2.63208574e+00
1.009660e+02 2.74286783e+00
1.010250e+02 3.13361117e+00
1.010540e+02 3.32583787e+00
1.011600e+02 4.36463158e+00
1.012650e+02 6.01995145e+00
1.013710e+02 8.91115812e+00
1.014240e+02 1.12338666e+01
1.014490e+02 1.28551010e+01
1.014760e+02 1.46118072e+01
1.015290e+02 1.97432593e+01
1.015370e+02 2.09792298e+01
1.015820e+02 2.79320770e+01
1.016340e+02 4.16706255e+01
1.016870e+02 6.51898404e+01
1.017440e+02 1.03636825e+02
1.018000e+02 1.29104002e+02
1.018570e+02 1.03210689e+02
1.019140e+02 6.46189407e+01
1.019320e+02 5.65298848e+01
1.019620e+02 4.30574048e+01
1.020100e+02 2.98671572e+01
1.020490e+02 2.32343986e+01
1.020580e+02 2.17039097e+01
1.021060e+02 1.64530623e+01
1.021740e+02 1.21786153e+01
1.022010e+02 1.04919194e+01
1.022970e+02 7.46796879e+00
1.023050e+02 7.32621429e+00
1.023930e+02 5.76867492e+00
1.024150e+02 5.53465786e+00
1.024890e+02 4.79715423e+00
1.025610e+02 4.44860679e+00
1.026570e+02 3.98719605e+00
1.026800e+02 3.90700011e+00
1.028170e+02 3.87490333e+00
1.028720e+02 3.86556296e+00
1.028980e+02 3.89900753e+00
1.030190e+02 4.27314395e+00
1.030640e+02 4.50835283e+00
1.030740e+02 4.56806412e+00
1.031400e+02 4.97130749e+00
1.032550e+02 6.09408276e+00
1.032600e+02 6.14506397e+00
1.033300e+02 7.29676687e+00
1.033810e+02 8.14658199e+00
1.034470e+02 1.00719836e+01
1.034580e+02 1.03966287e+01
1.035020e+02 1.17071128e+01
1.035620e+02 1.45702516e+01
1.035860e+02 1.61853538e+01
1.036230e+02 1.86935602e+01
1.036830e+02 2.48809211e+01
1.037140e+02 2.98921997e+01
1.037430e+02 3.46083804e+01
1.038040e+02 5.05902896e+01
1.038300e+02 6.21179748e+01
1.038420e+02 6.74412627e+01
1.038640e+02 7.72470318e+01
1.039320e+02 1.22831489e+02
1.039700e+02 1.40048365e+02
1.040000e+02 1.53731802e+02
1.040340e+02 1.39401997e+02
1.040680e+02 1.25182842e+02
1.040980e+02 1.06436753e+02
1.041360e+02 8.28595839e+01
1.041860e+02 6.34423947e+01
1.041990e+02 6.08660607e+01
1.042130e+02 5.80206385e+01
1.042350e+02 5.35518058e+01
1.042850e+02 5.33804908e+01
1.043000e+02 5.79784969e+01
1.043340e+02 6.77175636e+01
1.044000e+02 1.02511566e+02
1.044010e+02 1.01819717e+02
1.044660e+02 5.65257447e+01
1.044890e+02 4.29607431e+01
1.045020e+02 3.79035299e+01
1.045130e+02 3.36784367e+01
1.045590e+02 2.26761679e+01
1.045850e+02 1.92998118e+01
1.045960e+02 1.79146878e+01
1.046060e+02 1.66561204e+01
1.046530e+02 1.29865503e+01
1.046690e+02 1.22311446e+01
1.047460e+02 8.77133061e+00
1.047520e+02 8.61376554e+00
1.048360e+02 6.52647841e+00
1.048390e+02 6.45508475e+00
1.049790e+02 4.61600115e+00
1.050020e+02 4.31501142e+00
1.050260e+02 4.01787877e+00
1.051690e+02 3.06043204e+00
1.052120e+02 2.78625964e+00
1.053360e+02 2.29840402e+00
1.053990e+02 2.06079336e+00
1.055020e+02 1.79841951e+00
1.055860e+02 1.59471033e+00
1.057460e+02 1.35170788e+00
1.058360e+02 1.21799558e+00
1.059590e+02 1.04450925e+00
1.061690e+02 8.71702752e-01
1.063320e+02 7.43186884e-01
1.065030e+02 6.55606597e-01
1.065120e+02 6.51155293e-01
1.067050e+02 5.58785011e-01
1.068360e+02 5.21061422e-01
1.071690e+02 4.28517389e-01
1.072780e+02 3.99109314e-01
1.074520e+02 3.53667836e-01
1.078360e+02 2.96989517e-01
1.080440e+02 2.67438910e-01
1.081980e+02 2.46586974e-01
1.085030e+02 2.20500838e-01
1.089440e+02 1.83985926e-01
1.090030e+02 1.81010840e-01
1.091700e+02 1.72591489e-01
1.095770e+02 1.52682612e-01
1.098370e+02 1.41103978e-01
1.104370e+02 1.15086757e-01
1.111100e+02 9.82804299e-02
1.111700e+02 9.69071712e-02
1.119300e+02 8.01084610e-02
1.125040e+02 7.18402593e-02
1.126420e+02 6.99045419e-02
1.134220e+02 5.98370484e-02
1.134400e+02 5.96921641e-02
1.135040e+02 5.91776449e-02
1.138370e+02 5.65053623e-02
1.141750e+02 5.38626222e-02
1.151710e+02 4.69259388e-02
1.164080e+02 3.85129011e-02
1.172400e+02 3.51066446e-02
1.178380e+02 3.29923316e-02
1.180050e+02 3.24236266e-02
1.193930e+02 2.77265538e-02
1.201600e+02 2.59959205e-02
1.202560e+02 2.57842599e-02
1.203050e+02 2.56769477e-02
1.205060e+02 2.52897606e-02
1.208180e+02 2.47244202e-02
1.213810e+02 2.37085110e-02
1.218390e+02 2.28861407e-02
1.219440e+02 2.27110432e-02
1.223790e+02 2.19902027e-02
1.225060e+02 2.18704887e-02
1.227880e+02 2.16622594e-02
1.230690e+02 2.14567085e-02
1.231730e+02 2.13813781e-02
1.233500e+02 2.13371882e-02
1.233700e+02 2.13323423e-02
1.235200e+02 2.13170716e-02
1.236320e+02 2.13258336e-02
1.238400e+02 2.13439790e-02
1.239130e+02 2.14136237e-02
1.241730e+02 2.16640852e-02
1.241940e+02 2.17136922e-02
1.243600e+02 2.21084065e-02
1.245060e+02 2.25190807e-02
1.246730e+02 2.33338676e-02
1.247570e+02 2.39650262e-02
1.248400e+02 2.45907307e-02
1.250000e+02 2.65585473e-02
1.250070e+02 2.66446882e-02
1.251730e+02 3.02952509e-02
1.252000e+02 3.14875392e-02
1.253200e+02 3.69293427e-02
1.253400e+02 3.78369219e-02
1.254230e+02 4.48061724e-02
1.255070e+02 5.64579429e-02
1.255900e+02 7.82210673e-02
1.256200e+02 9.15885278e-02
1.256320e+02 9.69576616e-02
1.256730e+02 1.25980742e-01
1.256940e+02 1.46910471e-01
1.257150e+02 1.74254711e-01
1.257360e+02 2.11178800e-01
1.257570e+02 2.61866160e-01
1.257780e+02 3.34164489e-01
1.257980e+02 4.39283995e-01
1.258190e+02 5.96284964e-01
1.258300e+02 7.19017930e-01
1.258400e+02 8.30623749e-01
1.258550e+02 1.05753028e+00
1.258700e+02 1.31682448e+00
1.258820e+02 1.44644136e+00
1.259000e+02 1.64086734e+00
1.259150e+02 1.54554100e+00
1.259300e+02 1.31682395e+00
1.259600e+02 8.30905846e-01
1.259920e+02 5.07459028e-01
1.260230e+02 3.31836990e-01
1.260400e+02 2.79357221e-01
1.260550e+02 2.33164938e-01
1.260860e+02 1.74245401e-01
1.261180e+02 1.36615975e-01
1.261490e+02 1.11498916e-01
1.262130e+02 8.13349470e-02
1.262500e+02 7.16726470e-02
1.262760e+02 6.52438701e-02
1.263390e+02 5.64135520e-02
1.263550e+02 5.53699651e-02
1.264360e+02 5.19090503e-02
1.264450e+02 5.15254636e-02
1.264600e+02 5.08868539e-02
1.264650e+02 5.08374378e-02
1.265130e+02 5.25386419e-02
1.265650e+02 5.66959899e-02
1.265910e+02 6.06873378e-02
1.266180e+02 6.53777676e-02
1.266700e+02 8.26802328e-02
1.267180e+02 1.15336046e-01
1.267230e+02 1.18787115e-01
1.267490e+02 1.53129981e-01
1.267750e+02 2.10785200e-01
1.268020e+02 3.18991297e-01
1.268150e+02 4.11530181e-01
1.268280e+02 5.54423243e-01
1.268410e+02 7.92424388e-01
1.268440e+02 8.90460207e-01
1.268540e+02 1.21730303e+00
1.268670e+02 2.06202728e+00
1.268740e+02 2.80466942e+00
1.268800e+02 3.87999309e+00
1.268900e+02 6.19378708e+00
1.269000e+02 7.73622347e+00
1.269100e+02 6.19401571e+00
1.269200e+02 3.88009092e+00
1.269290e+02 2.48811207e+00
1.269380e+02 1.67790590e+00
1.269460e+02 1.19057573e+00
1.269550e+02 8.83253151e-01
1.269700e+02 5.95616788e-01
1.269730e+02 5.38103101e-01
1.269910e+02 3.63833870e-01
1.270080e+02 2.69267550e-01
1.270090e+02 2.63704885e-01
1.270270e+02 2.01785938e-01
1.270620e+02 1.31944802e-01
1.270980e+02 9.56827000e-02
1.271340e+02 7.44491258e-02
1.271700e+02 6.09185696e-02
1.272050e+02 5.17637052e-02
1.272230e+02 4.89109820e-02
1.272770e+02 4.05161904e-02
1.273480e+02 3.40808344e-02
1.274190e+02 2.99829698e-02
1.274750e+02 2.77911886e-02
1.274910e+02 2.71954464e-02
1.275700e+02 2.53253210e-02
1.276330e+02 2.38387288e-02
1.277760e+02 2.18213592e-02
1.279800e+02 2.01079488e-02
1.280620e+02 1.95046002e-02
1.281330e+02 1.92008475e-02
1.283470e+02 1.83067181e-02
1.283500e+02 1.82979237e-02
1.284850e+02 1.79570477e-02
1.286330e+02 1.76457926e-02
